,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
0,0,19700131,8,-0.117325,-0.149955,0.0,1.356,0.696,8.49,4.76,6.706,3.402,8.334,7.681,0.177,0.836,0.458,0.16899999999999998,0.115,0.116,0.109,0.073,0.03,0.051,0.08199999999999999,0.097,0.17,0.056,0.133,0.14800000000000002,0.124,0.238,0.73,0.253,0.328,0.523,0.302,0.252,0.233,0.14800000000000002,0.083,0.055,0.2,0.349,0.693,1.546,0.384,0.1,0.066,0.274,2.149,1.5530000000000002,0.608,0.18,0.298,4.917,8.0,126.188,0.125,1.571,0.825,2.02,4.317,17.439,8.843,4.416,3.019,7.479,0.021,0.0,0.0,0.388
47,40,19700228,8,0.044051,0.054444000000000006,0.4270000000000001,2.559,1.118,8.931000000000003,3.52,6.481,5.768,9.922,10.164,0.197,0.85,0.473,0.202,0.081,0.085,0.087,0.142,0.027000000000000003,0.042,0.08199999999999999,0.077,0.149,0.051,0.12,0.122,0.056,0.261,0.684,0.253,0.39,0.55,0.375,0.03,0.07200000000000001,0.054000000000000006,0.058,0.053,0.261,0.308,0.6629999999999999,2.306,0.404,0.095,0.069,0.29,2.497,1.705,0.629,0.217,0.483,3.71,5.211,133.015,0.09,1.537,0.7340000000000001,1.767,4.189,16.011,7.435,3.984,2.879,5.9110000000000005,-0.013,0.0,0.0,0.389
70,80,19700331,8,-0.036342,-0.02302,0.4270000000000001,2.455,1.118,8.504,2.86,6.481,5.274,10.31,11.39,0.189,0.812,0.473,0.202,0.081,0.085,0.087,0.142,0.027000000000000003,0.042,0.08199999999999999,0.077,0.149,0.051,0.12,0.122,0.056,0.261,0.684,0.253,0.39,0.55,0.375,0.03,0.07200000000000001,0.054000000000000006,0.058,0.053,0.261,0.308,0.6629999999999999,2.306,0.404,0.095,0.069,0.29,2.497,1.705,0.629,0.217,0.483,3.71,5.211,133.015,0.09,1.537,0.7340000000000001,1.767,4.189,16.011,7.435,3.984,2.879,5.9110000000000005,-0.013,0.0,0.0,0.389
96,120,19700430,8,-0.142319,-0.14468599999999998,0.4270000000000001,2.162,1.118,7.327000000000001,5.71,6.481,4.6080000000000005,8.802,9.871,0.157,0.6729999999999999,0.473,0.202,0.081,0.085,0.087,0.142,0.027000000000000003,0.042,0.08199999999999999,0.077,0.149,0.051,0.12,0.122,0.056,0.261,0.684,0.253,0.39,0.55,0.375,0.03,0.07200000000000001,0.054000000000000006,0.058,0.053,0.261,0.308,0.6629999999999999,2.306,0.404,0.095,0.069,0.29,2.497,1.705,0.629,0.217,0.483,3.71,5.211,133.015,0.09,1.537,0.7340000000000001,1.767,4.189,16.011,7.435,3.984,2.879,5.9110000000000005,-0.013,0.0,0.0,0.389
124,160,19700531,8,-0.06908500000000001,-0.07409099999999999,0.0,5.909,1.118,6.643,4.44,6.3610000000000015,4.296,8.961,8.785,0.157,0.667,0.473,0.202,0.065,0.068,0.087,0.142,0.024,0.035,0.078,0.077,0.149,0.044,0.12,0.066,0.029,0.261,0.706,0.261,0.433,0.55,0.375,0.03,0.07200000000000001,0.054000000000000006,0.058,0.052000000000000005,0.261,0.308,0.6629999999999999,1.617,0.365,0.098,0.07,0.29,2.497,1.705,0.629,0.217,0.483,3.506,3.237,133.015,0.09,1.537,0.7340000000000001,1.767,4.189,16.011,7.435,4.008,2.884,5.9110000000000005,-0.013,0.0,0.0,0.389
208,280,19700831,6,0.142902,0.133773,0.0,0.075,1.161,5.925,4.13,6.301,4.021,7.436,7.326,0.14300000000000002,0.629,0.473,0.134,0.07400000000000001,0.08,0.076,0.065,0.016,0.02,0.057,0.077,0.149,0.03,0.12,0.05,0.043,0.294,0.706,0.294,0.511,0.64,0.301,0.03,0.05,0.038,0.05,0.048,0.289,0.231,0.6629999999999999,2.45,0.486,0.107,0.071,0.29,2.732,1.971,0.653,0.257,0.595,1.808,1.759,149.477,0.08,1.5019999999999998,0.51,1.767,4.243,16.791,11.18,4.527,3.3710000000000004,6.706,-0.012,0.0,0.0,0.393
238,320,19700930,6,0.076802,0.08202999999999999,0.0,0.08199999999999999,1.161,6.584,5.32,6.301,4.35,8.405,8.277999999999999,0.151,0.688,0.473,0.134,0.07400000000000001,0.08,0.076,0.065,0.016,0.02,0.057,0.077,0.149,0.03,0.12,0.05,0.043,0.294,0.706,0.294,0.511,0.64,0.301,0.03,0.05,0.038,0.05,0.048,0.289,0.231,0.6629999999999999,2.45,0.486,0.107,0.071,0.29,2.732,1.971,0.653,0.257,0.595,1.808,1.759,149.477,0.08,1.5019999999999998,0.51,1.767,4.243,16.791,11.18,4.527,3.3710000000000004,6.706,-0.012,0.0,0.0,0.393
268,360,19701031,6,-0.104483,-0.105236,0.0,0.07200000000000001,1.161,6.024,3.5,6.301,4.131,7.4460000000000015,7.334,0.134,0.653,0.473,0.134,0.07400000000000001,0.08,0.076,0.065,0.016,0.02,0.057,0.077,0.149,0.03,0.12,0.05,0.043,0.294,0.706,0.294,0.511,0.64,0.301,0.03,0.05,0.038,0.05,0.048,0.289,0.231,0.6629999999999999,2.45,0.486,0.107,0.071,0.29,2.732,1.971,0.653,0.257,0.595,1.808,1.759,149.477,0.08,1.5019999999999998,0.51,1.767,4.243,16.791,11.18,4.527,3.3710000000000004,6.706,-0.012,0.0,0.0,0.393
305,400,19701130,6,0.025046,0.033335000000000004,0.0,0.279,1.161,6.164,2.97,7.372999999999998,4.088,8.435,8.435,0.126,0.625,0.473,0.134,0.058,0.066,0.064,0.065,0.015,0.019,0.055,0.071,0.122,0.026,0.103,0.047,0.059,0.294,0.693,0.294,0.501,0.64,0.301,-0.099,0.05,0.038,0.05,0.045,0.309,0.231,0.6629999999999999,3.084,0.485,0.123,0.081,0.3,2.732,1.971,0.653,0.271,0.595,2.153,1.586,154.374,0.08,1.5019999999999998,0.51,1.767,4.243,17.865,11.18,4.441,3.205,6.706,-0.012,0.0,0.0,0.393
330,440,19701231,6,0.026573000000000003,0.032514999999999995,0.0,0.303,1.161,6.579,1.97,7.372999999999998,4.434,8.992,8.992,0.129,0.6679999999999999,0.473,0.134,0.058,0.066,0.064,0.065,0.015,0.019,0.055,0.071,0.122,0.026,0.103,0.047,0.059,0.294,0.693,0.294,0.501,0.64,0.301,-0.099,0.05,0.038,0.05,0.045,0.309,0.231,0.6629999999999999,3.084,0.485,0.123,0.081,0.3,2.732,1.971,0.653,0.271,0.595,2.153,1.586,154.374,0.08,1.5019999999999998,0.51,1.767,4.243,17.865,11.18,4.441,3.205,6.706,-0.012,0.0,0.0,0.393
360,480,19710131,6,0.269816,0.261799,0.0,0.398,1.161,7.9289999999999985,3.95,7.372999999999998,5.982,10.543,10.543,0.152,0.81,0.473,0.134,0.058,0.066,0.064,0.065,0.015,0.019,0.055,0.071,0.122,0.026,0.103,0.047,0.059,0.294,0.693,0.294,0.501,0.64,0.301,-0.099,0.05,0.038,0.05,0.045,0.309,0.231,0.6629999999999999,3.084,0.485,0.123,0.081,0.3,2.732,1.971,0.653,0.271,0.595,2.153,1.586,154.374,0.08,1.5019999999999998,0.51,1.767,4.243,17.865,11.18,4.441,3.205,6.706,-0.012,0.0,0.0,0.393
399,520,19710228,6,0.048018,0.092838,0.336,4.032,1.587,10.511,4.49,6.509,9.581,10.295,10.295,0.158,0.8079999999999999,0.4370000000000001,0.083,0.035,0.043,0.07,0.066,0.012,0.028,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.042,0.295,0.682,0.28600000000000003,0.565,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.368,0.19,0.636,3.218,0.401,0.122,0.07400000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.853,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.379,2.785,6.049,-0.005,0.008,0.0,0.358
427,560,19710331,6,0.03222,0.033661,0.336,4.228,1.587,9.81,4.33,6.509,9.78,11.175,11.175,0.163,0.7929999999999999,0.4370000000000001,0.083,0.035,0.043,0.07,0.066,0.012,0.028,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.042,0.295,0.682,0.28600000000000003,0.565,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.368,0.19,0.636,3.218,0.401,0.122,0.07400000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.853,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.379,2.785,6.049,-0.005,0.008,0.0,0.358
460,600,19710430,6,0.109854,0.06880399999999999,0.336,4.313,1.587,11.382,3.09,6.509,10.36,11.584,11.584,0.184,0.934,0.4370000000000001,0.083,0.035,0.043,0.07,0.066,0.012,0.028,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.042,0.295,0.682,0.28600000000000003,0.565,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.368,0.19,0.636,3.218,0.401,0.122,0.07400000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.853,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.379,2.785,6.049,-0.005,0.008,0.0,0.358
495,640,19710531,6,-0.059920000000000015,-0.041935,0.0,3.5980000000000003,1.281,9.505,3.64,6.617000000000001,5.978,11.328,11.328,0.175,0.848,0.4370000000000001,0.083,0.038,0.045,0.057,0.066,0.013,0.027000000000000003,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.047,0.295,0.705,0.295,0.599,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.394,0.19,0.636,3.209,0.418,0.119,0.073,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.871,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.353,2.768,6.049,-0.005,0.0,0.0,0.358
529,680,19710630,6,-0.026346,-0.005579,0.0,3.167,1.281,8.812000000000003,1.83,6.617000000000001,6.058,11.207,10.357,0.162,0.8370000000000001,0.4370000000000001,0.083,0.038,0.045,0.057,0.066,0.013,0.027000000000000003,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.047,0.295,0.705,0.295,0.599,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.394,0.19,0.636,3.209,0.418,0.119,0.073,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.871,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.353,2.768,6.049,-0.005,0.0,0.0,0.358
571,720,19710731,6,-0.08966,-0.125526,0.0,2.522,1.281,7.57,1.2,6.617000000000001,5.074,9.465,8.615,0.14,0.7190000000000001,0.4370000000000001,0.083,0.038,0.045,0.057,0.066,0.013,0.027000000000000003,0.054000000000000006,0.045,0.071,0.018000000000000002,0.077,0.055,0.047,0.295,0.705,0.295,0.599,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.394,0.19,0.636,3.209,0.418,0.119,0.073,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.871,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.353,2.768,6.049,-0.005,0.0,0.0,0.358
599,760,19710831,6,-0.010671,0.013765,0.0,2.354,1.207,8.972000000000003,2.24,6.8889999999999985,5.31,10.781,9.229,0.145,0.7070000000000001,0.4370000000000001,0.083,0.04,0.046,0.05,0.066,0.011,0.024,0.054000000000000006,0.045,0.071,0.016,0.077,0.049,0.047,0.287,0.713,0.287,0.628,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.393,0.19,0.636,3.337,0.403,0.108,0.07200000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.891,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.255,2.7,6.049,-0.005,0.0,0.0,0.358
634,800,19710930,6,-0.022995,-0.027431,0.0,2.24,1.207,8.734,3.84,6.8889999999999985,5.041,10.331,8.913,0.141,0.682,0.4370000000000001,0.083,0.04,0.046,0.05,0.066,0.011,0.024,0.054000000000000006,0.045,0.071,0.016,0.077,0.049,0.047,0.287,0.713,0.287,0.628,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.393,0.19,0.636,3.337,0.403,0.108,0.07200000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.891,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.255,2.7,6.049,-0.005,0.0,0.0,0.358
670,840,19711031,6,-0.048667,-0.0342,0.0,2.294,1.207,7.807,1.9,6.8889999999999985,5.073,10.357,9.008,0.134,0.64,0.4370000000000001,0.083,0.04,0.046,0.05,0.066,0.011,0.024,0.054000000000000006,0.045,0.071,0.016,0.077,0.049,0.047,0.287,0.713,0.287,0.628,0.621,0.29,0.051,0.033,0.022,0.06,0.04,0.393,0.19,0.636,3.337,0.403,0.108,0.07200000000000001,0.29,3.074,2.005,0.6609999999999999,0.3,0.612,1.891,1.818,99.75,0.086,1.539,0.7090000000000001,1.49,3.485,14.858,7.595,4.255,2.7,6.049,-0.005,0.0,0.0,0.358
704,880,19711130,6,-0.001622,0.015426,0.0,1.595,1.482,10.476,2.98,6.938,5.112,10.56,8.729,0.134,0.62,0.425,0.083,0.045,0.045,0.052000000000000005,0.066,0.012,0.024,0.057,0.046,0.08900000000000001,0.016,0.087,0.046,0.045,0.28600000000000003,0.696,0.28600000000000003,0.6559999999999999,0.639,0.267,-0.775,0.033,0.022,0.06,0.045,0.428,0.19,0.65,3.039,0.439,0.101,0.068,0.279,3.074,2.005,0.6609999999999999,0.299,0.612,1.908,1.818,99.75,0.086,1.539,0.7090000000000001,1.496,3.427,14.925,7.792000000000002,3.86,2.482,6.049,-0.017,0.0,0.0,0.34700000000000003
738,920,19711231,6,0.131474,0.124074,0.0,1.965,1.482,10.972,3.17,6.938,5.766,11.816,10.044,0.146,0.6609999999999999,0.425,0.083,0.045,0.045,0.052000000000000005,0.066,0.012,0.024,0.057,0.046,0.08900000000000001,0.016,0.087,0.046,0.045,0.28600000000000003,0.696,0.28600000000000003,0.6559999999999999,0.639,0.267,-0.775,0.033,0.022,0.06,0.045,0.428,0.19,0.65,3.039,0.439,0.101,0.068,0.279,3.074,2.005,0.6609999999999999,0.299,0.612,1.908,1.818,99.75,0.086,1.539,0.7090000000000001,1.496,3.427,14.925,7.792000000000002,3.86,2.482,6.049,-0.017,0.0,0.0,0.34700000000000003
770,960,19720131,6,0.241932,0.185041,0.0,2.677,1.482,12.95,3.71,6.938,6.589,13.75,12.976,0.188,0.855,0.425,0.083,0.045,0.045,0.052000000000000005,0.066,0.012,0.024,0.057,0.046,0.08900000000000001,0.016,0.087,0.046,0.045,0.28600000000000003,0.696,0.28600000000000003,0.6559999999999999,0.639,0.267,-0.775,0.033,0.022,0.06,0.045,0.428,0.19,0.65,3.039,0.439,0.101,0.068,0.279,3.074,2.005,0.6609999999999999,0.299,0.612,1.908,1.818,99.75,0.086,1.539,0.7090000000000001,1.496,3.427,14.925,7.792000000000002,3.86,2.482,6.049,-0.017,0.0,0.0,0.34700000000000003
813,1000,19720229,6,0.014437,0.041376,0.13699999999999998,2.24,1.521,12.493,1.06,7.557,0.301,15.65,13.275,0.184,0.812,0.417,0.086,0.055,0.055,0.066,0.07,0.009000000000000001,0.024,0.049,0.045,0.08900000000000001,0.015,0.083,0.073,0.053,0.294,0.682,0.285,0.659,0.647,0.252,-2.194,-0.019,-0.012,0.064,0.039,0.466,0.174,0.66,2.9730000000000003,0.399,0.104,0.064,0.29100000000000004,3.104,1.934,0.659,0.332,0.579,1.682,2.113,131.128,0.093,1.587,0.748,1.37,3.42,10.989,9.572,3.811,2.556,5.297999999999999,-0.033,0.013,0.0,0.365
841,1040,19720331,6,-0.0126,0.012759,0.13699999999999998,2.206,1.521,12.529000000000002,3.24,7.557,0.341,15.390999999999998,12.581,0.183,0.774,0.417,0.086,0.055,0.055,0.066,0.07,0.009000000000000001,0.024,0.049,0.045,0.08900000000000001,0.015,0.083,0.073,0.053,0.294,0.682,0.285,0.659,0.647,0.252,-2.194,-0.019,-0.012,0.064,0.039,0.466,0.174,0.66,2.9730000000000003,0.399,0.104,0.064,0.29100000000000004,3.104,1.934,0.659,0.332,0.579,1.682,2.113,131.128,0.093,1.587,0.748,1.37,3.42,10.989,9.572,3.811,2.556,5.297999999999999,-0.033,0.013,0.0,0.365
891,1080,19720430,6,0.027482,-0.013815,0.13699999999999998,2.067,1.521,13.162,1.08,7.557,0.52,16.133,13.552,0.204,0.915,0.417,0.086,0.055,0.055,0.066,0.07,0.009000000000000001,0.024,0.049,0.045,0.08900000000000001,0.015,0.083,0.073,0.053,0.294,0.682,0.285,0.659,0.647,0.252,-2.194,-0.019,-0.012,0.064,0.039,0.466,0.174,0.66,2.9730000000000003,0.399,0.104,0.064,0.29100000000000004,3.104,1.934,0.659,0.332,0.579,1.682,2.113,131.128,0.093,1.587,0.748,1.37,3.42,10.989,9.572,3.811,2.556,5.297999999999999,-0.033,0.013,0.0,0.365
912,1120,19720531,6,-0.002132,0.02005,0.0,6.462999999999999,1.251,13.828,0.42,7.51,0.058,14.995,14.41,0.212,0.936,0.417,0.086,0.053,0.053,0.067,0.07,0.01,0.025,0.049,0.044,0.08800000000000001,0.015,0.081,0.07400000000000001,0.053,0.285,0.708,0.28300000000000003,0.657,0.747,0.174,-2.194,0.032,-0.012,0.064,0.039,0.478,0.174,0.66,2.9730000000000003,0.395,0.11,0.06,0.285,3.104,1.951,0.659,0.326,0.579,1.695,2.113,131.128,0.093,1.587,0.478,1.403,3.42,10.989,11.43,3.569,2.528,7.626,-0.033,0.0,0.0,0.365
947,1160,19720630,6,-0.092153,-0.102428,0.0,6.647,1.251,13.174,1.35,7.51,0.001,13.414,13.01,0.187,0.8270000000000001,0.417,0.086,0.053,0.053,0.067,0.07,0.01,0.025,0.049,0.044,0.08800000000000001,0.015,0.081,0.07400000000000001,0.053,0.285,0.708,0.28300000000000003,0.657,0.747,0.174,-2.194,0.032,-0.012,0.064,0.039,0.478,0.174,0.66,2.9730000000000003,0.395,0.11,0.06,0.285,3.104,1.951,0.659,0.326,0.579,1.695,2.113,131.128,0.093,1.587,0.478,1.403,3.42,10.989,11.43,3.569,2.528,7.626,-0.033,0.0,0.0,0.365
984,1200,19720731,6,0.024398,0.025677,0.0,6.89,1.251,13.333,2.05,7.51,-0.01,13.367,12.969,0.198,0.8640000000000001,0.417,0.086,0.053,0.053,0.067,0.07,0.01,0.025,0.049,0.044,0.08800000000000001,0.015,0.081,0.07400000000000001,0.053,0.285,0.708,0.28300000000000003,0.657,0.747,0.174,-2.194,0.032,-0.012,0.064,0.039,0.478,0.174,0.66,2.9730000000000003,0.395,0.11,0.06,0.285,3.104,1.951,0.659,0.326,0.579,1.695,2.113,131.128,0.093,1.587,0.478,1.403,3.42,10.989,11.43,3.569,2.528,7.626,-0.033,0.0,0.0,0.365
1020,1240,19720831,6,-0.013936000000000002,-0.018436,0.0,3.829,1.23,12.289,4.58,7.452000000000001,1.95,11.532,11.202,0.215,0.845,0.417,0.086,0.059,0.059,0.081,0.07,0.012,0.028,0.052000000000000005,0.047,0.091,0.018000000000000002,0.083,0.077,0.058,0.289,0.705,0.287,0.618,0.747,0.174,-2.194,0.125,-0.012,0.064,0.039,0.451,0.174,0.66,2.9730000000000003,0.403,0.11,0.062,0.285,3.104,1.913,0.659,0.3,0.579,1.743,2.113,131.128,0.093,1.587,0.478,1.42,3.42,10.989,10.347,3.533,2.504,6.582000000000002,0.025,0.0,0.0,0.365
1058,1280,19720930,6,0.023149,0.016238,0.0,3.733,1.23,12.429,4.9,7.452000000000001,2.104,11.548,11.215,0.231,0.884,0.417,0.086,0.059,0.059,0.081,0.07,0.012,0.028,0.052000000000000005,0.047,0.091,0.018000000000000002,0.083,0.077,0.058,0.289,0.705,0.287,0.618,0.747,0.174,-2.194,0.125,-0.012,0.064,0.039,0.451,0.174,0.66,2.9730000000000003,0.403,0.11,0.062,0.285,3.104,1.913,0.659,0.3,0.579,1.743,2.113,131.128,0.093,1.587,0.478,1.42,3.42,10.989,10.347,3.533,2.504,6.582000000000002,0.025,0.0,0.0,0.365
1093,1320,19721031,6,-0.016255000000000002,-0.017741999999999997,0.0,3.716,1.23,12.220999999999998,2.18,7.452000000000001,2.231,10.564,10.274,0.236,0.833,0.417,0.086,0.059,0.059,0.081,0.07,0.012,0.028,0.052000000000000005,0.047,0.091,0.018000000000000002,0.083,0.077,0.058,0.289,0.705,0.287,0.618,0.747,0.174,-2.194,0.125,-0.012,0.064,0.039,0.451,0.174,0.66,2.9730000000000003,0.403,0.11,0.062,0.285,3.104,1.913,0.659,0.3,0.579,1.743,2.113,131.128,0.093,1.587,0.478,1.42,3.42,10.989,10.347,3.533,2.504,6.582000000000002,0.025,0.0,0.0,0.365
