,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
11271,12406,19931031,1,0.067669,0.067669,0.328,0.8170000000000001,0.282,28.952,2.52,9.28,18.091,23.203000000000007,26.493,2.363,3.847,0.384,0.7020000000000001,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.638,0.102,0.208,0.246,0.242,0.318,0.166,0.271,0.289,0.16899999999999998,0.076,0.917,0.076,0.149,0.534,0.273,0.431,0.672,0.45,0.236,0.151,0.493,1.267,0.67,0.406,0.083,0.25,0.118,0.175,0.8909999999999999,0.472,0.319,0.11,0.206,8.743,15.704,268.342,0.35200000000000004,2.7460000000000004,1.28,1.102,1.338,6.537000000000001,6.52,1.628,1.493,2.947,0.031,0.078,0.017,0.0
11313,12453,19931130,1,0.007042000000000001,0.007042000000000001,0.328,0.823,0.282,29.126,1.72,9.28,18.2,23.366,26.679,2.378,3.87,0.384,0.7020000000000001,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.638,0.102,0.208,0.246,0.242,0.318,0.166,0.271,0.289,0.16899999999999998,0.076,0.917,0.076,0.149,0.534,0.273,0.431,0.672,0.45,0.236,0.151,0.493,1.267,0.67,0.406,0.083,0.25,0.118,0.175,0.8909999999999999,0.472,0.319,0.11,0.206,8.743,15.704,268.342,0.35200000000000004,2.7460000000000004,1.28,1.102,1.338,6.537000000000001,6.52,1.628,1.493,2.947,0.031,0.078,0.017,0.0
11357,12500,19931231,1,0.094825,0.094825,0.328,0.897,0.282,31.773000000000003,2.39,9.28,19.854,25.49,29.104,2.594,4.222,0.384,0.7020000000000001,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.638,0.102,0.208,0.246,0.242,0.318,0.166,0.271,0.289,0.16899999999999998,0.076,0.917,0.076,0.149,0.534,0.273,0.431,0.672,0.45,0.236,0.151,0.493,1.267,0.67,0.406,0.083,0.25,0.118,0.175,0.8909999999999999,0.472,0.319,0.11,0.206,8.743,15.704,268.342,0.35200000000000004,2.7460000000000004,1.28,1.102,1.338,6.537000000000001,6.52,1.628,1.493,2.947,0.031,0.078,0.017,0.0
11397,12547,19940131,1,0.006409999999999999,0.006409999999999999,0.353,0.8740000000000001,0.239,33.175,2.62,8.505,15.877,27.069000000000006,27.069000000000006,2.614,4.588,0.384,0.625,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.647,0.099,0.202,0.253,0.2,0.315,0.159,0.239,0.282,0.16899999999999998,0.083,0.909,0.08199999999999999,0.184,0.5720000000000001,0.187,0.588,0.478,0.45,0.248,0.14800000000000002,0.5529999999999999,0.733,0.778,0.471,0.091,0.25,0.118,0.12,1.3130000000000002,0.754,0.428,0.115,0.28,8.743,15.704,316.221,0.319,1.894,0.812,0.966,0.947,2.742,8.199,1.703,1.548,3.249,0.063,0.08,0.017,0.0
11439,12594,19940228,1,-0.063694,-0.063694,0.353,0.818,0.239,30.884,2.01,8.505,14.781,25.345,25.345,2.4330000000000003,4.271,0.384,0.625,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.647,0.099,0.202,0.253,0.2,0.315,0.159,0.239,0.282,0.16899999999999998,0.083,0.909,0.08199999999999999,0.184,0.5720000000000001,0.187,0.588,0.478,0.45,0.248,0.14800000000000002,0.5529999999999999,0.733,0.778,0.471,0.091,0.25,0.118,0.12,1.3130000000000002,0.754,0.428,0.115,0.28,8.743,15.704,316.221,0.319,1.894,0.812,0.966,0.947,2.742,8.199,1.703,1.548,3.249,0.063,0.08,0.017,0.0
11481,12641,19940331,1,-0.105034,-0.105034,0.353,0.7290000000000001,0.239,27.522,1.36,8.505,13.172,22.586,22.586,2.168,3.806,0.384,0.625,0.16899999999999998,0.16899999999999998,0.17800000000000002,0.647,0.099,0.202,0.253,0.2,0.315,0.159,0.239,0.282,0.16899999999999998,0.083,0.909,0.08199999999999999,0.184,0.5720000000000001,0.187,0.588,0.478,0.45,0.248,0.14800000000000002,0.5529999999999999,0.733,0.778,0.471,0.091,0.25,0.118,0.12,1.3130000000000002,0.754,0.428,0.115,0.28,8.743,15.704,316.221,0.319,1.894,0.812,0.966,0.947,2.742,8.199,1.703,1.548,3.249,0.063,0.08,0.017,0.0
11520,12688,19940430,1,0.068702,0.068702,0.29600000000000004,0.611,0.234,28.657,2.29,7.86,10.979,19.444000000000006,19.444000000000006,2.167,4.0680000000000005,0.384,0.659,0.208,0.208,0.17800000000000002,0.649,0.114,0.225,0.273,0.243,0.373,0.18600000000000005,0.282,0.34,0.208,0.078,0.915,0.078,0.174,0.5329999999999999,0.203,0.735,0.6,0.45,0.293,0.162,0.552,0.83,0.7859999999999999,0.392,0.085,0.25,0.118,0.115,1.342,0.7440000000000001,0.424,0.109,0.254,8.743,15.704,307.779,0.373,1.915,0.894,1.015,1.045,3.543,7.837999999999999,1.778,1.626,3.324,0.08199999999999999,0.076,0.017,0.0
11563,12735,19940531,1,-0.014286000000000004,-0.014286000000000004,0.29600000000000004,0.603,0.234,27.894,1.47,7.86,10.686,19.167,19.167,2.109,3.96,0.384,0.659,0.208,0.208,0.17800000000000002,0.649,0.114,0.225,0.273,0.243,0.373,0.18600000000000005,0.282,0.34,0.208,0.078,0.915,0.078,0.174,0.5329999999999999,0.203,0.735,0.6,0.45,0.293,0.162,0.552,0.83,0.7859999999999999,0.392,0.085,0.25,0.118,0.115,1.342,0.7440000000000001,0.424,0.109,0.254,8.743,15.704,307.779,0.373,1.915,0.894,1.015,1.045,3.543,7.837999999999999,1.778,1.626,3.324,0.08199999999999999,0.076,0.017,0.0
11604,12782,19940630,1,-0.045797,-0.045797,0.29600000000000004,0.5720000000000001,0.234,26.479,1.12,7.86,10.144,18.194000000000006,18.194000000000006,2.002,3.759,0.384,0.659,0.208,0.208,0.17800000000000002,0.649,0.114,0.225,0.273,0.243,0.373,0.18600000000000005,0.282,0.34,0.208,0.078,0.915,0.078,0.174,0.5329999999999999,0.203,0.735,0.6,0.45,0.293,0.162,0.552,0.83,0.7859999999999999,0.392,0.085,0.25,0.118,0.115,1.342,0.7440000000000001,0.424,0.109,0.254,8.743,15.704,307.779,0.373,1.915,0.894,1.015,1.045,3.543,7.837999999999999,1.778,1.626,3.324,0.08199999999999999,0.076,0.017,0.0
11646,12829,19940731,1,-0.024809,-0.024809,0.256,0.474,0.321,24.535,1.95,7.845,7.962999999999999,14.451,14.451,1.816,2.887,0.384,0.682,0.242,0.242,0.17800000000000002,0.635,0.127,0.222,0.269,0.254,0.39,0.207,0.293,0.35700000000000004,0.242,0.07400000000000001,0.92,0.073,0.158,0.4920000000000001,0.21600000000000005,0.809,0.743,0.45,0.35100000000000003,0.173,0.536,0.8759999999999999,0.789,0.344,0.08,0.25,0.118,0.11,1.352,0.722,0.418,0.099,0.24,8.743,15.704,266.833,0.445,1.967,1.0,1.073,1.23,3.892,7.677,1.856,1.707,3.372,0.11,0.07400000000000001,0.017,0.0
