,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
21,2,19700131,18,-0.108604,-0.091909,0.0,0.8059999999999999,0.684,10.561,5.74,6.78,5.989,10.805,10.273,0.473,1.2919999999999998,0.493,0.335,0.13,0.13,0.135,0.211,0.048,0.096,0.123,0.156,0.231,0.097,0.18,0.198,0.118,0.221,0.727,0.273,0.343,0.4970000000000001,0.309,-0.07200000000000001,0.266,0.125,0.131,0.073,0.275,0.616,0.598,1.237,0.3670000000000001,0.08,0.064,0.354,1.464,0.8740000000000001,0.47,0.246,0.363,5.665,9.758,78.492,0.218,2.186,0.935,1.666,3.952,17.475,8.466000000000001,2.87,2.233,4.6389999999999985,0.005,0.0,0.0,0.278
42,42,19700228,18,0.06514099999999999,0.079736,0.417,0.8440000000000001,0.7020000000000001,11.267,4.48,6.377999999999999,10.2,12.132,12.486,0.465,1.239,0.4970000000000001,0.337,0.118,0.117,0.12,0.221,0.048,0.098,0.132,0.133,0.184,0.097,0.173,0.165,0.107,0.248,0.6990000000000001,0.272,0.3720000000000001,0.513,0.31,-0.998,0.107,0.045,0.096,0.075,0.32,0.594,0.562,1.6780000000000002,0.383,0.096,0.069,0.387,1.422,0.887,0.513,0.274,0.429,3.942,6.2639999999999985,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.8960000000000004,2.181,4.727,-0.014,0.0,0.0,0.282
71,82,19700331,18,0.011105,0.051873,0.417,0.845,0.731,11.455,5.29,6.377999999999999,10.85,12.216,15.26,0.509,1.223,0.4970000000000001,0.337,0.116,0.115,0.12,0.221,0.048,0.098,0.132,0.133,0.184,0.096,0.173,0.165,0.101,0.248,0.705,0.274,0.375,0.513,0.31,-0.998,0.107,0.045,0.096,0.075,0.32,0.594,0.562,1.6780000000000002,0.385,0.096,0.069,0.387,1.422,0.887,0.513,0.274,0.429,3.942,6.2639999999999985,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.8960000000000004,2.181,4.727,-0.014,0.0,0.0,0.282
97,122,19700430,18,-0.127818,-0.08354199999999999,0.417,0.6829999999999999,0.731,9.639,6.75,6.377999999999999,9.774,10.675,11.66,0.438,1.06,0.4970000000000001,0.337,0.116,0.115,0.12,0.221,0.049,0.098,0.132,0.133,0.184,0.096,0.173,0.165,0.101,0.248,0.705,0.274,0.375,0.513,0.31,-0.998,0.107,0.045,0.096,0.075,0.32,0.594,0.562,1.6780000000000002,0.385,0.096,0.069,0.387,1.422,0.887,0.513,0.274,0.429,3.942,6.2639999999999985,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.8960000000000004,2.19,4.727,-0.014,0.0,0.0,0.282
125,162,19700531,18,-0.0594,-0.04989,0.0,0.81,0.731,9.09,3.29,5.952000000000001,5.5760000000000005,10.48,10.14,0.389,1.009,0.4970000000000001,0.337,0.113,0.112,0.11,0.207,0.048,0.097,0.131,0.133,0.184,0.094,0.173,0.168,0.036000000000000004,0.275,0.706,0.274,0.369,0.513,0.31,-0.998,0.107,0.045,0.096,0.073,0.24,0.594,0.562,1.582,0.387,0.099,0.07200000000000001,0.387,1.422,0.887,0.513,0.274,0.429,3.653,5.657,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.89,2.21,4.727,-0.014,0.0,0.0,0.282
154,201,19700630,18,-0.06589600000000001,-0.03011,0.0,0.772,0.7020000000000001,8.964,3.48,5.952000000000001,5.325,9.541,9.456,0.381,1.003,0.4970000000000001,0.337,0.111,0.109,0.11,0.207,0.048,0.097,0.131,0.133,0.184,0.092,0.173,0.168,0.037000000000000005,0.275,0.706,0.274,0.369,0.513,0.31,-0.998,0.107,0.045,0.096,0.073,0.24,0.594,0.562,1.582,0.387,0.099,0.07200000000000001,0.387,1.422,0.887,0.513,0.274,0.429,3.653,5.657,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.89,2.21,4.727,-0.014,0.0,0.0,0.282
181,241,19700731,18,0.08820900000000001,0.084355,0.0,0.816,0.7020000000000001,9.201,4.38,5.952000000000001,5.9670000000000005,10.408,9.621,0.394,1.054,0.4970000000000001,0.337,0.111,0.109,0.11,0.207,0.048,0.097,0.131,0.133,0.184,0.092,0.173,0.168,0.041,0.275,0.706,0.274,0.369,0.513,0.31,-0.998,0.107,0.045,0.096,0.073,0.24,0.594,0.562,1.582,0.387,0.099,0.07200000000000001,0.387,1.422,0.887,0.513,0.274,0.429,3.653,5.657,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.89,2.205,4.727,-0.014,0.0,0.0,0.282
210,281,19700831,18,0.088265,0.092355,0.0,1.5119999999999998,0.727,10.571,1.61,6.269,7.3,13.009,12.535,0.455,1.114,0.4970000000000001,0.337,0.103,0.102,0.108,0.206,0.043,0.09,0.129,0.133,0.184,0.085,0.173,0.155,0.065,0.281,0.7070000000000001,0.28,0.371,0.513,0.31,-0.998,0.107,0.045,0.096,0.073,0.28300000000000003,0.594,0.562,1.6780000000000002,0.391,0.099,0.075,0.387,1.422,0.887,0.513,0.274,0.429,3.548,5.47,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.879,2.169,4.727,-0.014,0.0,0.0,0.282
241,321,19700930,18,0.075645,0.006640999999999999,0.0,1.287,0.727,10.953,3.14,6.269,7.731,13.709,12.592,0.453,1.111,0.4970000000000001,0.337,0.099,0.098,0.108,0.206,0.043,0.09,0.129,0.133,0.184,0.08199999999999999,0.173,0.155,0.065,0.281,0.7070000000000001,0.28,0.371,0.513,0.31,-0.998,0.107,0.045,0.096,0.073,0.28300000000000003,0.594,0.562,1.6780000000000002,0.391,0.099,0.076,0.387,1.422,0.887,0.513,0.274,0.429,3.2510000000000003,5.47,95.231,0.16699999999999998,2.046,0.998,1.618,4.0760000000000005,31.626,8.605,2.879,2.169,4.727,-0.014,0.0,0.0,0.282
270,361,19701031,18,-0.036153,-0.025306,0.024,1.285,0.727,10.147,3.52,6.269,8.374,12.625,12.103,0.462,1.108,0.494,0.34,0.102,0.102,0.108,0.215,0.043,0.09,0.13,0.133,0.184,0.08199999999999999,0.17,0.155,0.067,0.29100000000000004,0.695,0.29100000000000004,0.371,0.509,0.31,-2.169,0.107,0.062,0.08900000000000001,0.073,0.24,0.594,0.561,1.524,0.399,0.115,0.076,0.39,1.413,0.925,0.502,0.267,0.429,3.2510000000000003,5.251,104.756,0.16699999999999998,2.046,0.944,1.595,3.861,14.658,8.344,2.7510000000000003,2.079,4.727,-0.009000000000000001,0.0,0.0,0.282
