,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
393,522,19710228,10,0.001483,0.0007740000000000001,0.551,36.756,0.637,13.854,2.34,13.014,3.524,18.204,18.204,1.204,1.337,0.41,0.08,0.08,0.067,0.109,0.48,0.077,0.396,0.404,0.079,0.16399999999999998,0.149,0.08,0.08199999999999999,0.078,0.6679999999999999,0.304,0.667,1.392,0.0,0.875,0.898,0.145,0.058,0.122,0.08199999999999999,0.521,0.158,0.545,9.871,2.48,0.124,0.065,0.404,61.344,5.166,0.8340000000000001,0.706,0.823,1.264,1.457,1521.23,0.196,1.932,1.747,0.198,4.776,5.82,0.238,1.27,0.424,0.439,0.024,0.0,0.0,0.0
428,562,19710331,11,0.059458,0.081624,0.474,42.74,0.637,14.851,5.61,12.876,5.401,15.824000000000002,15.824000000000002,1.005,1.497,0.415,0.08199999999999999,0.078,0.076,0.109,0.442,0.07400000000000001,0.388,0.403,0.081,0.177,0.136,0.085,0.083,0.08,0.6759999999999999,0.305,0.675,1.321,0.0,0.882,0.898,0.124,0.048,0.116,0.08199999999999999,0.508,0.16699999999999998,0.544,9.815,2.471,0.125,0.067,0.422,60.84,5.092,0.833,0.733,0.8190000000000001,1.275,1.459,1370.67,0.191,2.045,1.953,0.21,4.776,6.881,0.266,1.202,0.398,0.433,0.009000000000000001,0.0,0.0,0.0
461,602,19710430,11,0.058611,0.018139,0.474,45.776,0.637,14.73,1.83,12.876,5.81,19.277,19.277,1.185,1.526,0.415,0.08199999999999999,0.078,0.076,0.109,0.442,0.07400000000000001,0.388,0.403,0.081,0.177,0.136,0.085,0.083,0.08,0.6759999999999999,0.305,0.675,1.321,0.0,0.882,0.898,0.124,0.048,0.116,0.08199999999999999,0.508,0.16699999999999998,0.544,9.815,2.471,0.125,0.067,0.422,60.84,5.092,0.833,0.733,0.8190000000000001,1.275,1.459,1370.67,0.191,2.045,1.953,0.21,4.776,6.881,0.266,1.202,0.398,0.433,0.009000000000000001,0.0,0.0,0.0
497,642,19710531,11,-0.106904,-0.076933,0.2,0.633,0.626,13.69,2.07,12.876,4.698,16.778,16.238,1.089,1.471,0.415,0.08199999999999999,0.085,0.086,0.108,0.442,0.078,0.387,0.391,0.081,0.177,0.142,0.085,0.079,0.094,0.675,0.305,0.675,1.321,0.0,0.882,0.898,0.124,0.048,0.116,0.08199999999999999,0.507,0.16699999999999998,0.544,9.815,2.253,0.112,0.064,0.422,60.84,5.092,0.833,0.733,0.8190000000000001,1.304,1.473,1370.67,0.191,2.045,1.953,0.21,4.776,6.881,0.266,1.2009999999999998,0.402,0.433,0.009000000000000001,0.0,0.0,0.0
531,682,19710630,11,-0.011612,-0.012899,0.2,0.643,0.626,13.37,1.61,12.876,4.545,17.059,16.238,1.024,1.408,0.415,0.08199999999999999,0.085,0.086,0.108,0.442,0.078,0.387,0.391,0.081,0.177,0.142,0.085,0.079,0.094,0.675,0.305,0.675,1.321,0.0,0.882,0.898,0.124,0.048,0.116,0.08199999999999999,0.507,0.16699999999999998,0.544,9.815,2.253,0.112,0.064,0.422,60.84,5.092,0.833,0.733,0.8190000000000001,1.304,1.473,1370.67,0.191,2.045,1.953,0.21,4.776,6.881,0.266,1.2009999999999998,0.402,0.433,0.009000000000000001,0.0,0.0,0.0
565,722,19710731,11,-0.049356,-0.036994,0.2,0.6679999999999999,0.626,12.959,3.49,12.876,4.239,15.842,14.953,1.002,1.3869999999999998,0.415,0.08199999999999999,0.085,0.086,0.108,0.442,0.078,0.387,0.391,0.081,0.177,0.142,0.085,0.079,0.094,0.675,0.305,0.675,1.321,0.0,0.882,0.898,0.124,0.048,0.116,0.08199999999999999,0.507,0.16699999999999998,0.544,9.815,2.253,0.112,0.064,0.422,60.84,5.092,0.833,0.733,0.8190000000000001,1.304,1.473,1370.67,0.191,2.045,1.953,0.21,4.776,6.881,0.266,1.2009999999999998,0.402,0.433,0.009000000000000001,0.0,0.0,0.0
601,762,19710831,11,0.069836,0.105804,0.278,8.96,0.63,14.13,4.22,12.876,2.207,15.995,14.652,1.061,1.523,0.415,0.078,0.083,0.084,0.098,0.442,0.073,0.387,0.391,0.08,0.145,0.136,0.075,0.081,0.1,0.667,0.317,0.672,1.3130000000000002,0.0,0.882,0.898,0.16699999999999998,0.067,0.116,0.08,0.501,0.16699999999999998,0.544,9.815,2.246,0.11,0.063,0.422,60.84,5.092,0.833,0.7170000000000001,0.8190000000000001,1.2919999999999998,1.473,1370.67,0.21,2.045,1.953,0.21,4.776,6.881,0.266,1.218,0.408,0.4320000000000001,0.039,0.0,0.0,0.0
636,802,19710930,11,-0.02506,0.030797,0.278,9.057,0.63,14.49,3.82,12.876,1.858,14.652,14.652,0.961,1.609,0.415,0.078,0.083,0.084,0.098,0.442,0.073,0.387,0.391,0.08,0.145,0.136,0.075,0.081,0.1,0.667,0.317,0.672,1.3130000000000002,0.0,0.882,0.898,0.16699999999999998,0.067,0.116,0.08,0.501,0.16699999999999998,0.544,9.815,2.246,0.11,0.063,0.422,60.84,5.092,0.833,0.7170000000000001,0.8190000000000001,1.2919999999999998,1.473,1370.67,0.21,2.045,1.953,0.21,4.776,6.881,0.266,1.218,0.408,0.4320000000000001,0.039,0.0,0.0,0.0
672,842,19711031,11,-0.011534,0.002352,0.278,8.911,0.63,14.549,3.05,12.876,1.858,13.038,12.705,1.016,1.65,0.415,0.078,0.083,0.084,0.098,0.442,0.073,0.387,0.391,0.08,0.145,0.136,0.075,0.081,0.1,0.667,0.317,0.672,1.3130000000000002,0.0,0.882,0.898,0.16699999999999998,0.067,0.116,0.08,0.501,0.16699999999999998,0.544,9.815,2.246,0.11,0.063,0.422,60.84,5.092,0.833,0.7170000000000001,0.8190000000000001,1.2919999999999998,1.473,1370.67,0.21,2.045,1.953,0.21,4.776,6.881,0.266,1.218,0.408,0.4320000000000001,0.039,0.0,0.0,0.0
706,882,19711130,11,-0.040961,-0.006193,0.127,0.677,0.637,14.556,2.93,12.876,1.823,16.582,16.442999999999998,0.961,1.539,0.415,0.077,0.091,0.08900000000000001,0.103,0.442,0.07400000000000001,0.386,0.39,0.081,0.145,0.13699999999999998,0.075,0.081,0.096,0.67,0.317,0.67,1.297,0.0,0.882,0.898,0.16699999999999998,0.067,0.116,0.08,0.4970000000000001,0.16699999999999998,0.544,9.815,2.184,0.117,0.063,0.422,60.84,5.092,0.833,0.718,0.8190000000000001,1.308,1.473,1370.67,0.21,2.045,1.953,0.21,4.776,6.881,0.266,1.216,0.412,0.433,0.039,0.0,0.0,0.0
