,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
17,5,19700131,23,-0.051627,-0.087953,0.015,1.023,0.675,13.45,5.45,8.84,8.554,13.686,13.913,0.522,1.123,0.446,0.262,0.078,0.084,0.08,0.284,0.041,0.095,0.14800000000000002,0.101,0.118,0.084,0.13,0.113,0.087,0.226,0.737,0.263,0.303,0.369,0.331,0.354,0.595,0.233,0.182,0.08900000000000001,0.102,0.76,0.445,1.672,0.278,0.07200000000000001,0.059,0.371,0.722,0.691,0.416,0.218,0.344,4.319,7.322999999999999,185.423,0.601,2.59,1.5490000000000002,1.02,4.441,7.709,7.08,1.601,1.339,3.643,0.028,0.0,0.0,0.0
44,45,19700228,23,0.117464,0.118555,0.486,1.046,0.897,15.404000000000002,3.2,7.888,9.455,16.324,17.373,0.569,1.15,0.448,0.252,0.084,0.084,0.084,0.28600000000000003,0.038,0.095,0.135,0.105,0.118,0.069,0.13,0.11,0.079,0.243,0.75,0.243,0.284,0.403,0.37,0.097,0.438,0.18600000000000005,0.14300000000000002,0.093,0.141,1.045,0.361,1.433,0.276,0.078,0.062,0.414,0.736,0.715,0.413,0.203,0.319,4.436,7.191,129.336,0.419,2.65,1.6669999999999998,1.05,4.828,26.727,6.892,1.7180000000000002,1.349,4.0539999999999985,0.013,0.0,0.0,0.0
74,85,19700331,23,-0.005311,-0.010791,0.486,1.044,0.897,15.919,5.52,7.888,9.825,15.625,16.98,0.545,1.108,0.448,0.252,0.084,0.084,0.084,0.28600000000000003,0.038,0.095,0.135,0.105,0.118,0.069,0.13,0.11,0.079,0.243,0.75,0.243,0.284,0.403,0.37,0.097,0.438,0.18600000000000005,0.14300000000000002,0.093,0.141,1.045,0.361,1.433,0.276,0.078,0.062,0.414,0.736,0.715,0.413,0.203,0.319,4.436,7.191,129.336,0.419,2.65,1.6669999999999998,1.05,4.828,26.727,6.892,1.7180000000000002,1.349,4.0539999999999985,0.013,0.0,0.0,0.0
101,125,19700430,23,-0.104341,-0.07971900000000001,0.486,0.962,0.897,14.130999999999998,5.11,7.888,8.642000000000001,14.744000000000002,16.04,0.503,0.994,0.448,0.252,0.084,0.084,0.084,0.28600000000000003,0.037000000000000005,0.095,0.135,0.105,0.118,0.067,0.13,0.112,0.083,0.243,0.75,0.243,0.284,0.403,0.37,0.097,0.438,0.18600000000000005,0.14300000000000002,0.093,0.141,1.045,0.361,1.433,0.276,0.078,0.062,0.414,0.736,0.715,0.413,0.203,0.319,4.436,7.191,129.336,0.419,2.65,1.6669999999999998,1.05,4.828,26.727,6.892,1.7180000000000002,1.383,4.0539999999999985,0.013,0.0,0.0,0.0
127,165,19700531,23,-0.097748,-0.085667,0.006999999999999999,0.999,0.897,12.98,3.7,7.282999999999999,6.773,13.04,12.974,0.453,0.8740000000000001,0.448,0.252,0.077,0.077,0.084,0.252,0.037000000000000005,0.083,0.129,0.105,0.118,0.069,0.13,0.112,0.055,0.243,0.75,0.243,0.293,0.403,0.37,0.097,0.438,0.18600000000000005,0.14300000000000002,0.095,0.141,1.045,0.361,1.433,0.3,0.078,0.062,0.414,0.736,0.715,0.413,0.203,0.319,4.5,7.191,129.336,0.419,2.65,1.6669999999999998,1.05,4.828,26.727,6.892,1.729,1.43,4.0539999999999985,0.013,0.0,0.0,0.0
158,204,19700630,26,-0.057452,-0.0396,0.023,0.893,0.856,11.49,2.22,7.9860000000000015,6.391,12.488,14.422,0.418,0.943,0.445,0.251,0.084,0.08900000000000001,0.085,0.251,0.039,0.078,0.121,0.106,0.127,0.069,0.129,0.115,0.043,0.285,0.713,0.281,0.304,0.403,0.381,0.003,0.433,0.166,0.123,0.08800000000000001,0.139,0.995,0.35600000000000004,2.358,0.385,0.078,0.062,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,4.428,5.996,129.336,0.327,2.639,1.431,1.106,4.9030000000000005,26.727,7.174,1.859,1.472,4.327,0.01,0.0,0.0,0.0
183,244,19700731,26,0.099703,0.121281,0.023,1.0,0.856,14.04,3.05,7.9860000000000015,7.19,13.912,15.694,0.46,1.068,0.445,0.251,0.084,0.087,0.085,0.251,0.038,0.078,0.119,0.106,0.127,0.069,0.129,0.115,0.043,0.285,0.713,0.281,0.304,0.403,0.381,0.003,0.433,0.166,0.123,0.08800000000000001,0.139,0.995,0.35600000000000004,2.358,0.385,0.078,0.062,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,4.428,5.996,129.336,0.327,2.639,1.431,1.106,4.9030000000000005,26.727,7.174,1.859,1.48,4.327,0.01,0.0,0.0,0.0
212,284,19700831,26,0.04721,0.027606,0.02,1.17,0.856,14.667,1.87,8.073,7.973,16.074,17.68,0.495,1.044,0.445,0.251,0.071,0.07,0.085,0.251,0.034,0.076,0.119,0.106,0.127,0.065,0.129,0.111,0.065,0.285,0.713,0.285,0.307,0.403,0.381,0.003,0.433,0.166,0.123,0.08800000000000001,0.139,0.995,0.35600000000000004,2.358,0.385,0.08,0.062,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,4.428,5.871,129.336,0.327,2.639,1.431,1.106,4.9030000000000005,26.727,7.174,1.84,1.4469999999999998,4.327,0.01,0.0,0.0,0.0
243,324,19700930,26,0.086274,0.054268,0.02,1.286,0.856,16.429000000000002,4.39,8.073,8.658999999999999,16.574,19.878,0.499,1.17,0.445,0.251,0.071,0.07,0.085,0.251,0.034,0.076,0.119,0.106,0.127,0.065,0.129,0.111,0.065,0.285,0.713,0.285,0.307,0.403,0.381,0.003,0.433,0.166,0.123,0.08800000000000001,0.139,0.995,0.35600000000000004,2.358,0.385,0.08,0.062,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,4.428,5.871,129.336,0.327,2.639,1.431,1.106,4.9030000000000005,26.727,7.174,1.84,1.4469999999999998,4.327,0.01,0.0,0.0,0.0
272,364,19701031,26,-0.066434,-0.031547000000000006,0.024,1.221,0.856,14.957,3.21,8.075,7.329,16.043,18.341,0.479,1.129,0.438,0.251,0.066,0.07,0.085,0.251,0.033,0.076,0.118,0.105,0.127,0.064,0.128,0.11,0.065,0.258,0.713,0.284,0.307,0.405,0.381,-0.004,0.433,0.166,0.123,0.08800000000000001,0.139,0.995,0.35600000000000004,2.358,0.385,0.083,0.064,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,4.428,5.871,138.22299999999998,0.327,2.612,1.391,1.113,4.6530000000000005,13.774,7.3610000000000015,1.84,1.43,4.346,0.008,0.0,0.0,0.0
302,404,19701130,26,0.043124,0.022037,0.026,1.026,0.856,15.995,3.87,8.113,8.253,16.954,20.866,0.519,1.203,0.438,0.251,0.059,0.062,0.085,0.232,0.031,0.07200000000000001,0.113,0.105,0.127,0.06,0.128,0.112,0.073,0.258,0.713,0.284,0.307,0.405,0.381,-0.004,0.433,0.166,0.123,0.085,0.139,0.995,0.35600000000000004,2.358,0.385,0.08800000000000001,0.065,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,3.934,5.907,138.22299999999998,0.327,2.612,1.391,1.113,4.6530000000000005,13.774,7.3610000000000015,1.877,1.432,4.346,0.008,0.0,0.0,0.0
336,444,19701231,26,0.080704,0.094059,0.026,1.176,0.856,18.125,4.29,8.113,9.318,18.499,24.171,0.568,1.414,0.438,0.251,0.059,0.062,0.085,0.232,0.031,0.07200000000000001,0.113,0.105,0.127,0.06,0.128,0.112,0.073,0.258,0.713,0.284,0.307,0.405,0.381,-0.004,0.433,0.166,0.123,0.085,0.139,0.995,0.35600000000000004,2.358,0.385,0.08800000000000001,0.065,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,3.934,5.907,138.22299999999998,0.327,2.612,1.391,1.113,4.6530000000000005,13.774,7.3610000000000015,1.877,1.432,4.346,0.008,0.0,0.0,0.0
366,484,19710131,26,0.128557,0.040824,0.026,1.382,0.856,22.143,2.05,7.973,10.470999999999998,19.066,25.905,0.631,1.597,0.438,0.251,0.059,0.062,0.084,0.234,0.032,0.07200000000000001,0.113,0.105,0.127,0.061,0.128,0.112,0.073,0.284,0.713,0.284,0.307,0.405,0.381,-0.129,0.406,0.145,0.116,0.085,0.128,0.995,0.35600000000000004,2.358,0.385,0.08199999999999999,0.065,0.42,0.8140000000000001,0.738,0.443,0.225,0.337,3.934,5.907,94.272,0.327,2.612,1.388,1.113,4.9030000000000005,10.439,7.3610000000000015,1.877,1.432,4.346,0.008,0.0,0.0,0.0
