,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
18,6,19700131,8,-0.153896,-0.14832,0.004,0.594,0.318,18.613,3.98,11.797,15.637,16.715,12.955,0.992,2.026,0.499,0.535,0.141,0.141,0.139,0.552,0.065,0.131,0.157,0.206,0.263,0.133,0.191,0.237,0.13699999999999998,0.161,0.777,0.17800000000000002,0.233,0.33,0.376,0.35,0.359,0.163,0.199,0.086,0.18,0.898,0.581,0.958,0.248,0.067,0.055,0.295,2.542,0.68,0.428,0.156,0.265,10.856,19.116,281.853,0.422,2.507,1.676,1.163,2.9330000000000003,7.342,6.62,2.22,1.629,3.232,0.001,0.0,0.0,0.0
45,46,19700228,8,0.018087,0.015486000000000003,0.28800000000000003,1.054,0.482,18.423,2.58,9.533,9.282,16.414,17.082,1.007,1.941,0.493,0.535,0.135,0.13699999999999998,0.134,0.521,0.061,0.123,0.145,0.199,0.266,0.122,0.172,0.213,0.138,0.17800000000000002,0.777,0.194,0.245,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.08,0.306,0.78,0.575,0.947,0.28300000000000003,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.292,2.565,1.675,1.17,3.017,6.287000000000001,6.001,2.224,1.6569999999999998,3.198,-0.023,0.0,0.0,0.0
73,86,19700331,8,-0.02658,-0.015263999999999996,0.28800000000000003,1.018,0.482,17.882,5.03,9.533,9.607,15.803,15.969,0.966,1.858,0.493,0.535,0.135,0.13699999999999998,0.134,0.521,0.061,0.123,0.145,0.199,0.266,0.122,0.172,0.213,0.138,0.17800000000000002,0.777,0.194,0.245,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.08,0.306,0.78,0.575,0.947,0.28300000000000003,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.292,2.565,1.675,1.17,3.017,6.287000000000001,6.001,2.224,1.6569999999999998,3.198,-0.023,0.0,0.0,0.0
99,126,19700430,8,-0.169381,-0.169558,0.28800000000000003,0.934,0.482,15.212,2.11,9.533,8.16,13.155,11.755,0.7759999999999999,1.537,0.493,0.535,0.135,0.13699999999999998,0.134,0.521,0.061,0.123,0.145,0.199,0.266,0.122,0.172,0.213,0.138,0.17800000000000002,0.777,0.194,0.245,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.08,0.306,0.78,0.575,0.947,0.28300000000000003,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.292,2.565,1.675,1.17,3.017,6.287000000000001,6.001,2.224,1.6569999999999998,3.198,-0.023,0.0,0.0,0.0
128,166,19700531,8,-0.188625,-0.191068,0.009000000000000001,0.72,0.482,10.966,2.46,9.533,4.579,9.796,10.902,0.61,1.142,0.493,0.535,0.131,0.133,0.122,0.521,0.057,0.123,0.145,0.199,0.266,0.111,0.172,0.213,0.087,0.194,0.777,0.194,0.234,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.084,0.258,0.78,0.575,0.947,0.249,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.292,2.565,1.675,1.17,3.017,6.287000000000001,6.001,2.2230000000000003,1.731,3.198,-0.023,0.0,0.0,0.0
156,205,19700630,8,-0.122466,-0.13020199999999998,0.009000000000000001,0.649,0.5489999999999999,9.333,6.13,9.263,5.502000000000002,9.781,9.497,0.469,1.036,0.493,0.535,0.131,0.132,0.12,0.521,0.057,0.123,0.145,0.185,0.247,0.111,0.172,0.213,0.087,0.194,0.777,0.194,0.234,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.084,0.258,0.78,0.575,0.947,0.249,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.23,2.565,1.675,1.16,3.017,6.287000000000001,6.001,2.2230000000000003,1.731,3.195,-0.023,0.0,0.0,0.0
186,245,19700731,8,0.209967,0.203937,0.009000000000000001,0.76,0.5489999999999999,10.806,4.66,9.263,6.73,12.31,11.402,0.598,1.315,0.493,0.535,0.131,0.132,0.12,0.521,0.057,0.123,0.145,0.185,0.247,0.111,0.172,0.213,0.087,0.194,0.777,0.194,0.234,0.3720000000000001,0.434,-0.189,0.25,0.079,0.145,0.084,0.258,0.78,0.575,0.947,0.249,0.081,0.059,0.305,2.722,0.7809999999999999,0.462,0.168,0.312,10.796,17.651,169.296,0.23,2.565,1.675,1.16,3.017,6.287000000000001,6.001,2.2230000000000003,1.731,3.195,-0.023,0.0,0.0,0.0
215,285,19700831,8,0.08755,0.092403,0.029,7.712999999999999,0.5489999999999999,12.079,4.17,9.263,10.718,13.297,14.034,0.615,1.421,0.493,0.523,0.119,0.122,0.12,0.516,0.054000000000000006,0.122,0.135,0.168,0.234,0.099,0.15,0.18600000000000005,0.113,0.24,0.74,0.24,0.27,0.364,0.434,-0.189,0.192,0.055,0.105,0.071,0.227,0.7659999999999999,0.575,1.3769999999999998,0.29,0.081,0.06,0.317,2.897,0.7809999999999999,0.462,0.188,0.343,7.144,12.366,169.296,0.23,2.565,1.714,1.15,3.0980000000000003,6.287000000000001,6.001,2.241,1.739,3.087,-0.024,0.0,0.0,0.0
246,325,19700930,8,0.100983,0.061802,0.026,8.792,0.5489999999999999,12.647,5.66,9.263,11.505999999999998,15.362,16.202,0.675,1.609,0.493,0.523,0.125,0.128,0.12,0.516,0.054000000000000006,0.122,0.135,0.168,0.234,0.099,0.15,0.18600000000000005,0.092,0.24,0.74,0.24,0.27,0.364,0.434,-0.189,0.192,0.055,0.105,0.071,0.227,0.7659999999999999,0.575,1.3769999999999998,0.29,0.081,0.06,0.317,2.897,0.7809999999999999,0.462,0.188,0.343,7.144,12.366,169.296,0.23,2.565,1.714,1.15,3.0980000000000003,6.287000000000001,6.001,2.241,1.739,3.087,-0.024,0.0,0.0,0.0
275,365,19701031,8,-0.070121,-0.042566,0.026,6.814,0.5489999999999999,11.537,3.83,9.263,11.300999999999998,13.833,14.169,0.6509999999999999,1.501,0.493,0.523,0.125,0.128,0.12,0.516,0.054000000000000006,0.122,0.135,0.168,0.234,0.099,0.15,0.18600000000000005,0.092,0.24,0.74,0.24,0.27,0.364,0.434,-0.189,0.192,0.055,0.105,0.071,0.227,0.7659999999999999,0.575,1.3769999999999998,0.29,0.081,0.06,0.317,2.897,0.7809999999999999,0.462,0.188,0.343,7.144,12.366,169.296,0.23,2.565,1.714,1.15,3.0980000000000003,6.287000000000001,6.001,2.241,1.739,3.087,-0.024,0.0,0.0,0.0
303,405,19701130,8,0.06192200000000001,0.051868,0.019,14.102,0.5489999999999999,11.686,3.5,9.263,8.571,15.814,15.814,0.655,1.617,0.493,0.523,0.123,0.127,0.12,0.516,0.052000000000000005,0.122,0.135,0.168,0.234,0.095,0.15,0.18600000000000005,0.112,0.24,0.74,0.24,0.27,0.364,0.434,-0.189,0.192,0.055,0.105,0.07200000000000001,0.227,0.7659999999999999,0.575,1.3769999999999998,0.324,0.084,0.06,0.317,2.897,0.7809999999999999,0.462,0.188,0.343,7.144,12.366,169.296,0.23,2.565,1.714,1.15,3.0980000000000003,6.287000000000001,6.001,2.317,1.746,3.087,-0.024,0.0,0.0,0.0
334,445,19701231,8,0.08369700000000001,0.117512,0.019,15.033,0.5489999999999999,14.411,3.25,9.263,8.936,16.697,16.697,0.782,1.867,0.493,0.523,0.123,0.126,0.12,0.516,0.052000000000000005,0.122,0.135,0.168,0.234,0.095,0.15,0.18600000000000005,0.131,0.24,0.74,0.24,0.27,0.364,0.434,-0.189,0.192,0.055,0.105,0.07200000000000001,0.227,0.7659999999999999,0.575,1.3769999999999998,0.324,0.084,0.06,0.317,2.897,0.7809999999999999,0.462,0.188,0.343,7.144,12.366,169.296,0.23,2.565,1.714,1.15,3.0980000000000003,6.287000000000001,6.001,2.317,1.746,3.087,-0.024,0.0,0.0,0.0
