,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
19,7,19700131,11,-0.05576,-0.081525,0.041,1.272,0.5,17.2,5.9,6.593,7.3679999999999986,14.019,14.019,0.696,1.832,0.496,0.3,0.133,0.135,0.109,0.245,0.052000000000000005,0.103,0.14400000000000002,0.14400000000000002,0.166,0.101,0.196,0.19,0.122,0.293,0.62,0.329,0.369,0.51,0.342,0.277,0.653,0.187,0.087,0.092,0.09,1.2009999999999998,0.3720000000000001,1.551,0.477,0.063,0.055,0.476,0.7809999999999999,0.8640000000000001,0.472,0.276,0.389,4.684,8.432,83.044,0.344,2.6010000000000004,1.257,1.279,4.998,9.058,9.077,2.265,1.663,4.838,0.02,0.0,0.0,0.279
46,47,19700228,11,0.032942,0.071777,0.387,1.412,0.581,16.717,4.14,6.474,8.228,14.583,17.471,0.6990000000000001,1.724,0.501,0.298,0.138,0.138,0.11,0.238,0.051,0.105,0.141,0.14400000000000002,0.166,0.105,0.196,0.194,0.126,0.294,0.63,0.297,0.339,0.526,0.368,0.149,0.537,0.21,0.07200000000000001,0.084,0.067,1.075,0.374,1.588,0.429,0.066,0.061,0.451,0.79,0.8759999999999999,0.459,0.258,0.379,4.168,7.0310000000000015,86.726,0.281,2.624,1.221,1.287,4.8660000000000005,23.503,8.95,2.236,1.6780000000000002,4.748,0.026,0.0,0.0,0.281
80,87,19700331,11,-0.013381,-0.02285,0.387,1.391,0.581,17.585,5.71,6.474,8.054,14.225,16.494,0.682,1.747,0.501,0.298,0.138,0.138,0.11,0.238,0.051,0.105,0.141,0.14400000000000002,0.166,0.105,0.196,0.194,0.126,0.294,0.63,0.297,0.339,0.526,0.368,0.149,0.537,0.21,0.07200000000000001,0.084,0.067,1.075,0.374,1.588,0.429,0.066,0.061,0.451,0.79,0.8759999999999999,0.459,0.258,0.379,4.168,7.0310000000000015,86.726,0.281,2.624,1.221,1.287,4.8660000000000005,23.503,8.95,2.236,1.6780000000000002,4.748,0.026,0.0,0.0,0.281
100,127,19700430,11,-0.117791,-0.097122,0.387,1.285,0.581,15.395,4.12,6.474,7.405,12.24,14.593,0.5870000000000001,1.554,0.501,0.298,0.138,0.138,0.11,0.238,0.051,0.105,0.141,0.14400000000000002,0.166,0.105,0.196,0.194,0.126,0.294,0.63,0.297,0.339,0.526,0.368,0.149,0.537,0.21,0.07200000000000001,0.084,0.067,1.075,0.374,1.588,0.429,0.066,0.061,0.451,0.79,0.8759999999999999,0.459,0.258,0.379,4.168,7.0310000000000015,86.726,0.281,2.624,1.221,1.287,4.8660000000000005,23.503,8.95,2.236,1.6780000000000002,4.748,0.026,0.0,0.0,0.281
129,167,19700531,11,-0.122997,-0.103418,0.055,1.082,0.581,12.647,4.3,6.143,6.239,11.383,11.574000000000002,0.483,1.408,0.501,0.298,0.125,0.124,0.11,0.238,0.05,0.101,0.139,0.14400000000000002,0.166,0.099,0.196,0.194,0.028,0.294,0.628,0.326,0.375,0.526,0.368,0.149,0.537,0.21,0.07200000000000001,0.084,0.067,1.075,0.374,1.486,0.228,0.065,0.061,0.451,0.79,0.8759999999999999,0.459,0.258,0.379,4.214,7.082000000000002,86.726,0.281,2.624,1.221,1.287,4.8660000000000005,23.503,8.95,2.297,1.7480000000000002,4.748,0.026,0.0,0.0,0.281
157,206,19700630,12,-0.004954,-0.049283,0.046,1.155,0.583,13.61,5.08,6.234,6.252999999999999,12.123,12.453,0.528,1.304,0.494,0.297,0.116,0.116,0.104,0.236,0.046,0.1,0.134,0.135,0.158,0.094,0.17800000000000002,0.16399999999999998,0.019,0.29,0.635,0.31,0.361,0.514,0.359,0.138,0.521,0.18,0.086,0.084,0.07,1.111,0.32299999999999995,1.611,0.243,0.063,0.06,0.531,0.7809999999999999,0.852,0.459,0.263,0.371,4.297,7.055,86.726,0.29100000000000004,2.667,1.235,1.28,4.892,23.503,9.159,2.211,1.732,4.718,0.021,0.0,0.0,0.3
184,246,19700731,12,0.084911,0.06289,0.046,1.002,0.583,13.462,3.44,6.234,6.5920000000000005,11.439,12.607,0.585,1.3869999999999998,0.494,0.297,0.116,0.116,0.104,0.236,0.046,0.1,0.134,0.135,0.158,0.094,0.17800000000000002,0.16399999999999998,0.019,0.29,0.635,0.31,0.361,0.514,0.359,0.138,0.521,0.18,0.086,0.084,0.07,1.111,0.32299999999999995,1.611,0.243,0.063,0.06,0.531,0.7809999999999999,0.852,0.459,0.263,0.371,4.297,7.055,86.726,0.29100000000000004,2.667,1.235,1.28,4.892,23.503,9.159,2.211,1.732,4.718,0.021,0.0,0.0,0.3
213,286,19700831,12,0.055889,0.08559800000000001,0.045,1.327,0.583,14.936,4.62,6.399,7.451,12.635,13.172,0.598,1.6,0.494,0.297,0.121,0.12,0.104,0.236,0.045,0.096,0.132,0.135,0.158,0.091,0.17800000000000002,0.16399999999999998,0.053,0.29,0.64,0.29,0.361,0.514,0.359,0.138,0.521,0.18,0.086,0.08,0.07,1.111,0.32299999999999995,1.611,0.254,0.064,0.06,0.531,0.7809999999999999,0.852,0.459,0.263,0.371,4.182,7.055,86.726,0.29100000000000004,2.667,1.235,1.28,4.892,23.503,9.159,2.249,1.729,4.718,0.021,0.0,0.0,0.3
244,326,19700930,12,0.07488500000000001,-0.008131000000000001,0.045,1.306,0.583,14.394,2.88,6.399,7.256,13.19,13.7,0.589,1.4780000000000002,0.494,0.297,0.121,0.12,0.104,0.236,0.045,0.096,0.132,0.135,0.158,0.091,0.17800000000000002,0.16399999999999998,0.053,0.29,0.64,0.29,0.361,0.514,0.359,0.138,0.521,0.18,0.086,0.08,0.07,1.111,0.32299999999999995,1.611,0.254,0.064,0.06,0.531,0.7809999999999999,0.852,0.459,0.263,0.371,4.182,7.055,86.726,0.29100000000000004,2.667,1.235,1.28,4.892,23.503,9.159,2.249,1.729,4.718,0.021,0.0,0.0,0.3
273,366,19701031,11,-0.052058000000000014,-0.023223,0.045,1.227,0.583,13.598,2.63,6.325,7.019,12.635,13.297,0.555,1.359,0.494,0.295,0.121,0.12,0.11,0.235,0.049,0.098,0.135,0.14400000000000002,0.166,0.096,0.196,0.16399999999999998,0.053,0.28600000000000003,0.64,0.28600000000000003,0.361,0.526,0.35,0.138,0.537,0.18,0.086,0.084,0.07,1.147,0.32299999999999995,1.611,0.254,0.067,0.06,0.531,0.7809999999999999,0.852,0.459,0.263,0.371,4.1960000000000015,7.082000000000002,86.726,0.281,2.624,1.221,1.273,4.918,23.503,9.369,2.249,1.71,4.748,0.026,0.0,0.0,0.32
