,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
4515,4996,19791231,2,0.07897,0.058587,0.006,0.667,0.5589999999999999,15.464,3.86,8.04,13.409,10.826,10.826,0.908,2.305,0.453,0.175,0.207,0.207,0.247,0.361,0.08,0.35100000000000003,0.361,0.21600000000000005,0.476,0.152,0.183,0.336,0.206,0.369,0.625,0.363,1.079,0.02,0.6609999999999999,0.735,0.033,0.103,0.29,0.1,0.8320000000000001,0.619,0.639,4.897,1.399,0.287,0.097,0.09,90.219,8.399,0.72,0.25,0.4970000000000001,1.161,1.268,73.164,0.527,1.823,1.777,0.7709999999999999,46.871,18.212,2.537,2.427,1.686,2.441,-0.117,0.0,0.009000000000000001,0.081
4558,5040,19800131,2,-0.040493,-0.041923,0.006,0.64,0.5589999999999999,14.823,5.83,8.04,12.835,10.379,10.379,0.87,2.208,0.453,0.175,0.207,0.207,0.247,0.361,0.08,0.35100000000000003,0.361,0.21600000000000005,0.476,0.152,0.183,0.336,0.206,0.369,0.625,0.363,1.079,0.02,0.6609999999999999,0.735,0.033,0.103,0.29,0.1,0.8320000000000001,0.619,0.639,4.897,1.399,0.287,0.097,0.09,90.219,8.399,0.72,0.25,0.4970000000000001,1.161,1.268,73.164,0.527,1.823,1.777,0.7709999999999999,46.871,18.212,2.537,2.427,1.686,2.441,-0.117,0.0,0.009000000000000001,0.081
4598,5084,19800229,2,-0.066732,-0.044115,0.434,0.513,0.78,12.781,3.77,7.617000000000001,7.872000000000001,9.375,9.375,0.769,2.006,0.456,0.175,0.209,0.209,0.271,0.37,0.079,0.35200000000000004,0.37,0.375,0.6,0.14800000000000002,0.191,0.329,0.202,0.35200000000000004,0.626,0.34600000000000003,1.26,0.097,0.6759999999999999,0.7829999999999999,0.262,0.171,0.187,0.096,0.862,0.5479999999999999,0.715,4.022,1.087,0.342,0.105,0.07200000000000001,75.767,8.802,0.7140000000000001,0.246,0.513,1.152,1.255,82.09899999999998,0.277,1.872,1.69,0.8340000000000001,30.339,16.929000000000002,4.497,2.438,1.673,5.729,0.044,0.0,0.009000000000000001,0.071
4638,5128,19800331,2,-0.124255,-0.116093,0.434,0.447,0.78,11.207,5.1,7.617000000000001,6.985,8.208,8.208,0.6759999999999999,1.768,0.456,0.175,0.209,0.209,0.271,0.37,0.079,0.35200000000000004,0.37,0.375,0.6,0.14800000000000002,0.191,0.329,0.202,0.35200000000000004,0.626,0.34600000000000003,1.26,0.097,0.6759999999999999,0.7829999999999999,0.262,0.171,0.187,0.096,0.862,0.5479999999999999,0.715,4.022,1.087,0.342,0.105,0.07200000000000001,75.767,8.802,0.7140000000000001,0.246,0.513,1.152,1.255,82.09899999999998,0.277,1.872,1.69,0.8340000000000001,30.339,16.929000000000002,4.497,2.438,1.673,5.729,0.044,0.0,0.009000000000000001,0.071
4680,5172,19800430,2,0.140121,0.153968,0.434,0.512,0.78,12.883,3.13,7.617000000000001,8.102,9.424,9.424,0.778,2.041,0.456,0.175,0.209,0.209,0.271,0.37,0.079,0.35200000000000004,0.37,0.375,0.6,0.14800000000000002,0.191,0.329,0.202,0.35200000000000004,0.626,0.34600000000000003,1.26,0.097,0.6759999999999999,0.7829999999999999,0.262,0.171,0.187,0.096,0.862,0.5479999999999999,0.715,4.022,1.087,0.342,0.105,0.07200000000000001,75.767,8.802,0.7140000000000001,0.246,0.513,1.152,1.255,82.09899999999998,0.277,1.872,1.69,0.8340000000000001,30.339,16.929000000000002,4.497,2.438,1.673,5.729,0.044,0.0,0.009000000000000001,0.071
4722,5216,19800531,2,0.066165,0.092956,0.005,0.513,0.968,14.012,2.87,7.026,5.8439999999999985,9.648,9.648,0.778,2.175,0.456,0.184,0.213,0.212,0.295,0.365,0.075,0.354,0.365,0.235,0.579,0.142,0.193,0.336,0.211,0.365,0.626,0.358,1.142,0.047,0.738,0.7829999999999999,0.202,0.171,0.206,0.094,0.843,0.628,0.693,4.022,1.33,0.35100000000000003,0.111,0.083,83.375,8.652999999999999,0.726,0.249,0.512,1.142,1.238,88.38799999999998,0.342,1.596,1.454,0.8079999999999999,23.589,16.935,2.213,2.65,1.824,3.164,-0.022,0.0,0.009000000000000001,0.071
4765,5260,19800630,2,0.067178,0.043467,0.005,0.54,0.968,14.713,5.17,7.026,5.935,10.111,10.111,0.816,2.275,0.456,0.184,0.213,0.212,0.295,0.365,0.075,0.354,0.365,0.235,0.579,0.142,0.193,0.336,0.211,0.365,0.626,0.358,1.142,0.047,0.738,0.7829999999999999,0.202,0.171,0.206,0.094,0.843,0.628,0.693,4.022,1.33,0.35100000000000003,0.111,0.083,83.375,8.652999999999999,0.726,0.249,0.512,1.142,1.238,88.38799999999998,0.342,1.596,1.454,0.8079999999999999,23.589,16.935,2.213,2.65,1.824,3.164,-0.022,0.0,0.009000000000000001,0.071
4806,5304,19800731,2,0.021357,0.052314,0.005,0.557,0.968,15.342,2.62,7.026,6.602,10.509,10.509,0.8540000000000001,2.391,0.456,0.184,0.213,0.212,0.295,0.365,0.075,0.354,0.365,0.235,0.579,0.142,0.193,0.336,0.211,0.365,0.626,0.358,1.142,0.047,0.738,0.7829999999999999,0.202,0.171,0.206,0.094,0.843,0.628,0.693,4.022,1.33,0.35100000000000003,0.111,0.083,83.375,8.652999999999999,0.726,0.249,0.512,1.142,1.238,88.38799999999998,0.342,1.596,1.454,0.8079999999999999,23.589,16.935,2.213,2.65,1.824,3.164,-0.022,0.0,0.009000000000000001,0.071
4848,5348,19800831,2,0.064072,0.07899199999999999,0.005,0.5870000000000001,0.7909999999999999,15.743,3.67,7.067,8.763,10.890999999999998,10.890999999999998,0.856,2.459,0.456,0.192,0.212,0.212,0.314,0.364,0.07200000000000001,0.35200000000000004,0.364,0.245,0.62,0.13699999999999998,0.197,0.35600000000000004,0.211,0.364,0.627,0.358,1.153,0.045,0.73,0.7829999999999999,0.192,0.171,0.191,0.093,0.845,0.652,0.682,4.022,1.319,0.377,0.117,0.08199999999999999,77.407,8.667,0.726,0.25,0.512,1.134,1.224,83.28299999999999,0.317,1.604,1.439,0.836,25.005,16.94,2.349,2.765,1.891,3.3110000000000004,-0.039,0.0,0.009000000000000001,0.071
4891,5392,19800930,2,0.01093,0.033005,0.005,0.597,0.7909999999999999,16.131,6.86,7.067,9.184,11.115,11.115,0.88,2.536,0.456,0.192,0.212,0.212,0.314,0.364,0.07200000000000001,0.35200000000000004,0.364,0.245,0.62,0.13699999999999998,0.197,0.35600000000000004,0.211,0.364,0.627,0.358,1.153,0.045,0.73,0.7829999999999999,0.192,0.171,0.191,0.093,0.845,0.652,0.682,4.022,1.319,0.377,0.117,0.08199999999999999,77.407,8.667,0.726,0.25,0.512,1.134,1.224,83.28299999999999,0.317,1.604,1.439,0.836,25.005,16.94,2.349,2.765,1.891,3.3110000000000004,-0.039,0.0,0.009000000000000001,0.071
