,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
20,9,19700131,15,-0.060509,-0.075404,0.001,1.022,0.629,10.003,4.04,7.5870000000000015,4.99,10.692,10.835,0.525,1.172,0.426,0.295,0.099,0.097,0.085,0.318,0.058,0.111,0.175,0.113,0.134,0.107,0.162,0.127,0.1,0.31,0.682,0.305,0.379,0.454,0.374,0.113,0.657,0.218,0.119,0.127,0.115,1.027,0.35700000000000004,1.834,0.441,0.07200000000000001,0.057,0.525,0.872,0.769,0.428,0.299,0.243,4.422,6.562,78.01,0.295,2.481,1.399,0.971,3.841,8.111,6.544,1.741,1.156,4.176,0.044,0.0,0.0,0.249
53,49,19700228,15,0.059257,0.049892,0.53,2.045,0.818,10.753,2.11,5.77,7.579,11.708,10.112,0.604,1.116,0.425,0.28800000000000003,0.1,0.101,0.09,0.313,0.055,0.1,0.171,0.109,0.128,0.095,0.16899999999999998,0.121,0.108,0.307,0.6890000000000001,0.311,0.383,0.459,0.401,-0.122,0.541,0.168,0.091,0.13,0.095,0.98,0.385,1.755,0.425,0.064,0.063,0.524,0.904,0.8079999999999999,0.441,0.302,0.379,3.879,5.6629999999999985,102.427,0.222,2.4530000000000003,1.325,0.967,3.864,10.536,6.2189999999999985,1.823,1.218,4.177,0.035,0.022,0.0,0.249
75,89,19700331,14,0.008183,0.007837,0.53,2.056,0.8009999999999999,11.397,3.82,5.535,7.235,12.064,10.942,0.602,1.156,0.425,0.295,0.107,0.107,0.094,0.338,0.055,0.101,0.179,0.112,0.133,0.099,0.16899999999999998,0.124,0.111,0.325,0.6629999999999999,0.322,0.375,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.132,0.095,0.986,0.382,1.7480000000000002,0.443,0.064,0.063,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.856,1.237,4.55,0.037000000000000005,0.022,0.0,0.253
107,129,19700430,14,-0.043364,0.00312,0.53,1.961,0.8009999999999999,10.489,3.73,5.535,7.558,11.422,9.653,0.59,1.123,0.425,0.295,0.107,0.107,0.094,0.338,0.055,0.101,0.179,0.112,0.133,0.099,0.16899999999999998,0.124,0.111,0.325,0.6629999999999999,0.322,0.375,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.132,0.095,0.986,0.382,1.7480000000000002,0.443,0.064,0.063,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.856,1.237,4.55,0.037000000000000005,0.022,0.0,0.253
136,169,19700531,14,-0.045148,-0.009587,0.001,2.184,0.784,9.196,1.28,5.667999999999998,5.74,10.796,10.697,0.532,1.112,0.425,0.295,0.094,0.097,0.094,0.336,0.053,0.101,0.179,0.112,0.133,0.103,0.16899999999999998,0.124,0.04,0.331,0.669,0.331,0.381,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.133,0.095,0.986,0.382,1.7480000000000002,0.4320000000000001,0.063,0.062,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.912,1.315,4.55,0.037000000000000005,0.0,0.0,0.253
164,208,19700630,14,-0.045984,-0.012769,0.001,2.022,0.784,8.592,3.85,5.667999999999998,5.487,9.893,9.703,0.49,1.047,0.425,0.295,0.094,0.097,0.094,0.336,0.053,0.101,0.179,0.112,0.133,0.103,0.16899999999999998,0.124,0.04,0.331,0.669,0.331,0.381,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.133,0.095,0.986,0.382,1.7480000000000002,0.4320000000000001,0.063,0.062,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.912,1.315,4.55,0.037000000000000005,0.0,0.0,0.253
185,248,19700731,14,0.117801,0.098839,0.001,2.23,0.784,9.73,2.06,5.667999999999998,5.612,11.475,10.78,0.56,1.195,0.425,0.295,0.094,0.097,0.094,0.336,0.053,0.101,0.179,0.112,0.133,0.103,0.16899999999999998,0.124,0.04,0.331,0.669,0.331,0.381,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.133,0.095,0.986,0.382,1.7480000000000002,0.4320000000000001,0.063,0.062,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.912,1.315,4.55,0.037000000000000005,0.0,0.0,0.253
214,288,19700831,14,0.078954,0.049131,0.001,1.887,0.784,10.613,4.68,5.709,6.287000000000001,12.611,12.094,0.569,1.1740000000000002,0.425,0.295,0.08800000000000001,0.091,0.094,0.332,0.049,0.101,0.179,0.112,0.133,0.083,0.16899999999999998,0.124,0.068,0.331,0.669,0.331,0.381,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.129,0.095,0.986,0.382,1.7480000000000002,0.4320000000000001,0.065,0.063,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.912,1.327,4.55,0.037000000000000005,0.0,0.0,0.253
245,328,19700930,14,-0.0027,-0.036375,0.001,1.845,0.784,10.906,2.7,5.709,6.077000000000001,12.097,11.588,0.5479999999999999,1.188,0.425,0.295,0.08800000000000001,0.091,0.094,0.332,0.049,0.101,0.179,0.112,0.133,0.083,0.16899999999999998,0.124,0.068,0.331,0.669,0.331,0.381,0.458,0.403,-0.208,0.568,0.168,0.08900000000000001,0.129,0.095,0.986,0.382,1.7480000000000002,0.4320000000000001,0.065,0.063,0.532,0.888,0.851,0.448,0.3,0.4,4.234,6.058,102.427,0.247,2.658,1.4409999999999998,0.992,3.961,10.536,6.3679999999999986,1.912,1.327,4.55,0.037000000000000005,0.0,0.0,0.253
274,368,19701031,14,-0.058983,-0.044006,0.001,1.709,0.818,10.467,1.82,5.709,5.855,11.468,10.985,0.499,1.054,0.451,0.295,0.08800000000000001,0.091,0.094,0.332,0.049,0.101,0.179,0.112,0.133,0.083,0.16899999999999998,0.117,0.068,0.331,0.669,0.331,0.381,0.458,0.403,-0.094,0.568,0.168,0.094,0.129,0.095,0.975,0.382,1.7480000000000002,0.449,0.065,0.063,0.532,0.888,0.851,0.448,0.3,0.4,3.385,5.267,142.945,0.247,2.658,1.4409999999999998,0.992,3.961,6.464,6.3679999999999986,1.912,1.327,4.55,0.037000000000000005,0.0,0.0,0.253
