,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
26,10,19700131,10,-0.07432000000000001,-0.084859,0.037000000000000005,2.697,0.298,17.997,5.1,10.386,12.191,17.889,20.583,0.754,2.698,0.479,0.396,0.12,0.121,0.115,0.293,0.047,0.09,0.131,0.12,0.16899999999999998,0.086,0.16699999999999998,0.158,0.13699999999999998,0.156,0.836,0.16,0.329,0.431,0.37,-0.133,0.459,0.243,0.149,0.092,0.187,0.762,0.597,1.31,0.29600000000000004,0.06,0.052000000000000005,0.305,1.173,0.836,0.462,0.203,0.22,3.657,5.641,131.211,0.339,2.713,1.629,1.28,4.569,13.125,6.431,2.225,1.676,3.3560000000000003,0.031,0.0,0.0,0.0
49,50,19700228,10,0.06287100000000001,0.095347,0.37,2.009,0.392,17.317,2.93,7.883999999999999,19.651,18.895,18.989,0.797,2.459,0.457,0.38,0.134,0.125,0.119,0.3,0.045,0.087,0.128,0.127,0.17600000000000002,0.083,0.188,0.17,0.173,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.56,0.21,0.123,0.11,0.08900000000000001,0.168,0.716,0.597,1.276,0.364,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.3670000000000001,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.222,1.7080000000000002,4.1610000000000005,-0.004,0.0,0.0,0.0
76,90,19700331,10,-0.028595,-0.03288,0.37,1.924,0.392,17.632,6.43,7.883999999999999,19.336,18.023,18.182,0.7240000000000001,2.438,0.457,0.38,0.134,0.125,0.119,0.3,0.045,0.087,0.128,0.127,0.17600000000000002,0.083,0.188,0.17,0.173,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.56,0.21,0.123,0.11,0.08900000000000001,0.168,0.716,0.597,1.276,0.364,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.3670000000000001,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.222,1.7080000000000002,4.1610000000000005,-0.004,0.0,0.0,0.0
102,130,19700430,10,-0.13228900000000002,-0.146375,0.299,1.7,0.392,16.58,2.03,7.883999999999999,12.617,17.232,17.325,0.618,2.096,0.457,0.38,0.134,0.125,0.119,0.3,0.045,0.087,0.128,0.127,0.17600000000000002,0.083,0.188,0.17,0.173,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.08900000000000001,0.168,0.649,0.597,1.276,0.364,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.185,1.7080000000000002,4.1610000000000005,-0.004,0.0,0.0,0.0
131,170,19700531,10,-0.134777,-0.122488,0.121,0.887,0.392,14.059,5.62,7.472,6.494,13.964,13.964,0.513,1.826,0.457,0.38,0.129,0.131,0.119,0.3,0.048,0.097,0.139,0.127,0.17600000000000002,0.095,0.188,0.175,0.08,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.102,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.22,1.794,4.1610000000000005,-0.004,0.0,0.0,0.0
159,209,19700630,10,-0.085975,-0.107734,0.121,0.8009999999999999,0.392,12.402,1.99,7.472,6.0470000000000015,12.234000000000002,12.357,0.414,1.6,0.457,0.38,0.129,0.131,0.119,0.3,0.048,0.097,0.139,0.127,0.17600000000000002,0.095,0.188,0.175,0.08,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.102,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.22,1.794,4.1610000000000005,-0.004,0.0,0.0,0.0
192,249,19700731,10,0.026346,0.096833,0.232,0.746,0.392,12.449000000000002,2.8,7.472,6.2639999999999985,12.263,12.263,0.456,1.7919999999999998,0.457,0.38,0.129,0.131,0.119,0.3,0.048,0.097,0.139,0.127,0.17600000000000002,0.095,0.188,0.175,0.08,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.102,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.24,1.794,4.1610000000000005,-0.004,0.0,0.0,0.0
222,289,19700831,10,0.076584,0.093603,0.239,0.957,0.392,13.444,6.07,7.883999999999999,6.259,14.56,14.985,0.486,1.733,0.457,0.38,0.129,0.131,0.119,0.3,0.047,0.09,0.128,0.127,0.17600000000000002,0.08900000000000001,0.188,0.17,0.105,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.094,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.27,1.832,4.1610000000000005,-0.004,0.0,0.0,0.0
252,329,19700930,10,0.110403,0.030181,0.239,1.079,0.392,14.628,1.75,7.883999999999999,7.226,16.32,16.32,0.535,1.881,0.457,0.38,0.129,0.131,0.119,0.3,0.047,0.09,0.128,0.127,0.17600000000000002,0.08900000000000001,0.188,0.17,0.105,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.094,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.27,1.832,4.1610000000000005,-0.004,0.0,0.0,0.0
282,369,19701031,10,-0.079113,-0.066211,0.239,0.966,0.392,13.408,2.46,7.883999999999999,6.358,14.548,15.086,0.48,1.755,0.457,0.38,0.129,0.131,0.119,0.3,0.047,0.09,0.128,0.127,0.17600000000000002,0.08900000000000001,0.188,0.17,0.105,0.195,0.7979999999999999,0.195,0.344,0.448,0.386,-0.262,0.21,0.123,0.099,0.094,0.168,0.649,0.597,1.276,0.249,0.07400000000000001,0.062,0.343,1.3,0.914,0.4920000000000001,0.212,0.368,3.797,5.652,133.35399999999998,0.229,2.361,1.4680000000000002,1.232,4.646,12.711,6.245,2.276,1.832,4.1610000000000005,-0.004,0.0,0.0,0.0
