,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
50,51,19700228,11,0.019017,0.029092000000000007,0.318,1.3869999999999998,0.5820000000000001,12.281,1.85,9.875,16.131,14.332,19.091,0.3670000000000001,1.463,0.433,0.506,0.114,0.118,0.12,0.314,0.036000000000000004,0.07,0.08199999999999999,0.14300000000000002,0.183,0.064,0.161,0.181,0.147,0.269,0.645,0.269,0.424,0.596,0.324,-0.049,0.102,0.052000000000000005,0.104,0.049,0.365,0.511,0.563,2.623,0.423,0.122,0.079,0.4270000000000001,2.552,0.848,0.459,0.314,0.355,3.1830000000000003,4.586,93.406,0.16,2.974,1.122,1.925,3.174,24.424,6.934,3.367,2.462,3.562,-0.034,0.0,0.0,0.0
77,91,19700331,11,0.031427,0.029659,0.354,1.766,0.616,12.876,6.4,9.163,16.567999999999998,12.338,16.667,0.35700000000000004,1.515,0.47,0.527,0.111,0.117,0.124,0.314,0.036000000000000004,0.07,0.08199999999999999,0.139,0.177,0.064,0.156,0.172,0.146,0.257,0.65,0.284,0.423,0.596,0.324,0.084,0.156,0.073,0.104,0.049,0.353,0.511,0.563,2.623,0.458,0.133,0.086,0.4,2.477,0.865,0.464,0.299,0.386,3.1830000000000003,4.586,93.406,0.189,3.009,1.122,1.919,3.119,24.424,7.085,3.367,2.4930000000000003,3.562,-0.021,0.0,0.0,0.0
94,131,19700430,11,-0.11865,-0.118597,0.32,1.503,0.616,11.406,2.96,9.163,15.31,10.662,11.89,0.282,1.368,0.47,0.527,0.111,0.117,0.124,0.314,0.036000000000000004,0.07,0.08199999999999999,0.139,0.177,0.064,0.156,0.172,0.146,0.259,0.65,0.284,0.423,0.596,0.324,0.084,0.156,0.073,0.104,0.049,0.353,0.511,0.563,2.623,0.451,0.133,0.086,0.4,2.477,0.865,0.464,0.299,0.386,3.1830000000000003,4.586,93.406,0.189,3.009,1.122,1.919,3.119,24.424,7.085,3.374,2.585,3.562,-0.021,0.0,0.0,0.0
132,171,19700531,11,-0.115655,-0.11051500000000003,0.064,1.587,0.616,10.001,6.65,9.163,10.651,10.022,10.147,0.29100000000000004,1.212,0.47,0.527,0.109,0.111,0.124,0.314,0.035,0.07,0.08199999999999999,0.139,0.177,0.069,0.156,0.172,0.13,0.259,0.65,0.284,0.423,0.596,0.324,0.084,0.156,0.073,0.104,0.049,0.353,0.511,0.563,2.623,0.451,0.133,0.086,0.4,2.477,0.865,0.464,0.299,0.386,3.1830000000000003,4.586,93.406,0.189,3.009,1.122,1.919,3.119,24.424,7.085,3.43,2.623,3.562,-0.021,0.0,0.0,0.0
160,210,19700630,10,-0.061859,-0.041116,0.064,1.511,0.615,9.285,4.55,8.693999999999999,9.726,9.621,9.403,0.264,1.19,0.458,0.529,0.112,0.114,0.126,0.306,0.035,0.07,0.085,0.14300000000000002,0.185,0.07200000000000001,0.161,0.181,0.116,0.272,0.6609999999999999,0.272,0.405,0.5820000000000001,0.331,-0.181,0.092,0.046,0.115,0.052000000000000005,0.384,0.625,0.596,2.12,0.4370000000000001,0.134,0.087,0.381,2.547,0.828,0.48,0.285,0.387,3.467,4.953,93.406,0.175,2.806,1.14,1.945,3.184,24.424,6.934,3.492,2.627,3.565,-0.051,0.0,0.0,0.0
187,250,19700731,10,0.061738,0.07921,0.064,1.681,0.615,9.441,5.33,8.693999999999999,11.075,10.221,9.951,0.28,1.264,0.458,0.529,0.112,0.114,0.126,0.306,0.035,0.07,0.085,0.14300000000000002,0.185,0.073,0.161,0.181,0.116,0.27,0.6609999999999999,0.27,0.405,0.5820000000000001,0.331,-0.181,0.092,0.046,0.115,0.052000000000000005,0.384,0.625,0.596,2.12,0.433,0.134,0.087,0.381,2.547,0.828,0.48,0.285,0.387,3.467,4.953,93.406,0.175,2.806,1.14,1.945,3.184,24.424,6.934,3.4530000000000003,2.6060000000000003,3.565,-0.051,0.0,0.0,0.0
216,290,19700831,10,0.086283,0.047078,0.159,1.732,0.615,9.882,5.97,7.651,11.704,11.027,11.339,0.302,1.265,0.458,0.529,0.107,0.111,0.126,0.306,0.034,0.069,0.081,0.14300000000000002,0.185,0.062,0.161,0.172,0.116,0.27,0.6609999999999999,0.27,0.405,0.5820000000000001,0.336,0.084,0.116,0.063,0.115,0.048,0.393,0.644,0.596,2.12,0.423,0.134,0.079,0.381,2.547,0.828,0.48,0.285,0.387,3.467,4.953,152.559,0.175,2.95,1.154,1.945,3.184,29.955,6.934,3.475,2.6060000000000003,3.565,-0.051,0.0,0.0,0.0
247,330,19700930,10,0.108452,0.099323,0.173,1.751,0.618,11.039,4.07,7.651,12.720999999999998,12.451,13.149,0.348,1.412,0.443,0.529,0.11,0.117,0.125,0.304,0.034,0.069,0.081,0.13,0.185,0.062,0.15,0.156,0.14,0.269,0.639,0.274,0.405,0.586,0.336,0.113,0.254,0.117,0.112,0.048,0.393,0.644,0.596,2.363,0.443,0.136,0.079,0.381,2.33,0.828,0.496,0.293,0.387,3.467,4.819,121.158,0.175,2.95,1.154,1.945,3.184,24.424,6.934,3.475,2.625,3.737,-0.034,0.0,0.0,0.0
276,370,19701031,10,-0.049021,-0.009818,0.172,1.786,0.618,10.845999999999998,3.79,7.651,12.924,12.119000000000002,12.144,0.325,1.483,0.443,0.529,0.11,0.117,0.125,0.304,0.034,0.069,0.081,0.13,0.185,0.061,0.15,0.156,0.14,0.269,0.639,0.274,0.405,0.586,0.336,0.113,0.254,0.117,0.112,0.048,0.393,0.644,0.596,2.363,0.443,0.136,0.083,0.381,2.33,0.828,0.496,0.293,0.387,3.467,4.819,121.158,0.175,2.95,1.154,1.945,3.184,24.424,6.934,3.547,2.631,3.737,-0.034,0.0,0.0,0.0
307,410,19701130,10,0.021968,0.032732,0.062,1.84,0.618,10.879,3.47,7.651,8.786,12.789,13.986,0.342,1.418,0.443,0.529,0.105,0.106,0.125,0.304,0.03,0.069,0.081,0.13,0.185,0.056,0.15,0.156,0.138,0.269,0.639,0.274,0.405,0.586,0.336,0.113,0.254,0.117,0.112,0.049,0.393,0.644,0.596,2.363,0.448,0.136,0.08800000000000001,0.381,2.33,0.828,0.496,0.293,0.387,2.982,4.819,121.158,0.175,2.95,1.154,1.945,3.184,24.424,6.934,3.517,2.635,3.737,-0.034,0.0,0.0,0.0
338,450,19701231,10,0.157128,0.122355,0.062,1.948,0.6940000000000001,12.885,4.26,7.651,7.023,14.75,15.27,0.397,1.656,0.443,0.529,0.109,0.113,0.127,0.304,0.03,0.069,0.081,0.13,0.185,0.065,0.15,0.156,0.127,0.274,0.639,0.274,0.405,0.586,0.336,0.141,0.116,0.063,0.085,0.049,0.393,0.608,0.596,2.363,0.448,0.14,0.093,0.381,2.33,0.828,0.496,0.293,0.387,2.812,4.819,132.549,0.175,2.512,1.052,1.945,3.184,14.803,6.934,3.517,2.699,3.737,-0.051,0.0,0.0,0.0
367,490,19710131,10,0.089874,0.100984,0.063,2.018,0.636,13.764,2.9,7.651,7.362999999999999,15.849,15.849,0.412,1.851,0.443,0.529,0.109,0.113,0.127,0.304,0.03,0.069,0.081,0.13,0.187,0.065,0.149,0.156,0.127,0.264,0.639,0.264,0.405,0.586,0.336,0.141,0.113,0.063,0.085,0.049,0.393,0.563,0.601,2.363,0.428,0.14,0.093,0.37,2.4,0.8590000000000001,0.496,0.293,0.4,2.812,4.819,136.178,0.175,2.512,1.052,1.958,3.169,6.475,7.098,3.454,2.699,3.798,-0.051,0.0,0.0,0.0
400,530,19710228,10,0.063652,0.054023,0.305,6.504,0.636,14.765999999999998,3.22,7.651,7.251,17.336,19.481,0.441,1.979,0.443,0.514,0.109,0.113,0.123,0.301,0.029,0.062,0.075,0.118,0.17800000000000002,0.063,0.136,0.147,0.116,0.269,0.639,0.285,0.405,0.579,0.341,0.279,0.204,0.116,0.128,0.046,0.4,0.563,0.578,2.495,0.459,0.15,0.08800000000000001,0.3670000000000001,2.556,0.848,0.493,0.293,0.402,2.633,4.117,140.058,0.219,2.595,1.232,1.958,3.108,8.263,6.8279999999999985,3.362,2.655,3.798,-0.013,0.0,0.0,0.0
434,570,19710331,10,0.017575999999999998,0.023341,0.272,6.646,0.633,14.777,4.07,8.334,8.2,17.999000000000006,20.609,0.414,1.854,0.443,0.514,0.119,0.108,0.102,0.301,0.029,0.062,0.075,0.112,0.161,0.05,0.136,0.134,0.124,0.262,0.639,0.297,0.436,0.579,0.341,0.279,0.204,0.116,0.128,0.046,0.408,0.563,0.5770000000000001,2.57,0.511,0.147,0.08800000000000001,0.373,2.556,0.848,0.493,0.313,0.402,2.633,3.815,143.939,0.219,2.693,1.297,1.882,3.108,10.052,6.8279999999999985,3.607,2.589,3.798,-0.013,0.0,0.0,0.0
468,610,19710430,10,0.05264,0.047758,0.161,6.62,0.633,15.279000000000002,1.74,8.334,8.277999999999999,19.161,21.446,0.454,1.82,0.443,0.514,0.12,0.109,0.102,0.301,0.029,0.062,0.075,0.112,0.161,0.05,0.136,0.134,0.124,0.262,0.639,0.297,0.436,0.579,0.341,0.279,0.204,0.116,0.128,0.046,0.408,0.563,0.5770000000000001,2.57,0.511,0.147,0.08800000000000001,0.373,2.556,0.848,0.493,0.313,0.402,2.633,3.815,143.939,0.219,2.693,1.297,1.882,3.108,10.052,6.8279999999999985,3.662,2.638,3.798,-0.013,0.0,0.0,0.0
503,650,19710531,10,-0.034391000000000005,-0.036151,0.011,3.164,0.633,14.374,2.08,8.334,8.017000000000001,18.076,21.703000000000007,0.413,1.774,0.443,0.514,0.118,0.108,0.103,0.301,0.029,0.062,0.075,0.112,0.161,0.052000000000000005,0.136,0.134,0.123,0.279,0.639,0.298,0.4370000000000001,0.579,0.341,0.279,0.204,0.116,0.128,0.046,0.448,0.563,0.5770000000000001,2.57,0.478,0.146,0.093,0.373,2.556,0.848,0.493,0.313,0.402,2.6010000000000004,3.815,143.939,0.219,2.693,1.297,1.882,3.108,10.052,6.8279999999999985,3.662,2.638,3.798,-0.013,0.0,0.0,0.0
538,690,19710630,10,-0.0164,-0.003511,0.011,3.26,0.633,13.902,4.67,8.399,10.147,17.717,19.609,0.411,1.844,0.439,0.469,0.105,0.105,0.114,0.303,0.029,0.062,0.075,0.112,0.16399999999999998,0.048,0.136,0.134,0.105,0.298,0.639,0.298,0.4370000000000001,0.579,0.341,0.273,0.204,0.116,0.132,0.046,0.448,0.563,0.5770000000000001,2.57,0.45,0.145,0.08900000000000001,0.373,2.556,0.848,0.493,0.313,0.402,2.625,3.946,140.058,0.228,2.693,1.297,1.754,3.108,9.29,6.8279999999999985,3.477,2.645,3.798,-0.013,0.0,0.0,0.0
572,730,19710731,10,-0.06657300000000001,-0.05356,0.011,3.1710000000000003,0.563,13.55,4.54,8.399,8.058,16.199,17.706,0.382,1.628,0.439,0.469,0.105,0.105,0.114,0.303,0.029,0.062,0.075,0.112,0.16399999999999998,0.048,0.136,0.134,0.105,0.298,0.642,0.298,0.4370000000000001,0.579,0.341,0.273,0.204,0.116,0.132,0.046,0.448,0.563,0.5770000000000001,2.57,0.445,0.145,0.08900000000000001,0.373,2.556,0.848,0.493,0.313,0.402,2.625,3.946,140.058,0.228,2.693,1.297,1.754,3.108,9.29,6.8279999999999985,3.442,2.639,3.798,-0.013,0.0,0.0,0.0
608,770,19710831,10,0.050058,0.032861,0.055,2.7310000000000003,0.563,14.486,2.6,9.783,8.575,16.628,18.003,0.407,1.664,0.439,0.469,0.106,0.122,0.125,0.303,0.032,0.06,0.073,0.112,0.16399999999999998,0.052000000000000005,0.136,0.134,0.122,0.298,0.642,0.298,0.4370000000000001,0.564,0.328,0.273,0.204,0.116,0.135,0.045,0.4320000000000001,0.55,0.5770000000000001,2.57,0.39,0.135,0.079,0.373,2.556,0.848,0.493,0.313,0.402,2.625,3.946,140.058,0.241,2.693,1.297,1.754,3.108,9.29,6.8279999999999985,3.542,2.639,3.798,-0.013,0.0,0.0,0.0
643,810,19710930,10,0.009366,0.006503,0.055,2.794,0.5429999999999999,13.865,3.21,9.783,8.059,16.767,19.227,0.401,1.722,0.444,0.469,0.108,0.125,0.102,0.304,0.032,0.06,0.073,0.112,0.163,0.053,0.135,0.13,0.136,0.29600000000000004,0.637,0.298,0.45,0.564,0.328,0.4,0.204,0.116,0.135,0.045,0.4320000000000001,0.55,0.5770000000000001,2.677,0.39,0.123,0.077,0.373,2.556,0.848,0.509,0.328,0.402,2.625,3.946,140.058,0.241,2.693,1.247,1.754,3.073,10.61,6.8279999999999985,3.542,2.627,3.954,-0.013,0.0,0.0,0.0
