,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2239,2524,19750331,2,0.337924,0.075671,0.039,0.162,2.194,9.132,3.11,6.894,0.6409999999999999,6.657,6.825,0.385,0.875,0.485,0.251,0.126,0.127,0.161,0.298,0.054000000000000006,0.154,0.171,0.219,0.261,0.104,0.157,0.168,0.125,0.443,0.546,0.453,1.044,0.585,0.26,-1.557,0.13,0.071,0.079,0.085,0.397,0.708,0.516,4.644,0.83,0.136,0.069,0.4370000000000001,11.933,2.259,0.6859999999999999,0.531,0.642,2.674,3.98,71.062,0.252,1.484,0.7040000000000001,0.862,3.382,12.304,8.368,2.699,1.519,5.122000000000001,-0.032,0.0,0.006,0.0
2284,2566,19750430,2,0.00461,0.098987,0.047,0.182,1.564,9.993,3.3,13.206,16.909000000000002,-3.511,-2.641,0.413,0.93,0.464,0.224,0.096,0.097,0.16,0.28300000000000003,0.046,0.126,0.145,0.219,0.261,0.086,0.126,0.133,0.094,0.444,0.544,0.455,1.078,0.415,0.338,-1.943,0.15,0.04,0.08900000000000001,0.067,0.401,0.662,0.518,10.32,0.8420000000000001,0.262,0.097,0.436,1.604,2.29,0.687,0.537,0.642,2.138,2.7960000000000003,71.062,0.265,2.0,1.17,0.851,3.208,11.246,8.666,2.728,1.528,5.122000000000001,-0.012,0.0,0.009000000000000001,0.0
2316,2608,19750531,2,-0.0006940000000000001,-0.019011,0.006,0.149,1.624,10.319,2.67,13.206,14.183,-5.885,-5.872999999999998,0.455,0.825,0.464,0.224,0.112,0.113,0.161,0.28300000000000003,0.062,0.126,0.145,0.219,0.261,0.113,0.126,0.133,0.108,0.453,0.545,0.454,1.077,0.4270000000000001,0.324,-1.943,0.301,0.04,0.08800000000000001,0.067,0.401,0.662,0.51,10.32,0.8270000000000001,0.261,0.096,0.412,1.595,2.403,0.6859999999999999,0.521,0.65,2.232,2.7960000000000003,71.062,0.278,2.1630000000000003,1.239,0.733,3.208,11.246,6.54,2.62,1.4780000000000002,3.944,0.006,0.0,0.009000000000000001,0.0
2356,2650,19750630,2,0.091906,0.066105,0.006,0.158,1.624,12.58,4.51,13.206,16.962,-6.829,-6.63,0.557,1.004,0.464,0.224,0.112,0.113,0.161,0.28300000000000003,0.062,0.126,0.145,0.219,0.261,0.113,0.126,0.133,0.108,0.453,0.545,0.454,1.077,0.4270000000000001,0.324,-1.943,0.301,0.04,0.08800000000000001,0.067,0.401,0.662,0.51,10.32,0.8270000000000001,0.261,0.096,0.412,1.595,2.403,0.6859999999999999,0.521,0.65,2.232,2.7960000000000003,71.062,0.278,2.1630000000000003,1.239,0.733,3.208,11.246,6.54,2.62,1.4780000000000002,3.944,0.006,0.0,0.009000000000000001,0.0
2396,2692,19750731,2,-0.102672,-0.128136,0.006,0.13699999999999998,1.26,10.859000000000002,3.76,13.206,-5.715,-6.5470000000000015,-6.526,0.494,0.887,0.464,0.224,0.102,0.103,0.161,0.28300000000000003,0.059,0.126,0.145,0.219,0.261,0.106,0.126,0.133,0.099,0.451,0.5479999999999999,0.451,1.057,0.611,0.218,-1.943,0.28800000000000003,0.04,0.086,0.067,0.4,0.662,0.51,10.32,0.813,0.261,0.096,0.414,1.586,2.363,0.6859999999999999,0.522,0.6509999999999999,2.232,2.7960000000000003,71.062,0.276,1.55,0.716,0.722,3.208,11.246,9.626,2.491,1.41,3.944,0.0,0.0,0.009000000000000001,0.0
2437,2734,19750831,2,-0.029412,-0.00468,0.004,0.142,1.214,9.898,1.03,13.206,-5.124,-6.046,-6.316,0.47,0.821,0.464,0.224,0.103,0.104,0.159,0.28300000000000003,0.061,0.126,0.145,0.219,0.261,0.106,0.126,0.133,0.096,0.451,0.5489999999999999,0.451,1.057,0.617,0.22,-1.943,0.303,0.04,0.081,0.067,0.402,0.662,0.501,10.32,0.7959999999999999,0.26,0.095,0.434,1.57,2.309,0.682,0.5329999999999999,0.649,2.259,2.7960000000000003,71.062,0.27,1.621,0.741,0.73,3.208,11.246,9.777,2.465,1.398,3.974,-0.004,0.0,0.009000000000000001,0.0
2477,2776,19750930,2,-0.116322,-0.002759,0.004,0.14300000000000002,1.214,9.193,3.68,13.206,-3.022,-3.851,-4.009,0.451,0.75,0.464,0.224,0.103,0.104,0.159,0.28300000000000003,0.061,0.126,0.145,0.219,0.261,0.106,0.126,0.133,0.096,0.451,0.5489999999999999,0.451,1.057,0.617,0.22,-1.943,0.303,0.04,0.081,0.067,0.402,0.662,0.501,10.32,0.7959999999999999,0.26,0.095,0.434,1.57,2.309,0.682,0.5329999999999999,0.649,2.259,2.7960000000000003,71.062,0.27,1.621,0.741,0.73,3.208,11.246,9.777,2.465,1.398,3.974,-0.004,0.0,0.009000000000000001,0.0
2526,2819,19751031,2,-0.008957,-0.066135,0.004,0.133,1.235,8.942,4.25,13.206,14.204,-4.447,-4.5939999999999985,0.431,0.716,0.464,0.224,0.105,0.105,0.159,0.28300000000000003,0.061,0.126,0.145,0.219,0.261,0.106,0.126,0.133,0.097,0.448,0.552,0.448,1.06,0.617,0.22,-1.943,0.315,0.04,0.08199999999999999,0.067,0.404,0.662,0.503,10.32,0.7879999999999999,0.26,0.095,0.431,1.56,2.307,0.68,0.53,0.6459999999999999,2.259,2.7960000000000003,71.062,0.272,1.6230000000000002,0.741,0.711,3.208,11.246,9.445,2.394,1.364,3.974,0.003,0.0,0.009000000000000001,0.0
2559,2862,19751130,2,-0.055066,-0.103056,0.003,0.106,1.3159999999999998,7.706,3.81,12.323,13.04,-4.863,-5.016,0.392,0.64,0.464,0.076,0.101,0.102,0.155,0.08900000000000001,0.064,0.217,0.246,0.302,0.353,0.103,0.166,0.181,0.09,0.448,0.552,0.448,1.06,0.623,0.223,-1.943,0.476,0.04,0.078,0.1,0.405,1.227,0.498,9.954,0.7709999999999999,0.259,0.094,0.449,1.551,2.264,0.6779999999999999,0.54,0.644,2.272,3.869,95.595,0.258,1.65,0.743,0.7040000000000001,3.299,11.246,9.409,2.337,1.336,3.928,0.019,0.0,0.009000000000000001,0.0
2607,2905,19751231,2,0.076186,0.028728,0.003,0.108,1.3159999999999998,8.506,3.32,12.323,14.682,-5.776,-5.931,0.43,0.7070000000000001,0.464,0.076,0.101,0.102,0.155,0.08900000000000001,0.064,0.217,0.246,0.302,0.353,0.103,0.166,0.181,0.09,0.448,0.552,0.448,1.06,0.623,0.223,-1.943,0.476,0.04,0.078,0.1,0.405,1.227,0.498,9.954,0.7709999999999999,0.259,0.094,0.449,1.551,2.264,0.6779999999999999,0.54,0.644,2.272,3.869,95.595,0.258,1.65,0.743,0.7040000000000001,3.299,11.246,9.409,2.337,1.336,3.928,0.019,0.0,0.009000000000000001,0.0
