,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
401,531,19710228,2,0.041346,0.013391,0.259,0.95,0.7509999999999999,22.976,3.44,8.39,7.895,19.203,16.524,0.99,1.641,0.254,0.159,0.107,0.107,0.095,0.234,0.055,0.113,0.189,0.091,0.107,0.078,0.136,0.102,0.096,0.531,0.469,0.531,0.58,0.135,0.516,-0.947,0.675,0.136,0.093,0.132,0.096,0.998,0.213,3.9,1.241,0.075,0.068,0.667,0.9,1.829,0.637,0.471,0.578,2.465,2.883,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.876,0.865,13.449000000000002,0.05,0.0,0.0,0.0
435,571,19710331,2,0.058993,0.16983399999999998,0.259,1.139,0.7509999999999999,24.437,3.24,8.39,8.691,20.01,16.8,1.086,1.766,0.254,0.159,0.107,0.107,0.095,0.234,0.055,0.113,0.189,0.091,0.107,0.078,0.136,0.102,0.096,0.531,0.469,0.531,0.58,0.135,0.516,-0.947,0.675,0.136,0.093,0.132,0.096,0.998,0.213,3.9,1.241,0.075,0.068,0.667,0.9,1.829,0.637,0.471,0.578,2.465,2.883,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.876,0.865,13.449000000000002,0.05,0.0,0.0,0.0
469,611,19710430,2,-0.016659,0.023251,0.259,1.1740000000000002,0.7509999999999999,24.152,1.92,8.39,8.701,19.621,16.312,1.085,1.753,0.254,0.159,0.107,0.107,0.095,0.234,0.055,0.113,0.189,0.091,0.107,0.078,0.136,0.102,0.096,0.531,0.469,0.531,0.58,0.135,0.516,-0.947,0.675,0.136,0.093,0.132,0.096,0.998,0.213,3.9,1.241,0.075,0.068,0.667,0.9,1.829,0.637,0.471,0.578,2.465,2.883,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.876,0.865,13.449000000000002,0.05,0.0,0.0,0.0
504,651,19710531,2,-0.103316,-0.091649,0.0,0.8440000000000001,0.5870000000000001,23.601,3.48,7.185,6.579,14.365,12.353,0.9,1.6469999999999998,0.254,0.159,0.124,0.124,0.101,0.218,0.062,0.122,0.199,0.091,0.107,0.091,0.136,0.115,0.124,0.536,0.464,0.536,0.57,0.135,0.516,-0.947,0.675,0.136,0.093,0.13699999999999998,0.069,0.998,0.213,3.702,1.347,0.07,0.065,0.667,0.9,1.829,0.637,0.471,0.578,2.74,3.3160000000000003,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.988,0.898,13.449000000000002,0.05,0.0,0.0,0.0
539,691,19710630,2,0.049204000000000005,0.040269,0.0,0.888,0.5870000000000001,24.701,3.29,7.185,6.877999999999999,15.059,12.969,0.94,1.722,0.254,0.159,0.124,0.124,0.101,0.218,0.062,0.122,0.199,0.091,0.107,0.091,0.136,0.115,0.124,0.536,0.464,0.536,0.57,0.135,0.516,-0.947,0.675,0.136,0.093,0.13699999999999998,0.069,0.998,0.213,3.702,1.347,0.07,0.065,0.667,0.9,1.829,0.637,0.471,0.578,2.74,3.3160000000000003,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.988,0.898,13.449000000000002,0.05,0.0,0.0,0.0
573,731,19710731,2,-0.083966,-0.130196,0.0,0.8240000000000001,0.5870000000000001,22.235,4.28,7.185,6.151,13.68,11.878,0.836,1.5419999999999998,0.254,0.159,0.124,0.124,0.101,0.218,0.062,0.122,0.199,0.091,0.107,0.091,0.136,0.115,0.124,0.536,0.464,0.536,0.57,0.135,0.516,-0.947,0.675,0.136,0.093,0.13699999999999998,0.069,0.998,0.213,3.702,1.347,0.07,0.065,0.667,0.9,1.829,0.637,0.471,0.578,2.74,3.3160000000000003,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,1.988,0.898,13.449000000000002,0.05,0.0,0.0,0.0
609,771,19710831,2,0.040346,0.096142,0.0,1.251,0.6579999999999999,21.795,3.66,7.693,6.394,14.521,12.6,0.865,1.591,0.254,0.159,0.118,0.118,0.098,0.219,0.06,0.123,0.2,0.091,0.107,0.08900000000000001,0.136,0.115,0.118,0.5479999999999999,0.452,0.5479999999999999,0.5760000000000001,0.135,0.516,-0.947,0.675,0.136,0.093,0.138,0.057,0.998,0.213,3.693,1.4509999999999998,0.068,0.064,0.667,0.9,1.829,0.637,0.471,0.578,2.688,3.295,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,2.048,0.887,13.449000000000002,0.05,0.0,0.0,0.0
644,811,19710930,2,-0.086687,-0.092431,0.0,1.146,0.6579999999999999,19.873,3.08,7.693,5.824,13.258,11.517,0.787,1.45,0.254,0.159,0.118,0.118,0.098,0.219,0.06,0.123,0.2,0.091,0.107,0.08900000000000001,0.136,0.115,0.118,0.5479999999999999,0.452,0.5479999999999999,0.5760000000000001,0.135,0.516,-0.947,0.675,0.136,0.093,0.138,0.057,0.998,0.213,3.693,1.4509999999999998,0.068,0.064,0.667,0.9,1.829,0.637,0.471,0.578,2.688,3.295,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,2.048,0.887,13.449000000000002,0.05,0.0,0.0,0.0
679,851,19711031,2,-0.086551,-0.142097,0.0,1.083,0.6579999999999999,17.874000000000006,3.4,7.693,5.189,12.08,10.602,0.695,1.294,0.254,0.159,0.118,0.118,0.098,0.219,0.06,0.123,0.2,0.091,0.107,0.08900000000000001,0.136,0.115,0.118,0.5479999999999999,0.452,0.5479999999999999,0.5760000000000001,0.135,0.516,-0.947,0.675,0.136,0.093,0.138,0.057,0.998,0.213,3.693,1.4509999999999998,0.068,0.064,0.667,0.9,1.829,0.637,0.471,0.578,2.688,3.295,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,2.048,0.887,13.449000000000002,0.05,0.0,0.0,0.0
713,891,19711130,2,-0.094564,-0.055914,0.0,0.575,0.77,15.4,2.68,8.138,4.793,10.5,8.929,0.634,1.173,0.254,0.159,0.117,0.117,0.096,0.21600000000000005,0.059,0.118,0.198,0.091,0.107,0.08800000000000001,0.136,0.109,0.117,0.563,0.4370000000000001,0.563,0.585,0.135,0.516,-0.947,0.675,0.136,0.093,0.136,0.043,0.998,0.213,3.737,1.5830000000000002,0.069,0.066,0.667,0.9,1.829,0.637,0.471,0.578,2.563,3.111,37.221,0.463,1.454,1.252,0.715,22.539,22.503,7.455,2.065,0.857,13.449000000000002,0.05,0.0,0.0,0.0
