,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
22,13,19700131,14,-0.063956,-0.071997,0.006,2.564,0.188,34.63,5.18,13.451,23.965,28.686,28.686,2.497,6.59,0.486,0.8170000000000001,0.199,0.207,0.19,0.603,0.086,0.179,0.196,0.277,0.373,0.174,0.256,0.308,0.219,0.121,0.855,0.119,0.171,0.361,0.344,0.65,0.57,0.459,0.456,0.114,0.236,1.042,0.655,0.488,0.142,0.107,0.07,0.269,1.198,0.453,0.338,0.117,0.2,15.17,26.669,121.57,0.627,2.692,1.659,1.213,2.357,9.636,6.374,1.6780000000000002,1.6469999999999998,3.36,0.024,0.0,0.0,0.0
51,53,19700228,14,0.065314,0.063635,0.518,3.0860000000000003,0.16,35.785,4.69,14.538,32.344,29.685,30.126,2.603,5.897,0.487,0.72,0.208,0.206,0.199,0.594,0.08800000000000001,0.17800000000000002,0.196,0.275,0.375,0.174,0.256,0.317,0.232,0.111,0.848,0.106,0.172,0.384,0.38,0.429,0.35100000000000003,0.282,0.354,0.113,0.319,1.125,0.669,0.528,0.132,0.106,0.077,0.233,1.159,0.482,0.336,0.118,0.224,12.952,22.283,129.064,0.544,2.502,1.5519999999999998,1.25,2.355,9.03,6.237,1.737,1.61,3.32,-0.026,0.038,0.0,0.0
78,93,19700331,14,-0.042124,-0.051703999999999986,0.518,2.862,0.16,34.436,3.49,14.538,31.142,28.163,28.344,2.468,5.627000000000002,0.487,0.72,0.208,0.206,0.199,0.594,0.08800000000000001,0.17800000000000002,0.196,0.275,0.375,0.174,0.256,0.317,0.232,0.111,0.848,0.106,0.172,0.384,0.38,0.429,0.35100000000000003,0.282,0.354,0.113,0.319,1.125,0.669,0.528,0.132,0.106,0.077,0.233,1.159,0.482,0.336,0.118,0.224,12.952,22.283,129.064,0.544,2.502,1.5519999999999998,1.25,2.355,9.03,6.237,1.737,1.61,3.32,-0.026,0.038,0.0,0.0
104,133,19700430,14,-0.088587,-0.079341,0.518,2.5810000000000004,0.16,31.861,2.43,14.538,28.539,25.491,25.768,2.271,5.074,0.487,0.72,0.208,0.206,0.199,0.594,0.08800000000000001,0.17800000000000002,0.196,0.275,0.375,0.174,0.256,0.317,0.232,0.111,0.848,0.106,0.172,0.384,0.38,0.429,0.35100000000000003,0.282,0.354,0.113,0.319,1.125,0.669,0.528,0.132,0.106,0.077,0.233,1.159,0.482,0.336,0.118,0.224,12.952,22.283,129.064,0.544,2.502,1.5519999999999998,1.25,2.355,9.03,6.237,1.737,1.61,3.32,-0.026,0.038,0.0,0.0
133,173,19700531,14,-0.07912000000000001,-0.06625199999999999,0.013,2.47,0.16,28.542,3.42,14.538,26.486,23.085,23.639,1.898,4.507,0.487,0.72,0.198,0.2,0.199,0.597,0.087,0.17800000000000002,0.196,0.275,0.375,0.17,0.256,0.317,0.118,0.111,0.853,0.106,0.265,0.384,0.38,0.429,0.35100000000000003,0.282,0.354,0.112,0.319,1.125,0.669,0.517,0.132,0.106,0.077,0.233,1.159,0.482,0.336,0.118,0.224,12.952,22.283,129.064,0.544,2.502,1.5519999999999998,1.25,2.355,9.03,6.237,2.01,1.672,3.32,-0.026,0.0,0.0,0.0
161,212,19700630,13,-0.014769999999999997,0.005521,0.009000000000000001,2.204,0.147,28.167,3.32,14.405,26.306,23.12,24.02,1.99,5.029,0.488,0.7240000000000001,0.202,0.202,0.203,0.612,0.087,0.179,0.2,0.276,0.382,0.174,0.262,0.318,0.123,0.106,0.866,0.101,0.219,0.383,0.379,0.464,0.396,0.307,0.38,0.115,0.362,1.173,0.679,0.502,0.122,0.098,0.073,0.228,1.133,0.468,0.33,0.112,0.21,14.753,24.337,117.343,0.546,2.625,1.604,1.246,2.349,6.975,6.2170000000000005,1.897,1.68,3.299,-0.029,0.0,0.0,0.0
188,252,19700731,13,0.071135,0.015667,0.009000000000000001,2.435,0.147,28.9,2.42,14.405,25.787,23.778,24.228,2.047,5.228,0.488,0.7240000000000001,0.202,0.202,0.203,0.612,0.087,0.179,0.2,0.276,0.382,0.174,0.262,0.318,0.123,0.106,0.866,0.101,0.219,0.383,0.379,0.464,0.396,0.307,0.38,0.115,0.362,1.173,0.679,0.502,0.122,0.098,0.073,0.228,1.133,0.468,0.33,0.112,0.21,14.753,24.337,117.343,0.546,2.625,1.604,1.246,2.349,6.975,6.2170000000000005,1.897,1.68,3.299,-0.029,0.0,0.0,0.0
217,292,19700831,13,0.013933,0.018362,0.015,2.5780000000000003,0.147,28.485,5.6,14.405,25.845,23.045,23.99,1.97,5.306,0.488,0.7240000000000001,0.207,0.207,0.203,0.617,0.087,0.18,0.2,0.277,0.382,0.172,0.262,0.318,0.14400000000000002,0.108,0.866,0.101,0.172,0.383,0.379,0.464,0.396,0.287,0.38,0.115,0.313,1.199,0.679,0.523,0.126,0.098,0.079,0.256,1.133,0.468,0.33,0.12,0.212,11.151,20.845,140.531,0.546,2.625,1.604,1.246,2.349,9.249,6.2170000000000005,1.983,1.716,3.299,-0.029,0.0,0.0,0.0
248,332,19700930,13,0.086076,0.07747799999999999,0.015,2.677,0.147,30.23,1.94,14.405,28.902,25.437,25.804,2.147,5.641,0.488,0.7240000000000001,0.207,0.207,0.203,0.617,0.087,0.18,0.2,0.277,0.382,0.172,0.262,0.318,0.14400000000000002,0.108,0.866,0.101,0.172,0.383,0.379,0.464,0.396,0.287,0.38,0.115,0.313,1.199,0.679,0.523,0.126,0.098,0.079,0.256,1.133,0.468,0.33,0.12,0.212,11.151,20.845,140.531,0.546,2.625,1.604,1.246,2.349,9.249,6.2170000000000005,1.983,1.716,3.299,-0.029,0.0,0.0,0.0
277,372,19701031,13,0.02295,0.015369,0.015,2.762,0.147,31.047,1.75,14.405,29.479,25.546,26.16,2.187,5.674,0.488,0.7240000000000001,0.207,0.207,0.203,0.617,0.087,0.18,0.2,0.277,0.382,0.172,0.262,0.318,0.14400000000000002,0.108,0.866,0.101,0.172,0.383,0.379,0.464,0.396,0.287,0.38,0.115,0.313,1.199,0.679,0.523,0.126,0.098,0.079,0.256,1.133,0.468,0.33,0.12,0.212,11.151,20.845,140.531,0.546,2.625,1.604,1.246,2.349,9.249,6.2170000000000005,1.983,1.716,3.299,-0.029,0.0,0.0,0.0
