,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
23,14,19700131,7,-0.08673,-0.066341,0.006,1.132,0.459,21.495,1.32,10.678,13.632,14.973,14.973,0.632,1.753,0.507,0.361,0.116,0.114,0.104,0.257,0.042,0.096,0.107,0.142,0.183,0.081,0.162,0.188,0.115,0.208,0.7909999999999999,0.208,0.297,0.475,0.37,0.236,0.354,0.208,0.142,0.061,0.266,0.655,0.598,1.4880000000000002,0.253,0.065,0.054000000000000006,0.401,1.3869999999999998,0.687,0.405,0.225,0.298,6.267,9.69,165.55700000000004,0.26,3.431,1.5719999999999998,1.501,3.064,12.242,5.664,2.299,1.924,2.975,0.035,0.0,0.0,0.0
52,54,19700228,7,0.083428,0.109229,0.242,1.781,0.612,20.36,4.47,8.378,14.686,15.675999999999998,15.675999999999998,0.6890000000000001,1.7380000000000002,0.525,0.374,0.118,0.117,0.118,0.268,0.044,0.101,0.118,0.17600000000000002,0.23,0.084,0.197,0.197,0.097,0.212,0.779,0.212,0.366,0.495,0.364,-0.055,0.237,0.151,0.125,0.065,0.39,0.637,0.622,1.726,0.271,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,5.346,9.283,162.657,0.205,2.466,1.315,1.4780000000000002,2.919,22.819000000000006,6.604,2.36,1.875,3.4410000000000003,-0.046,0.0,0.0,0.15
79,94,19700331,7,0.0058130000000000005,0.039743,0.242,1.791,0.612,21.276,3.4,8.378,16.163,16.486,16.486,0.758,1.871,0.525,0.374,0.118,0.117,0.118,0.268,0.044,0.101,0.118,0.17600000000000002,0.23,0.084,0.197,0.197,0.097,0.212,0.779,0.212,0.366,0.495,0.364,-0.055,0.237,0.151,0.125,0.065,0.39,0.637,0.622,1.726,0.271,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,5.346,9.283,162.657,0.205,2.466,1.315,1.4780000000000002,2.919,22.819000000000006,6.604,2.36,1.875,3.4410000000000003,-0.046,0.0,0.0,0.15
105,134,19700430,7,-0.109213,-0.06338300000000001,0.242,1.567,0.612,19.506,2.99,8.378,15.771,13.784,13.784,0.635,1.7,0.525,0.374,0.118,0.117,0.118,0.268,0.044,0.101,0.118,0.17600000000000002,0.23,0.084,0.197,0.197,0.097,0.212,0.779,0.212,0.366,0.495,0.364,-0.055,0.237,0.151,0.125,0.065,0.39,0.637,0.622,1.726,0.271,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,5.346,9.283,162.657,0.205,2.466,1.315,1.4780000000000002,2.919,22.819000000000006,6.604,2.36,1.875,3.4410000000000003,-0.046,0.0,0.0,0.15
134,174,19700531,7,-0.090608,-0.079128,0.005,1.937,0.612,16.021,3.96,8.106,14.535,10.904000000000002,13.318,0.472,1.4780000000000002,0.524,0.366,0.118,0.116,0.066,0.257,0.045,0.096,0.107,0.17600000000000002,0.23,0.08,0.197,0.197,0.053,0.21600000000000005,0.779,0.21600000000000005,0.371,0.512,0.37,-0.055,0.237,0.151,0.125,0.063,0.39,0.589,0.622,1.726,0.217,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,4.791,8.876,162.657,0.234,2.5610000000000004,1.318,1.4780000000000002,2.919,22.819000000000006,6.604,2.469,2.101,3.21,-0.046,0.0,0.0,0.0
162,213,19700630,7,-0.047923,0.025331,0.005,1.928,0.612,14.843,3.15,8.106,15.44,9.707,13.209,0.42,1.466,0.524,0.366,0.118,0.116,0.066,0.257,0.045,0.096,0.107,0.17600000000000002,0.23,0.08,0.197,0.197,0.053,0.21600000000000005,0.779,0.21600000000000005,0.371,0.512,0.37,-0.055,0.237,0.151,0.125,0.063,0.39,0.589,0.622,1.726,0.217,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,4.791,8.876,162.657,0.234,2.5610000000000004,1.318,1.4780000000000002,2.919,22.819000000000006,6.604,2.469,2.101,3.21,-0.046,0.0,0.0,0.0
189,253,19700731,7,0.104892,0.046464,0.005,2.036,0.612,17.278,5.12,8.106,15.922,12.899,15.066,0.5579999999999999,1.672,0.524,0.366,0.118,0.116,0.066,0.257,0.045,0.096,0.107,0.17600000000000002,0.23,0.08,0.197,0.197,0.053,0.21600000000000005,0.779,0.21600000000000005,0.371,0.512,0.37,-0.055,0.237,0.151,0.125,0.063,0.39,0.589,0.622,1.726,0.217,0.078,0.059,0.373,1.4680000000000002,0.78,0.438,0.269,0.362,4.791,8.876,162.657,0.234,2.5610000000000004,1.318,1.4780000000000002,2.919,22.819000000000006,6.604,2.469,2.101,3.21,-0.046,0.0,0.0,0.0
218,293,19700831,7,0.030425,0.015591,0.004,1.452,0.612,17.422,4.07,8.059,11.304,12.73,12.73,0.49,1.6,0.491,0.366,0.115,0.113,0.107,0.268,0.044,0.096,0.118,0.16399999999999998,0.23,0.086,0.171,0.17,0.069,0.236,0.753,0.236,0.345,0.475,0.37,0.098,0.269,0.157,0.14400000000000002,0.066,0.238,0.627,0.5760000000000001,1.726,0.281,0.097,0.067,0.396,1.4680000000000002,0.78,0.438,0.269,0.362,4.75,8.644,140.91899999999995,0.234,2.5610000000000004,1.318,1.47,3.065,16.344,6.613,2.387,2.033,3.21,-0.02,0.0,0.0,0.0
249,333,19700930,7,0.06334400000000001,0.007373999999999999,0.004,1.581,0.612,19.525,1.83,8.059,11.427,14.247,14.247,0.604,1.715,0.491,0.366,0.115,0.113,0.107,0.268,0.044,0.096,0.118,0.16399999999999998,0.23,0.086,0.171,0.17,0.069,0.236,0.753,0.236,0.345,0.475,0.37,0.098,0.269,0.157,0.14400000000000002,0.066,0.238,0.627,0.5760000000000001,1.726,0.281,0.097,0.067,0.396,1.4680000000000002,0.78,0.438,0.269,0.362,4.75,8.644,140.91899999999995,0.234,2.5610000000000004,1.318,1.47,3.065,16.344,6.613,2.387,2.033,3.21,-0.02,0.0,0.0,0.0
278,373,19701031,7,0.019542,0.017907,0.004,1.571,0.612,18.023,2.65,8.059,11.175,14.954,14.954,0.502,1.586,0.491,0.366,0.115,0.113,0.107,0.268,0.044,0.096,0.118,0.16399999999999998,0.23,0.086,0.171,0.17,0.069,0.236,0.753,0.236,0.345,0.475,0.37,0.098,0.269,0.157,0.14400000000000002,0.066,0.238,0.627,0.5760000000000001,1.726,0.281,0.097,0.067,0.396,1.4680000000000002,0.78,0.438,0.269,0.362,4.75,8.644,140.91899999999995,0.234,2.5610000000000004,1.318,1.47,3.065,16.344,6.613,2.387,2.033,3.21,-0.02,0.0,0.0,0.0
