,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
507,654,19710531,2,-0.033832,-0.005098,0.0,2.9,1.267,18.463,3.96,71.655,8.921,13.201,15.592,0.349,1.133,0.371,0.08900000000000001,-0.004,0.0,0.062,0.07400000000000001,0.001,0.009000000000000001,0.032,0.008,0.017,0.002,0.038,0.024,-0.002,0.313,0.6679999999999999,0.313,0.569,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.023,0.478,0.08199999999999999,0.67,49.743,0.5529999999999999,0.154,0.075,0.271,1.61,1.676,0.612,0.333,0.502,1.3259999999999998,1.169,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.374,2.278,8.267999999999999,0.075,0.0,0.0,0.0
542,694,19710630,2,-0.013153,0.043241,0.0,3.076,1.267,18.469,4.85,71.655,9.3,14.626,16.802,0.36,1.16,0.371,0.08900000000000001,-0.004,0.0,0.062,0.07400000000000001,0.001,0.009000000000000001,0.032,0.008,0.017,0.002,0.038,0.024,-0.002,0.313,0.6679999999999999,0.313,0.569,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.023,0.478,0.08199999999999999,0.67,49.743,0.5529999999999999,0.154,0.075,0.271,1.61,1.676,0.612,0.333,0.502,1.3259999999999998,1.169,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.374,2.278,8.267999999999999,0.075,0.0,0.0,0.0
576,734,19710731,2,-0.100535,-0.127081,0.0,2.66,1.267,16.438,1.51,71.655,8.111,12.388,14.42,0.316,1.021,0.371,0.08900000000000001,-0.004,0.0,0.062,0.07400000000000001,0.001,0.009000000000000001,0.032,0.008,0.017,0.002,0.038,0.024,-0.002,0.313,0.6679999999999999,0.313,0.569,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.023,0.478,0.08199999999999999,0.67,49.743,0.5529999999999999,0.154,0.075,0.271,1.61,1.676,0.612,0.333,0.502,1.3259999999999998,1.169,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.374,2.278,8.267999999999999,0.075,0.0,0.0,0.0
612,774,19710831,2,0.133946,0.049008,0.0,1.208,1.291,21.168000000000006,3.01,72.18,7.547999999999999,8.344,10.878,0.32299999999999995,1.079,0.371,0.08900000000000001,0.006999999999999999,0.01,0.073,0.077,0.004,0.012,0.035,0.008,0.017,0.006999999999999999,0.038,0.032,0.009000000000000001,0.314,0.6679999999999999,0.314,0.556,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.024,0.468,0.08199999999999999,0.67,49.536,0.556,0.146,0.07200000000000001,0.271,1.61,1.676,0.612,0.333,0.502,1.584,1.695,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.426,2.324,8.267999999999999,0.075,0.0,0.0,0.0
647,814,19710930,2,-0.01168,0.013301,0.0,1.233,1.291,20.893,2.95,72.18,7.625,8.812999999999997,11.228,0.325,1.082,0.371,0.08900000000000001,0.006999999999999999,0.01,0.073,0.077,0.004,0.012,0.035,0.008,0.017,0.006999999999999999,0.038,0.032,0.009000000000000001,0.314,0.6679999999999999,0.314,0.556,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.024,0.468,0.08199999999999999,0.67,49.536,0.556,0.146,0.07200000000000001,0.271,1.61,1.676,0.612,0.333,0.502,1.584,1.695,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.426,2.324,8.267999999999999,0.075,0.0,0.0,0.0
682,854,19711031,2,-0.12132,-0.15880899999999998,0.0,1.019,1.291,18.308,3.39,72.18,6.416,6.847,9.095,0.276,0.923,0.371,0.08900000000000001,0.006999999999999999,0.01,0.073,0.077,0.004,0.012,0.035,0.008,0.017,0.006999999999999999,0.038,0.032,0.009000000000000001,0.314,0.6679999999999999,0.314,0.556,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.024,0.468,0.08199999999999999,0.67,49.536,0.556,0.146,0.07200000000000001,0.271,1.61,1.676,0.612,0.333,0.502,1.584,1.695,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.426,2.324,8.267999999999999,0.075,0.0,0.0,0.0
716,894,19711130,2,-0.048216,-0.05948,0.0,1.087,1.217,20.587,1.45,72.721,5.845,5.811,7.987,0.256,0.8690000000000001,0.371,0.08900000000000001,0.019,0.022,0.079,0.077,0.006999999999999999,0.012,0.035,0.008,0.017,0.014,0.038,0.033,0.021,0.313,0.6679999999999999,0.313,0.54,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.025,0.452,0.08199999999999999,0.67,49.45,0.557,0.171,0.095,0.271,1.61,1.676,0.612,0.333,0.502,1.981,1.959,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.443,2.342,8.267999999999999,0.075,0.0,0.0,0.0
749,934,19711231,2,0.156878,0.143956,0.0,1.232,1.217,23.839,3.24,72.721,6.667000000000002,6.4270000000000005,8.986,0.293,0.995,0.371,0.08900000000000001,0.019,0.022,0.079,0.077,0.006999999999999999,0.012,0.035,0.008,0.017,0.014,0.038,0.033,0.021,0.313,0.6679999999999999,0.313,0.54,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.025,0.452,0.08199999999999999,0.67,49.45,0.557,0.171,0.095,0.271,1.61,1.676,0.612,0.333,0.502,1.981,1.959,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.443,2.342,8.267999999999999,0.075,0.0,0.0,0.0
784,974,19720131,2,0.115792,0.030302,0.0,1.218,1.217,27.119,1.51,72.721,6.884,5.22,8.4,0.309,1.058,0.371,0.08900000000000001,0.019,0.022,0.079,0.077,0.006999999999999999,0.012,0.035,0.008,0.017,0.014,0.038,0.033,0.021,0.313,0.6679999999999999,0.313,0.54,0.35200000000000004,0.525,-0.23,0.17800000000000002,0.114,0.085,0.025,0.452,0.08199999999999999,0.67,49.45,0.557,0.171,0.095,0.271,1.61,1.676,0.612,0.333,0.502,1.981,1.959,119.358,0.135,1.382,0.893,1.275,5.524,42.87600000000001,4.282,3.443,2.342,8.267999999999999,0.075,0.0,0.0,0.0
818,1014,19720229,2,-0.005422,0.009478,0.149,0.568,1.327,23.965,4.29,7.806,4.432,19.996,19.996,0.303,0.979,0.45,0.146,0.055,0.055,0.081,0.104,0.016,0.041,0.064,0.06,0.101,0.03,0.08800000000000001,0.086,0.054000000000000006,0.319,0.654,0.315,0.41,0.366,0.519,0.463,0.278,0.16,0.078,0.039,0.204,0.276,0.59,3.165,0.524,0.125,0.076,0.344,1.494,1.44,0.5820000000000001,0.269,0.417,2.441,3.367,116.665,0.15,1.6269999999999998,1.032,1.367,6.392,21.212,4.881,3.405,2.27,6.874,0.068,0.012,0.0,0.0
