,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
24,16,19700131,10,-0.046649,-0.047415,0.013,1.824,0.965,10.052,1.77,9.432,5.358,10.696,10.443,0.5489999999999999,0.5870000000000001,0.371,0.067,0.065,0.065,0.073,0.193,0.062,0.136,0.193,0.058,0.08800000000000001,0.104,0.07,0.071,0.091,0.35200000000000004,0.6679999999999999,0.35100000000000003,0.397,0.12,0.449,-0.08900000000000001,0.131,0.08,0.118,0.141,0.114,0.501,0.29600000000000004,3.22,0.535,0.058,0.051,0.537,0.573,0.7879999999999999,0.48,0.285,0.316,3.3510000000000004,3.953,35.292,0.28800000000000003,1.584,1.236,0.307,17.176,7.521,9.751,0.821,0.49,6.9689999999999985,0.019,0.0,0.0,0.0
41,56,19700228,10,0.120682,0.086253,0.34,0.8759999999999999,1.517,12.196,4.78,7.497000000000001,4.64,12.955,12.136,0.672,0.688,0.362,0.07400000000000001,0.056,0.067,0.055,0.226,0.065,0.14400000000000002,0.226,0.066,0.087,0.101,0.077,0.084,0.073,0.305,0.6609999999999999,0.332,0.385,0.106,0.464,-0.228,0.31,0.094,0.097,0.152,0.171,0.603,0.26,2.901,0.461,0.054000000000000006,0.049,0.542,0.601,0.82,0.489,0.293,0.3670000000000001,3.536,4.833,37.949,0.236,1.466,1.166,0.512,20.173,11.951,8.797,0.773,0.471,9.082,0.019,0.0,0.0,0.0
68,96,19700331,9,-0.029665,-0.006874,0.326,0.8079999999999999,1.55,11.644,4.82,7.497000000000001,4.669,11.389,11.105,0.6509999999999999,0.581,0.359,0.07400000000000001,0.052000000000000005,0.06,0.052000000000000005,0.197,0.075,0.12,0.197,0.07,0.078,0.109,0.078,0.083,0.068,0.28800000000000003,0.675,0.319,0.382,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.458,0.054000000000000006,0.048,0.562,0.593,0.688,0.484,0.285,0.325,3.68,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.746,0.461,10.809,0.021,0.0,0.0,0.0
106,136,19700430,9,-0.111861,-0.083442,0.326,0.645,1.55,10.512,5.2,7.497000000000001,4.481,10.137,9.835,0.635,0.514,0.359,0.07400000000000001,0.052000000000000005,0.06,0.052000000000000005,0.197,0.075,0.12,0.197,0.07,0.078,0.109,0.078,0.083,0.068,0.28800000000000003,0.675,0.319,0.382,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.458,0.054000000000000006,0.048,0.562,0.593,0.688,0.484,0.285,0.325,3.68,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.746,0.461,10.809,0.021,0.0,0.0,0.0
135,176,19700531,9,-0.100069,-0.100539,0.023,2.478,1.55,8.408,5.29,7.497000000000001,4.435,9.604,8.77,0.551,0.477,0.359,0.07400000000000001,0.052000000000000005,0.06,0.046,0.197,0.069,0.12,0.197,0.07,0.078,0.1,0.078,0.08,0.047,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.504,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.757,0.56,10.809,0.021,0.0,0.0,0.0
163,215,19700630,9,-0.140293,-0.155219,0.023,1.851,1.55,7.0710000000000015,4.0,7.497000000000001,3.379,8.174,7.532999999999999,0.423,0.379,0.359,0.07400000000000001,0.052000000000000005,0.06,0.046,0.197,0.069,0.12,0.197,0.07,0.078,0.1,0.078,0.08,0.047,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.504,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.757,0.56,10.809,0.021,0.0,0.0,0.0
190,255,19700731,9,0.093773,0.11104,0.023,2.403,1.55,7.925,4.46,7.497000000000001,3.5660000000000003,8.854,8.222999999999999,0.478,0.382,0.359,0.07400000000000001,0.052000000000000005,0.06,0.046,0.197,0.069,0.12,0.197,0.07,0.078,0.1,0.078,0.08,0.047,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.504,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.757,0.56,10.809,0.021,0.0,0.0,0.0
219,295,19700831,9,0.087979,0.062821,0.017,2.593,1.55,8.802,3.15,7.497000000000001,3.449,9.327,8.895,0.498,0.453,0.359,0.07400000000000001,0.052000000000000005,0.06,0.042,0.197,0.059,0.12,0.197,0.07,0.078,0.093,0.078,0.083,0.049,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.473,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.7609999999999999,0.496,10.809,0.021,0.0,0.0,0.0
250,335,19700930,9,0.13549,0.14989,0.017,2.507,1.55,10.014,3.57,7.497000000000001,3.989,10.706,10.706,0.616,0.468,0.359,0.07400000000000001,0.052000000000000005,0.06,0.042,0.197,0.059,0.12,0.197,0.07,0.078,0.093,0.078,0.083,0.049,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.473,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.7609999999999999,0.496,10.809,0.021,0.0,0.0,0.0
279,375,19701031,9,-0.053366,-0.053860000000000005,0.017,2.389,1.55,9.612,5.7,7.497000000000001,3.637,9.665,9.665,0.537,0.459,0.359,0.07400000000000001,0.052000000000000005,0.06,0.042,0.197,0.059,0.12,0.197,0.07,0.078,0.093,0.078,0.083,0.049,0.321,0.679,0.321,0.386,0.123,0.435,-0.228,0.359,0.111,0.069,0.152,0.098,0.626,0.243,2.901,0.473,0.054000000000000006,0.049,0.562,0.593,0.688,0.484,0.285,0.325,3.392,5.362,29.9,0.321,1.634,1.139,0.643,20.173,12.195,9.31,0.7609999999999999,0.496,10.809,0.021,0.0,0.0,0.0
