,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
25,17,19700131,32,-0.028851,-0.02598,0.012,2.858,0.5710000000000001,17.735,4.1,8.107999999999999,12.236,16.590999999999998,17.47,0.374,1.511,0.48,0.44,0.106,0.106,0.111,0.281,0.027000000000000003,0.063,0.08199999999999999,0.131,0.171,0.055,0.159,0.157,0.118,0.258,0.728,0.258,0.378,0.495,0.312,-0.005,0.282,0.125,0.126,0.048,0.32,0.6859999999999999,0.52,2.018,0.35700000000000004,0.094,0.063,0.414,1.087,0.8,0.434,0.268,0.365,4.259,6.822,105.105,0.228,2.217,1.129,1.853,5.902,15.5,11.462,3.075,2.507,6.707000000000002,0.005,0.0,0.0,0.0
48,57,19700228,32,0.051509000000000006,0.066453,0.075,3.03,0.643,16.92,4.24,8.106,13.171,16.881,16.985,0.409,1.581,0.481,0.434,0.106,0.106,0.106,0.28,0.027000000000000003,0.063,0.08199999999999999,0.131,0.171,0.054000000000000006,0.159,0.157,0.107,0.256,0.7340000000000001,0.256,0.378,0.506,0.332,0.033,0.308,0.161,0.112,0.048,0.29,0.679,0.525,2.093,0.35200000000000004,0.102,0.063,0.376,1.123,0.7979999999999999,0.441,0.268,0.365,3.835,6.22,105.105,0.219,2.143,1.111,1.778,5.934,15.5,11.371,3.084,2.557,7.1179999999999986,0.013,0.0,0.0,0.0
69,97,19700331,32,-0.000496,-0.006615,0.083,2.37,0.643,16.679000000000002,5.24,8.106,13.251,16.935,16.333,0.413,1.557,0.481,0.434,0.106,0.107,0.106,0.28,0.027000000000000003,0.063,0.08199999999999999,0.131,0.171,0.054000000000000006,0.159,0.157,0.092,0.256,0.7090000000000001,0.263,0.374,0.506,0.332,0.033,0.308,0.161,0.112,0.048,0.279,0.679,0.525,2.093,0.343,0.102,0.063,0.376,1.123,0.7979999999999999,0.441,0.268,0.365,3.835,6.22,105.105,0.219,2.143,1.111,1.778,5.934,15.5,11.371,3.093,2.557,7.1179999999999986,0.013,0.0,0.0,0.0
95,137,19700430,32,-0.091897,-0.094167,0.123,2.001,0.643,15.337,5.58,8.106,11.571,15.664,15.651,0.377,1.474,0.48,0.434,0.106,0.107,0.106,0.28,0.027000000000000003,0.065,0.083,0.131,0.171,0.054000000000000006,0.159,0.157,0.092,0.256,0.7090000000000001,0.263,0.374,0.506,0.332,0.033,0.313,0.168,0.112,0.048,0.279,0.679,0.514,2.093,0.343,0.102,0.063,0.376,1.169,0.7979999999999999,0.441,0.268,0.365,3.835,6.22,66.145,0.219,2.143,1.111,1.778,5.934,14.007,11.371,3.093,2.557,7.069,0.013,0.0,0.0,0.0
123,177,19700531,32,-0.099967,-0.084174,0.009000000000000001,1.706,0.667,13.389,3.54,8.274,10.308,13.723,14.22,0.297,1.218,0.482,0.441,0.103,0.106,0.098,0.28,0.027000000000000003,0.063,0.081,0.131,0.174,0.055,0.161,0.16699999999999998,0.052000000000000005,0.243,0.691,0.265,0.379,0.506,0.339,0.048,0.308,0.151,0.109,0.047,0.276,0.637,0.52,2.093,0.361,0.099,0.064,0.376,1.1840000000000002,0.8490000000000001,0.456,0.268,0.365,3.831,6.14,66.145,0.21600000000000005,2.123,1.075,1.805,5.934,14.007,10.976,3.141,2.652,7.261,0.005,0.0,0.0,0.0
152,216,19700630,31,-0.027772,-0.000166,0.013,1.838,0.665,12.621,3.67,8.043,10.855,13.595,13.661,0.305,1.186,0.483,0.446,0.104,0.106,0.099,0.281,0.028,0.066,0.08199999999999999,0.135,0.184,0.059,0.162,0.177,0.051,0.229,0.69,0.265,0.384,0.516,0.34700000000000003,0.033,0.303,0.145,0.114,0.048,0.279,0.6779999999999999,0.52,2.0,0.337,0.102,0.065,0.369,1.183,0.853,0.461,0.27,0.381,3.835,6.22,102.114,0.215,2.125,1.057,1.7990000000000002,5.92,15.345,11.019,3.133,2.514,7.2879999999999985,0.002,0.0,0.0,0.0
191,256,19700731,31,0.069165,0.061992999999999986,0.018000000000000002,1.862,0.725,14.515999999999998,1.5,7.901,11.117,14.614,14.85,0.341,1.269,0.483,0.446,0.103,0.105,0.099,0.281,0.028,0.066,0.08199999999999999,0.131,0.174,0.059,0.161,0.16699999999999998,0.052000000000000005,0.229,0.69,0.265,0.384,0.516,0.34700000000000003,0.051,0.309,0.151,0.114,0.047,0.279,0.6779999999999999,0.52,1.889,0.337,0.105,0.071,0.369,1.183,0.853,0.461,0.27,0.396,3.744,6.103,142.483,0.214,2.16,1.057,1.763,5.449,13.762,11.043,3.149,2.514,7.2879999999999985,0.006999999999999999,0.0,0.0,0.0
220,296,19700831,31,0.029653,0.000612,0.012,1.311,0.725,13.07,2.97,7.885,8.816,13.047,14.415,0.35,1.164,0.494,0.446,0.101,0.105,0.099,0.281,0.028,0.066,0.08199999999999999,0.126,0.16399999999999998,0.059,0.16,0.158,0.061,0.237,0.69,0.265,0.366,0.516,0.348,0.124,0.312,0.153,0.114,0.047,0.272,0.68,0.519,1.883,0.316,0.103,0.069,0.383,1.183,0.853,0.461,0.265,0.396,4.114,6.22,105.846,0.201,2.125,1.057,1.741,5.5379999999999985,12.521,11.153,3.517,2.552,7.2879999999999985,0.019,0.0,0.0,0.0
251,336,19700930,31,0.061691,0.030903,0.019,1.27,0.725,13.884,2.88,7.885,9.241,13.792,14.773,0.341,1.31,0.494,0.443,0.098,0.098,0.099,0.281,0.028,0.066,0.08199999999999999,0.126,0.16399999999999998,0.059,0.16,0.158,0.064,0.238,0.721,0.243,0.366,0.516,0.348,0.124,0.312,0.153,0.114,0.047,0.272,0.68,0.519,1.883,0.326,0.108,0.073,0.383,1.183,0.853,0.461,0.265,0.396,4.114,6.22,121.399,0.201,2.125,1.057,1.741,5.5379999999999985,12.715,11.153,3.517,2.552,7.2879999999999985,0.008,0.0,0.0,0.0
280,376,19701031,31,-0.002075,0.00304,0.012,1.295,0.725,13.924,3.78,7.885,9.438,13.725,14.947,0.335,1.274,0.494,0.443,0.098,0.098,0.099,0.281,0.028,0.066,0.08199999999999999,0.126,0.16399999999999998,0.059,0.16,0.158,0.063,0.238,0.721,0.243,0.366,0.516,0.348,0.124,0.312,0.153,0.114,0.047,0.272,0.68,0.519,1.883,0.326,0.108,0.073,0.383,1.183,0.853,0.461,0.265,0.396,4.114,6.22,121.399,0.201,2.125,1.057,1.741,5.5379999999999985,12.715,11.153,3.517,2.552,7.2879999999999985,0.008,0.0,0.0,0.0
