,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
390,537,19710228,4,0.01314,0.0007070000000000001,0.471,0.14400000000000002,0.877,4.422,1.85,2.862,2.458,-1.315,15.432,0.5710000000000001,1.382,0.438,0.198,-0.005,-0.005,0.036000000000000004,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,-0.009000000000000001,0.447,0.5529999999999999,0.447,0.748,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.836,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.49,2.404,0.108,0.0,0.0,0.0
425,577,19710331,4,0.12808699999999998,0.145538,0.471,0.17,0.877,3.645,3.62,2.862,2.914,-1.509,18.21,0.665,1.656,0.438,0.198,-0.005,-0.005,0.036000000000000004,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,-0.009000000000000001,0.447,0.5529999999999999,0.447,0.748,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.836,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.49,2.404,0.108,0.0,0.0,0.0
459,617,19710430,4,-0.008189,-0.016377000000000003,0.471,0.165,0.877,3.489,1.35,2.862,2.881,-1.578,17.593,0.667,1.586,0.438,0.198,0.025,0.025,0.035,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,0.021,0.447,0.5529999999999999,0.447,0.748,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.836,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.49,2.404,0.108,0.0,0.0,0.0
494,657,19710531,4,-0.151884,-0.141976,0.287,0.111,0.877,-0.046,5.26,2.862,2.475,-1.315,14.036,0.555,1.394,0.438,0.198,0.025,0.025,0.034,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,0.021,0.426,0.574,0.426,0.7609999999999999,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.752,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.462,2.404,0.108,0.0,0.0,0.0
536,697,19710630,4,-0.043702,-0.047358,0.287,0.106,0.877,1.005,5.0,2.862,2.263,-1.149,13.478,0.511,1.2990000000000002,0.438,0.198,0.025,0.025,0.034,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,0.021,0.426,0.574,0.426,0.7609999999999999,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.752,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.462,2.404,0.108,0.0,0.0,0.0
563,737,19710731,4,-0.034219,-0.029326,0.0,0.102,0.877,0.13699999999999998,1.75,2.862,2.291,-1.163,12.989,0.503,1.287,0.438,0.198,0.052000000000000005,0.052000000000000005,0.041,0.276,-0.011,0.015,0.03,0.027000000000000003,0.052000000000000005,-0.024,0.03,0.016,0.048,0.426,0.574,0.426,0.7609999999999999,0.57,0.253,0.926,0.327,0.191,0.111,0.003,0.4920000000000001,0.066,0.5760000000000001,0.654,0.752,0.099,0.067,0.29600000000000004,7.494,2.559,0.718,0.424,0.599,0.831,0.634,339.936,0.199,1.986,0.79,0.772,1.274,11.071,4.497,2.5780000000000003,1.462,2.404,0.108,0.0,0.0,0.0
606,777,19710831,4,-0.037157,-0.019043,0.0,0.08800000000000001,0.7979999999999999,-29.245,3.11,-4.822,2.533,-1.08,12.436,0.509,1.3,0.445,0.128,-0.191,-0.191,-0.055,0.183,-0.086,-0.08800000000000001,-0.073,-0.085,-0.16,-0.134,-0.057,-0.093,-0.179,0.426,0.574,0.426,0.7509999999999999,0.588,0.263,0.8490000000000001,0.342,0.191,0.08900000000000001,-0.071,0.48,-0.16,0.5770000000000001,-2.977,0.752,0.107,0.07200000000000001,0.28800000000000003,7.494,2.777,0.733,0.3720000000000001,0.601,-1.083,-2.15,339.936,0.188,1.7919999999999998,0.665,0.73,1.274,11.071,4.378,2.762,1.608,2.864,0.183,0.0,0.0,0.0
641,817,19710930,4,0.056232,0.085592,0.0,0.102,0.7979999999999999,-30.89,2.09,-4.822,2.619,-1.08,14.359000000000002,0.5539999999999999,1.403,0.445,0.128,-0.191,-0.191,-0.055,0.183,-0.086,-0.08800000000000001,-0.073,-0.085,-0.16,-0.134,-0.057,-0.093,-0.179,0.426,0.574,0.426,0.7509999999999999,0.588,0.263,0.8490000000000001,0.342,0.191,0.08900000000000001,-0.071,0.48,-0.16,0.5770000000000001,-2.977,0.752,0.107,0.07200000000000001,0.28800000000000003,7.494,2.777,0.733,0.3720000000000001,0.601,-1.083,-2.15,339.936,0.188,1.7919999999999998,0.665,0.73,1.274,11.071,4.378,2.762,1.608,2.864,0.183,0.0,0.0,0.0
669,857,19711031,4,-0.105895,-0.128924,0.0,0.084,0.777,-23.26,0.57,2.364,4.522,11.923,6.476,0.485,1.116,0.455,0.177,-0.158,-0.158,0.0,0.207,-0.039,-0.024,-0.006999999999999999,-0.026,-0.067,-0.05,-0.006,-0.02,-0.14800000000000002,0.378,0.622,0.378,0.7509999999999999,0.588,0.258,0.772,0.228,0.135,0.105,-0.025,0.48,0.0,0.5770000000000001,0.223,0.637,0.106,0.069,0.276,8.025,2.422,0.696,0.3720000000000001,0.557,0.065,-0.39,339.936,0.19,1.7919999999999998,0.665,0.738,1.274,10.913,4.378,2.613,1.608,2.864,0.115,0.0,0.0,0.0
805,1017,19720229,4,0.014764,0.040371,0.0,0.132,0.784,-27.482,1.32,9.429,5.04,16.115,14.524,0.68,1.452,0.465,0.151,0.097,0.097,0.08800000000000001,0.162,0.042,0.061,0.079,0.062,0.109,0.068,0.069,0.069,0.095,0.393,0.607,0.393,0.469,0.594,0.256,0.84,0.298,0.174,0.104,0.057,0.337,0.253,0.479,2.6710000000000003,0.703,0.106,0.067,0.29100000000000004,7.069,1.756,0.639,0.325,0.464,2.628,2.587,288.322,0.22,2.3040000000000003,0.8270000000000001,0.813,1.56,10.451,4.208,2.331,1.473,2.47,0.125,0.0,0.02,0.0
840,1057,19720331,4,-0.034764,-0.038699,0.0,0.127,0.784,-25.426,1.52,9.429,4.953,15.502,13.69,0.635,1.445,0.465,0.151,0.097,0.097,0.08800000000000001,0.162,0.042,0.061,0.079,0.062,0.109,0.068,0.069,0.069,0.095,0.393,0.607,0.393,0.469,0.594,0.256,0.84,0.298,0.174,0.104,0.057,0.337,0.253,0.479,2.6710000000000003,0.703,0.106,0.067,0.29100000000000004,7.069,1.756,0.639,0.325,0.464,2.628,2.587,288.322,0.22,2.3040000000000003,0.8270000000000001,0.813,1.56,10.451,4.208,2.331,1.473,2.47,0.125,0.0,0.02,0.0
874,1097,19720430,4,-0.001396,-0.023173,0.0,0.118,0.784,-25.873,1.3,9.429,4.774,14.461,12.5,0.6990000000000001,1.419,0.465,0.151,0.097,0.097,0.102,0.162,0.044,0.061,0.079,0.062,0.109,0.068,0.069,0.069,0.096,0.392,0.608,0.392,0.469,0.594,0.256,0.84,0.298,0.174,0.104,0.057,0.345,0.253,0.479,2.6710000000000003,0.7020000000000001,0.106,0.067,0.29100000000000004,7.069,1.741,0.639,0.325,0.464,2.628,2.587,288.322,0.22,2.3040000000000003,0.8270000000000001,0.813,1.56,10.451,4.208,2.1830000000000003,1.359,2.47,0.125,0.0,0.02,0.0
926,1137,19720531,4,-0.06981799999999999,-0.050105,0.0,0.099,0.728,-24.253,3.79,9.429,4.544,13.720999999999998,11.548,0.675,1.298,0.465,0.151,0.092,0.092,0.093,0.162,0.043,0.061,0.079,0.062,0.109,0.068,0.069,0.069,0.092,0.369,0.68,0.411,0.482,0.594,0.256,0.84,0.298,0.174,0.104,0.057,0.345,0.253,0.479,2.6710000000000003,0.617,0.106,0.068,0.281,7.069,1.722,0.639,0.29,0.464,2.628,2.587,288.322,0.22,2.3040000000000003,0.8270000000000001,0.85,1.56,10.451,4.6530000000000005,2.119,1.518,2.457,0.125,0.0,0.02,0.0
946,1177,19720630,4,-0.022021,-0.034487000000000004,0.0,0.096,0.728,-22.367,3.88,9.429,4.652,13.255999999999998,9.881,0.605,1.263,0.465,0.151,0.092,0.092,0.093,0.162,0.043,0.061,0.079,0.062,0.109,0.068,0.069,0.069,0.092,0.369,0.68,0.411,0.482,0.594,0.256,0.84,0.298,0.174,0.104,0.057,0.345,0.253,0.479,2.6710000000000003,0.617,0.106,0.068,0.281,7.069,1.722,0.639,0.29,0.464,2.628,2.587,288.322,0.22,2.3040000000000003,0.8270000000000001,0.85,1.56,10.451,4.6530000000000005,2.119,1.518,2.457,0.125,0.0,0.02,0.0
