,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
130,179,19700531,3,0.034089,0.033614,0.0,12.388,0.363,30.895,2.15,29.771,25.79,29.924,21.703000000000007,5.966,2.757,0.217,0.198,0.105,0.105,0.141,0.229,0.21,0.207,0.229,0.22,0.252,0.359,0.123,0.104,0.105,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.231,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.5670000000000001,0.5,1.02,-0.031,0.0,0.0,0.0
153,218,19700630,3,0.198533,0.194056,0.0,14.896,0.325,39.16,2.79,29.771,28.786,35.985,26.099,6.659,3.077,0.217,0.198,0.105,0.105,0.141,0.229,0.21,0.207,0.229,0.22,0.252,0.359,0.123,0.104,0.105,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.231,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.5670000000000001,0.5,1.02,-0.031,0.0,0.0,0.0
180,258,19700731,3,-0.032953,-0.033859,0.0,14.112,0.322,36.996,3.38,29.771,29.047,34.091,24.725,6.72,3.105,0.217,0.198,0.105,0.105,0.141,0.229,0.21,0.207,0.229,0.22,0.252,0.359,0.123,0.104,0.105,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.231,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.5670000000000001,0.5,1.02,-0.031,0.0,0.0,0.0
221,298,19700831,3,0.103971,0.102525,0.0,4.697,0.304,42.672,1.53,32.541,32.945,35.536,35.536,7.2010000000000005,3.286,0.217,0.198,0.097,0.097,0.13,0.203,0.197,0.182,0.203,0.22,0.252,0.336,0.123,0.09,0.097,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.219,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.623,0.525,1.02,-0.031,0.0,0.0,0.0
239,338,19700930,3,-0.051868,-0.056486,0.0,4.177,0.315,41.878,3.53,32.541,31.828000000000007,31.607,31.607,6.957000000000002,3.175,0.217,0.198,0.097,0.097,0.13,0.203,0.197,0.182,0.203,0.22,0.252,0.336,0.123,0.09,0.097,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.219,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.623,0.525,1.02,-0.031,0.0,0.0,0.0
281,378,19701031,3,0.115165,0.115518,0.0,4.697,0.284,46.64100000000001,1.03,32.541,35.249,35.536,35.536,7.704,3.516,0.217,0.198,0.097,0.097,0.13,0.203,0.197,0.182,0.203,0.22,0.252,0.336,0.123,0.09,0.097,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.219,0.141,2.015,0.965,0.0,0.0,0.018000000000000002,0.017,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,7.229,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.623,0.525,1.02,-0.031,0.0,0.0,0.0
298,418,19701130,3,0.040561,0.041281,0.0,1.909,0.274,48.738,4.59,39.028,39.499,35.304,35.304,8.135,3.648,0.217,0.198,0.09,0.09,0.119,0.175,0.185,0.153,0.175,0.22,0.252,0.31,0.123,0.075,0.09,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.206,0.141,2.015,0.965,0.0,0.0,0.101,0.087,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,3.786,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.66,0.557,1.02,-0.031,0.0,0.0,0.0
329,458,19701231,3,-0.103479,-0.104977,0.0,1.672,0.311,45.124,3.37,39.028,34.843,30.912,30.912,7.176,3.218,0.217,0.198,0.09,0.09,0.119,0.175,0.185,0.153,0.175,0.22,0.252,0.31,0.123,0.075,0.09,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.206,0.141,2.015,0.965,0.0,0.0,0.101,0.087,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,3.786,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.66,0.557,1.02,-0.031,0.0,0.0,0.0
359,498,19710131,3,-0.009317,-0.008661,0.0,1.681,0.311,43.714,1.68,39.028,34.768,31.081,31.081,7.1610000000000005,3.2110000000000003,0.217,0.198,0.09,0.09,0.119,0.175,0.185,0.153,0.175,0.22,0.252,0.31,0.123,0.075,0.09,0.0,1.0,0.0,0.0,0.162,0.051,0.8690000000000001,0.97,0.948,4.287,0.206,0.141,2.015,0.965,0.0,0.0,0.101,0.087,0.0,1.2819999999999998,0.166,0.142,0.0,0.013,3.786,-2.396,168.023,4.444,5.975,4.577,0.423,2.117,18.929,16.448,0.66,0.557,1.02,-0.031,0.0,0.0,0.0
894,1138,19720531,3,0.209459,0.206493,0.0,25.395,0.303,49.349,3.81,30.383000000000006,36.062,51.157,49.33,7.8279999999999985,3.731,0.234,0.084,0.096,0.096,0.133,0.215,0.195,0.192,0.215,0.128,0.141,0.34,0.084,0.095,0.096,0.0,0.961,0.0,0.0,0.151,0.044,0.752,1.516,1.232,4.694,0.217,0.194,1.499,0.942,0.0,0.0,0.076,0.061,0.0,1.135,0.152,0.131,0.0,0.024,3.765,0.938,101.779,4.9830000000000005,5.972,5.07,0.466,3.423,23.634,16.543,0.64,0.541,1.091,0.015,0.0,0.0,0.0
