,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
391,539,19710228,1,0.029762,0.029762,0.621,5.311,1.175,12.958,3.0,6.316,5.556,12.949000000000002,12.949000000000002,0.534,1.0590000000000002,0.378,0.129,0.095,0.094,0.083,0.129,0.043,0.08199999999999999,0.129,0.1,0.122,0.073,0.131,0.103,0.08900000000000001,0.387,0.585,0.374,0.44,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.15,0.833,0.311,2.727,0.591,0.068,0.058,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.135,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.121,1.255,5.784,0.054000000000000006,0.01,0.0,0.0
426,579,19710331,1,-0.021965,-0.021965,0.621,5.127000000000002,1.175,12.509,1.85,6.316,5.364,12.5,12.5,0.516,1.022,0.378,0.129,0.095,0.094,0.083,0.129,0.043,0.08199999999999999,0.129,0.1,0.122,0.073,0.131,0.103,0.08900000000000001,0.387,0.585,0.374,0.44,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.15,0.833,0.311,2.727,0.591,0.068,0.058,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.135,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.121,1.255,5.784,0.054000000000000006,0.01,0.0,0.0
467,619,19710430,1,0.203593,0.203593,0.621,6.17,1.175,15.055,3.62,6.316,6.456,15.045,15.045,0.621,1.23,0.378,0.129,0.095,0.094,0.083,0.129,0.043,0.08199999999999999,0.129,0.1,0.122,0.073,0.131,0.103,0.08900000000000001,0.387,0.585,0.374,0.44,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.15,0.833,0.311,2.727,0.591,0.068,0.058,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.135,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.121,1.255,5.784,0.054000000000000006,0.01,0.0,0.0
492,659,19710531,1,-0.07960199999999999,-0.07960199999999999,0.006,8.988999999999997,0.901,14.021,1.68,6.316,5.942,13.603,13.603,0.581,1.23,0.378,0.129,0.095,0.094,0.085,0.129,0.045,0.08199999999999999,0.129,0.1,0.122,0.076,0.131,0.103,0.096,0.41,0.583,0.41,0.449,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.086,0.833,0.311,2.727,0.7040000000000001,0.06,0.055,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.262,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.087,1.231,5.784,0.054000000000000006,0.0,0.0,0.0
526,699,19710630,1,-0.058378,-0.058378,0.006,8.357000000000001,0.901,13.036,6.4,6.316,5.524,12.647,12.647,0.54,1.143,0.378,0.129,0.095,0.094,0.085,0.129,0.045,0.08199999999999999,0.129,0.1,0.122,0.076,0.131,0.103,0.096,0.41,0.583,0.41,0.449,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.086,0.833,0.311,2.727,0.7040000000000001,0.06,0.055,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.262,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.087,1.231,5.784,0.054000000000000006,0.0,0.0,0.0
562,739,19710731,1,-0.08720900000000001,-0.08720900000000001,0.006,7.627999999999999,0.901,11.899,3.52,6.316,5.043,11.544,11.544,0.493,1.044,0.378,0.129,0.095,0.094,0.085,0.129,0.045,0.08199999999999999,0.129,0.1,0.122,0.076,0.131,0.103,0.096,0.41,0.583,0.41,0.449,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.086,0.833,0.311,2.727,0.7040000000000001,0.06,0.055,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.262,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.087,1.231,5.784,0.054000000000000006,0.0,0.0,0.0
596,779,19710831,1,0.007643,0.007643,0.006,40.35,0.902,11.685,2.58,6.316,5.01,11.017,9.606,0.495,1.004,0.378,0.129,0.099,0.099,0.084,0.129,0.048,0.08199999999999999,0.129,0.1,0.122,0.08,0.131,0.103,0.1,0.415,0.579,0.415,0.448,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.075,0.833,0.311,2.727,0.7170000000000001,0.057,0.052000000000000005,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.443,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.046,1.198,5.784,0.054000000000000006,0.0,0.0,0.0
631,819,19710930,1,0.064103,0.064103,0.006,42.937,0.902,12.434,3.39,6.316,5.332000000000002,11.723,10.222,0.527,1.068,0.378,0.129,0.099,0.099,0.084,0.129,0.048,0.08199999999999999,0.129,0.1,0.122,0.08,0.131,0.103,0.1,0.415,0.579,0.415,0.448,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.075,0.833,0.311,2.727,0.7170000000000001,0.057,0.052000000000000005,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.443,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.046,1.198,5.784,0.054000000000000006,0.0,0.0,0.0
667,859,19711031,1,-0.13253,-0.13253,0.006,37.246,0.902,10.786,0.93,6.316,4.625,10.169,8.867,0.457,0.927,0.378,0.129,0.099,0.099,0.084,0.129,0.048,0.08199999999999999,0.129,0.1,0.122,0.08,0.131,0.103,0.1,0.415,0.579,0.415,0.448,0.495,0.34,0.123,0.622,0.193,0.101,0.09,0.075,0.833,0.311,2.727,0.7170000000000001,0.057,0.052000000000000005,0.599,0.975,1.055,0.499,0.35200000000000004,0.464,3.443,4.046,87.273,0.326,2.119,1.071,1.021,5.283,23.876,8.86,2.046,1.198,5.784,0.054000000000000006,0.0,0.0,0.0
1026,1259,19720831,1,0.068712,0.068712,0.004,19.883,1.048,12.156,2.51,6.644,-121.78,10.386,10.386,0.502,1.031,0.398,0.127,0.11,0.109,0.08900000000000001,0.13699999999999998,0.051,0.08800000000000001,0.13699999999999998,0.101,0.125,0.087,0.133,0.105,0.107,0.393,0.596,0.389,0.462,0.397,0.325,-0.311,-0.024,0.18,0.152,0.097,0.159,0.778,0.32,2.8110000000000004,0.635,0.064,0.054000000000000006,0.585,0.983,1.107,0.511,0.355,0.474,3.57,4.8039999999999985,80.395,0.475,2.049,1.235,0.968,5.718,14.477,8.891,2.095,1.26,5.645,-0.053,0.0,0.0,0.0
