,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
14,21,19700131,10,-0.14265799999999998,-0.09157,0.0,2.275,0.275,31.436,5.4,9.935,15.95,26.414,25.163,1.355,4.332,0.499,0.484,0.128,0.125,0.125,0.472,0.055,0.111,0.16699999999999998,0.14800000000000002,0.223,0.11,0.201,0.183,0.079,0.298,0.682,0.292,0.411,0.449,0.43,-0.08900000000000001,0.273,0.142,0.08199999999999999,0.11,0.173,0.635,0.5429999999999999,1.652,0.329,0.086,0.063,0.402,1.689,0.961,0.522,0.277,0.362,4.353,6.526,104.039,0.151,2.156,1.304,1.245,2.169,12.331,5.347,2.264,1.5730000000000002,3.484,0.032,0.0,0.0,0.0
39,61,19700228,10,0.010445,0.016819999999999998,0.129,2.109,0.297,40.534,3.09,11.527,15.130999999999998,24.402,23.201,1.364,3.268,0.486,0.454,0.136,0.136,0.125,0.435,0.055,0.113,0.168,0.136,0.202,0.105,0.202,0.179,0.099,0.307,0.648,0.308,0.439,0.486,0.426,-0.54,0.271,0.11,0.071,0.111,0.3,0.632,0.537,2.075,0.394,0.092,0.065,0.397,1.689,0.973,0.526,0.307,0.435,3.389,5.834,110.17,0.138,2.1590000000000003,1.167,1.2009999999999998,2.169,11.707,5.23,2.169,1.538,3.547,-0.009000000000000001,0.0,0.0,0.0
67,101,19700331,10,-0.037909,-0.012878,0.13,2.0980000000000003,0.297,38.242,3.83,11.527,16.029,22.931,21.819000000000006,1.291,2.221,0.486,0.454,0.132,0.132,0.125,0.435,0.054000000000000006,0.113,0.168,0.136,0.202,0.105,0.202,0.179,0.099,0.307,0.648,0.28,0.4,0.486,0.426,-0.54,0.271,0.11,0.071,0.111,0.3,0.632,0.537,2.075,0.403,0.092,0.065,0.397,1.689,0.973,0.526,0.307,0.435,3.389,5.834,110.17,0.138,2.1590000000000003,1.167,1.2009999999999998,2.169,11.707,5.23,2.176,1.543,3.547,-0.009000000000000001,0.0,0.0,0.0
103,141,19700430,10,-0.183852,-0.127681,0.13,1.847,0.297,33.874,1.51,11.527,11.797,18.476,17.694000000000006,1.0659999999999998,1.846,0.486,0.454,0.132,0.132,0.125,0.435,0.054000000000000006,0.113,0.168,0.136,0.202,0.105,0.202,0.179,0.099,0.307,0.648,0.28,0.4,0.486,0.426,-0.54,0.271,0.11,0.071,0.111,0.3,0.632,0.537,2.075,0.403,0.092,0.065,0.397,1.689,0.973,0.526,0.307,0.435,3.389,5.834,110.17,0.138,2.1590000000000003,1.167,1.2009999999999998,2.169,11.707,5.23,2.176,1.543,3.547,-0.009000000000000001,0.0,0.0,0.0
121,181,19700531,10,-0.11258,-0.07322000000000001,0.001,1.643,0.297,19.218,5.14,11.134,8.457,17.551,17.163,0.894,1.696,0.486,0.444,0.124,0.124,0.13,0.44,0.053,0.102,0.16699999999999998,0.136,0.202,0.09,0.202,0.16899999999999998,0.038,0.307,0.648,0.28,0.422,0.486,0.426,-0.835,0.241,0.11,0.079,0.116,0.3,0.6609999999999999,0.537,2.005,0.421,0.092,0.062,0.397,1.666,0.973,0.526,0.311,0.42,3.485,5.621,110.17,0.15,2.18,1.167,1.2009999999999998,2.225,11.707,5.23,2.213,1.6880000000000002,3.485,-0.009000000000000001,0.0,0.0,0.0
151,220,19700630,10,-0.12606199999999998,-0.115924,0.001,1.254,0.297,18.402,4.3,10.728,7.042999999999998,15.917,15.566,0.682,1.727,0.486,0.444,0.116,0.116,0.13,0.44,0.049,0.115,0.16699999999999998,0.136,0.202,0.096,0.202,0.177,0.04,0.307,0.648,0.289,0.444,0.486,0.426,-0.835,0.241,0.11,0.079,0.116,0.3,0.6609999999999999,0.537,1.466,0.421,0.092,0.065,0.397,1.666,0.973,0.526,0.311,0.42,3.346,5.121,110.17,0.15,2.18,1.167,1.2009999999999998,2.225,11.707,5.23,2.214,1.689,3.485,-0.009000000000000001,0.0,0.0,0.0
179,260,19700731,10,-0.001044,0.009447,0.001,1.314,0.297,17.202,3.16,10.728,7.105,15.02,14.693,0.6579999999999999,1.702,0.486,0.444,0.116,0.116,0.13,0.44,0.049,0.115,0.16699999999999998,0.136,0.202,0.096,0.202,0.177,0.04,0.307,0.648,0.289,0.444,0.486,0.426,-0.835,0.241,0.11,0.079,0.116,0.3,0.6609999999999999,0.537,1.466,0.421,0.092,0.065,0.397,1.666,0.973,0.526,0.311,0.42,3.346,5.121,110.17,0.15,2.18,1.167,1.2009999999999998,2.225,11.707,5.23,2.214,1.689,3.485,-0.009000000000000001,0.0,0.0,0.0
209,300,19700831,10,0.133171,0.067117,0.003,1.476,0.297,18.347,4.26,10.278,8.856,20.337,21.85,0.6859999999999999,1.886,0.47,0.433,0.114,0.114,0.125,0.455,0.043,0.114,0.16699999999999998,0.136,0.202,0.095,0.202,0.173,0.066,0.307,0.648,0.289,0.445,0.486,0.426,-1.5490000000000002,0.055,0.021,0.079,0.119,0.3,0.58,0.537,1.465,0.459,0.092,0.07200000000000001,0.397,1.666,0.973,0.526,0.311,0.42,3.3080000000000003,5.121,126.147,0.13699999999999998,2.18,1.167,1.2009999999999998,2.225,12.827,5.23,2.277,1.716,3.569,-0.009000000000000001,0.0,0.0,0.0
240,340,19700930,10,0.113803,0.099684,0.003,1.632,0.369,20.482,4.62,10.111,13.343,21.261,21.261,0.736,1.896,0.457,0.433,0.102,0.104,0.121,0.455,0.039,0.081,0.159,0.134,0.17800000000000002,0.075,0.202,0.141,0.08199999999999999,0.322,0.648,0.345,0.445,0.501,0.4,-1.5490000000000002,0.055,0.021,0.084,0.119,0.295,0.498,0.507,2.552,0.52,0.093,0.063,0.403,1.666,0.982,0.544,0.313,0.443,3.11,4.144,137.743,0.155,2.184,1.205,1.124,2.225,16.676,4.636,2.277,1.712,3.569,-0.012,0.0,0.0,0.0
269,380,19701031,10,-0.080411,-0.0075689999999999985,0.003,1.4980000000000002,0.369,18.342,5.62,10.111,12.019,18.966,19.95,0.622,1.702,0.457,0.433,0.102,0.104,0.121,0.455,0.039,0.081,0.159,0.134,0.17800000000000002,0.075,0.202,0.141,0.08199999999999999,0.322,0.648,0.345,0.445,0.501,0.4,-1.5490000000000002,0.055,0.021,0.084,0.119,0.295,0.498,0.507,2.552,0.52,0.093,0.063,0.403,1.666,0.982,0.544,0.313,0.443,3.11,4.144,137.743,0.155,2.184,1.205,1.124,2.225,16.676,4.636,2.277,1.712,3.569,-0.012,0.0,0.0,0.0
