,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
4151,4614,19790331,3,0.16638699999999998,0.182222,0.0,0.436,0.742,20.485,2.71,5.57,13.023,11.208,11.208,0.49,1.554,0.509,0.168,0.177,0.177,0.128,0.21,0.047,0.14,0.152,0.165,0.194,0.08900000000000001,0.16899999999999998,0.187,0.16899999999999998,0.608,0.392,0.608,0.6679999999999999,0.145,0.61,-1.136,0.222,0.041,0.067,0.091,0.046,1.194,0.193,3.275,1.459,0.091,0.084,0.659,1.078,2.358,0.7020000000000001,0.508,0.645,2.142,3.079,51.428,0.39,1.777,1.395,1.0590000000000002,25.554,22.26,6.308,3.555,1.393,10.096,-0.006999999999999999,0.0,0.0,0.0
4191,4658,19790430,3,-0.071854,-0.077948,0.0,0.349,0.659,17.948,4.59,5.414,9.82,10.149,10.149,0.393,1.418,0.509,0.181,0.182,0.182,0.129,0.211,0.045,0.136,0.159,0.156,0.183,0.087,0.18,0.191,0.175,0.601,0.399,0.601,0.6609999999999999,0.157,0.591,-1.136,0.309,0.041,0.07200000000000001,0.091,0.044,1.268,0.198,3.27,1.419,0.092,0.084,0.654,1.093,2.301,0.6970000000000001,0.502,0.638,2.171,3.13,45.038,0.419,1.7819999999999998,1.347,1.083,24.038,22.26,7.005,3.575,1.42,10.062,-0.006999999999999999,0.0,0.0,0.0
4221,4702,19790531,3,-0.051452,-0.06321399999999999,0.0,0.325,0.659,20.02,6.43,5.414,12.812,9.778,9.778,0.487,1.6769999999999998,0.509,0.181,0.182,0.182,0.129,0.211,0.045,0.136,0.159,0.156,0.183,0.087,0.18,0.191,0.175,0.601,0.399,0.601,0.6609999999999999,0.157,0.591,-1.136,0.309,0.041,0.07200000000000001,0.091,0.044,1.268,0.198,3.27,1.419,0.092,0.084,0.654,1.093,2.301,0.6970000000000001,0.502,0.638,2.171,3.13,45.038,0.419,1.7819999999999998,1.347,1.083,24.038,22.26,7.005,3.575,1.42,10.062,-0.006999999999999999,0.0,0.0,0.0
4261,4746,19790630,3,0.101899,0.107007,0.0,0.349,0.659,21.476,4.69,5.414,13.743,10.937,10.937,0.541,1.7990000000000002,0.509,0.181,0.182,0.182,0.129,0.211,0.045,0.136,0.159,0.156,0.183,0.087,0.18,0.191,0.175,0.601,0.399,0.601,0.6609999999999999,0.157,0.591,-1.136,0.309,0.041,0.07200000000000001,0.091,0.044,1.268,0.198,3.27,1.419,0.092,0.084,0.654,1.093,2.301,0.6970000000000001,0.502,0.638,2.171,3.13,45.038,0.419,1.7819999999999998,1.347,1.083,24.038,22.26,7.005,3.575,1.42,10.062,-0.006999999999999999,0.0,0.0,0.0
4303,4790,19790731,3,0.129194,0.121635,0.264,0.299,0.6990000000000001,21.171,4.67,5.528,9.064,11.164,11.164,0.537,1.612,0.509,0.179,0.187,0.187,0.132,0.214,0.05,0.136,0.17,0.156,0.184,0.094,0.188,0.191,0.181,0.5529999999999999,0.447,0.5529999999999999,0.594,0.16699999999999998,0.557,-1.006,0.478,0.06,0.081,0.094,0.043,1.259,0.206,3.551,1.196,0.098,0.09,0.643,0.985,1.924,0.6579999999999999,0.457,0.603,2.173,2.983,41.81399999999999,0.465,1.61,1.286,1.007,22.445,21.98,7.2429999999999986,3.194,1.129,10.562,0.003,0.0,0.0,0.0
4343,4834,19790831,3,0.115243,0.102703,0.264,0.349,0.6990000000000001,23.822,7.05,5.528,11.058,12.587,12.587,0.655,1.967,0.509,0.179,0.187,0.187,0.132,0.214,0.05,0.136,0.17,0.156,0.184,0.094,0.188,0.191,0.181,0.5529999999999999,0.447,0.5529999999999999,0.594,0.16699999999999998,0.557,-1.006,0.478,0.06,0.081,0.094,0.043,1.259,0.206,3.551,1.196,0.098,0.09,0.643,0.985,1.924,0.6579999999999999,0.457,0.603,2.173,2.983,41.81399999999999,0.465,1.61,1.286,1.007,22.445,21.98,7.2429999999999986,3.194,1.129,10.562,0.003,0.0,0.0,0.0
4383,4878,19790930,3,-0.034898,-0.041025,0.264,0.32,0.6990000000000001,24.004,10.4,5.528,10.14,12.657,12.657,0.6,1.803,0.509,0.179,0.187,0.187,0.132,0.214,0.05,0.136,0.17,0.156,0.184,0.094,0.188,0.191,0.181,0.5529999999999999,0.447,0.5529999999999999,0.594,0.16699999999999998,0.557,-1.006,0.478,0.06,0.081,0.094,0.043,1.259,0.206,3.551,1.196,0.098,0.09,0.643,0.985,1.924,0.6579999999999999,0.457,0.603,2.173,2.983,41.81399999999999,0.465,1.61,1.286,1.007,22.445,21.98,7.2429999999999986,3.194,1.129,10.562,0.003,0.0,0.0,0.0
4422,4922,19791031,3,-0.082499,-0.08845800000000001,0.23,0.311,0.596,22.471,5.93,5.997000000000001,3.793,10.613,10.613,0.513,1.592,0.495,0.16699999999999998,0.194,0.194,0.14300000000000002,0.214,0.05,0.135,0.173,0.172,0.201,0.095,0.195,0.198,0.185,0.612,0.374,0.606,0.6779999999999999,0.171,0.505,-0.381,0.609,0.112,0.091,0.096,0.043,1.1909999999999998,0.208,3.334,1.536,0.094,0.09,0.662,1.039,2.381,0.6990000000000001,0.518,0.654,2.267,3.388,40.985,0.438,1.543,1.335,0.992,20.666,24.248,7.957000000000002,3.38,1.298,11.43,0.028,0.0,0.0,0.0
4476,4966,19791130,3,0.295455,0.291423,0.23,0.414,0.596,28.599,3.62,5.997000000000001,4.827,13.514,13.514,0.6829999999999999,2.027,0.495,0.16699999999999998,0.194,0.194,0.14300000000000002,0.214,0.05,0.135,0.173,0.172,0.201,0.095,0.195,0.198,0.185,0.612,0.374,0.606,0.6779999999999999,0.171,0.505,-0.381,0.609,0.112,0.091,0.096,0.043,1.1909999999999998,0.208,3.334,1.536,0.094,0.09,0.662,1.039,2.381,0.6990000000000001,0.518,0.654,2.267,3.388,40.985,0.438,1.543,1.335,0.992,20.666,24.248,7.957000000000002,3.38,1.298,11.43,0.028,0.0,0.0,0.0
4507,5010,19791231,3,0.068699,0.066557,0.23,0.388,0.596,31.106,5.64,5.997000000000001,5.25,15.778,15.778,0.6409999999999999,2.366,0.495,0.16699999999999998,0.194,0.194,0.14300000000000002,0.214,0.05,0.135,0.173,0.172,0.201,0.095,0.195,0.198,0.185,0.612,0.374,0.606,0.6779999999999999,0.171,0.505,-0.381,0.609,0.112,0.091,0.096,0.043,1.1909999999999998,0.208,3.334,1.536,0.094,0.09,0.662,1.039,2.381,0.6990000000000001,0.518,0.654,2.267,3.388,40.985,0.438,1.543,1.335,0.992,20.666,24.248,7.957000000000002,3.38,1.298,11.43,0.028,0.0,0.0,0.0
