,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
15,22,19700131,25,-0.070517,-0.068231,0.0,2.131,0.35100000000000003,18.974,2.03,9.053,15.046,17.191,16.929000000000002,0.742,2.341,0.512,0.481,0.13699999999999998,0.138,0.136,0.35200000000000004,0.057,0.116,0.135,0.181,0.259,0.115,0.228,0.244,0.131,0.132,0.8640000000000001,0.129,0.18,0.448,0.342,0.488,0.501,0.319,0.303,0.077,0.271,0.938,0.644,0.746,0.147,0.095,0.064,0.237,1.259,0.601,0.391,0.14400000000000002,0.37,7.423999999999999,11.341,111.327,0.409,2.46,1.355,1.639,3.736,10.16,7.856,2.443,2.057,3.981,0.002,0.0,0.0,0.0
27,62,19700228,25,0.034883,0.000196,0.451,2.373,0.393,18.759,3.19,8.829,16.577,18.457,19.42,0.758,2.338,0.505,0.48,0.122,0.122,0.131,0.34700000000000003,0.054000000000000006,0.107,0.133,0.17600000000000002,0.244,0.11,0.192,0.215,0.121,0.13699999999999998,0.8590000000000001,0.136,0.231,0.433,0.363,0.301,0.428,0.248,0.157,0.07400000000000001,0.336,0.735,0.691,0.904,0.154,0.11,0.07400000000000001,0.26,1.222,0.613,0.355,0.168,0.266,6.7410000000000005,10.938,96.335,0.223,2.4330000000000003,1.357,1.639,3.708,16.085,7.271,2.55,2.201,4.519,0.0,0.0,0.0,0.0
64,102,19700331,25,0.013768,-0.006959999999999999,0.451,2.373,0.393,18.814,2.65,8.829,16.625,17.463,19.343,0.7929999999999999,2.3280000000000003,0.505,0.48,0.122,0.122,0.131,0.34700000000000003,0.054000000000000006,0.107,0.133,0.17600000000000002,0.244,0.11,0.192,0.215,0.121,0.13699999999999998,0.8590000000000001,0.136,0.231,0.433,0.363,0.301,0.428,0.248,0.157,0.07400000000000001,0.336,0.735,0.691,0.904,0.154,0.11,0.07400000000000001,0.26,1.222,0.613,0.355,0.168,0.266,6.7410000000000005,10.938,96.335,0.223,2.4330000000000003,1.357,1.639,3.708,16.085,7.271,2.55,2.201,4.519,0.0,0.0,0.0,0.0
93,142,19700430,25,-0.107353,-0.068326,0.451,2.151,0.401,18.25,4.12,8.829,14.789,15.278,16.379,0.767,1.954,0.508,0.48,0.122,0.122,0.131,0.34700000000000003,0.054000000000000006,0.107,0.133,0.17600000000000002,0.244,0.11,0.192,0.215,0.121,0.13699999999999998,0.8590000000000001,0.136,0.231,0.433,0.363,0.348,0.428,0.248,0.157,0.07400000000000001,0.336,0.735,0.691,0.904,0.154,0.11,0.075,0.26,1.222,0.613,0.355,0.172,0.266,6.7410000000000005,10.938,109.776,0.223,2.4330000000000003,1.357,1.639,3.638,16.085,7.271,2.55,2.201,4.519,0.0,0.0,0.0,0.0
119,182,19700531,25,-0.089781,-0.078691,0.0,2.084,0.401,15.849,2.1,8.829,13.655,14.872,14.214,0.753,1.886,0.508,0.48,0.121,0.118,0.131,0.34700000000000003,0.052000000000000005,0.107,0.129,0.17600000000000002,0.244,0.104,0.192,0.215,0.076,0.138,0.862,0.138,0.231,0.433,0.363,0.306,0.344,0.243,0.157,0.07400000000000001,0.388,0.735,0.691,0.904,0.16,0.11,0.076,0.26,1.222,0.613,0.355,0.172,0.267,6.7410000000000005,10.938,109.776,0.21600000000000005,2.4330000000000003,1.357,1.639,3.638,16.085,7.271,2.521,2.133,4.519,0.0,0.0,0.0,0.0
148,221,19700630,24,-0.06502999999999999,-0.048807,0.0,2.026,0.401,16.984,1.61,8.941,12.772,16.366,13.843,0.68,1.63,0.508,0.485,0.129,0.129,0.133,0.3720000000000001,0.053,0.108,0.138,0.17600000000000002,0.246,0.105,0.198,0.215,0.076,0.13,0.87,0.13,0.228,0.436,0.362,0.306,0.386,0.251,0.162,0.077,0.412,0.8370000000000001,0.696,0.904,0.15,0.111,0.076,0.249,1.168,0.551,0.354,0.172,0.267,6.8039999999999985,11.552,109.776,0.303,2.417,1.356,1.643,3.673,16.085,7.292000000000002,2.499,2.164,4.749,-0.002,0.0,0.0,0.0
178,261,19700731,24,0.088352,0.046937,0.0,2.22,0.401,17.76,3.65,8.941,14.685,17.372,15.702,0.769,1.818,0.508,0.485,0.129,0.129,0.133,0.3720000000000001,0.053,0.108,0.138,0.17600000000000002,0.246,0.105,0.198,0.215,0.076,0.13,0.87,0.13,0.228,0.436,0.362,0.306,0.386,0.251,0.162,0.077,0.412,0.8370000000000001,0.696,0.904,0.15,0.111,0.076,0.249,1.168,0.551,0.354,0.172,0.267,6.8039999999999985,11.552,109.776,0.303,2.417,1.356,1.643,3.673,16.085,7.292000000000002,2.499,2.164,4.749,-0.002,0.0,0.0,0.0
207,301,19700831,24,0.06446,0.03839,0.0,2.148,0.414,18.688,1.98,8.105,16.292,17.344,18.969,0.758,1.835,0.51,0.485,0.117,0.116,0.133,0.37,0.05,0.108,0.138,0.173,0.243,0.096,0.198,0.209,0.1,0.127,0.873,0.127,0.228,0.4270000000000001,0.362,0.327,0.386,0.251,0.162,0.077,0.412,0.8370000000000001,0.696,0.904,0.145,0.11,0.076,0.249,1.168,0.551,0.354,0.172,0.267,7.084,12.067,96.142,0.303,2.391,1.361,1.635,3.673,15.574000000000002,7.292000000000002,2.303,2.095,4.749,0.003,0.0,0.0,0.0
237,341,19700930,24,0.06617100000000001,0.05773,0.0,2.253,0.414,19.664,3.66,8.105,16.166,18.196,19.712,0.825,1.929,0.51,0.485,0.117,0.116,0.133,0.37,0.05,0.108,0.138,0.173,0.243,0.096,0.198,0.209,0.1,0.127,0.873,0.127,0.228,0.4270000000000001,0.362,0.327,0.386,0.251,0.162,0.077,0.412,0.8370000000000001,0.696,0.904,0.145,0.11,0.076,0.249,1.168,0.551,0.354,0.172,0.267,7.084,12.067,96.142,0.303,2.391,1.361,1.635,3.673,15.574000000000002,7.292000000000002,2.303,2.095,4.749,0.003,0.0,0.0,0.0
267,381,19701031,24,-0.012604,0.004734,0.0,2.3080000000000003,0.414,21.158,5.03,8.105,16.968,18.526,20.049,0.8220000000000001,2.014,0.51,0.485,0.117,0.116,0.133,0.37,0.05,0.108,0.138,0.173,0.243,0.096,0.198,0.209,0.1,0.127,0.873,0.127,0.228,0.4270000000000001,0.362,0.327,0.386,0.251,0.162,0.077,0.412,0.8370000000000001,0.696,0.904,0.145,0.11,0.076,0.249,1.168,0.551,0.354,0.172,0.267,7.084,12.067,96.142,0.303,2.391,1.361,1.635,3.673,15.574000000000002,7.292000000000002,2.303,2.095,4.749,0.003,0.0,0.0,0.0
