,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
6172,6812,19830531,17,-0.003144,0.001434,0.009000000000000001,1.114,1.242,8.252,1.84,8.295,8.793,9.029,9.165,0.489,0.885,0.037000000000000005,0.02,0.116,0.113,0.096,0.068,0.053,0.068,0.068,0.184,2.615,0.042,0.022,0.119,0.113,0.133,0.851,0.124,0.242,0.0,0.8029999999999999,0.615,0.037000000000000005,0.029,0.035,0.081,0.344,0.388,0.121,2.277,0.138,0.158,0.098,0.031,51.324,3.751,0.79,0.047,0.348,4.386,4.117,72.476,0.192,1.198,1.198,0.383,31.528,6.354,4.39,1.996,1.6130000000000002,3.959,-0.001,0.0,0.0,0.0
6195,6855,19830630,17,-0.011246,-0.018163,0.009000000000000001,1.096,1.242,8.186,4.12,8.295,8.972999999999997,9.032,9.392,0.509,0.8390000000000001,0.037000000000000005,0.02,0.116,0.113,0.096,0.068,0.053,0.068,0.068,0.184,2.615,0.042,0.022,0.119,0.113,0.133,0.851,0.124,0.242,0.0,0.8029999999999999,0.615,0.037000000000000005,0.029,0.035,0.081,0.344,0.388,0.121,2.277,0.138,0.158,0.098,0.031,51.324,3.751,0.79,0.047,0.348,4.386,4.117,72.476,0.192,1.198,1.198,0.383,31.528,6.354,4.39,1.996,1.6130000000000002,3.959,-0.001,0.0,0.0,0.0
6242,6898,19830731,17,-0.055695,-0.074575,0.009000000000000001,1.056,1.242,7.666,1.74,8.295,8.381,8.578,9.049,0.4920000000000001,0.7929999999999999,0.037000000000000005,0.02,0.116,0.113,0.096,0.068,0.053,0.068,0.068,0.184,2.615,0.042,0.022,0.119,0.113,0.133,0.851,0.124,0.242,0.0,0.8029999999999999,0.615,0.037000000000000005,0.029,0.035,0.081,0.344,0.388,0.121,2.277,0.138,0.158,0.098,0.031,51.324,3.751,0.79,0.047,0.348,4.386,4.117,72.476,0.192,1.198,1.198,0.383,31.528,6.354,4.39,1.996,1.6130000000000002,3.959,-0.001,0.0,0.0,0.0
6277,6941,19830831,18,0.015263999999999996,0.02026,0.005,0.812,1.155,7.687,1.54,8.295,6.309,8.217,7.9620000000000015,0.488,0.792,0.037000000000000005,0.035,0.124,0.118,0.096,0.073,0.064,0.073,0.073,0.191,-2.7030000000000003,0.068,0.036000000000000004,0.115,0.113,0.14300000000000002,0.843,0.124,0.215,0.0,0.8009999999999999,0.615,0.022,0.029,0.041,0.081,0.364,0.34700000000000003,0.119,2.277,0.154,0.146,0.106,0.031,51.88800000000001,3.714,0.7879999999999999,0.046,0.358,4.62,3.929,70.398,0.204,1.211,1.211,0.383,31.528,6.136,4.274,1.951,1.5659999999999998,3.928,0.001,0.0,0.0,0.0
6314,6984,19830930,18,0.051249,0.006905,0.005,0.858,1.155,8.162,4.85,8.295,7.061,8.877,8.613,0.516,0.835,0.037000000000000005,0.035,0.124,0.118,0.096,0.073,0.064,0.073,0.073,0.191,-2.7030000000000003,0.068,0.036000000000000004,0.115,0.113,0.14300000000000002,0.843,0.124,0.215,0.0,0.8009999999999999,0.615,0.022,0.029,0.041,0.081,0.364,0.34700000000000003,0.119,2.277,0.154,0.146,0.106,0.031,51.88800000000001,3.714,0.7879999999999999,0.046,0.358,4.62,3.929,70.398,0.204,1.211,1.211,0.383,31.528,6.136,4.274,1.951,1.5659999999999998,3.928,0.001,0.0,0.0,0.0
6351,7027,19831031,18,-0.007659999999999998,-0.021755,0.005,0.812,1.155,8.56,4.28,8.295,6.952000000000001,8.774,8.637,0.487,0.856,0.037000000000000005,0.035,0.124,0.118,0.096,0.073,0.064,0.073,0.073,0.191,-2.7030000000000003,0.068,0.036000000000000004,0.115,0.113,0.14300000000000002,0.843,0.124,0.215,0.0,0.8009999999999999,0.615,0.022,0.029,0.041,0.081,0.364,0.34700000000000003,0.119,2.277,0.154,0.146,0.106,0.031,51.88800000000001,3.714,0.7879999999999999,0.046,0.358,4.62,3.929,70.398,0.204,1.211,1.211,0.383,31.528,6.136,4.274,1.951,1.5659999999999998,3.928,0.001,0.0,0.0,0.0
6396,7070,19831130,18,0.045037,0.034258,0.01,1.025,1.178,8.982999999999997,3.01,8.295,9.53,9.061,8.953,0.486,0.897,0.037000000000000005,0.025,0.121,0.118,0.099,0.064,0.07,0.064,0.064,0.165,-0.369,0.063,0.025,0.106,0.107,0.141,0.8440000000000001,0.123,0.2,0.0,0.7659999999999999,0.615,0.163,0.029,0.04,0.081,0.342,0.302,0.134,2.277,0.153,0.132,0.111,0.035,52.887,3.696,0.787,0.035,0.35700000000000004,4.748,4.117,66.73100000000001,0.234,1.206,1.206,0.381,31.528,6.01,4.231,1.913,1.529,3.904,-0.006999999999999999,0.0,0.0,0.0
6442,7113,19831231,18,-0.021516,-0.023874,0.01,0.901,1.178,8.51,4.71,8.295,9.015,8.817,8.891,0.505,0.8690000000000001,0.037000000000000005,0.025,0.121,0.118,0.099,0.064,0.07,0.064,0.064,0.165,-0.369,0.063,0.025,0.106,0.107,0.141,0.8440000000000001,0.123,0.2,0.0,0.7659999999999999,0.615,0.163,0.029,0.04,0.081,0.342,0.302,0.134,2.277,0.153,0.132,0.111,0.035,52.887,3.696,0.787,0.035,0.35700000000000004,4.748,4.117,66.73100000000001,0.234,1.206,1.206,0.381,31.528,6.01,4.231,1.913,1.529,3.904,-0.006999999999999999,0.0,0.0,0.0
6479,7156,19840131,18,-0.031393,-0.04537,0.01,0.866,1.178,8.147,2.87,8.295,8.747,8.543,8.236,0.469,0.8590000000000001,0.037000000000000005,0.025,0.121,0.118,0.099,0.064,0.07,0.064,0.064,0.165,-0.369,0.063,0.025,0.106,0.107,0.141,0.8440000000000001,0.123,0.2,0.0,0.7659999999999999,0.615,0.163,0.029,0.04,0.081,0.342,0.302,0.134,2.277,0.153,0.132,0.111,0.035,52.887,3.696,0.787,0.035,0.35700000000000004,4.748,4.117,66.73100000000001,0.234,1.206,1.206,0.381,31.528,6.01,4.231,1.913,1.529,3.904,-0.006999999999999999,0.0,0.0,0.0
8199,9073,19870831,19,0.084964,0.095339,0.373,0.428,0.89,17.901,3.33,8.939,6.401,10.880999999999998,8.668,0.652,1.223,0.228,0.034,0.14400000000000002,0.142,0.113,0.095,0.068,0.092,0.095,0.512,1.15,0.079,0.036000000000000004,0.145,0.14300000000000002,0.097,0.8109999999999999,0.097,0.222,0.0,0.574,0.963,0.5,0.027000000000000003,0.048,0.067,0.494,0.966,0.795,1.653,0.113,0.138,0.085,0.021,60.903,4.342,0.813,0.047,0.392,6.157,7.978,30.822,0.568,1.334,1.334,0.397,7.0539999999999985,7.287000000000001,1.859,2.334,1.791,9.608,0.01,0.0,0.0,0.0
