,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
1089,1342,19721031,1,-0.044393,-0.044393,0.0,22.069000000000006,0.325,33.283,2.74,13.544,18.207,33.415,33.415,2.458,3.008,0.448,0.464,0.098,0.098,0.075,0.463,0.075,0.119,0.161,0.124,0.156,0.134,0.161,0.145,0.098,0.01,0.99,0.01,0.077,0.464,0.274,0.78,0.687,0.636,0.77,0.116,0.8640000000000001,0.818,0.954,0.376,0.011,0.494,0.065,0.04,0.755,0.264,0.206,0.061,0.107,16.602999999999998,26.86,262.53,0.807,3.5210000000000004,1.888,1.002,1.594,13.167,5.27,1.281,1.267,2.019,0.06,0.0,0.011,0.462
1120,1382,19721130,1,-0.070905,-0.070905,0.0,20.504,0.325,30.923,2.74,13.544,16.916,31.046,31.046,2.2840000000000003,2.795,0.448,0.464,0.098,0.098,0.075,0.463,0.075,0.119,0.161,0.124,0.156,0.134,0.161,0.145,0.098,0.01,0.99,0.01,0.077,0.464,0.274,0.78,0.687,0.636,0.77,0.116,0.8640000000000001,0.818,0.954,0.376,0.011,0.494,0.065,0.04,0.755,0.264,0.206,0.061,0.107,16.602999999999998,26.86,262.53,0.807,3.5210000000000004,1.888,1.002,1.594,13.167,5.27,1.281,1.267,2.019,0.06,0.0,0.011,0.462
1152,1422,19721231,1,0.052632000000000005,0.052632000000000005,0.0,21.583,0.325,32.699,2.67,13.544,17.887,32.68,32.68,2.415,2.955,0.448,0.464,0.098,0.098,0.075,0.463,0.075,0.119,0.161,0.124,0.156,0.134,0.161,0.145,0.098,0.01,0.99,0.01,0.077,0.464,0.274,0.78,0.687,0.636,0.77,0.116,0.8640000000000001,0.818,0.954,0.376,0.011,0.494,0.065,0.04,0.755,0.264,0.206,0.061,0.107,16.602999999999998,26.86,262.53,0.807,3.5210000000000004,1.888,1.002,1.594,13.167,5.27,1.281,1.267,2.019,0.06,0.0,0.011,0.462
1189,1462,19730131,1,0.02,0.02,0.0,4.784,0.362,33.214,0.49,12.94,18.974,29.651,29.651,2.342,2.962,0.448,0.5,0.11,0.11,0.059,0.474,0.08199999999999999,0.136,0.17600000000000002,0.14800000000000002,0.18600000000000005,0.14800000000000002,0.185,0.16899999999999998,0.11,0.009000000000000001,0.991,0.009000000000000001,0.073,0.464,0.274,0.78,0.6609999999999999,0.636,0.77,0.122,0.877,0.942,0.954,0.32,0.009000000000000001,0.494,0.065,0.035,0.755,0.257,0.206,0.059,0.107,16.602999999999998,26.86,253.637,0.807,3.5210000000000004,1.888,1.054,1.594,13.167,5.542999999999998,1.311,1.2990000000000002,2.123,0.044,0.0,0.011,0.462
1242,1502,19730228,1,-0.205882,-0.205882,0.0,3.799,0.362,26.376,1.07,12.94,15.068,23.547,23.547,1.86,2.353,0.448,0.5,0.11,0.11,0.059,0.474,0.08199999999999999,0.136,0.17600000000000002,0.14800000000000002,0.18600000000000005,0.14800000000000002,0.185,0.16899999999999998,0.11,0.009000000000000001,0.991,0.009000000000000001,0.073,0.464,0.274,0.78,0.6609999999999999,0.636,0.77,0.122,0.877,0.942,0.954,0.32,0.009000000000000001,0.494,0.065,0.035,0.755,0.257,0.206,0.059,0.107,16.602999999999998,26.86,253.637,0.807,3.5210000000000004,1.888,1.054,1.594,13.167,5.542999999999998,1.311,1.2990000000000002,2.123,0.044,0.0,0.011,0.462
1267,1542,19730331,1,-0.018519,-0.018519,0.0,3.728,0.362,25.887,3.33,12.94,14.789,23.11,23.11,1.825,2.309,0.448,0.5,0.11,0.11,0.059,0.474,0.08199999999999999,0.136,0.17600000000000002,0.14800000000000002,0.18600000000000005,0.14800000000000002,0.185,0.16899999999999998,0.11,0.009000000000000001,0.991,0.009000000000000001,0.073,0.464,0.274,0.78,0.6609999999999999,0.636,0.77,0.122,0.877,0.942,0.954,0.32,0.009000000000000001,0.494,0.065,0.035,0.755,0.257,0.206,0.059,0.107,16.602999999999998,26.86,253.637,0.807,3.5210000000000004,1.888,1.054,1.594,13.167,5.542999999999998,1.311,1.2990000000000002,2.123,0.044,0.0,0.011,0.462
1306,1583,19730430,1,-0.120126,-0.120126,0.0,2.8480000000000003,0.442,22.512,3.61,11.66,12.205,18.954,18.954,1.503,1.939,0.448,0.54,0.117,0.117,0.029,0.481,0.083,0.147,0.185,0.17,0.214,0.155,0.208,0.191,0.117,0.008,0.992,0.008,0.07,0.464,0.274,0.78,0.7020000000000001,0.636,0.77,0.122,0.8909999999999999,1.058,0.954,0.279,0.008,0.494,0.065,0.031,0.755,0.249,0.206,0.058,0.107,16.602999999999998,26.86,240.346,0.807,3.5210000000000004,1.888,1.123,1.813,13.167,5.905,1.354,1.344,2.262,0.045,0.0,0.011,0.462
1359,1624,19730531,1,-0.096774,-0.096774,0.0,2.572,0.442,20.333,4.43,11.66,11.024,17.12,17.12,1.358,1.7519999999999998,0.448,0.54,0.117,0.117,0.029,0.481,0.083,0.147,0.185,0.17,0.214,0.155,0.208,0.191,0.117,0.008,0.992,0.008,0.07,0.464,0.274,0.78,0.7020000000000001,0.636,0.77,0.122,0.8909999999999999,1.058,0.954,0.279,0.008,0.494,0.065,0.031,0.755,0.249,0.206,0.058,0.107,16.602999999999998,26.86,240.346,0.807,3.5210000000000004,1.888,1.123,1.813,13.167,5.905,1.354,1.344,2.262,0.045,0.0,0.011,0.462
1387,1665,19730630,1,0.007937,0.007937,0.0,2.592,0.442,20.494,6.28,11.66,11.111,17.255,17.255,1.369,1.765,0.448,0.54,0.117,0.117,0.029,0.481,0.083,0.147,0.185,0.17,0.214,0.155,0.208,0.191,0.117,0.008,0.992,0.008,0.07,0.464,0.274,0.78,0.7020000000000001,0.636,0.77,0.122,0.8909999999999999,1.058,0.954,0.279,0.008,0.494,0.065,0.031,0.755,0.249,0.206,0.058,0.107,16.602999999999998,26.86,240.346,0.807,3.5210000000000004,1.888,1.123,1.813,13.167,5.905,1.354,1.344,2.262,0.045,0.0,0.011,0.462
1437,1706,19730731,1,0.291339,0.291339,0.104,2.6180000000000003,0.5820000000000001,26.079,6.23,8.071,95.421,21.466,21.466,1.6880000000000002,2.231,0.448,0.46,0.11,0.11,0.121,0.465,0.079,0.132,0.168,0.14800000000000002,0.192,0.14300000000000002,0.181,0.171,0.11,0.006,0.994,0.006,0.077,0.484,0.298,-1.002,0.071,0.07,0.5429999999999999,0.116,0.92,0.679,0.981,0.349,0.006,0.664,0.062,0.019,1.113,0.334,0.251,0.058,0.135,24.533,39.204,253.749,0.5529999999999999,2.966,1.53,1.075,1.699,13.755,5.247000000000001,1.321,1.3130000000000002,2.049,-0.066,0.091,0.012,0.469
