,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
12,24,19700131,40,-0.038664,-0.071795,0.048,1.27,0.524,10.474,4.15,7.241,7.291,10.469,10.254,0.5379999999999999,1.3030000000000002,0.503,0.371,0.118,0.116,0.121,0.284,0.051,0.104,0.138,0.145,0.192,0.1,0.179,0.179,0.125,0.162,0.7909999999999999,0.168,0.285,0.536,0.35700000000000004,0.418,0.252,0.16899999999999998,0.142,0.08800000000000001,0.361,0.7659999999999999,0.622,1.181,0.217,0.102,0.063,0.331,1.339,0.611,0.4,0.199,0.308,6.62,10.968,144.418,0.207,2.7060000000000004,1.355,1.317,2.6830000000000003,11.37,5.539,2.145,1.6969999999999998,3.062,0.003,0.0,0.0,0.0
28,64,19700228,40,0.054635,0.08206000000000001,0.477,1.6669999999999998,0.787,10.79,3.04,5.871,12.818,12.152,13.499,0.55,1.249,0.501,0.34,0.112,0.114,0.114,0.278,0.048,0.103,0.126,0.14,0.192,0.1,0.17,0.172,0.126,0.182,0.7859999999999999,0.187,0.307,0.54,0.362,0.054000000000000006,0.173,0.098,0.116,0.079,0.362,0.6859999999999999,0.632,1.332,0.248,0.108,0.069,0.309,1.342,0.695,0.42,0.213,0.326,5.886,9.543,145.975,0.173,2.6630000000000003,1.246,1.263,2.674,13.336,5.3210000000000015,2.142,1.713,2.89,-0.019,0.0,0.0,0.0
54,104,19700331,40,0.034488,0.053566,0.431,1.686,0.787,11.394,2.21,5.859,12.944,11.929,13.241,0.545,1.235,0.501,0.34,0.112,0.114,0.114,0.278,0.048,0.102,0.126,0.14,0.192,0.099,0.17,0.172,0.121,0.19,0.773,0.183,0.307,0.54,0.362,0.054000000000000006,0.173,0.098,0.116,0.079,0.362,0.6859999999999999,0.632,1.332,0.24,0.108,0.069,0.309,1.342,0.695,0.42,0.213,0.326,5.886,9.543,145.975,0.173,2.6630000000000003,1.246,1.263,2.674,13.336,5.3210000000000015,2.1180000000000003,1.675,2.89,-0.019,0.0,0.0,0.0
86,144,19700430,40,-0.093599,-0.096657,0.397,1.662,0.787,10.081,3.88,5.859,10.853,10.821,11.538,0.491,1.133,0.501,0.34,0.112,0.114,0.114,0.278,0.048,0.102,0.126,0.14,0.192,0.099,0.17,0.172,0.114,0.197,0.773,0.193,0.311,0.54,0.362,0.054000000000000006,0.179,0.101,0.116,0.079,0.362,0.662,0.632,1.359,0.248,0.108,0.069,0.309,1.342,0.711,0.4270000000000001,0.225,0.329,5.86,9.499,145.975,0.173,2.552,1.224,1.263,2.674,13.336,5.3210000000000015,2.1180000000000003,1.6769999999999998,3.024,-0.016,0.0,0.0,0.0
109,184,19700531,40,-0.093702,-0.085984,0.0,1.66,0.787,8.745,3.19,5.859,6.632999999999999,10.046,9.826,0.425,0.994,0.501,0.34,0.104,0.104,0.11,0.276,0.048,0.101,0.126,0.14,0.192,0.097,0.17,0.171,0.075,0.197,0.78,0.194,0.314,0.54,0.362,0.054000000000000006,0.179,0.101,0.116,0.079,0.362,0.662,0.632,1.359,0.236,0.108,0.069,0.309,1.342,0.711,0.4270000000000001,0.225,0.329,5.801,9.543,145.975,0.173,2.552,1.224,1.263,2.674,13.336,5.3210000000000015,2.166,1.754,3.024,-0.016,0.0,0.0,0.0
137,223,19700630,38,-0.056583,-0.032714,0.0,1.6469999999999998,0.787,8.262,3.42,5.859,6.7860000000000005,9.125,9.125,0.395,0.98,0.502,0.34,0.105,0.105,0.11,0.276,0.047,0.1,0.126,0.14,0.192,0.095,0.17,0.171,0.075,0.19,0.799,0.183,0.307,0.54,0.362,0.054000000000000006,0.179,0.101,0.116,0.079,0.387,0.6859999999999999,0.654,1.332,0.229,0.108,0.069,0.29600000000000004,1.3330000000000002,0.695,0.42,0.213,0.324,5.86,9.786,149.33,0.157,2.552,1.202,1.263,2.656,15.248,5.3210000000000015,2.193,1.763,2.89,-0.024,0.0,0.0,0.0
176,263,19700731,38,0.052829,0.020985,0.0,1.7180000000000002,0.787,8.274,4.02,5.859,6.641,9.297,9.233,0.424,1.019,0.502,0.34,0.104,0.105,0.11,0.276,0.047,0.1,0.126,0.14,0.192,0.095,0.17,0.171,0.076,0.19,0.799,0.183,0.307,0.54,0.362,0.054000000000000006,0.179,0.101,0.116,0.079,0.387,0.6859999999999999,0.654,1.332,0.229,0.108,0.069,0.29600000000000004,1.3330000000000002,0.695,0.42,0.213,0.324,5.86,9.786,149.33,0.157,2.552,1.202,1.263,2.656,15.248,5.3210000000000015,2.193,1.763,2.89,-0.024,0.0,0.0,0.0
206,303,19700831,37,0.053492,0.032895,0.0,1.242,0.787,8.932,3.71,5.8679999999999986,8.128,10.294,10.285,0.442,1.051,0.502,0.34,0.097,0.099,0.106,0.277,0.047,0.101,0.127,0.141,0.193,0.093,0.17,0.171,0.08800000000000001,0.18600000000000005,0.78,0.179,0.307,0.5379999999999999,0.3670000000000001,0.031,0.175,0.101,0.116,0.08,0.387,0.69,0.654,1.359,0.229,0.108,0.069,0.29600000000000004,1.3330000000000002,0.695,0.42,0.213,0.324,5.872999999999998,9.521,145.975,0.162,2.5540000000000003,1.212,1.26,2.665,19.096,5.265,2.169,1.7080000000000002,2.874,-0.026,0.0,0.0,0.0
229,343,19700930,37,0.081613,0.061204,0.0,1.958,0.787,9.621,2.93,5.8679999999999986,8.765,11.548,11.468,0.487,1.117,0.502,0.34,0.097,0.101,0.106,0.277,0.047,0.1,0.127,0.141,0.193,0.093,0.17,0.171,0.093,0.18600000000000005,0.799,0.179,0.307,0.5379999999999999,0.3670000000000001,0.031,0.175,0.101,0.116,0.08,0.387,0.69,0.654,1.359,0.229,0.108,0.069,0.29600000000000004,1.3330000000000002,0.695,0.42,0.213,0.324,5.872999999999998,9.521,145.975,0.162,2.5540000000000003,1.212,1.26,2.665,19.096,5.265,2.182,1.709,2.874,-0.026,0.0,0.0,0.0
266,383,19701031,37,-0.047917,-0.030176,0.0,1.923,0.787,9.296,2.94,5.8679999999999986,7.896,10.714,10.955,0.456,1.091,0.502,0.34,0.097,0.101,0.106,0.277,0.047,0.102,0.127,0.141,0.193,0.093,0.17,0.172,0.093,0.18600000000000005,0.799,0.179,0.307,0.5379999999999999,0.3670000000000001,0.031,0.175,0.101,0.116,0.08,0.387,0.69,0.654,1.359,0.229,0.108,0.07200000000000001,0.29600000000000004,1.3330000000000002,0.695,0.42,0.213,0.324,5.565,9.521,145.975,0.162,2.5540000000000003,1.212,1.26,2.665,19.096,5.265,2.182,1.709,2.874,-0.026,0.0,0.0,0.0
