,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
11,25,19700131,1,-0.326923,-0.326923,0.448,0.053,0.266,3.652,3.48,6.596,2.514,4.916,4.6789999999999985,0.235,1.483,0.505,0.422,0.195,0.17,0.181,0.34,0.067,0.14400000000000002,0.163,0.236,0.359,0.138,0.224,0.28300000000000003,0.419,0.241,0.466,0.301,0.524,0.6990000000000001,0.196,0.397,0.35200000000000004,0.195,0.066,0.079,0.425,0.7240000000000001,0.5529999999999999,1.824,1.273,0.15,0.085,0.42,1.524,0.7559999999999999,0.506,0.37,0.409,3.373,5.792999999999998,118.351,0.119,1.604,0.482,1.371,2.817,10.303,13.913,2.512,1.757,7.331,0.028,0.0,0.0,0.0
29,65,19700228,1,-0.138095,-0.138095,0.448,0.046,0.266,3.147,5.25,6.596,2.166,4.237,4.033,0.202,1.278,0.505,0.422,0.195,0.17,0.181,0.34,0.067,0.14400000000000002,0.163,0.236,0.359,0.138,0.224,0.28300000000000003,0.419,0.241,0.466,0.301,0.524,0.6990000000000001,0.196,0.397,0.35200000000000004,0.195,0.066,0.079,0.425,0.7240000000000001,0.5529999999999999,1.824,1.273,0.15,0.085,0.42,1.524,0.7559999999999999,0.506,0.37,0.409,3.373,5.792999999999998,118.351,0.119,1.604,0.482,1.371,2.817,10.303,13.913,2.512,1.757,7.331,0.028,0.0,0.0,0.0
55,105,19700331,1,-0.111602,-0.111602,0.448,0.04,0.266,2.765,2.75,6.596,1.903,3.722,3.543,0.17800000000000002,1.123,0.505,0.422,0.195,0.17,0.181,0.34,0.067,0.14400000000000002,0.163,0.236,0.359,0.138,0.224,0.28300000000000003,0.419,0.241,0.466,0.301,0.524,0.6990000000000001,0.196,0.397,0.35200000000000004,0.195,0.066,0.079,0.425,0.7240000000000001,0.5529999999999999,1.824,1.273,0.15,0.085,0.42,1.524,0.7559999999999999,0.506,0.37,0.409,3.373,5.792999999999998,118.351,0.119,1.604,0.482,1.371,2.817,10.303,13.913,2.512,1.757,7.331,0.028,0.0,0.0,0.0
82,145,19700430,1,-0.144654,-0.144654,0.431,0.163,0.266,2.35,4.76,6.596,1.628,3.257,3.778,0.141,0.96,0.505,0.422,0.195,0.17,0.181,0.34,0.062,0.14400000000000002,0.163,0.236,0.359,0.119,0.224,0.28300000000000003,0.419,0.241,0.466,0.301,0.524,0.6990000000000001,0.196,0.397,0.35200000000000004,0.195,0.066,0.079,0.425,0.7240000000000001,0.5529999999999999,1.824,1.273,0.15,0.085,0.42,1.524,0.7559999999999999,0.506,0.37,0.409,3.373,5.792999999999998,118.351,0.119,1.604,0.482,1.371,2.817,10.303,13.913,2.512,1.757,7.331,0.028,0.0,0.0,0.0
110,185,19700531,1,-0.007353,-0.007353,0.431,0.162,0.266,2.333,5.09,6.596,1.616,3.233,3.75,0.14,0.953,0.505,0.422,0.195,0.17,0.181,0.34,0.062,0.14400000000000002,0.163,0.236,0.359,0.119,0.224,0.28300000000000003,0.419,0.241,0.466,0.301,0.524,0.6990000000000001,0.196,0.397,0.35200000000000004,0.195,0.066,0.079,0.425,0.7240000000000001,0.5529999999999999,1.824,1.273,0.15,0.085,0.42,1.524,0.7559999999999999,0.506,0.37,0.409,3.373,5.792999999999998,118.351,0.119,1.604,0.482,1.371,2.817,10.303,13.913,2.512,1.757,7.331,0.028,0.0,0.0,0.0
138,224,19700630,8,-0.103335,-0.065292,0.006999999999999999,0.359,0.266,26.013,2.0,12.967,8.75,17.13,16.062,0.8909999999999999,1.266,0.493,0.337,0.149,0.138,0.107,0.335,0.06,0.134,0.16899999999999998,0.15,0.184,0.113,0.203,0.171,0.12,0.502,0.465,0.502,0.5489999999999999,0.171,0.396,-0.599,0.4370000000000001,0.192,0.123,0.086,0.147,0.991,0.359,2.372,1.273,0.085,0.066,0.531,0.988,1.491,0.596,0.441,0.552,3.373,5.149,19.151,0.459,1.3090000000000002,1.004,1.298,20.295,10.57,13.895,3.082,1.669,20.723000000000006,0.047,0.0,0.0,0.0
166,264,19700731,8,0.037404,0.02434,0.006999999999999999,0.368,0.344,24.668000000000006,6.59,12.967,9.359,17.593,17.083,0.867,1.52,0.488,0.327,0.127,0.116,0.107,0.349,0.055,0.129,0.166,0.15,0.184,0.104,0.177,0.171,0.12,0.502,0.453,0.502,0.586,0.171,0.396,-0.599,0.557,0.175,0.123,0.083,0.147,0.991,0.277,2.837,1.239,0.085,0.066,0.552,0.988,1.491,0.624,0.441,0.552,3.072,4.238,19.151,0.459,1.3090000000000002,1.004,1.133,20.295,10.57,14.291,3.082,1.524,20.723000000000006,0.054000000000000006,0.0,0.0,0.0
204,304,19700831,8,0.089479,0.070138,0.006,1.7080000000000002,0.344,24.082,3.31,12.967,10.755999999999998,19.444000000000006,19.275,0.882,1.789,0.488,0.327,0.128,0.118,0.107,0.349,0.054000000000000006,0.129,0.166,0.15,0.184,0.104,0.177,0.171,0.115,0.502,0.453,0.502,0.586,0.171,0.396,-0.599,0.557,0.175,0.123,0.083,0.147,0.991,0.277,2.837,1.239,0.085,0.066,0.552,0.988,1.491,0.624,0.441,0.552,3.072,4.238,19.151,0.459,1.3090000000000002,1.004,1.133,20.295,10.57,14.291,3.16,1.586,20.723000000000006,0.054000000000000006,0.0,0.0,0.0
224,344,19700930,8,0.215738,0.183491,0.006,1.945,0.344,32.89,1.63,11.576,12.071,21.759,21.775,1.128,1.899,0.488,0.327,0.125,0.118,0.106,0.349,0.054000000000000006,0.129,0.166,0.15,0.184,0.104,0.177,0.171,0.115,0.502,0.453,0.502,0.586,0.172,0.43,-0.599,0.54,0.175,0.113,0.083,0.147,1.016,0.272,2.837,1.239,0.085,0.067,0.552,0.985,1.491,0.624,0.441,0.552,3.072,4.238,21.378,0.422,1.3090000000000002,1.004,1.1,20.295,10.57,14.291,3.16,1.463,20.723000000000006,0.052000000000000005,0.0,0.0,0.0
259,384,19701031,8,-0.08630800000000001,-0.037317,0.006,1.652,0.344,26.843000000000004,4.38,11.576,13.001,20.833,23.338,0.934,2.133,0.488,0.327,0.125,0.118,0.106,0.349,0.046,0.129,0.166,0.15,0.184,0.104,0.177,0.171,0.09,0.502,0.453,0.502,0.59,0.172,0.43,-0.599,0.54,0.175,0.113,0.083,0.147,1.016,0.272,2.837,1.4169999999999998,0.085,0.067,0.552,0.985,1.491,0.624,0.441,0.552,3.072,4.238,21.378,0.422,1.3090000000000002,1.004,1.1,20.295,10.57,14.291,3.16,1.463,20.723000000000006,0.052000000000000005,0.0,0.0,0.0
284,424,19701130,8,0.072299,0.058189,0.005,1.7280000000000002,0.344,23.66,3.64,10.231,13.884,20.476,23.758000000000006,0.892,2.367,0.488,0.327,0.125,0.118,0.12,0.349,0.047,0.129,0.162,0.15,0.184,0.106,0.177,0.171,0.116,0.502,0.453,0.502,0.608,0.17,0.43,-0.599,0.54,0.14300000000000002,0.113,0.08,0.204,0.884,0.272,2.837,1.198,0.084,0.067,0.552,0.985,1.606,0.624,0.441,0.5660000000000001,3.247,4.694,22.215,0.38,1.246,0.984,1.1,19.316,8.957,12.796,3.229,1.554,24.17,0.052000000000000005,0.0,0.0,0.0
313,464,19701231,8,0.06323,0.079957,0.005,1.533,0.344,26.777,2.62,10.231,14.401,19.881,24.358,1.096,2.298,0.488,0.327,0.122,0.118,0.12,0.349,0.047,0.129,0.162,0.15,0.184,0.106,0.177,0.171,0.127,0.502,0.453,0.502,0.608,0.17,0.43,-0.599,0.54,0.14300000000000002,0.113,0.08,0.204,0.884,0.272,2.837,1.198,0.084,0.067,0.552,0.985,1.606,0.624,0.441,0.5660000000000001,3.247,4.694,22.215,0.38,1.246,0.984,1.1,19.316,8.957,12.796,3.229,1.554,24.17,0.052000000000000005,0.0,0.0,0.0
344,504,19710131,8,0.172146,0.067663,0.005,2.449,0.344,27.495,3.18,10.231,15.494000000000002,27.778,25.907,1.127,2.656,0.488,0.327,0.122,0.118,0.12,0.349,0.047,0.129,0.162,0.15,0.184,0.106,0.177,0.171,0.127,0.502,0.453,0.502,0.608,0.17,0.43,-0.599,0.54,0.14300000000000002,0.113,0.08,0.204,0.884,0.272,2.837,1.198,0.084,0.067,0.552,0.985,1.606,0.624,0.441,0.5660000000000001,3.247,4.694,22.215,0.38,1.246,0.984,1.1,19.316,8.957,12.796,3.229,1.554,24.17,0.052000000000000005,0.0,0.0,0.0
374,544,19710228,8,0.028107,0.061297,0.159,0.7659999999999999,0.486,38.711,3.85,11.224,15.034,23.355,22.004,1.179,2.6260000000000003,0.455,0.263,0.124,0.121,0.128,0.259,0.05,0.13,0.162,0.161,0.206,0.105,0.163,0.171,0.119,0.502,0.455,0.502,0.5920000000000001,0.181,0.378,-0.726,0.504,0.115,0.139,0.08,0.201,0.893,0.29600000000000004,3.029,1.149,0.095,0.075,0.513,0.981,1.509,0.612,0.441,0.563,2.722,4.081,22.215,0.389,1.4509999999999998,1.074,1.0659999999999998,22.415,20.842,12.775,2.332,1.244,12.597,0.053,0.0,0.0,0.0
