,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
687,905,19711130,1,0.187713,0.187713,0.0,6.854,0.56,31.733,4.61,15.722,10.559,38.496,38.496,1.098,2.087,0.297,0.421,0.056,0.056,0.057,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.305,0.695,0.305,0.4270000000000001,0.499,0.365,0.373,0.584,0.161,0.195,0.057,0.28600000000000003,0.46,0.423,3.637,0.438,0.055,0.04,0.5379999999999999,2.564,0.815,0.446,0.336,0.393,3.2960000000000003,2.483,313.421,0.461,4.229,2.117,1.06,1.525,13.548,3.642,1.935,1.345,1.741,0.08,0.0,0.0,0.0
720,945,19711231,1,-0.043103,-0.043103,0.0,6.558,0.56,30.834,1.41,15.722,10.26,36.836,36.836,1.067,2.028,0.297,0.421,0.056,0.056,0.057,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.305,0.695,0.305,0.4270000000000001,0.499,0.365,0.373,0.584,0.161,0.195,0.057,0.28600000000000003,0.46,0.423,3.637,0.438,0.055,0.04,0.5379999999999999,2.564,0.815,0.446,0.336,0.393,3.2960000000000003,2.483,313.421,0.461,4.229,2.117,1.06,1.525,13.548,3.642,1.935,1.345,1.741,0.08,0.0,0.0,0.0
755,985,19720131,1,0.14114100000000002,0.14114100000000002,0.0,7.484,0.56,35.186,3.61,15.722,11.708,42.035,42.035,1.217,2.315,0.297,0.421,0.056,0.056,0.057,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.305,0.695,0.305,0.4270000000000001,0.499,0.365,0.373,0.584,0.161,0.195,0.057,0.28600000000000003,0.46,0.423,3.637,0.438,0.055,0.04,0.5379999999999999,2.564,0.815,0.446,0.336,0.393,3.2960000000000003,2.483,313.421,0.461,4.229,2.117,1.06,1.525,13.548,3.642,1.935,1.345,1.741,0.08,0.0,0.0,0.0
789,1025,19720229,1,0.076316,0.076316,0.0,2.8560000000000003,0.499,38.306,3.94,15.722,13.502,44.737,44.737,1.298,2.445,0.297,0.421,0.056,0.056,0.055,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.306,0.6940000000000001,0.306,0.404,0.499,0.365,0.373,0.544,0.161,0.195,0.057,0.242,0.46,0.423,3.637,0.441,0.052000000000000005,0.04,0.55,2.564,0.8029999999999999,0.446,0.324,0.393,3.407,2.483,313.421,0.461,4.229,2.117,1.068,1.525,13.548,3.669,1.921,1.332,1.754,0.07200000000000001,0.0,0.0,0.0
823,1065,19720331,1,0.051471,0.051471,0.0,3.003,0.499,40.278,3.57,15.722,14.197,47.039,47.039,1.364,2.571,0.297,0.421,0.056,0.056,0.055,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.306,0.6940000000000001,0.306,0.404,0.499,0.365,0.373,0.544,0.161,0.195,0.057,0.242,0.46,0.423,3.637,0.441,0.052000000000000005,0.04,0.55,2.564,0.8029999999999999,0.446,0.324,0.393,3.407,2.483,313.421,0.461,4.229,2.117,1.068,1.525,13.548,3.669,1.921,1.332,1.754,0.07200000000000001,0.0,0.0,0.0
859,1105,19720430,1,0.009324,0.009324,0.0,3.024,0.499,40.559,2.5,15.722,14.296,47.368,47.368,1.374,2.589,0.297,0.421,0.056,0.056,0.055,0.402,0.029,0.054000000000000006,0.083,0.058,0.075,0.041,0.086,0.065,0.056,0.306,0.6940000000000001,0.306,0.404,0.499,0.365,0.373,0.544,0.161,0.195,0.057,0.242,0.46,0.423,3.637,0.441,0.052000000000000005,0.04,0.55,2.564,0.8029999999999999,0.446,0.324,0.393,3.407,2.483,313.421,0.461,4.229,2.117,1.068,1.525,13.548,3.669,1.921,1.332,1.754,0.07200000000000001,0.0,0.0,0.0
895,1145,19720531,1,0.085648,0.085648,0.0,3.452,0.391,44.753,4.03,15.722,17.546,48.45,48.45,1.442,2.78,0.297,0.421,0.059,0.059,0.055,0.402,0.03,0.054000000000000006,0.083,0.058,0.075,0.043,0.086,0.065,0.059,0.309,0.691,0.309,0.387,0.499,0.365,0.373,0.481,0.161,0.195,0.057,0.202,0.46,0.423,3.637,0.447,0.046,0.036000000000000004,0.563,2.564,0.7929999999999999,0.446,0.315,0.393,3.88,2.483,313.421,0.461,4.229,2.117,1.104,1.525,13.548,3.794,1.962,1.357,1.814,0.058,0.0,0.0,0.0
932,1185,19720630,1,-0.130064,-0.130064,0.0,3.003,0.391,38.932,3.57,15.722,15.264,42.149,42.149,1.255,2.419,0.297,0.421,0.059,0.059,0.055,0.402,0.03,0.054000000000000006,0.083,0.058,0.075,0.043,0.086,0.065,0.059,0.309,0.691,0.309,0.387,0.499,0.365,0.373,0.481,0.161,0.195,0.057,0.202,0.46,0.423,3.637,0.447,0.046,0.036000000000000004,0.563,2.564,0.7929999999999999,0.446,0.315,0.393,3.88,2.483,313.421,0.461,4.229,2.117,1.104,1.525,13.548,3.794,1.962,1.357,1.814,0.058,0.0,0.0,0.0
967,1225,19720731,1,0.068627,0.068627,0.0,3.209,0.391,41.604,2.36,15.722,16.311,45.041,45.041,1.341,2.585,0.297,0.421,0.059,0.059,0.055,0.402,0.03,0.054000000000000006,0.083,0.058,0.075,0.043,0.086,0.065,0.059,0.309,0.691,0.309,0.387,0.499,0.365,0.373,0.481,0.161,0.195,0.057,0.202,0.46,0.423,3.637,0.447,0.046,0.036000000000000004,0.563,2.564,0.7929999999999999,0.446,0.315,0.393,3.88,2.483,313.421,0.461,4.229,2.117,1.104,1.525,13.548,3.794,1.962,1.357,1.814,0.058,0.0,0.0,0.0
1003,1265,19720831,1,-0.094037,-0.094037,0.368,15.834,0.419,38.847,2.84,18.35,18.49,36.213,36.213,1.18,2.278,0.312,0.434,0.065,0.065,0.069,0.401,0.033,0.058,0.083,0.066,0.083,0.047,0.092,0.07400000000000001,0.065,0.282,0.718,0.282,0.394,0.496,0.344,0.38,0.313,0.157,0.244,0.058,0.285,0.407,0.501,3.4330000000000003,0.392,0.079,0.06,0.499,2.427,0.785,0.44,0.307,0.387,2.923,3.3960000000000004,285.599,0.488,3.583,1.805,1.106,1.6780000000000002,15.09,3.94,1.929,1.386,1.9,0.034,0.085,0.0,0.0
