,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
111,187,19700531,7,-0.042471,0.002897,0.0,0.494,0.634,9.363,4.19,7.895,5.742000000000001,9.758,9.111,1.188,1.098,0.284,0.158,0.109,0.109,0.12,0.287,0.096,0.096,0.245,0.094,0.116,0.157,0.116,0.111,0.026,0.14800000000000002,0.852,0.14800000000000002,0.153,0.306,0.257,0.627,1.477,0.33,0.531,0.245,0.066,1.639,0.33,1.205,0.121,0.059,0.055,0.324,0.747,0.536,0.349,0.117,0.225,9.117,11.635,90.932,1.934,3.755,2.783,0.644,4.622,13.233,6.731,1.109,1.028,2.599,0.024,0.0,0.0,0.0
375,546,19710228,6,-0.031462000000000004,-0.014509,0.603,0.725,0.8959999999999999,8.757,1.44,8.326,9.384,9.409,9.409,1.64,1.126,0.295,0.152,0.098,0.098,0.081,0.299,0.108,0.141,0.227,0.08,0.091,0.139,0.113,0.084,0.107,0.095,0.904,0.094,0.123,0.379,0.249,0.301,1.044,0.374,0.303,0.212,0.166,1.325,0.34,0.999,0.1,0.07,0.064,0.269,0.74,0.386,0.274,0.098,0.165,6.57,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.785,0.745,2.744,0.031,0.0,0.0,0.0
409,586,19710331,6,0.043041,0.031997000000000005,0.603,0.725,0.8959999999999999,10.703,1.05,8.326,10.017,9.442,9.442,1.899,1.279,0.295,0.152,0.098,0.098,0.081,0.299,0.108,0.141,0.227,0.08,0.091,0.139,0.113,0.084,0.107,0.095,0.904,0.094,0.123,0.379,0.249,0.301,1.044,0.374,0.303,0.212,0.166,1.325,0.34,0.999,0.1,0.07,0.064,0.269,0.74,0.386,0.274,0.098,0.165,6.57,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.785,0.745,2.744,0.031,0.0,0.0,0.0
444,626,19710430,6,0.052867,0.053351,0.603,0.763,0.8959999999999999,11.65,2.41,8.326,9.776,9.902,9.902,2.156,1.382,0.295,0.152,0.098,0.098,0.081,0.299,0.108,0.141,0.227,0.08,0.091,0.139,0.113,0.084,0.107,0.095,0.904,0.094,0.123,0.379,0.249,0.301,1.044,0.374,0.303,0.212,0.166,1.325,0.34,0.999,0.1,0.07,0.064,0.269,0.74,0.386,0.274,0.098,0.165,6.57,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.785,0.745,2.744,0.031,0.0,0.0,0.0
478,666,19710531,6,-0.03535,-0.028227,0.0,2.206,0.7709999999999999,11.511,6.27,8.326,13.963,11.05,11.05,1.967,1.301,0.295,0.152,0.087,0.087,0.054000000000000006,0.28,0.105,0.134,0.206,0.08,0.091,0.13699999999999998,0.113,0.084,0.087,0.111,0.889,0.111,0.153,0.379,0.249,0.301,1.044,0.374,0.303,0.194,0.202,1.325,0.34,1.143,0.128,0.064,0.055,0.269,0.74,0.386,0.274,0.098,0.165,6.082000000000002,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.795,0.716,2.744,0.031,0.0,0.0,0.0
514,706,19710630,6,-0.044643,-0.034913,0.0,2.111,0.7709999999999999,11.369000000000002,3.52,8.326,13.056,10.463,10.463,1.888,1.234,0.295,0.152,0.087,0.087,0.054000000000000006,0.28,0.105,0.134,0.206,0.08,0.091,0.13699999999999998,0.113,0.084,0.087,0.111,0.889,0.111,0.153,0.379,0.249,0.301,1.044,0.374,0.303,0.194,0.202,1.325,0.34,1.143,0.128,0.064,0.055,0.269,0.74,0.386,0.274,0.098,0.165,6.082000000000002,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.795,0.716,2.744,0.031,0.0,0.0,0.0
547,746,19710731,6,-0.057659,-0.09599,0.0,2.097,0.7709999999999999,10.029,2.92,8.326,12.705,10.044,10.044,1.785,1.1909999999999998,0.295,0.152,0.087,0.087,0.054000000000000006,0.28,0.105,0.134,0.206,0.08,0.091,0.13699999999999998,0.113,0.084,0.087,0.111,0.889,0.111,0.153,0.379,0.249,0.301,1.044,0.374,0.303,0.194,0.202,1.325,0.34,1.143,0.128,0.064,0.055,0.269,0.74,0.386,0.274,0.098,0.165,6.082000000000002,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.795,0.716,2.744,0.031,0.0,0.0,0.0
583,786,19710831,6,0.032884,0.024246,0.0,1.6880000000000002,0.82,9.802,1.86,8.654,12.275,11.913,11.913,1.734,1.21,0.295,0.152,0.079,0.079,0.054000000000000006,0.269,0.092,0.124,0.196,0.08,0.091,0.124,0.113,0.084,0.079,0.114,0.8859999999999999,0.114,0.157,0.379,0.249,0.301,1.044,0.374,0.303,0.183,0.212,1.325,0.34,1.161,0.132,0.07200000000000001,0.06,0.269,0.74,0.386,0.274,0.098,0.165,5.683,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.828,0.705,2.744,0.031,0.0,0.0,0.0
618,826,19710930,6,-0.059919000000000014,-0.048048,0.0,1.661,0.82,9.141,0.93,8.654,11.39,11.298,11.298,1.597,1.144,0.295,0.152,0.079,0.079,0.054000000000000006,0.269,0.092,0.124,0.196,0.08,0.091,0.124,0.113,0.084,0.079,0.114,0.8859999999999999,0.114,0.157,0.379,0.249,0.301,1.044,0.374,0.303,0.183,0.212,1.325,0.34,1.161,0.132,0.07200000000000001,0.06,0.269,0.74,0.386,0.274,0.098,0.165,5.683,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.828,0.705,2.744,0.031,0.0,0.0,0.0
653,866,19711031,6,-0.116028,-0.134825,0.0,1.38,0.82,7.987,1.73,8.654,10.222,9.893,9.893,1.408,1.006,0.295,0.152,0.079,0.079,0.054000000000000006,0.269,0.092,0.124,0.196,0.08,0.091,0.124,0.113,0.084,0.079,0.114,0.8859999999999999,0.114,0.157,0.379,0.249,0.301,1.044,0.374,0.303,0.183,0.212,1.325,0.34,1.161,0.132,0.07200000000000001,0.06,0.269,0.74,0.386,0.274,0.098,0.165,5.683,6.796,116.071,0.782,3.238,1.788,0.63,3.714,27.676,7.265,0.828,0.705,2.744,0.031,0.0,0.0,0.0
