,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
10,28,19700131,21,-0.122596,-0.12831199999999998,0.0,1.369,0.534,10.543,4.75,9.447,4.939,9.59,9.368,0.777,1.108,0.238,0.232,0.108,0.113,0.117,0.32,0.08,0.117,0.215,0.101,0.125,0.121,0.165,0.125,0.129,0.189,0.782,0.206,0.22,0.243,0.475,0.029,0.905,0.3670000000000001,0.22,0.16899999999999998,0.101,1.038,0.388,1.121,0.253,0.062,0.052000000000000005,0.4370000000000001,0.581,0.531,0.363,0.18,0.16699999999999998,7.801,9.399,31.615,0.424,1.882,1.439,0.721,7.335,17.279,5.704,1.08,0.8240000000000001,5.185,0.059,0.0,0.0,0.115
30,68,19700228,21,0.057671000000000014,0.048852,0.457,2.343,0.7959999999999999,10.743,5.07,6.822,5.263,9.85,10.744000000000002,0.8140000000000001,1.1,0.255,0.244,0.105,0.107,0.103,0.312,0.086,0.113,0.21600000000000005,0.092,0.112,0.124,0.153,0.105,0.112,0.16899999999999998,0.789,0.198,0.231,0.242,0.489,0.068,0.79,0.335,0.179,0.184,0.133,0.962,0.39,1.171,0.245,0.071,0.061,0.465,0.5660000000000001,0.563,0.368,0.185,0.275,6.832999999999998,7.917999999999998,56.027,0.398,1.797,1.276,0.718,7.621,16.595,5.6320000000000014,1.136,0.843,6.242000000000001,0.064,0.0,0.0,0.116
56,108,19700331,21,-0.017223,0.00282,0.457,2.195,0.7959999999999999,11.05,4.72,6.822,5.1560000000000015,9.585,11.261,0.7859999999999999,1.095,0.255,0.244,0.105,0.107,0.103,0.312,0.086,0.113,0.21600000000000005,0.092,0.112,0.124,0.153,0.105,0.112,0.16899999999999998,0.789,0.198,0.231,0.242,0.489,0.068,0.79,0.335,0.179,0.184,0.133,0.962,0.39,1.171,0.245,0.071,0.061,0.465,0.5660000000000001,0.563,0.368,0.185,0.275,6.832999999999998,7.917999999999998,56.027,0.398,1.797,1.276,0.718,7.621,16.595,5.6320000000000014,1.136,0.843,6.242000000000001,0.064,0.0,0.0,0.116
83,148,19700430,21,-0.08766499999999999,-0.075956,0.457,2.059,0.7959999999999999,10.118,3.6,6.822,4.742,9.111,10.259,0.758,0.962,0.255,0.244,0.105,0.107,0.103,0.312,0.086,0.113,0.21600000000000005,0.092,0.112,0.124,0.153,0.105,0.112,0.16899999999999998,0.789,0.198,0.231,0.242,0.489,0.068,0.79,0.335,0.179,0.184,0.133,0.962,0.39,1.171,0.245,0.071,0.061,0.465,0.5660000000000001,0.563,0.368,0.185,0.275,6.832999999999998,7.917999999999998,56.027,0.398,1.797,1.276,0.718,7.621,16.595,5.6320000000000014,1.136,0.843,6.242000000000001,0.064,0.0,0.0,0.116
112,188,19700531,21,0.012423,0.038217,0.0,2.091,0.7959999999999999,9.92,2.27,6.291,4.854,9.159,9.079,0.675,1.017,0.255,0.244,0.105,0.103,0.102,0.311,0.079,0.116,0.21600000000000005,0.092,0.112,0.123,0.153,0.121,0.032,0.18,0.789,0.211,0.264,0.242,0.489,0.068,0.79,0.335,0.179,0.158,0.133,0.962,0.39,1.171,0.247,0.07200000000000001,0.061,0.465,0.5660000000000001,0.563,0.368,0.185,0.275,6.432,8.048,56.027,0.398,1.797,1.276,0.718,7.621,16.595,5.6320000000000014,1.244,0.986,6.242000000000001,0.064,0.0,0.0,0.116
139,227,19700630,23,-0.004273,-0.016981,0.0,2.216,0.7829999999999999,10.251,1.32,6.456,4.669,9.591,9.579,0.69,1.039,0.255,0.232,0.105,0.103,0.102,0.343,0.079,0.12,0.21600000000000005,0.098,0.118,0.131,0.159,0.121,0.047,0.189,0.789,0.211,0.264,0.242,0.477,0.068,0.79,0.331,0.179,0.16899999999999998,0.126,0.962,0.388,1.18,0.247,0.071,0.061,0.469,0.5710000000000001,0.565,0.371,0.18600000000000005,0.284,6.096,7.085,56.027,0.398,1.797,1.276,0.6990000000000001,7.621,8.945,5.6320000000000014,1.244,0.986,6.242000000000001,0.067,0.0,0.0,0.113
167,267,19700731,23,0.156399,0.124061,0.0,2.407,0.7829999999999999,11.433,3.08,6.456,5.757999999999999,10.835,10.877,0.826,1.147,0.255,0.232,0.105,0.103,0.102,0.343,0.079,0.12,0.21600000000000005,0.098,0.118,0.131,0.159,0.121,0.047,0.189,0.789,0.211,0.264,0.242,0.477,0.068,0.79,0.331,0.179,0.16899999999999998,0.126,0.962,0.388,1.18,0.247,0.071,0.061,0.469,0.5710000000000001,0.565,0.371,0.18600000000000005,0.284,6.096,7.085,56.027,0.398,1.797,1.276,0.6990000000000001,7.621,8.945,5.6320000000000014,1.244,0.986,6.242000000000001,0.067,0.0,0.0,0.113
194,307,19700831,23,0.076887,0.063188,0.0,2.475,0.7959999999999999,12.255999999999998,4.15,6.305,5.843,11.948,11.882,0.863,1.203,0.268,0.232,0.098,0.098,0.102,0.327,0.077,0.114,0.21600000000000005,0.098,0.118,0.131,0.159,0.115,0.069,0.198,0.7879999999999999,0.212,0.266,0.242,0.489,0.068,0.8,0.331,0.179,0.17,0.124,0.966,0.39,1.18,0.267,0.075,0.063,0.469,0.5710000000000001,0.565,0.371,0.18600000000000005,0.284,6.101,7.829,38.137,0.421,1.732,1.345,0.6990000000000001,7.773,8.693999999999999,5.655,1.213,0.928,6.242000000000001,0.066,0.0,0.0,0.113
225,347,19700930,23,0.043751,0.016013,0.0,2.502,0.7959999999999999,12.103,1.14,6.305,5.845,12.183,12.284,0.892,1.262,0.268,0.232,0.098,0.098,0.102,0.327,0.077,0.114,0.21600000000000005,0.098,0.118,0.131,0.159,0.115,0.069,0.198,0.7879999999999999,0.212,0.266,0.242,0.489,0.068,0.8,0.331,0.179,0.17,0.124,0.966,0.39,1.18,0.267,0.075,0.063,0.469,0.5710000000000001,0.565,0.371,0.18600000000000005,0.284,6.101,7.829,38.137,0.421,1.732,1.345,0.6990000000000001,7.773,8.693999999999999,5.655,1.213,0.928,6.242000000000001,0.066,0.0,0.0,0.113
254,387,19701031,23,0.017313,0.036383,0.0,2.559,0.7959999999999999,12.345,2.38,6.305,5.817,12.146,12.405,0.91,1.269,0.268,0.232,0.098,0.098,0.102,0.327,0.077,0.114,0.21600000000000005,0.098,0.118,0.131,0.159,0.115,0.069,0.198,0.7879999999999999,0.212,0.266,0.242,0.489,0.068,0.8,0.331,0.179,0.17,0.124,0.966,0.39,1.18,0.267,0.075,0.063,0.469,0.5710000000000001,0.565,0.371,0.18600000000000005,0.284,6.101,7.829,38.137,0.421,1.732,1.345,0.6990000000000001,7.773,8.693999999999999,5.655,1.213,0.928,6.242000000000001,0.066,0.0,0.0,0.113
