,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2445,2794,19750930,1,-0.138182,-0.138182,0.025,1.063,1.052,8.399,3.47,3.918,2.256,6.752999999999999,5.649,0.39,0.698,0.475,0.328,0.106,0.107,0.083,0.42,0.06,0.152,0.261,0.13699999999999998,0.158,0.117,0.204,0.13699999999999998,0.102,0.4920000000000001,0.499,0.4920000000000001,0.507,0.133,0.768,-1.85,1.189,0.122,0.111,0.16899999999999998,0.03,1.793,0.203,2.173,0.925,0.063,0.061,0.769,0.97,1.257,0.5589999999999999,0.443,0.526,2.733,4.376,66.497,0.547,2.569,2.631,0.782,11.634,9.038,3.488,1.759,0.894,4.384,0.08800000000000001,0.0,0.0,0.0
2487,2837,19751031,1,-0.06383,-0.06383,0.025,0.996,1.052,7.862999999999999,4.15,3.918,2.112,6.322,5.2879999999999985,0.365,0.653,0.475,0.328,0.106,0.107,0.083,0.42,0.06,0.152,0.261,0.13699999999999998,0.158,0.117,0.204,0.13699999999999998,0.102,0.4920000000000001,0.499,0.4920000000000001,0.507,0.133,0.768,-1.85,1.189,0.122,0.111,0.16899999999999998,0.03,1.793,0.203,2.173,0.925,0.063,0.061,0.769,0.97,1.257,0.5589999999999999,0.443,0.526,2.733,4.376,66.497,0.547,2.569,2.631,0.782,11.634,9.038,3.488,1.759,0.894,4.384,0.08800000000000001,0.0,0.0,0.0
2527,2880,19751130,1,0.022727,0.022727,0.225,1.203,1.612,7.461,3.48,3.712,1.5530000000000002,6.466,18.75,0.3670000000000001,0.594,0.49,0.315,0.104,0.104,0.078,0.411,0.059,0.14300000000000002,0.247,0.133,0.157,0.115,0.188,0.135,0.096,0.452,0.5329999999999999,0.457,0.49,0.098,0.502,0.593,1.9,0.32,0.15,0.166,0.067,1.987,0.168,2.069,0.772,0.061,0.058,0.6459999999999999,1.12,1.278,0.5660000000000001,0.392,0.487,2.967,4.809,59.788,0.889,2.533,2.285,0.76,14.752,7.827000000000001,4.549,1.767,0.959,5.246,0.135,0.0,0.0,0.0
2568,2923,19751231,1,0.053333000000000005,0.053333000000000005,0.225,1.257,1.612,7.792000000000002,2.3,3.712,1.622,6.752999999999999,19.583,0.383,0.62,0.49,0.315,0.104,0.104,0.078,0.411,0.059,0.14300000000000002,0.247,0.133,0.157,0.115,0.188,0.135,0.096,0.452,0.5329999999999999,0.457,0.49,0.098,0.502,0.593,1.9,0.32,0.15,0.166,0.067,1.987,0.168,2.069,0.772,0.061,0.058,0.6459999999999999,1.12,1.278,0.5660000000000001,0.392,0.487,2.967,4.809,59.788,0.889,2.533,2.285,0.76,14.752,7.827000000000001,4.549,1.767,0.959,5.246,0.135,0.0,0.0,0.0
2608,2966,19760131,1,0.276596,0.276596,0.225,1.604,1.612,9.948,3.45,3.712,2.07,8.621,25.0,0.489,0.792,0.49,0.315,0.104,0.104,0.078,0.411,0.059,0.14300000000000002,0.247,0.133,0.157,0.115,0.188,0.135,0.096,0.452,0.5329999999999999,0.457,0.49,0.098,0.502,0.593,1.9,0.32,0.15,0.166,0.067,1.987,0.168,2.069,0.772,0.061,0.058,0.6459999999999999,1.12,1.278,0.5660000000000001,0.392,0.487,2.967,4.809,59.788,0.889,2.533,2.285,0.76,14.752,7.827000000000001,4.549,1.767,0.959,5.246,0.135,0.0,0.0,0.0
2649,3009,19760229,1,0.06666699999999999,0.06666699999999999,0.02,4.21,1.739,10.374,4.57,4.0760000000000005,3.516,9.302,26.667,0.515,0.7829999999999999,0.49,0.324,0.103,0.103,0.07200000000000001,0.407,0.057,0.136,0.24,0.139,0.155,0.112,0.195,0.124,0.098,0.482,0.509,0.482,0.504,0.105,0.512,0.593,1.357,0.32,0.15,0.161,0.044,2.219,0.154,2.252,0.851,0.046,0.044,0.736,1.04,1.262,0.5579999999999999,0.429,0.4920000000000001,3.399,5.737,56.182,0.973,2.857,2.572,0.7959999999999999,18.293,7.827000000000001,6.3370000000000015,1.801,0.934,4.988,0.071,0.0,0.0,0.0
2690,3052,19760331,1,-0.025,-0.025,0.02,4.078,1.739,10.05,3.78,4.0760000000000005,3.406,9.012,25.833,0.499,0.758,0.49,0.324,0.103,0.103,0.07200000000000001,0.407,0.057,0.136,0.24,0.139,0.155,0.112,0.195,0.124,0.098,0.482,0.509,0.482,0.504,0.105,0.512,0.593,1.357,0.32,0.15,0.161,0.044,2.219,0.154,2.252,0.851,0.046,0.044,0.736,1.04,1.262,0.5579999999999999,0.429,0.4920000000000001,3.399,5.737,56.182,0.973,2.857,2.572,0.7959999999999999,18.293,7.827000000000001,6.3370000000000015,1.801,0.934,4.988,0.071,0.0,0.0,0.0
2737,3095,19760430,1,-0.14516099999999998,-0.14516099999999998,0.02,3.486,1.739,8.591000000000001,1.62,4.0760000000000005,2.912,7.7029999999999985,22.083,0.4270000000000001,0.648,0.49,0.324,0.103,0.103,0.07200000000000001,0.407,0.057,0.136,0.24,0.139,0.155,0.112,0.195,0.124,0.098,0.482,0.509,0.482,0.504,0.105,0.512,0.593,1.357,0.32,0.15,0.161,0.044,2.219,0.154,2.252,0.851,0.046,0.044,0.736,1.04,1.262,0.5579999999999999,0.429,0.4920000000000001,3.399,5.737,56.182,0.973,2.857,2.572,0.7959999999999999,18.293,7.827000000000001,6.3370000000000015,1.801,0.934,4.988,0.071,0.0,0.0,0.0
2771,3138,19760531,1,0.0,0.0,0.019,5.997000000000001,1.321,8.234,4.08,4.078,2.523,7.615,9.888,0.416,0.647,0.49,0.314,0.103,0.103,0.069,0.402,0.056,0.131,0.234,0.13699999999999998,0.153,0.11,0.191,0.124,0.095,0.473,0.518,0.473,0.494,0.103,0.4970000000000001,0.593,1.537,0.32,0.145,0.159,0.043,2.18,0.147,2.191,0.8109999999999999,0.041,0.04,0.6729999999999999,1.114,1.3330000000000002,0.57,0.401,0.4920000000000001,3.75,6.431,54.649,0.984,2.819,2.53,0.782,19.26,7.827000000000001,6.642,1.828,0.964,5.121,0.08800000000000001,0.0,0.0,0.0
2818,3182,19760630,1,0.101887,0.101887,0.019,6.562,1.321,9.011,4.85,4.078,2.76,8.333,10.821,0.456,0.708,0.49,0.314,0.103,0.103,0.069,0.402,0.056,0.131,0.234,0.13699999999999998,0.153,0.11,0.191,0.124,0.095,0.473,0.518,0.473,0.494,0.103,0.4970000000000001,0.593,1.537,0.32,0.145,0.159,0.043,2.18,0.147,2.191,0.8109999999999999,0.041,0.04,0.6729999999999999,1.114,1.3330000000000002,0.57,0.401,0.4920000000000001,3.75,6.431,54.649,0.984,2.819,2.53,0.782,19.26,7.827000000000001,6.642,1.828,0.964,5.121,0.08800000000000001,0.0,0.0,0.0
