,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
9,29,19700131,9,-0.085591,-0.098263,0.004,1.045,0.6709999999999999,15.005,3.98,8.198,7.002000000000002,12.943,13.511,0.835,1.288,0.381,0.267,0.103,0.107,0.085,0.293,0.062,0.107,0.158,0.108,0.123,0.105,0.153,0.122,0.101,0.28600000000000003,0.677,0.294,0.289,0.475,0.365,0.048,0.915,0.23,0.08900000000000001,0.113,0.081,1.331,0.322,1.6969999999999998,0.375,0.054000000000000006,0.051,0.573,0.618,0.684,0.407,0.241,0.331,7.127000000000002,9.655,91.481,0.302,2.42,1.345,0.958,5.329,13.799,9.149,1.581,1.116,5.706,0.038,0.0,0.0,0.293
31,69,19700228,9,0.057626,0.109059,0.52,1.761,0.711,15.855,3.45,8.139,10.75,14.044,19.225,0.8909999999999999,1.354,0.387,0.256,0.1,0.098,0.083,0.299,0.06,0.107,0.157,0.107,0.127,0.106,0.155,0.119,0.092,0.287,0.677,0.28800000000000003,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.111,0.168,0.918,0.38,1.955,0.413,0.059,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.46,8.558,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.614,1.126,6.263,0.027000000000000003,0.0,0.0,0.285
57,109,19700331,9,0.032999,0.046469,0.52,1.768,0.711,15.468,5.59,8.139,10.716,14.847,15.804,0.867,1.317,0.387,0.256,0.1,0.098,0.083,0.299,0.06,0.107,0.157,0.107,0.127,0.106,0.155,0.119,0.092,0.287,0.677,0.28800000000000003,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.111,0.168,0.918,0.38,1.955,0.445,0.059,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.46,7.945,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.6269999999999998,1.126,6.263,0.027000000000000003,0.0,0.0,0.285
84,149,19700430,9,-0.06391799999999999,-0.065091,0.52,1.607,0.711,14.866,5.76,8.139,10.3,13.319,14.454,0.833,1.266,0.387,0.256,0.1,0.098,0.083,0.299,0.06,0.107,0.157,0.107,0.127,0.106,0.155,0.119,0.092,0.287,0.677,0.28800000000000003,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.111,0.168,0.918,0.38,1.955,0.445,0.059,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.46,7.945,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.6269999999999998,1.126,6.263,0.027000000000000003,0.0,0.0,0.285
108,189,19700531,9,-0.054846000000000006,-0.030306,0.012,1.24,0.711,14.021,2.73,7.978,6.749,12.5,12.5,0.77,1.224,0.387,0.256,0.096,0.094,0.083,0.3,0.06,0.104,0.155,0.107,0.127,0.102,0.155,0.115,0.103,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.11,0.134,0.918,0.38,1.838,0.456,0.063,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,7.945,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.6269999999999998,1.178,6.263,0.027000000000000003,0.0,0.0,0.285
140,228,19700630,9,-0.074022,-0.07273400000000001,0.011,1.601,0.711,13.469,5.64,7.978,6.483,11.961,11.961,0.74,1.175,0.387,0.256,0.096,0.094,0.083,0.3,0.06,0.104,0.155,0.107,0.127,0.102,0.155,0.115,0.103,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.11,0.134,0.918,0.38,1.838,0.456,0.063,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,6.666,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.634,1.178,6.263,0.027000000000000003,0.0,0.0,0.285
168,268,19700731,9,0.10173,0.08858400000000001,0.011,1.755,0.711,15.236,4.09,7.978,7.334,13.529000000000002,13.529000000000002,0.8370000000000001,1.238,0.387,0.256,0.096,0.094,0.083,0.3,0.06,0.104,0.155,0.107,0.127,0.102,0.155,0.115,0.103,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.11,0.134,0.918,0.38,1.838,0.456,0.063,0.053,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,6.666,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.634,1.178,6.263,0.027000000000000003,0.0,0.0,0.285
195,308,19700831,9,0.047564,0.068129,0.011,1.134,0.711,15.864,2.02,8.225,7.685,14.483,14.483,0.826,1.209,0.387,0.256,0.091,0.091,0.083,0.301,0.058,0.103,0.155,0.107,0.127,0.098,0.155,0.115,0.1,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.106,0.134,0.918,0.38,1.82,0.456,0.066,0.056,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,6.401,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.634,1.196,6.263,0.027000000000000003,0.0,0.0,0.285
226,348,19700930,9,0.017878,0.013918,0.011,1.189,0.711,15.484000000000002,4.35,8.225,7.504,14.368,14.368,0.8190000000000001,1.206,0.387,0.256,0.091,0.091,0.083,0.301,0.058,0.103,0.155,0.107,0.127,0.098,0.155,0.115,0.1,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.106,0.134,0.918,0.38,1.82,0.456,0.066,0.056,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,5.943,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.625,1.196,6.263,0.027000000000000003,0.0,0.0,0.285
255,388,19701031,9,-0.059469000000000015,-0.049835,0.011,1.064,0.711,14.615,1.61,8.225,7.082000000000002,13.445,13.445,0.8059999999999999,1.218,0.387,0.256,0.091,0.091,0.083,0.301,0.058,0.103,0.155,0.107,0.127,0.098,0.155,0.115,0.1,0.279,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.106,0.134,0.918,0.38,1.82,0.456,0.066,0.056,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,5.403,5.943,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.625,1.196,6.263,0.027000000000000003,0.0,0.0,0.285
286,428,19701130,9,0.003462,-0.005951,0.011,2.417,0.711,13.851,3.67,8.272,6.377000000000002,14.286,14.286,0.767,1.137,0.387,0.256,0.084,0.084,0.079,0.206,0.053,0.092,0.145,0.107,0.127,0.084,0.155,0.103,0.095,0.292,0.677,0.295,0.336,0.46,0.394,-0.224,0.53,0.201,0.07200000000000001,0.105,0.134,0.918,0.38,1.933,0.456,0.07,0.056,0.524,0.648,0.7290000000000001,0.422,0.271,0.353,3.868,5.354,94.998,0.241,2.147,1.18,0.948,5.353,14.922,8.832,1.625,1.197,6.263,0.027000000000000003,0.0,0.0,0.285
315,468,19701231,9,0.080157,0.080913,0.019,2.605,0.711,15.464,2.97,8.272,7.648,15.539,15.539,0.8290000000000001,1.229,0.387,0.256,0.084,0.084,0.079,0.205,0.053,0.092,0.145,0.107,0.127,0.084,0.155,0.103,0.095,0.292,0.6679999999999999,0.295,0.337,0.46,0.394,-0.224,0.511,0.188,0.07200000000000001,0.105,0.168,0.915,0.38,1.933,0.456,0.07,0.056,0.524,0.67,0.772,0.431,0.271,0.36,3.868,4.841,85.719,0.241,2.124,1.1740000000000002,0.943,5.353,23.411,8.832,1.615,1.197,5.704,0.02,0.0,0.0,0.285
346,508,19710131,9,0.093468,0.059504,0.019,2.616,0.711,16.519000000000002,3.46,8.272,8.52,16.869,16.869,0.86,1.346,0.387,0.256,0.084,0.084,0.079,0.205,0.053,0.092,0.145,0.107,0.127,0.084,0.155,0.103,0.095,0.292,0.6679999999999999,0.295,0.337,0.46,0.394,-0.224,0.511,0.188,0.07200000000000001,0.105,0.168,0.915,0.38,1.933,0.456,0.07,0.056,0.524,0.67,0.772,0.431,0.271,0.36,3.868,4.841,85.719,0.241,2.124,1.1740000000000002,0.943,5.353,23.411,8.832,1.615,1.197,5.704,0.02,0.0,0.0,0.285
