,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
7857,8714,19861231,2,-0.025342,-0.042531,0.41,1.463,0.339,28.614,2.49,12.273,33.882,20.408,20.408,2.52,2.971,0.416,0.235,0.188,0.188,0.129,0.264,0.123,0.168,0.207,0.252,0.379,0.21,0.22,0.228,0.182,0.16399999999999998,0.836,0.16399999999999998,0.212,0.062,0.33,0.187,0.609,0.16899999999999998,0.585,0.162,0.423,1.577,0.5379999999999999,1.277,0.21600000000000005,0.068,0.065,0.318,1.197,0.5870000000000001,0.363,0.16899999999999998,0.247,5.524,5.425,51.682,1.881,3.422,3.107,1.057,9.48,24.881,7.56,1.5830000000000002,1.425,4.941,-0.008,0.0,0.016,0.233
7905,8760,19870131,2,0.17160799999999998,0.171896,0.41,1.713,0.339,37.189,1.54,12.273,44.999,23.873,23.873,3.299,3.748,0.416,0.235,0.188,0.188,0.129,0.264,0.123,0.168,0.207,0.252,0.379,0.21,0.22,0.228,0.182,0.16399999999999998,0.836,0.16399999999999998,0.212,0.062,0.33,0.187,0.609,0.16899999999999998,0.585,0.162,0.423,1.577,0.5379999999999999,1.277,0.21600000000000005,0.068,0.065,0.318,1.197,0.5870000000000001,0.363,0.16899999999999998,0.247,5.524,5.425,51.682,1.881,3.422,3.107,1.057,9.48,24.881,7.56,1.5830000000000002,1.425,4.941,-0.008,0.0,0.016,0.233
7945,8806,19870228,2,0.010379,0.010071,0.41,1.727,0.339,37.68,2.61,12.273,45.791,24.133000000000006,24.133000000000006,3.347,3.774,0.416,0.235,0.188,0.188,0.129,0.264,0.123,0.168,0.207,0.252,0.379,0.21,0.22,0.228,0.182,0.16399999999999998,0.836,0.16399999999999998,0.212,0.062,0.33,0.187,0.609,0.16899999999999998,0.585,0.162,0.423,1.577,0.5379999999999999,1.277,0.21600000000000005,0.068,0.065,0.318,1.197,0.5870000000000001,0.363,0.16899999999999998,0.247,5.524,5.425,51.682,1.881,3.422,3.107,1.057,9.48,24.881,7.56,1.5830000000000002,1.425,4.941,-0.008,0.0,0.016,0.233
7985,8852,19870331,2,0.029965,0.030848,0.435,1.836,0.247,36.326,1.16,14.194,41.44300000000001,24.551,24.551,3.082,4.042,0.416,0.221,0.17600000000000002,0.17600000000000002,0.121,0.256,0.118,0.16,0.198,0.238,0.35700000000000004,0.204,0.207,0.211,0.171,0.17600000000000002,0.8240000000000001,0.17600000000000002,0.224,0.075,0.339,0.005,0.5720000000000001,0.16899999999999998,0.5429999999999999,0.157,0.423,1.4280000000000002,0.54,1.487,0.242,0.065,0.062,0.332,1.256,0.614,0.3720000000000001,0.18,0.262,4.9830000000000005,4.708,55.12,1.662,3.222,2.869,1.029,8.038,22.018,7.2970000000000015,1.557,1.389,4.982,-0.005,0.0,0.016,0.233
8025,8898,19870430,2,-0.056092,-0.05875900000000001,0.435,1.719,0.247,34.398,5.44,14.194,39.679,23.104,23.104,2.927,3.763,0.416,0.221,0.17600000000000002,0.17600000000000002,0.121,0.256,0.118,0.16,0.198,0.238,0.35700000000000004,0.204,0.207,0.211,0.171,0.17600000000000002,0.8240000000000001,0.17600000000000002,0.224,0.075,0.339,0.005,0.5720000000000001,0.16899999999999998,0.5429999999999999,0.157,0.423,1.4280000000000002,0.54,1.487,0.242,0.065,0.062,0.332,1.256,0.614,0.3720000000000001,0.18,0.262,4.9830000000000005,4.708,55.12,1.662,3.222,2.869,1.029,8.038,22.018,7.2970000000000015,1.557,1.389,4.982,-0.005,0.0,0.016,0.233
8064,8944,19870531,2,-0.026005,-0.027306,0.435,1.666,0.247,33.661,3.26,14.194,39.173,22.496,22.496,2.8710000000000004,3.632,0.416,0.221,0.17600000000000002,0.17600000000000002,0.121,0.256,0.118,0.16,0.198,0.238,0.35700000000000004,0.204,0.207,0.211,0.171,0.17600000000000002,0.8240000000000001,0.17600000000000002,0.224,0.075,0.339,0.005,0.5720000000000001,0.16899999999999998,0.5429999999999999,0.157,0.423,1.4280000000000002,0.54,1.487,0.242,0.065,0.062,0.332,1.256,0.614,0.3720000000000001,0.18,0.262,4.9830000000000005,4.708,55.12,1.662,3.222,2.869,1.029,8.038,22.018,7.2970000000000015,1.557,1.389,4.982,-0.005,0.0,0.016,0.233
8099,8990,19870630,2,-0.014329,-0.012422,0.375,1.4169999999999998,0.342,27.938,3.2,15.501,49.316,19.775,19.775,2.427,2.946,0.412,0.16899999999999998,0.181,0.181,0.138,0.246,0.12,0.157,0.191,0.185,0.318,0.204,0.16699999999999998,0.17800000000000002,0.173,0.166,0.8340000000000001,0.166,0.345,0.147,0.426,-0.128,0.247,0.086,0.429,0.158,0.503,0.982,0.535,2.022,0.223,0.081,0.077,0.3,2.265,0.799,0.444,0.236,0.332,4.294,4.009,67.373,0.7859999999999999,2.35,1.892,0.889,8.724,23.775,6.022,1.385,1.243,3.996,-0.058,0.0,0.01,0.239
8146,9036,19870731,2,0.060273,0.053614,0.375,1.505,0.342,29.779,2.33,15.501,52.778,21.002,21.002,2.597,3.067,0.412,0.16899999999999998,0.181,0.181,0.138,0.246,0.12,0.157,0.191,0.185,0.318,0.204,0.16699999999999998,0.17800000000000002,0.173,0.166,0.8340000000000001,0.166,0.345,0.147,0.426,-0.128,0.247,0.086,0.429,0.158,0.503,0.982,0.535,2.022,0.223,0.081,0.077,0.3,2.265,0.799,0.444,0.236,0.332,4.294,4.009,67.373,0.7859999999999999,2.35,1.892,0.889,8.724,23.775,6.022,1.385,1.243,3.996,-0.058,0.0,0.01,0.239
8187,9082,19870831,2,0.107916,0.109077,0.375,1.662,0.342,32.849000000000004,2.89,15.501,58.125,23.201,23.201,2.86,3.4160000000000004,0.412,0.16899999999999998,0.181,0.181,0.138,0.246,0.12,0.157,0.191,0.185,0.318,0.204,0.16699999999999998,0.17800000000000002,0.173,0.166,0.8340000000000001,0.166,0.345,0.147,0.426,-0.128,0.247,0.086,0.429,0.158,0.503,0.982,0.535,2.022,0.223,0.081,0.077,0.3,2.265,0.799,0.444,0.236,0.332,4.294,4.009,67.373,0.7859999999999999,2.35,1.892,0.889,8.724,23.775,6.022,1.385,1.243,3.996,-0.058,0.0,0.01,0.239
8231,9128,19870930,2,0.022417,0.025894,0.389,1.6030000000000002,0.345,35.285,2.06,14.561,48.505,22.817,22.817,2.658,3.81,0.412,0.181,0.19,0.19,0.109,0.244,0.115,0.153,0.191,0.188,0.322,0.196,0.171,0.179,0.184,0.16899999999999998,0.831,0.16899999999999998,0.242,0.134,0.4,-0.015,0.441,0.086,0.44,0.153,0.464,1.135,0.527,1.798,0.223,0.07400000000000001,0.071,0.319,1.422,0.634,0.383,0.189,0.275,4.375,4.206,74.653,0.929,2.614,2.147,1.055,6.632999999999999,20.618,6.971,1.646,1.474,5.3279999999999985,-0.029,0.0,0.01,0.239
8267,9174,19871031,3,-0.200401,-0.202931,0.268,1.306,0.233,30.024,1.25,16.097,30.505,18.246,18.246,2.311,4.16,0.425,0.199,0.241,0.241,0.054000000000000006,0.306,0.112,0.155,0.185,0.24,0.314,0.198,0.225,0.25,0.198,0.084,0.916,0.084,0.14800000000000002,0.226,0.382,-0.818,0.52,0.122,0.273,0.168,0.112,1.3,0.476,1.009,0.076,0.07400000000000001,0.071,0.153,1.021,0.596,0.374,0.101,0.206,4.375,4.206,57.277,0.802,2.108,1.744,1.249,8.174,15.493,7.069,1.995,1.828,6.3420000000000005,-0.011,0.0,0.0,0.0
8308,9220,19871130,3,-0.09043,-0.084632,0.268,1.172,0.233,24.882,2.7,17.242,27.122,17.042,17.042,1.915,4.097,0.425,0.199,0.239,0.239,0.054000000000000006,0.306,0.111,0.155,0.183,0.24,0.309,0.195,0.225,0.25,0.198,0.096,0.904,0.096,0.14800000000000002,0.238,0.4,-0.818,0.52,0.122,0.226,0.168,0.14300000000000002,1.218,0.476,1.009,0.08800000000000001,0.07400000000000001,0.071,0.16699999999999998,1.021,0.634,0.388,0.101,0.206,4.375,4.206,57.277,0.802,1.9,1.744,1.228,8.172,15.493,7.069,2.005,1.813,7.061,-0.011,0.0,0.0,0.0
8358,9266,19871231,3,0.195683,0.204549,0.273,1.249,0.261,29.765,1.73,15.880999999999998,20.207,20.598000000000006,20.598000000000006,2.189,4.81,0.425,0.199,0.239,0.239,0.053,0.304,0.111,0.151,0.183,0.24,0.309,0.195,0.225,0.25,0.198,0.096,0.904,0.096,0.14400000000000002,0.238,0.423,0.363,0.731,0.122,0.226,0.168,0.14300000000000002,1.218,0.476,1.009,0.08800000000000001,0.077,0.073,0.16699999999999998,1.022,0.634,0.388,0.098,0.209,4.363,4.122,57.277,0.563,1.9,1.801,1.228,8.248,15.493,7.113,2.005,1.813,6.768,-0.001,0.0,0.0,0.0
8397,9312,19880131,3,0.028717000000000006,0.017691,0.273,1.194,0.261,31.443,3.39,15.880999999999998,20.494,19.684,19.684,2.358,4.596,0.425,0.199,0.239,0.239,0.053,0.304,0.111,0.151,0.183,0.24,0.309,0.195,0.225,0.25,0.198,0.096,0.904,0.096,0.14400000000000002,0.238,0.423,0.363,0.731,0.122,0.226,0.168,0.14300000000000002,1.218,0.476,1.009,0.08800000000000001,0.077,0.073,0.16699999999999998,1.022,0.634,0.388,0.098,0.209,4.363,4.122,57.277,0.563,1.9,1.801,1.228,8.248,15.493,7.113,2.005,1.813,6.768,-0.001,0.0,0.0,0.0
8442,9358,19880229,3,0.061997,0.063447,0.273,1.254,0.535,30.365,2.25,11.879,20.614,19.321,19.321,2.233,2.181,0.4,0.199,0.14800000000000002,0.141,0.111,0.304,0.106,0.151,0.2,0.138,0.153,0.185,0.203,0.14400000000000002,0.116,0.324,0.6759999999999999,0.324,0.34,0.311,0.426,0.363,0.726,0.122,0.079,0.158,0.061,1.091,0.226,2.496,0.4320000000000001,0.092,0.086,0.59,1.254,0.81,0.448,0.278,0.348,3.067,3.155,57.277,0.563,1.801,1.801,0.873,4.301,15.493,7.113,2.363,1.144,6.768,0.004,0.0,0.013,0.0
8484,9403,19880331,3,-0.071646,-0.064401,0.28300000000000003,1.239,0.4970000000000001,25.879,1.6,11.879,20.66,17.575,17.575,1.91,1.928,0.4,0.199,0.14800000000000002,0.141,0.127,0.311,0.1,0.115,0.2,0.12,0.153,0.17600000000000002,0.203,0.14400000000000002,0.116,0.338,0.662,0.338,0.353,0.326,0.426,0.235,0.6,0.122,0.056,0.158,0.061,1.091,0.226,2.594,0.458,0.093,0.08800000000000001,0.593,1.254,0.861,0.463,0.287,0.36,3.032,3.0980000000000003,57.277,0.426,1.811,1.811,0.873,5.27,15.493,7.207999999999998,2.419,1.144,6.849,-0.012,0.0,0.013,0.0
8518,9448,19880430,3,-0.035256,-0.028784,0.28300000000000003,1.156,0.4970000000000001,24.138,3.1,11.879,19.27,16.823,16.823,1.781,1.846,0.4,0.199,0.14800000000000002,0.141,0.127,0.311,0.1,0.115,0.2,0.12,0.153,0.17600000000000002,0.203,0.14400000000000002,0.116,0.338,0.662,0.338,0.353,0.326,0.426,0.235,0.6,0.122,0.056,0.158,0.061,1.091,0.226,2.594,0.458,0.093,0.08800000000000001,0.593,1.254,0.861,0.463,0.287,0.36,3.032,3.0980000000000003,57.277,0.426,1.811,1.811,0.873,5.27,15.493,7.207999999999998,2.419,1.144,6.849,-0.012,0.0,0.013,0.0
8566,9493,19880531,3,-0.028009,-0.042513,0.424,1.211,0.4970000000000001,24.138,2.33,11.879,19.27,17.127,16.917,1.781,1.856,0.4,0.192,0.128,0.128,0.112,0.233,0.1,0.109,0.2,0.11,0.138,0.17600000000000002,0.197,0.13,0.116,0.338,0.662,0.338,0.353,0.324,0.426,0.235,0.519,0.122,0.056,0.151,0.058,1.119,0.226,2.548,0.458,0.08900000000000001,0.085,0.593,1.255,0.861,0.463,0.287,0.36,2.8960000000000004,3.0010000000000003,57.277,0.426,1.811,1.811,0.823,8.371,15.493,7.207999999999998,2.419,1.171,6.849,-0.012,0.0,0.013,0.0
8602,9537,19880630,3,0.019799,0.034902,0.424,1.382,0.585,21.355,2.96,9.893,17.146,16.009,15.72,1.783,1.585,0.374,0.192,0.121,0.121,0.103,0.233,0.113,0.154,0.194,0.139,0.154,0.18,0.197,0.13,0.111,0.384,0.616,0.384,0.418,0.282,0.443,0.508,0.519,0.16399999999999998,0.075,0.151,0.058,1.119,0.226,2.548,0.565,0.091,0.086,0.607,1.255,0.986,0.496,0.32299999999999995,0.401,2.564,2.7230000000000003,68.45,0.664,1.5419999999999998,1.5419999999999998,0.823,7.622999999999998,14.906,7.019,2.082,1.171,5.03,-0.005,0.0,0.012,0.0
