,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
141,229,19700630,4,0.003369,0.027631,0.0,0.657,0.191,20.829,4.74,21.966,7.257999999999999,29.911,29.911,1.715,3.152,0.469,0.14300000000000002,0.136,0.136,0.052000000000000005,0.375,0.119,0.161,0.221,0.094,0.141,0.199,0.084,0.103,0.136,0.625,0.375,0.625,0.83,0.28300000000000003,0.261,-2.804,0.449,0.044,0.041,0.185,0.085,0.674,0.14300000000000002,7.88,0.583,0.045,0.041,0.565,3.147,5.119,0.765,0.61,0.75,4.535,6.085,416.406,0.298,1.453,0.753,0.297,1.0759999999999998,2.326,7.6629999999999985,1.493,0.482,1.899,0.009000000000000001,0.0,0.0,0.0
169,269,19700731,4,0.159046,0.141111,0.0,0.653,0.191,25.102,2.04,21.966,8.722000000000001,35.714,35.714,1.945,3.763,0.469,0.14300000000000002,0.142,0.13699999999999998,0.052000000000000005,0.375,0.119,0.161,0.221,0.094,0.141,0.199,0.084,0.103,0.13699999999999998,0.625,0.375,0.625,0.83,0.28300000000000003,0.261,-2.804,0.449,0.044,0.041,0.185,0.085,0.674,0.14300000000000002,7.88,0.583,0.045,0.041,0.565,3.147,5.119,0.765,0.61,0.75,4.535,6.085,416.406,0.298,1.453,0.753,0.297,1.0759999999999998,2.326,7.6629999999999985,1.493,0.482,1.899,0.009000000000000001,0.0,0.0,0.0
196,309,19700831,4,0.005901,0.013076,0.0,0.615,0.191,24.504,2.76,21.966,8.502,18.389,18.389,1.94,3.599,0.469,0.14300000000000002,0.157,0.15,0.052000000000000005,0.375,0.122,0.161,0.221,0.094,0.141,0.199,0.084,0.103,0.15,0.625,0.375,0.625,0.83,0.28300000000000003,0.261,-2.804,0.449,0.044,0.041,0.185,0.085,0.674,0.14300000000000002,7.88,0.583,0.045,0.041,0.565,3.147,5.119,0.765,0.61,0.75,4.535,6.085,416.406,0.298,1.453,0.753,0.297,1.0759999999999998,2.326,7.6629999999999985,1.493,0.502,1.899,0.009000000000000001,0.0,0.0,0.0
227,349,19700930,4,0.080973,0.081942,0.0,0.6629999999999999,0.191,26.732,4.29,21.966,9.01,18.149,18.149,2.2,3.552,0.469,0.14300000000000002,0.157,0.15,0.052000000000000005,0.375,0.122,0.161,0.221,0.094,0.141,0.199,0.084,0.103,0.15,0.625,0.375,0.625,0.83,0.28300000000000003,0.261,-2.804,0.449,0.044,0.041,0.185,0.085,0.674,0.14300000000000002,7.88,0.583,0.045,0.041,0.565,3.147,5.119,0.765,0.61,0.75,4.535,6.085,416.406,0.298,1.453,0.753,0.297,1.0759999999999998,2.326,7.6629999999999985,1.493,0.502,1.899,0.009000000000000001,0.0,0.0,0.0
256,389,19701031,4,-0.118789,-0.08995299999999999,0.0,0.599,0.191,21.164,2.4,21.966,7.291,15.505,15.505,1.795,3.034,0.469,0.14300000000000002,0.162,0.161,0.052000000000000005,0.375,0.122,0.161,0.221,0.094,0.141,0.199,0.084,0.103,0.161,0.625,0.375,0.625,0.83,0.28300000000000003,0.261,-2.804,0.449,0.044,0.041,0.185,0.085,0.674,0.14300000000000002,7.88,0.583,0.045,0.041,0.565,3.147,5.119,0.765,0.61,0.75,4.535,6.085,416.406,0.298,1.453,0.753,0.297,1.0759999999999998,2.326,7.6629999999999985,1.493,0.502,1.899,0.009000000000000001,0.0,0.0,0.0
287,429,19701130,4,0.102043,0.121652,0.183,0.961,0.361,20.802,1.81,20.09,5.863,15.187,15.187,1.871,2.31,0.463,0.13699999999999998,0.163,0.165,0.046,0.403,0.106,0.193,0.259,0.08800000000000001,0.136,0.188,0.078,0.099,0.165,0.629,0.371,0.627,0.835,0.28300000000000003,0.272,-2.69,0.443,0.046,0.033,0.179,0.086,0.627,0.14400000000000002,8.85,0.583,0.048,0.042,0.563,3.0860000000000003,5.695,0.769,0.607,0.754,4.421,6.155,416.406,0.298,1.352,0.653,0.305,1.0759999999999998,2.514,7.604,1.777,0.535,1.899,0.012,0.0,0.0,0.0
316,469,19701231,4,0.107889,0.0933,0.183,1.006,0.361,23.812,2.81,20.09,6.721,18.224,18.224,2.026,2.755,0.463,0.13699999999999998,0.163,0.165,0.046,0.403,0.106,0.193,0.259,0.08800000000000001,0.136,0.188,0.078,0.099,0.165,0.629,0.371,0.627,0.835,0.28300000000000003,0.272,-2.69,0.443,0.046,0.033,0.179,0.086,0.627,0.14400000000000002,8.85,0.583,0.048,0.042,0.563,3.0860000000000003,5.695,0.769,0.607,0.754,4.421,6.155,416.406,0.298,1.352,0.653,0.305,1.0759999999999998,2.514,7.604,1.777,0.535,1.899,0.012,0.0,0.0,0.0
347,509,19710131,4,0.096197,0.063158,0.268,1.025,0.361,36.909,3.9,20.09,7.843,21.14,21.14,2.247,3.196,0.459,0.135,0.16399999999999998,0.165,0.064,0.403,0.106,0.193,0.259,0.09,0.136,0.188,0.078,0.096,0.165,0.706,0.293,0.7040000000000001,0.903,0.28300000000000003,0.272,-2.69,0.443,0.046,0.033,0.179,0.086,0.627,0.14400000000000002,9.243,1.096,0.053,0.042,0.607,3.0860000000000003,6.122999999999998,0.812,0.649,0.794,3.016,4.671,419.109,0.205,1.297,0.555,0.305,1.095,3.096,6.924,1.777,0.535,2.029,0.012,0.0,0.0,0.0
378,549,19710228,4,0.123265,0.100536,0.086,0.782,0.361,32.898,4.6,20.09,9.232,22.807,22.807,2.133,3.527,0.459,0.135,0.162,0.163,0.076,0.403,0.095,0.195,0.262,0.09,0.146,0.177,0.079,0.096,0.163,0.706,0.293,0.7040000000000001,0.903,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.108,0.627,0.152,9.243,1.096,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,2.287,0.51,2.109,0.003,0.0,0.0,0.0
412,589,19710331,4,0.054976,0.061658,0.086,0.8059999999999999,0.361,33.882,1.83,20.09,9.612,23.52,23.52,2.267,3.637,0.459,0.135,0.162,0.163,0.076,0.403,0.095,0.195,0.262,0.09,0.146,0.177,0.079,0.096,0.163,0.706,0.293,0.7040000000000001,0.903,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.108,0.627,0.152,9.243,1.096,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,2.287,0.51,2.109,0.003,0.0,0.0,0.0
441,629,19710430,4,0.12329,0.101057,0.0,0.92,0.361,28.571,1.71,20.09,11.429,26.846,26.846,2.316,4.151,0.459,0.135,0.163,0.16399999999999998,0.047,0.403,0.095,0.195,0.262,0.09,0.146,0.177,0.079,0.096,0.16399999999999998,0.7040000000000001,0.29600000000000004,0.701,0.906,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.108,0.627,0.152,9.243,1.072,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,2.287,0.51,2.109,0.003,0.0,0.0,0.0
481,669,19710531,4,-0.045431,-0.036758,0.0,0.471,0.241,31.471,2.58,20.09,10.594,17.070999999999998,17.070999999999998,2.29,4.074,0.459,0.135,0.16,0.16399999999999998,0.044,0.403,0.122,0.195,0.262,0.09,0.146,0.21,0.079,0.096,0.16399999999999998,0.7040000000000001,0.29600000000000004,0.701,0.906,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.083,0.627,0.152,9.243,1.072,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,1.945,0.49,2.109,0.003,0.0,0.0,0.0
516,709,19710630,4,0.002612,0.016746,0.0,0.469,0.241,31.047,3.91,20.09,10.25,17.0,17.0,2.32,3.953,0.459,0.135,0.16,0.16399999999999998,0.044,0.403,0.122,0.195,0.262,0.09,0.146,0.21,0.079,0.096,0.16399999999999998,0.7040000000000001,0.29600000000000004,0.701,0.906,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.083,0.627,0.152,9.243,1.072,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,1.945,0.49,2.109,0.003,0.0,0.0,0.0
550,749,19710731,4,-0.06565700000000001,-0.06103,0.0,0.438,0.241,29.584,1.52,20.09,9.224,16.464000000000002,16.464000000000002,2.196,4.034,0.459,0.135,0.165,0.175,0.044,0.403,0.122,0.195,0.262,0.09,0.146,0.21,0.079,0.096,0.175,0.6990000000000001,0.301,0.6970000000000001,0.906,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.083,0.627,0.152,9.243,1.036,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,1.945,0.49,2.109,0.003,0.0,0.0,0.0
586,789,19710831,4,0.014803,0.055752,0.0,0.91,0.248,26.074,0.98,20.09,8.776,19.891,19.891,2.219,3.443,0.459,0.135,0.168,0.175,0.043,0.403,0.101,0.195,0.262,0.09,0.146,0.17800000000000002,0.079,0.096,0.175,0.6990000000000001,0.3,0.6970000000000001,0.906,0.279,0.276,-2.69,0.381,0.046,0.033,0.188,0.084,0.627,0.152,9.243,1.036,0.053,0.042,0.607,3.063,6.122999999999998,0.812,0.649,0.794,3.016,4.671,379.151,0.187,1.297,0.555,0.306,1.156,6.6370000000000005,6.924,1.964,0.494,2.109,0.003,0.0,0.0,0.0
