,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
8,30,19700131,27,-0.056199,-0.05977,0.0,2.129,0.6729999999999999,13.637,4.85,7.1110000000000015,9.068,13.646,13.646,0.257,1.306,0.501,0.6970000000000001,0.121,0.112,0.106,0.274,0.022,0.048,0.064,0.127,0.17600000000000002,0.044,0.162,0.17,0.112,0.161,0.8320000000000001,0.161,0.185,0.614,0.199,0.061,0.252,0.16,0.14800000000000002,0.036000000000000004,0.133,0.575,0.665,1.016,0.177,0.069,0.056,0.315,1.134,0.987,0.4970000000000001,0.14300000000000002,0.422,6.282,9.269,20.375,0.211,2.013,0.795,2.412,5.2810000000000015,17.836,30.907,4.6,3.51,8.853,0.008,0.0,0.0,0.0
40,70,19700228,27,0.058666,0.06294,0.005,2.397,0.715,14.268,4.15,7.0920000000000005,9.896,14.977,15.077,0.274,1.356,0.501,0.6859999999999999,0.116,0.112,0.106,0.274,0.02,0.049,0.064,0.127,0.173,0.044,0.158,0.17,0.112,0.163,0.8270000000000001,0.174,0.28,0.614,0.199,-0.05,0.217,0.15,0.147,0.036000000000000004,0.174,0.55,0.637,1.039,0.193,0.075,0.056,0.334,1.178,0.987,0.4970000000000001,0.194,0.344,5.497999999999998,9.269,20.375,0.2,2.013,0.868,2.339,5.2810000000000015,17.836,28.355,4.67,3.3560000000000003,8.853,0.008,0.0,0.0,0.0
58,110,19700331,27,-0.003025,-0.004797999999999999,0.458,2.859,0.7759999999999999,13.827,5.33,7.0920000000000005,7.934,13.682,14.045,0.251,1.315,0.499,0.6859999999999999,0.116,0.11,0.107,0.274,0.02,0.046,0.063,0.126,0.175,0.044,0.158,0.16699999999999998,0.107,0.16,0.848,0.16,0.271,0.642,0.177,0.028,0.234,0.158,0.127,0.034,0.195,0.542,0.6609999999999999,1.247,0.19,0.092,0.061,0.32,1.206,1.043,0.4970000000000001,0.199,0.383,5.42,7.5870000000000015,18.51,0.254,1.88,0.868,2.339,5.184,17.836,28.355,5.722,3.725,10.172,0.031,0.0,0.0,0.0
81,150,19700430,27,-0.099481,-0.078775,0.466,2.286,0.7759999999999999,12.578,7.07,7.0920000000000005,7.396,12.439,11.57,0.266,1.19,0.498,0.6859999999999999,0.116,0.113,0.107,0.274,0.02,0.046,0.063,0.126,0.175,0.044,0.161,0.16699999999999998,0.109,0.16,0.848,0.16,0.271,0.642,0.177,0.063,0.262,0.168,0.127,0.034,0.196,0.542,0.6609999999999999,1.247,0.19,0.092,0.061,0.32,1.206,1.043,0.4970000000000001,0.199,0.335,5.48,7.92,18.51,0.254,1.868,0.868,2.339,5.184,17.836,28.355,5.722,3.725,10.172,0.031,0.0,0.0,0.0
113,190,19700531,27,-0.080581,-0.08317100000000001,0.469,1.5119999999999998,0.7759999999999999,11.55,6.48,6.815,6.6389999999999985,11.777,11.194,0.213,1.132,0.498,0.711,0.114,0.111,0.106,0.274,0.019,0.046,0.063,0.125,0.17,0.044,0.16,0.161,0.109,0.16,0.848,0.16,0.293,0.65,0.177,0.015,0.245,0.166,0.127,0.034,0.199,0.542,0.6609999999999999,1.247,0.19,0.092,0.065,0.32,1.206,1.043,0.495,0.199,0.396,5.359,7.92,18.51,0.254,1.863,0.868,2.378,5.641,17.618,30.053,5.722,3.725,10.172,0.032,0.0,0.0,0.0
142,230,19700630,26,-0.048782,-0.03619,0.005,1.243,0.753,11.304,5.87,6.815,6.2810000000000015,11.655,11.655,0.207,1.079,0.499,0.665,0.111,0.105,0.106,0.28300000000000003,0.022,0.049,0.064,0.127,0.179,0.044,0.162,0.172,0.067,0.136,0.86,0.136,0.269,0.642,0.177,0.015,0.245,0.166,0.145,0.035,0.2,0.55,0.68,1.095,0.145,0.105,0.065,0.284,1.206,0.987,0.491,0.191,0.361,5.516,10.363,18.51,0.255,1.856,0.965,2.301,4.727,17.618,26.657,4.691,3.232,7.586,0.032,0.0,0.0,0.0
165,270,19700731,26,0.112535,0.121577,0.0,1.364,0.753,12.686,4.34,6.815,7.02,12.5,12.470999999999998,0.236,1.18,0.499,0.665,0.111,0.105,0.106,0.28300000000000003,0.022,0.049,0.064,0.127,0.179,0.044,0.162,0.172,0.032,0.136,0.86,0.136,0.269,0.642,0.177,0.015,0.245,0.166,0.145,0.035,0.2,0.55,0.68,1.095,0.145,0.105,0.065,0.284,1.206,0.987,0.491,0.191,0.361,5.516,10.363,18.51,0.255,1.856,0.965,2.301,4.727,17.618,26.657,4.691,3.232,7.586,0.032,0.0,0.0,0.0
197,310,19700831,26,0.06993400000000001,0.04969,0.0,1.508,0.7759999999999999,13.082,5.15,6.255,7.879,13.675999999999998,13.081,0.226,1.293,0.501,0.665,0.113,0.105,0.106,0.28300000000000003,0.021,0.049,0.064,0.127,0.179,0.041,0.162,0.172,0.065,0.136,0.86,0.136,0.269,0.65,0.177,0.044,0.245,0.166,0.145,0.035,0.2,0.55,0.68,1.04,0.145,0.108,0.07,0.284,1.149,0.904,0.475,0.191,0.35100000000000003,5.359,9.924,18.51,0.255,1.856,0.853,2.282,4.727,19.839,29.308000000000003,4.202,2.991,7.586,0.03,0.0,0.0,0.0
223,350,19700930,26,0.053573,0.058917,0.002,1.7,0.799,13.135,5.38,6.419,8.275,14.324000000000002,13.685,0.231,1.255,0.499,0.688,0.107,0.098,0.104,0.275,0.02,0.048,0.063,0.127,0.179,0.041,0.162,0.161,0.065,0.14800000000000002,0.856,0.14800000000000002,0.28300000000000003,0.642,0.202,0.03,0.23,0.166,0.14,0.035,0.204,0.544,0.6709999999999999,1.1740000000000002,0.168,0.111,0.07,0.302,1.193,0.973,0.483,0.194,0.377,5.3260000000000005,8.922,19.49,0.255,1.795,0.85,2.282,4.727,18.729,29.308000000000003,5.118,3.358,8.908,0.031,0.0,0.0,0.0
257,390,19701031,26,-0.011803,-0.0068790000000000006,0.002,1.764,0.799,12.573,2.4,6.419,8.238,14.625,13.767,0.221,1.189,0.499,0.688,0.107,0.098,0.104,0.275,0.02,0.048,0.063,0.127,0.179,0.041,0.162,0.161,0.065,0.14800000000000002,0.856,0.14800000000000002,0.28300000000000003,0.642,0.202,0.03,0.23,0.166,0.14,0.035,0.204,0.544,0.6709999999999999,1.1740000000000002,0.168,0.111,0.07,0.302,1.193,0.973,0.483,0.194,0.377,5.3260000000000005,8.922,19.49,0.255,1.795,0.85,2.282,4.727,18.729,29.308000000000003,5.118,3.358,8.908,0.031,0.0,0.0,0.0
