,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
7581,8400,19860531,1,0.301609,0.301609,0.264,1.642,0.236,52.955,1.77,6.385,24.26,34.242,34.242,2.881,5.976,0.467,0.3670000000000001,0.212,0.212,0.207,0.245,0.086,0.204,0.259,0.324,0.4320000000000001,0.162,0.402,0.4,0.207,0.097,0.903,0.097,0.162,0.277,0.495,0.188,0.7390000000000001,0.422,0.287,0.13,0.379,1.608,0.657,0.292,0.103,0.202,0.121,0.185,0.907,0.58,0.3670000000000001,0.113,0.227,10.333,22.211,94.478,0.438,2.382,1.723,1.499,7.127999999999999,14.386,5.272,2.369,2.139,4.5,0.051,0.0,0.038,0.219
7632,8445,19860630,1,-0.04646,-0.04646,0.264,1.5659999999999998,0.236,50.494,4.77,6.385,23.133000000000006,32.652,32.652,2.747,5.699,0.467,0.3670000000000001,0.212,0.212,0.207,0.245,0.086,0.204,0.259,0.324,0.4320000000000001,0.162,0.402,0.4,0.207,0.097,0.903,0.097,0.162,0.277,0.495,0.188,0.7390000000000001,0.422,0.287,0.13,0.379,1.608,0.657,0.292,0.103,0.202,0.121,0.185,0.907,0.58,0.3670000000000001,0.113,0.227,10.333,22.211,94.478,0.438,2.382,1.723,1.499,7.127999999999999,14.386,5.272,2.369,2.139,4.5,0.051,0.0,0.038,0.219
7663,8490,19860731,1,-0.099768,-0.099768,0.264,1.41,0.236,45.457,1.31,6.385,20.825,29.394,29.394,2.4730000000000003,5.13,0.467,0.3670000000000001,0.212,0.212,0.207,0.245,0.086,0.204,0.259,0.324,0.4320000000000001,0.162,0.402,0.4,0.207,0.097,0.903,0.097,0.162,0.277,0.495,0.188,0.7390000000000001,0.422,0.287,0.13,0.379,1.608,0.657,0.292,0.103,0.202,0.121,0.185,0.907,0.58,0.3670000000000001,0.113,0.227,10.333,22.211,94.478,0.438,2.382,1.723,1.499,7.127999999999999,14.386,5.272,2.369,2.139,4.5,0.051,0.0,0.038,0.219
7703,8535,19860831,1,0.013196,0.013196,0.274,1.285,0.181,43.512,7.58,9.309,19.258,27.528,27.528,2.432,4.952,0.467,0.5820000000000001,0.218,0.218,0.209,0.394,0.09,0.171,0.213,0.269,0.35700000000000004,0.17,0.329,0.341,0.21,0.095,0.905,0.095,0.157,0.282,0.481,0.213,0.7759999999999999,0.422,0.301,0.141,0.383,1.3119999999999998,0.657,0.349,0.099,0.195,0.118,0.182,0.897,0.5770000000000001,0.366,0.11,0.226,11.185,19.424,101.475,0.459,2.376,1.707,1.477,5.567,11.871,5.3820000000000014,2.33,2.108,4.466,0.055,0.0,0.038,0.219
7754,8580,19860930,1,-0.229592,-0.229592,0.274,0.99,0.181,33.522,3.67,9.309,14.836,21.208,21.208,1.874,3.815,0.467,0.5820000000000001,0.218,0.218,0.209,0.394,0.09,0.171,0.213,0.269,0.35700000000000004,0.17,0.329,0.341,0.21,0.095,0.905,0.095,0.157,0.282,0.481,0.213,0.7759999999999999,0.422,0.301,0.141,0.383,1.3119999999999998,0.657,0.349,0.099,0.195,0.118,0.182,0.897,0.5770000000000001,0.366,0.11,0.226,11.185,19.424,101.475,0.459,2.376,1.707,1.477,5.567,11.871,5.3820000000000014,2.33,2.108,4.466,0.055,0.0,0.038,0.219
7793,8625,19861031,2,0.183012,0.198845,0.499,5.989,0.447,30.872,3.96,8.641,20.671,26.874,17.14,1.457,3.12,0.442,0.452,0.13699999999999998,0.139,0.14,0.342,0.06,0.132,0.153,0.192,0.26,0.112,0.215,0.237,0.136,0.154,0.8240000000000001,0.154,0.24,0.395,0.4270000000000001,-0.804,0.44,0.275,0.174,0.105,0.298,0.857,0.614,1.266,0.187,0.161,0.1,0.255,1.212,0.698,0.408,0.168,0.256,6.9910000000000005,12.482,139.83100000000002,0.27,2.31,1.405,1.295,4.13,12.494000000000002,5.277,2.177,1.852,3.974,0.024,0.0,0.019,0.109
7834,8671,19861130,2,0.011737,0.010305,0.468,3.809,0.406,29.694000000000006,2.09,8.981,10.83,24.879,16.597,1.414,2.967,0.442,0.461,0.139,0.141,0.141,0.343,0.06,0.133,0.154,0.197,0.267,0.113,0.218,0.245,0.135,0.149,0.828,0.149,0.249,0.397,0.414,0.331,0.6409999999999999,0.275,0.181,0.105,0.3,0.838,0.626,1.232,0.17800000000000002,0.174,0.105,0.235,1.272,0.73,0.418,0.16899999999999998,0.253,6.867000000000001,12.352,134.375,0.276,2.218,1.348,1.3219999999999998,4.136,12.876,5.574,2.268,1.933,4.187,0.081,0.0,0.019,0.109
7876,8717,19861231,2,-0.018782,-0.007126,0.468,3.664,0.406,29.738000000000003,2.67,8.981,10.915,24.439,16.554000000000002,1.4280000000000002,2.988,0.442,0.461,0.139,0.141,0.141,0.343,0.06,0.133,0.154,0.197,0.267,0.113,0.218,0.245,0.135,0.149,0.828,0.149,0.249,0.397,0.414,0.331,0.6409999999999999,0.275,0.181,0.105,0.3,0.838,0.626,1.232,0.17800000000000002,0.174,0.105,0.235,1.272,0.73,0.418,0.16899999999999998,0.253,6.867000000000001,12.352,134.375,0.276,2.218,1.348,1.3219999999999998,4.136,12.876,5.574,2.268,1.933,4.187,0.081,0.0,0.019,0.109
7917,8763,19870131,2,0.182245,0.16603800000000002,0.468,4.421,0.406,34.716,3.28,8.981,12.666,28.831,19.21,1.653,3.469,0.442,0.461,0.139,0.141,0.141,0.343,0.06,0.133,0.154,0.197,0.267,0.113,0.218,0.245,0.135,0.149,0.828,0.149,0.249,0.397,0.414,0.331,0.6409999999999999,0.275,0.181,0.105,0.3,0.838,0.626,1.232,0.17800000000000002,0.174,0.105,0.235,1.272,0.73,0.418,0.16899999999999998,0.253,6.867000000000001,12.352,134.375,0.276,2.218,1.348,1.3219999999999998,4.136,12.876,5.574,2.268,1.933,4.187,0.081,0.0,0.019,0.109
7958,8809,19870228,2,0.050018,0.027367,0.417,2.78,0.465,31.3,1.2,8.455,15.084,31.001,19.251,1.598,3.531,0.461,0.465,0.133,0.135,0.13699999999999998,0.354,0.057,0.132,0.16699999999999998,0.193,0.269,0.107,0.229,0.256,0.13,0.14400000000000002,0.8240000000000001,0.152,0.255,0.448,0.394,0.354,0.505,0.326,0.149,0.092,0.354,0.807,0.643,0.903,0.193,0.15,0.101,0.202,1.27,0.8170000000000001,0.454,0.158,0.301,7.595,14.153,130.1,0.226,1.875,1.052,1.327,3.887,9.987,6.189,2.423,2.042,5.295,0.065,0.025,0.02,0.111
7997,8855,19870331,2,0.011834,0.007629,0.417,2.8280000000000003,0.465,31.538,1.92,8.455,15.15,31.395,19.368,1.605,3.553,0.461,0.465,0.133,0.135,0.13699999999999998,0.354,0.057,0.132,0.16699999999999998,0.193,0.269,0.107,0.229,0.256,0.13,0.14400000000000002,0.8240000000000001,0.152,0.255,0.448,0.394,0.354,0.505,0.326,0.149,0.092,0.354,0.807,0.643,0.903,0.193,0.15,0.101,0.202,1.27,0.8170000000000001,0.454,0.158,0.301,7.595,14.153,130.1,0.226,1.875,1.052,1.327,3.887,9.987,6.189,2.423,2.042,5.295,0.065,0.025,0.02,0.111
8026,8901,19870430,2,-0.014797,-0.01126,0.417,2.773,0.465,31.184,1.36,8.455,15.023,30.903,19.176,1.591,3.517,0.461,0.465,0.133,0.135,0.13699999999999998,0.354,0.057,0.132,0.16699999999999998,0.193,0.269,0.107,0.229,0.256,0.13,0.14400000000000002,0.8240000000000001,0.152,0.255,0.448,0.394,0.354,0.505,0.326,0.149,0.092,0.354,0.807,0.643,0.903,0.193,0.15,0.101,0.202,1.27,0.8170000000000001,0.454,0.158,0.301,7.595,14.153,130.1,0.226,1.875,1.052,1.327,3.887,9.987,6.189,2.423,2.042,5.295,0.065,0.025,0.02,0.111
8076,8947,19870531,2,0.0635,0.06779099999999999,0.477,2.74,0.381,34.436,1.53,9.091,19.613,29.232,19.995,1.611,3.388,0.461,0.477,0.14,0.141,0.14,0.341,0.057,0.132,0.154,0.205,0.28800000000000003,0.106,0.226,0.272,0.133,0.154,0.828,0.154,0.272,0.423,0.433,0.13699999999999998,0.396,0.326,0.141,0.093,0.395,0.83,0.636,1.146,0.182,0.154,0.092,0.209,1.281,0.8490000000000001,0.449,0.171,0.28600000000000003,8.802,16.357,130.804,0.21600000000000005,2.031,1.194,1.385,4.105,12.338,5.682,2.537,2.136,4.852,0.025,0.0,0.02,0.111
8117,8993,19870630,2,0.034926,0.028396,0.477,2.8560000000000003,0.381,37.046,4.37,9.091,20.827,30.26,20.536,1.696,3.585,0.461,0.477,0.14,0.141,0.14,0.341,0.057,0.132,0.154,0.205,0.28800000000000003,0.106,0.226,0.272,0.133,0.154,0.828,0.154,0.272,0.423,0.433,0.13699999999999998,0.396,0.326,0.141,0.093,0.395,0.83,0.636,1.146,0.182,0.154,0.092,0.209,1.281,0.8490000000000001,0.449,0.171,0.28600000000000003,8.802,16.357,130.804,0.21600000000000005,2.031,1.194,1.385,4.105,12.338,5.682,2.537,2.136,4.852,0.025,0.0,0.02,0.111
8158,9039,19870731,2,0.042718,0.036278,0.477,3.005,0.381,38.433,2.1,9.091,21.53,31.574,21.222,1.749,3.702,0.461,0.477,0.14,0.141,0.14,0.341,0.057,0.132,0.154,0.205,0.28800000000000003,0.106,0.226,0.272,0.133,0.154,0.828,0.154,0.272,0.423,0.433,0.13699999999999998,0.396,0.326,0.141,0.093,0.395,0.83,0.636,1.146,0.182,0.154,0.092,0.209,1.281,0.8490000000000001,0.449,0.171,0.28600000000000003,8.802,16.357,130.804,0.21600000000000005,2.031,1.194,1.385,4.105,12.338,5.682,2.537,2.136,4.852,0.025,0.0,0.02,0.111
8200,9085,19870831,2,0.070184,0.070857,0.338,1.249,0.364,38.627,1.93,9.349,19.897,27.041,30.423,1.774,3.847,0.461,0.478,0.161,0.161,0.154,0.339,0.062,0.131,0.153,0.208,0.294,0.113,0.229,0.27,0.152,0.151,0.8370000000000001,0.151,0.274,0.424,0.443,0.229,0.438,0.326,0.122,0.092,0.403,0.825,0.642,1.139,0.175,0.157,0.093,0.204,1.285,0.857,0.451,0.17,0.301,9.217,16.581,127.196,0.18600000000000005,1.966,1.153,1.396,4.148,11.843,5.715,2.567,2.168,5.1789999999999985,0.033,0.0,0.02,0.111
8232,9131,19870930,2,-0.004419,-0.022411,0.338,1.211,0.364,37.871,2.66,9.349,19.225,26.661,30.246,1.7080000000000002,3.719,0.461,0.478,0.161,0.161,0.154,0.339,0.062,0.131,0.153,0.208,0.294,0.113,0.229,0.27,0.152,0.151,0.8370000000000001,0.151,0.274,0.424,0.443,0.229,0.438,0.326,0.122,0.092,0.403,0.825,0.642,1.139,0.175,0.157,0.093,0.204,1.285,0.857,0.451,0.17,0.301,9.217,16.581,127.196,0.18600000000000005,1.966,1.153,1.396,4.148,11.843,5.715,2.567,2.168,5.1789999999999985,0.033,0.0,0.02,0.111
8284,9177,19871031,3,-0.198186,-0.170901,0.28600000000000003,0.835,0.532,20.147,2.41,8.611,8.89,15.364,19.881,0.986,1.456,0.445,0.373,0.139,0.14,0.114,0.289,0.07,0.138,0.182,0.208,0.294,0.114,0.15,0.18,0.107,0.212,0.764,0.212,0.402,0.424,0.443,0.348,0.557,0.279,0.091,0.114,0.319,1.026,0.624,1.915,0.258,0.146,0.1,0.242,1.633,1.111,0.526,0.249,0.382,3.301,5.843,103.22,0.314,1.756,0.8340000000000001,1.297,5.2429999999999986,12.3,6.018,2.396,2.158,5.1789999999999985,0.034,0.0,0.005,0.222
8326,9223,19871130,3,-0.048013,-0.04261,0.27,0.778,0.453,20.36,3.34,9.148,8.984,16.417,18.357,0.996,1.472,0.445,0.373,0.139,0.14,0.118,0.289,0.07,0.138,0.182,0.21,0.3,0.114,0.15,0.182,0.107,0.207,0.782,0.207,0.402,0.428,0.461,0.449,0.43,0.279,0.091,0.114,0.301,1.026,0.634,1.915,0.244,0.135,0.094,0.234,1.614,1.114,0.527,0.245,0.406,3.194,5.532,103.866,0.223,1.672,0.802,1.307,5.3370000000000015,11.841,6.226,2.445,2.192,5.608,0.034,0.0,0.005,0.222
8360,9269,19871231,2,0.226997,0.217119,0.309,0.946,0.329,28.684,6.28,9.905,17.512999999999998,20.059,22.508000000000006,1.2990000000000002,2.843,0.461,0.477,0.16399999999999998,0.16399999999999998,0.157,0.333,0.062,0.129,0.152,0.21,0.3,0.111,0.231,0.271,0.153,0.14800000000000002,0.846,0.14800000000000002,0.27,0.428,0.461,0.114,0.394,0.326,0.09,0.093,0.399,0.8320000000000001,0.645,1.103,0.168,0.161,0.094,0.199,1.276,0.858,0.451,0.16699999999999998,0.313,9.899,17.52,122.912,0.139,1.91,1.116,1.4169999999999998,4.276,11.599,5.755,2.605,2.209,5.608,0.023,0.0,0.02,0.111
8410,9315,19880131,2,-0.039216,-0.0293,0.309,0.92,0.329,27.789,3.03,9.905,17.22,19.365,21.622,1.272,2.777,0.461,0.477,0.16399999999999998,0.16399999999999998,0.157,0.333,0.062,0.129,0.152,0.21,0.3,0.111,0.231,0.271,0.153,0.14800000000000002,0.846,0.14800000000000002,0.27,0.428,0.461,0.114,0.394,0.326,0.09,0.093,0.399,0.8320000000000001,0.645,1.103,0.168,0.161,0.094,0.199,1.276,0.858,0.451,0.16699999999999998,0.313,9.899,17.52,122.912,0.139,1.91,1.116,1.4169999999999998,4.276,11.599,5.755,2.605,2.209,5.608,0.023,0.0,0.02,0.111
8444,9360,19880229,2,0.038751,0.036838,0.236,0.773,0.308,29.465,3.3,8.17,19.342,19.427,19.427,1.431,3.427,0.449,0.509,0.204,0.204,0.179,0.371,0.073,0.145,0.187,0.249,0.36,0.132,0.271,0.292,0.194,0.211,0.789,0.211,0.258,0.403,0.462,0.168,0.374,0.227,0.111,0.118,0.236,0.952,0.599,0.7509999999999999,0.294,0.121,0.093,0.3,1.529,0.877,0.459,0.181,0.342,9.781,16.91,104.084,0.172,1.953,1.164,1.4469999999999998,4.468,10.106,6.35,2.56,1.991,5.356,0.0,0.013,0.017,0.106
8486,9405,19880331,2,-0.018054,-0.018528,0.236,0.767,0.308,28.955,3.16,8.17,19.074,19.117,19.117,1.412,3.375,0.449,0.509,0.204,0.204,0.179,0.371,0.073,0.145,0.187,0.249,0.36,0.132,0.271,0.292,0.194,0.211,0.789,0.211,0.258,0.403,0.462,0.168,0.374,0.227,0.111,0.118,0.236,0.952,0.599,0.7509999999999999,0.294,0.121,0.093,0.3,1.529,0.877,0.459,0.181,0.342,9.781,16.91,104.084,0.172,1.953,1.164,1.4469999999999998,4.468,10.106,6.35,2.56,1.991,5.356,0.0,0.013,0.017,0.106
8536,9450,19880430,2,0.004386999999999999,0.004129,0.236,0.7390000000000001,0.308,28.912,2.51,8.17,18.821,19.0,19.0,1.388,3.347,0.449,0.509,0.204,0.204,0.179,0.371,0.073,0.145,0.187,0.249,0.36,0.132,0.271,0.292,0.194,0.211,0.789,0.211,0.258,0.403,0.462,0.168,0.374,0.227,0.111,0.118,0.236,0.952,0.599,0.7509999999999999,0.294,0.121,0.093,0.3,1.529,0.877,0.459,0.181,0.342,9.781,16.91,104.084,0.172,1.953,1.164,1.4469999999999998,4.468,10.106,6.35,2.56,1.991,5.356,0.0,0.013,0.017,0.106
8579,9495,19880531,2,-0.033904000000000004,-0.033844,0.231,0.629,0.311,28.236,2.63,8.735,16.347,17.247,17.247,1.274,3.087,0.449,0.539,0.211,0.211,0.174,0.368,0.07400000000000001,0.14400000000000002,0.187,0.257,0.363,0.131,0.28300000000000003,0.295,0.2,0.228,0.772,0.228,0.272,0.399,0.502,0.227,0.455,0.227,0.07,0.118,0.22,1.094,0.5660000000000001,0.7709999999999999,0.333,0.123,0.092,0.329,1.55,0.89,0.459,0.196,0.341,10.058,17.065,113.593,0.118,2.08,1.25,1.4680000000000002,4.542,11.107,5.641,2.748,2.089,5.41,0.005,0.0,0.017,0.106
8610,9539,19880630,2,0.137282,0.14131300000000002,0.231,0.7,0.311,32.345,3.46,8.735,18.538,19.585,19.585,1.445,3.5210000000000004,0.449,0.539,0.211,0.211,0.174,0.368,0.07400000000000001,0.14400000000000002,0.187,0.257,0.363,0.131,0.28300000000000003,0.295,0.2,0.228,0.772,0.228,0.272,0.399,0.502,0.227,0.455,0.227,0.07,0.118,0.22,1.094,0.5660000000000001,0.7709999999999999,0.333,0.123,0.092,0.329,1.55,0.89,0.459,0.196,0.341,10.058,17.065,113.593,0.118,2.08,1.25,1.4680000000000002,4.542,11.107,5.641,2.748,2.089,5.41,0.005,0.0,0.017,0.106
8662,9583,19880731,2,-0.059631,-0.064571,0.231,0.669,0.311,30.26,2.79,8.735,17.492,18.382,18.382,1.3630000000000002,3.306,0.449,0.539,0.211,0.211,0.174,0.368,0.07400000000000001,0.14400000000000002,0.187,0.257,0.363,0.131,0.28300000000000003,0.295,0.2,0.228,0.772,0.228,0.272,0.399,0.502,0.227,0.455,0.227,0.07,0.118,0.22,1.094,0.5660000000000001,0.7709999999999999,0.333,0.123,0.092,0.329,1.55,0.89,0.459,0.196,0.341,10.058,17.065,113.593,0.118,2.08,1.25,1.4680000000000002,4.542,11.107,5.641,2.748,2.089,5.41,0.005,0.0,0.017,0.106
8692,9627,19880831,2,-0.075168,-0.079198,0.226,0.631,0.297,26.361,2.31,8.34,16.375999999999998,16.105,16.105,1.22,2.915,0.449,0.5379999999999999,0.214,0.214,0.181,0.361,0.075,0.142,0.184,0.256,0.365,0.13,0.281,0.297,0.204,0.208,0.792,0.208,0.252,0.402,0.509,0.201,0.4370000000000001,0.227,0.056,0.117,0.232,1.085,0.583,0.7,0.29,0.136,0.1,0.31,1.491,0.8340000000000001,0.446,0.181,0.326,9.73,16.094,112.707,0.094,2.079,1.244,1.492,4.583,11.092,5.629,2.719,2.126,5.464,-0.002,0.0,0.017,0.106
8733,9671,19880930,2,0.085399,0.083114,0.226,0.706,0.297,28.627,3.74,8.34,17.942,17.579,17.579,1.339,3.184,0.449,0.5379999999999999,0.214,0.214,0.181,0.361,0.075,0.142,0.184,0.256,0.365,0.13,0.281,0.297,0.204,0.208,0.792,0.208,0.252,0.402,0.509,0.201,0.4370000000000001,0.227,0.056,0.117,0.232,1.085,0.583,0.7,0.29,0.136,0.1,0.31,1.491,0.8340000000000001,0.446,0.181,0.326,9.73,16.094,112.707,0.094,2.079,1.244,1.492,4.583,11.092,5.629,2.719,2.126,5.464,-0.002,0.0,0.017,0.106
8785,9715,19881031,2,-0.001191,-0.001088,0.226,0.7070000000000001,0.297,28.558000000000003,1.8,8.34,17.921,17.549,17.549,1.338,3.179,0.449,0.5379999999999999,0.214,0.214,0.181,0.361,0.075,0.142,0.184,0.256,0.365,0.13,0.281,0.297,0.204,0.208,0.792,0.208,0.252,0.402,0.509,0.201,0.4370000000000001,0.227,0.056,0.117,0.232,1.085,0.583,0.7,0.29,0.136,0.1,0.31,1.491,0.8340000000000001,0.446,0.181,0.326,9.73,16.094,112.707,0.094,2.079,1.244,1.492,4.583,11.092,5.629,2.719,2.126,5.464,-0.002,0.0,0.017,0.106
8825,9759,19881130,2,-0.041291,-0.041245,0.219,0.637,0.334,25.887,4.14,7.705,15.229,15.97,15.97,1.233,2.915,0.449,0.536,0.215,0.215,0.185,0.355,0.077,0.141,0.181,0.255,0.363,0.13,0.28,0.298,0.205,0.192,0.8079999999999999,0.192,0.235,0.405,0.51,0.307,0.477,0.227,0.049,0.114,0.234,1.079,0.595,0.645,0.257,0.14300000000000002,0.104,0.29600000000000004,1.4480000000000002,0.7879999999999999,0.434,0.168,0.312,9.848,15.99,112.177,0.08,2.093,1.245,1.511,4.593,11.217,5.645,2.6910000000000003,2.153,5.457000000000002,0.005,0.0,0.017,0.106
8866,9803,19881231,2,0.032708999999999995,0.032405,0.219,0.654,0.334,26.734,2.12,7.705,15.72,16.457,16.457,1.271,3.007,0.449,0.536,0.215,0.215,0.185,0.355,0.077,0.141,0.181,0.255,0.363,0.13,0.28,0.298,0.205,0.192,0.8079999999999999,0.192,0.235,0.405,0.51,0.307,0.477,0.227,0.049,0.114,0.234,1.079,0.595,0.645,0.257,0.14300000000000002,0.104,0.29600000000000004,1.4480000000000002,0.7879999999999999,0.434,0.168,0.312,9.848,15.99,112.177,0.08,2.093,1.245,1.511,4.593,11.217,5.645,2.6910000000000003,2.153,5.457000000000002,0.005,0.0,0.017,0.106
