,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
13,31,19700131,3,-0.050288,-0.05694700000000001,0.0,0.19,0.795,9.208,4.12,8.275,14.748,8.998,8.998,0.299,1.194,0.49,0.201,0.115,0.115,0.086,0.206,0.036000000000000004,0.08800000000000001,0.104,0.116,0.127,0.084,0.157,0.138,0.099,0.249,0.7509999999999999,0.249,0.456,0.366,0.545,-1.21,0.104,0.063,0.086,0.054000000000000006,0.416,0.4,0.633,2.484,0.331,0.093,0.058,0.299,1.505,1.235,0.552,0.32,0.494,3.61,5.557,115.129,0.274,2.119,1.4480000000000002,1.616,7.28,7.935,5.147,3.072,2.41,4.715,-0.019,0.0,0.0,0.0
793,1031,19720229,3,-3.5e-05,0.01057,0.8340000000000001,0.019,0.878,14.336,2.16,7.541,9.034,17.996,17.996,0.425,1.121,0.473,0.19,0.08,0.08,0.069,0.18,0.029,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.064,0.228,0.7659999999999999,0.226,0.408,0.478,0.4270000000000001,-0.219,0.5720000000000001,0.106,0.067,0.047,0.338,0.316,0.647,3.029,0.279,0.125,0.07,0.295,2.269,1.016,0.504,0.24,0.477,2.358,3.157,104.861,0.262,1.751,1.01,1.481,4.521,9.157,5.62,3.027,2.319,6.233,0.032,0.006999999999999999,0.004,0.0
828,1071,19720331,3,-0.025972,-0.061165,0.8340000000000001,0.02,0.878,13.347,3.87,7.541,8.411,16.755,16.755,0.449,1.043,0.473,0.19,0.08,0.08,0.069,0.18,0.029,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.064,0.228,0.7659999999999999,0.226,0.408,0.478,0.4270000000000001,-0.219,0.5720000000000001,0.106,0.067,0.047,0.338,0.316,0.647,3.029,0.279,0.125,0.07,0.295,2.269,1.016,0.504,0.24,0.477,2.358,3.157,104.861,0.262,1.751,1.01,1.481,4.521,9.157,5.62,3.027,2.319,6.233,0.032,0.006999999999999999,0.004,0.0
858,1111,19720430,3,0.01415,-0.069837,0.8340000000000001,0.024,0.878,12.429,2.13,7.541,7.832999999999998,16.927,16.927,0.547,0.972,0.473,0.19,0.08,0.08,0.069,0.18,0.029,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.064,0.228,0.7659999999999999,0.226,0.408,0.478,0.4270000000000001,-0.219,0.5720000000000001,0.106,0.067,0.047,0.338,0.316,0.647,3.029,0.279,0.125,0.07,0.295,2.269,1.016,0.504,0.24,0.477,2.358,3.157,104.861,0.262,1.751,1.01,1.481,4.521,9.157,5.62,3.027,2.319,6.233,0.032,0.006999999999999999,0.004,0.0
899,1151,19720531,3,-0.002139,0.00639,0.0,0.018000000000000002,0.757,12.411,2.73,7.541,10.872,15.292,15.292,0.532,1.241,0.473,0.19,0.08199999999999999,0.08199999999999999,0.07400000000000001,0.18,0.032,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.077,0.228,0.77,0.228,0.4320000000000001,0.478,0.4270000000000001,-0.219,0.276,0.106,0.067,0.047,0.447,0.316,0.647,3.029,0.29100000000000004,0.113,0.062,0.29600000000000004,2.269,1.022,0.504,0.266,0.477,2.812,3.157,104.861,0.262,1.751,1.01,1.5659999999999998,4.521,9.157,6.5779999999999985,3.176,2.447,6.545,0.013,0.0,0.004,0.0
943,1191,19720630,3,-0.006133,0.018792,0.0,0.017,0.757,12.39,0.6,7.541,10.597,15.086,15.086,0.483,1.21,0.473,0.19,0.08199999999999999,0.08199999999999999,0.07400000000000001,0.18,0.032,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.077,0.228,0.77,0.228,0.4320000000000001,0.478,0.4270000000000001,-0.219,0.276,0.106,0.067,0.047,0.447,0.316,0.647,3.029,0.29100000000000004,0.113,0.062,0.29600000000000004,2.269,1.022,0.504,0.266,0.477,2.812,3.157,104.861,0.262,1.751,1.01,1.5659999999999998,4.521,9.157,6.5779999999999985,3.176,2.447,6.545,0.013,0.0,0.004,0.0
979,1231,19720731,3,-0.006603,0.007175,0.0,0.016,0.757,12.48,1.23,7.541,10.933,14.887,14.887,0.463,1.248,0.473,0.19,0.08199999999999999,0.08199999999999999,0.07400000000000001,0.18,0.032,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.077,0.228,0.77,0.228,0.4320000000000001,0.478,0.4270000000000001,-0.219,0.276,0.106,0.067,0.047,0.447,0.316,0.647,3.029,0.29100000000000004,0.113,0.062,0.29600000000000004,2.269,1.022,0.504,0.266,0.477,2.812,3.157,104.861,0.262,1.751,1.01,1.5659999999999998,4.521,9.157,6.5779999999999985,3.176,2.447,6.545,0.013,0.0,0.004,0.0
1016,1271,19720831,3,0.07157899999999999,0.121973,0.0,0.013,0.8290000000000001,14.376,0.94,7.541,7.261,15.645,15.645,0.43,1.3019999999999998,0.473,0.19,0.08900000000000001,0.08900000000000001,0.087,0.18,0.035,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.083,0.227,0.772,0.227,0.44,0.478,0.4270000000000001,-0.219,0.512,0.106,0.067,0.047,0.368,0.316,0.647,3.029,0.289,0.109,0.069,0.295,2.269,1.001,0.504,0.263,0.477,2.978,3.157,104.861,0.262,1.751,1.01,1.5830000000000002,4.521,9.157,6.635,3.142,2.461,6.601,0.041,0.0,0.004,0.0
1044,1311,19720930,3,-0.016872,0.005214,0.0,0.012,0.8290000000000001,14.054,1.3,7.541,7.575,15.8,15.8,0.403,1.219,0.473,0.19,0.08900000000000001,0.08900000000000001,0.087,0.18,0.035,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.083,0.227,0.772,0.227,0.44,0.478,0.4270000000000001,-0.219,0.512,0.106,0.067,0.047,0.368,0.316,0.647,3.029,0.289,0.109,0.069,0.295,2.269,1.001,0.504,0.263,0.477,2.978,3.157,104.861,0.262,1.751,1.01,1.5830000000000002,4.521,9.157,6.635,3.142,2.461,6.601,0.041,0.0,0.004,0.0
1081,1351,19721031,3,0.014585,0.021388,0.0,0.012,0.8290000000000001,14.384,6.89,7.541,7.741,16.172,16.172,0.4,1.209,0.473,0.19,0.08900000000000001,0.08900000000000001,0.087,0.18,0.035,0.064,0.08199999999999999,0.09,0.099,0.057,0.126,0.108,0.083,0.227,0.772,0.227,0.44,0.478,0.4270000000000001,-0.219,0.512,0.106,0.067,0.047,0.368,0.316,0.647,3.029,0.289,0.109,0.069,0.295,2.269,1.001,0.504,0.263,0.477,2.978,3.157,104.861,0.262,1.751,1.01,1.5830000000000002,4.521,9.157,6.635,3.142,2.461,6.601,0.041,0.0,0.004,0.0
