,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
7,32,19700131,6,-0.027493,-0.071631,0.009000000000000001,1.413,0.755,11.354,5.54,8.527000000000001,6.585,11.492,11.492,0.35200000000000004,1.037,0.521,0.365,0.105,0.105,0.113,0.404,0.037000000000000005,0.145,0.16399999999999998,0.158,0.221,0.095,0.151,0.159,0.105,0.298,0.6759999999999999,0.285,0.563,0.765,0.16699999999999998,0.73,-0.025,-0.013,0.132,0.083,0.448,0.591,0.546,2.539,0.423,0.103,0.056,0.423,3.28,1.115,0.511,0.393,0.308,4.043,6.975,391.982,0.183,2.777,0.698,0.988,0.982,24.881,9.311,1.858,1.306,2.043,-0.056,0.0,0.0,0.0
32,72,19700228,6,0.047096,-0.001332,0.569,1.457,0.979,11.800999999999998,1.82,6.542999999999998,7.303,11.334,11.334,0.586,1.016,0.535,0.362,0.108,0.108,0.128,0.396,0.062,0.155,0.174,0.17600000000000002,0.234,0.134,0.156,0.16399999999999998,0.109,0.28,0.674,0.268,0.441,0.757,0.184,0.555,0.409,0.197,0.093,0.083,0.371,0.607,0.512,2.73,0.426,0.13,0.067,0.449,3.693,0.884,0.455,0.326,0.422,3.273,5.631,348.747,0.173,2.909,0.715,1.009,1.214,20.343,9.007,1.995,1.157,2.414,0.03,0.0,0.0,0.0
65,112,19700331,6,0.08216699999999999,0.014418,0.569,1.485,0.979,13.338,5.1,6.542999999999998,7.818,12.56,12.56,0.627,1.086,0.535,0.362,0.108,0.108,0.128,0.396,0.062,0.155,0.174,0.17600000000000002,0.234,0.134,0.156,0.16399999999999998,0.109,0.28,0.674,0.268,0.441,0.757,0.184,0.555,0.409,0.197,0.093,0.083,0.371,0.607,0.512,2.73,0.426,0.13,0.067,0.449,3.693,0.884,0.455,0.326,0.422,3.273,5.631,348.747,0.173,2.909,0.715,1.009,1.214,20.343,9.007,1.995,1.157,2.414,0.03,0.0,0.0,0.0
85,152,19700430,6,-0.015457,-0.028332,0.569,1.518,0.979,14.291,4.33,6.542999999999998,7.507999999999999,12.786,12.786,0.622,1.156,0.535,0.362,0.108,0.108,0.128,0.396,0.062,0.155,0.174,0.17600000000000002,0.234,0.134,0.156,0.16399999999999998,0.109,0.28,0.674,0.268,0.441,0.757,0.184,0.555,0.409,0.197,0.093,0.083,0.371,0.607,0.512,2.73,0.426,0.13,0.067,0.449,3.693,0.884,0.455,0.326,0.422,3.273,5.631,348.747,0.173,2.909,0.715,1.009,1.214,20.343,9.007,1.995,1.157,2.414,0.03,0.0,0.0,0.0
120,192,19700531,6,0.01522,0.038614,0.008,1.284,0.979,13.991,3.33,6.379,7.695,12.212,12.514,0.425,1.14,0.535,0.362,0.112,0.112,0.128,0.396,0.042,0.155,0.174,0.17600000000000002,0.234,0.101,0.156,0.16399999999999998,0.181,0.28,0.706,0.28,0.454,0.757,0.184,0.555,0.409,0.197,0.093,0.083,0.371,0.607,0.512,2.73,0.396,0.126,0.068,0.449,3.693,0.884,0.455,0.326,0.422,3.273,5.631,348.747,0.173,2.909,0.715,1.009,1.214,20.343,9.007,2.644,1.6780000000000002,2.414,0.03,0.0,0.0,0.0
149,232,19700630,4,0.056708,0.069491,0.058,3.286,0.617,11.839,3.51,6.063,8.091000000000001,12.185,12.185,0.575,1.789,0.536,0.362,0.149,0.151,0.145,0.41,0.047,0.18600000000000005,0.206,0.19,0.273,0.11,0.183,0.202,0.181,0.277,0.706,0.277,0.402,0.775,0.168,0.555,0.409,0.197,0.07200000000000001,0.094,0.331,0.8029999999999999,0.47,1.857,0.396,0.108,0.067,0.486,3.092,0.777,0.423,0.3,0.374,3.967,7.862,348.747,0.158,3.039,0.715,0.915,1.0590000000000002,20.343,9.007,2.5860000000000003,1.67,2.281,0.03,0.0,0.0,0.0
170,272,19700731,4,0.051213,0.034094,0.058,3.4560000000000004,0.617,12.248,3.42,6.063,8.236,12.383,12.383,0.616,1.874,0.536,0.362,0.149,0.151,0.145,0.41,0.047,0.18600000000000005,0.206,0.19,0.273,0.11,0.183,0.202,0.181,0.277,0.706,0.277,0.402,0.775,0.168,0.555,0.409,0.197,0.07200000000000001,0.094,0.331,0.8029999999999999,0.47,1.857,0.396,0.108,0.067,0.486,3.092,0.777,0.423,0.3,0.374,3.967,7.862,348.747,0.158,3.039,0.715,0.915,1.0590000000000002,20.343,9.007,2.5860000000000003,1.67,2.281,0.03,0.0,0.0,0.0
193,312,19700831,4,-0.00529,0.00806,0.054000000000000006,3.097,0.617,11.959,4.73,6.063,7.917000000000002,11.92,11.92,0.612,1.889,0.536,0.362,0.151,0.153,0.145,0.41,0.052000000000000005,0.18600000000000005,0.206,0.19,0.273,0.119,0.183,0.202,0.16899999999999998,0.277,0.706,0.277,0.402,0.775,0.168,0.555,0.409,0.197,0.07200000000000001,0.094,0.331,0.8029999999999999,0.47,1.857,0.396,0.108,0.067,0.486,3.092,0.777,0.423,0.3,0.374,3.967,7.862,348.747,0.158,3.039,0.715,0.915,1.0590000000000002,20.343,9.007,2.287,1.665,2.281,0.03,0.0,0.0,0.0
228,352,19700930,4,0.005861,0.001987,0.054000000000000006,3.124,0.617,11.842,2.99,6.063,8.062999999999999,12.067,12.067,0.609,1.873,0.536,0.362,0.151,0.153,0.145,0.41,0.052000000000000005,0.18600000000000005,0.206,0.19,0.273,0.119,0.183,0.202,0.16899999999999998,0.277,0.706,0.277,0.402,0.775,0.168,0.555,0.409,0.197,0.07200000000000001,0.094,0.331,0.8029999999999999,0.47,1.857,0.396,0.108,0.067,0.486,3.092,0.777,0.423,0.3,0.374,3.967,7.862,348.747,0.158,3.039,0.715,0.915,1.0590000000000002,20.343,9.007,2.287,1.665,2.281,0.03,0.0,0.0,0.0
253,392,19701031,4,0.114729,0.110419,0.054000000000000006,3.515,0.617,13.283,3.74,6.063,9.154,13.696,13.696,0.6779999999999999,2.079,0.536,0.362,0.151,0.153,0.145,0.41,0.052000000000000005,0.18600000000000005,0.206,0.19,0.273,0.119,0.183,0.202,0.16899999999999998,0.277,0.706,0.277,0.402,0.775,0.168,0.555,0.409,0.197,0.07200000000000001,0.094,0.331,0.8029999999999999,0.47,1.857,0.396,0.108,0.067,0.486,3.092,0.777,0.423,0.3,0.374,3.967,7.862,348.747,0.158,3.039,0.715,0.915,1.0590000000000002,20.343,9.007,2.287,1.665,2.281,0.03,0.0,0.0,0.0
