,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
6,33,19700131,8,-0.01113,-0.026951,0.0,3.0,0.28300000000000003,15.213,3.02,10.839,14.743,19.084,19.084,1.11,2.833,0.521,0.809,0.193,0.193,0.195,0.494,0.065,0.149,0.192,0.295,0.363,0.147,0.348,0.386,0.189,0.027000000000000003,0.973,0.027000000000000003,0.071,0.313,0.22,0.272,0.764,0.4320000000000001,0.517,0.108,0.34,1.535,0.764,0.134,0.028,0.093,0.064,0.057,0.625,0.37,0.269,0.048,0.223,21.292,48.24800000000001,152.02700000000004,0.745,2.344,1.494,1.991,7.4,26.637,15.519,2.559,2.541,6.14,0.029,0.0,0.0,0.0
38,73,19700228,8,0.042149,0.039014,0.66,3.403,0.349,18.127,3.33,8.511000000000001,13.169,23.026,35.265,1.122,3.096,0.524,0.812,0.166,0.166,0.146,0.495,0.058,0.123,0.17,0.235,0.311,0.122,0.29600000000000004,0.29,0.163,0.075,0.925,0.075,0.106,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.24,1.5759999999999998,0.672,0.314,0.079,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.594,2.427,6.657,0.043,0.0,0.0,0.0
60,113,19700331,8,0.044896,-0.011755,0.66,3.948,0.349,18.682,4.07,8.511000000000001,13.027,24.121,38.033,1.115,3.281,0.524,0.812,0.166,0.166,0.146,0.495,0.058,0.123,0.17,0.235,0.311,0.122,0.29600000000000004,0.29,0.163,0.075,0.925,0.075,0.106,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.24,1.5759999999999998,0.672,0.314,0.079,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.594,2.427,6.657,0.043,0.0,0.0,0.0
92,153,19700430,8,-0.07862999999999999,-0.08627699999999999,0.66,3.682,0.349,18.148,1.68,8.511000000000001,11.727,22.408,31.54,1.045,3.087,0.524,0.812,0.166,0.166,0.146,0.495,0.058,0.123,0.17,0.235,0.311,0.122,0.29600000000000004,0.29,0.163,0.075,0.925,0.075,0.106,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.24,1.5759999999999998,0.672,0.314,0.079,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.594,2.427,6.657,0.043,0.0,0.0,0.0
115,193,19700531,8,-0.015839,-0.035438,0.0,2.57,0.349,16.861,5.55,8.511000000000001,11.424,20.447,20.901,0.981,2.98,0.524,0.812,0.172,0.172,0.146,0.495,0.058,0.123,0.168,0.235,0.311,0.121,0.29600000000000004,0.285,0.042,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.059,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.5980000000000003,2.474,6.657,0.043,0.0,0.0,0.0
144,233,19700630,8,-0.02335,-0.014854,0.0,2.507,0.349,15.683,5.88,8.511000000000001,10.967,19.069000000000006,21.204,1.028,2.935,0.524,0.812,0.172,0.172,0.146,0.495,0.058,0.123,0.168,0.235,0.311,0.121,0.29600000000000004,0.285,0.042,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.059,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.5980000000000003,2.474,6.657,0.043,0.0,0.0,0.0
177,273,19700731,8,0.072651,0.059199,0.0,2.629,0.349,17.011,3.38,8.511000000000001,11.735,21.192,22.521,1.094,3.197,0.524,0.812,0.172,0.172,0.146,0.495,0.058,0.123,0.168,0.235,0.311,0.121,0.29600000000000004,0.285,0.042,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.059,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.5980000000000003,2.474,6.657,0.043,0.0,0.0,0.0
198,313,19700831,8,0.01504,-0.018976,0.0,2.392,0.349,17.555999999999994,1.81,8.511000000000001,11.389,19.639,22.333,1.082,3.114,0.524,0.812,0.182,0.182,0.146,0.495,0.058,0.123,0.166,0.235,0.311,0.123,0.29600000000000004,0.287,0.121,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.073,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.6010000000000004,2.519,6.657,0.043,0.0,0.0,0.0
236,353,19700930,8,0.014893,0.039028,0.0,2.364,0.349,17.410999999999998,4.77,8.511000000000001,11.714,20.043,21.901,1.096,3.25,0.524,0.812,0.182,0.182,0.146,0.495,0.058,0.123,0.166,0.235,0.311,0.123,0.29600000000000004,0.287,0.121,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.073,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.6010000000000004,2.519,6.657,0.043,0.0,0.0,0.0
258,393,19701031,8,0.043756,0.045133,0.0,2.625,0.349,19.031,3.08,8.511000000000001,11.826,21.116,23.24,1.122,3.347,0.524,0.812,0.182,0.182,0.146,0.495,0.058,0.123,0.166,0.235,0.311,0.123,0.29600000000000004,0.287,0.121,0.079,0.917,0.079,0.11,0.319,0.274,0.292,0.7979999999999999,0.52,0.333,0.097,0.332,1.5759999999999998,0.672,0.314,0.073,0.11,0.07,0.135,0.644,0.379,0.274,0.08,0.209,10.625,20.176,116.168,0.473,2.537,1.35,1.908,6.53,17.817999999999994,15.288,2.6010000000000004,2.519,6.657,0.043,0.0,0.0,0.0
