,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
8446,9363,19880229,5,0.045527,0.039654,0.0,0.858,0.404,27.88,3.69,8.205,10.831,14.736,14.736,1.61,2.964,0.35,0.328,0.251,0.251,0.185,0.261,0.117,0.191,0.261,0.272,0.36,0.195,0.33,0.32,0.222,0.129,0.871,0.129,0.165,0.041,0.512,0.721,0.489,0.132,0.443,0.185,0.205,1.4380000000000002,0.488,0.307,0.14800000000000002,0.118,0.092,0.259,2.227,0.674,0.403,0.119,0.256,19.538,27.626,111.763,1.002,2.658,2.525,1.089,4.58,7.019,3.5460000000000003,1.907,1.703,2.94,0.017,0.098,0.016,0.0
8488,9408,19880331,5,-0.010924,-0.0806,0.0,0.768,0.404,25.046,2.33,8.205,10.203,13.75,13.75,1.528,2.814,0.35,0.328,0.251,0.251,0.185,0.261,0.117,0.191,0.261,0.272,0.36,0.195,0.33,0.32,0.222,0.129,0.871,0.129,0.17600000000000002,0.041,0.512,0.721,0.489,0.132,0.443,0.185,0.205,1.4380000000000002,0.488,0.307,0.14800000000000002,0.118,0.092,0.259,2.227,0.674,0.403,0.119,0.256,19.538,27.626,113.02,1.002,2.658,2.525,1.193,4.58,7.019,3.5460000000000003,1.958,1.705,2.94,0.017,0.098,0.016,0.0
8529,9453,19880430,5,-0.035895,-0.043403,0.0,0.713,0.404,24.247,2.49,8.205,10.009,13.618,13.618,1.389,2.617,0.35,0.328,0.251,0.251,0.185,0.261,0.117,0.191,0.261,0.272,0.36,0.195,0.33,0.32,0.222,0.129,0.871,0.129,0.17600000000000002,0.041,0.512,0.721,0.489,0.132,0.443,0.185,0.205,1.4380000000000002,0.488,0.307,0.14800000000000002,0.118,0.092,0.259,2.227,0.674,0.403,0.119,0.256,19.538,27.626,113.02,1.002,2.658,2.525,1.193,4.58,7.019,3.5460000000000003,1.958,1.705,2.94,0.017,0.098,0.016,0.0
8571,9498,19880531,6,-0.032623,-0.010183,0.0,0.7190000000000001,0.406,23.06,2.57,8.362,12.049,13.345,12.811,1.222,2.447,0.39,0.263,0.183,0.183,0.122,0.262,0.083,0.133,0.185,0.207,0.31,0.128,0.211,0.269,0.171,0.163,0.8370000000000001,0.163,0.185,0.023,0.565,0.325,0.426,0.171,0.445,0.163,0.157,0.966,0.606,0.4,0.185,0.098,0.084,0.271,2.282,0.6629999999999999,0.398,0.132,0.242,12.159,18.375,84.33,0.923,2.673,2.432,1.223,4.349,11.58,3.698,2.13,1.895,3.393,-0.023,0.0,0.013,0.0
8612,9542,19880630,6,0.070301,0.069878,0.0,0.782,0.328,18.997,3.72,8.362,13.119000000000002,13.679,13.397,1.301,3.032,0.39,0.263,0.183,0.183,0.122,0.262,0.083,0.133,0.185,0.207,0.31,0.128,0.211,0.269,0.171,0.163,0.8370000000000001,0.163,0.203,0.023,0.565,0.325,0.426,0.171,0.445,0.163,0.157,0.966,0.606,0.4,0.185,0.098,0.084,0.271,2.282,0.823,0.448,0.132,0.254,12.159,18.375,86.34,0.923,2.673,2.432,1.258,4.349,10.574000000000002,3.626,2.229,1.943,3.393,0.032,0.0,0.013,0.0
8654,9586,19880731,6,-0.102109,-0.078062,0.0,0.752,0.328,18.543,3.19,8.362,12.469,12.273,11.805,1.036,2.507,0.39,0.263,0.183,0.183,0.122,0.262,0.083,0.133,0.185,0.207,0.31,0.128,0.211,0.269,0.171,0.163,0.8370000000000001,0.163,0.203,0.023,0.565,0.325,0.426,0.171,0.445,0.163,0.157,0.966,0.606,0.4,0.185,0.098,0.084,0.271,2.282,0.823,0.448,0.132,0.254,12.159,18.375,86.34,0.923,2.673,2.432,1.258,4.349,10.574000000000002,3.626,2.229,1.943,3.393,0.032,0.0,0.013,0.0
8694,9630,19880831,6,-0.087905,-0.092109,0.0,0.5920000000000001,0.35100000000000003,15.504,1.24,7.566,10.26,11.771,11.239,0.978,2.204,0.39,0.273,0.181,0.181,0.045,0.241,0.07400000000000001,0.125,0.187,0.203,0.303,0.117,0.222,0.223,0.168,0.162,0.838,0.162,0.208,0.023,0.5770000000000001,0.374,0.499,0.171,0.361,0.158,0.173,1.002,0.594,0.41,0.184,0.098,0.084,0.274,2.267,0.82,0.447,0.13699999999999998,0.254,12.159,18.375,86.34,0.873,2.584,2.236,1.262,4.495,10.387,3.609,2.292,1.904,3.479,0.034,0.0,0.013,0.0
8735,9674,19880930,6,0.116351,0.122303,0.0,0.636,0.373,17.011,1.83,7.566,11.289,12.966,12.349,1.06,2.392,0.39,0.273,0.181,0.181,0.045,0.241,0.07400000000000001,0.125,0.187,0.203,0.303,0.117,0.222,0.223,0.168,0.162,0.838,0.162,0.199,0.023,0.5770000000000001,0.374,0.499,0.171,0.361,0.158,0.173,1.002,0.594,0.41,0.184,0.098,0.084,0.274,2.267,0.701,0.412,0.138,0.254,12.159,18.375,83.291,0.873,2.584,2.236,1.325,4.495,10.98,3.811,2.245,1.904,3.479,0.034,0.0,0.013,0.0
8777,9718,19881031,6,-0.074281,-0.052308000000000014,0.0,0.5660000000000001,0.373,15.314,2.24,7.566,10.153,11.731,11.151,0.936,2.2880000000000003,0.39,0.273,0.181,0.181,0.045,0.241,0.07400000000000001,0.125,0.187,0.203,0.303,0.117,0.222,0.223,0.168,0.162,0.838,0.162,0.199,0.023,0.5770000000000001,0.374,0.499,0.171,0.361,0.158,0.173,1.002,0.594,0.41,0.184,0.098,0.084,0.274,2.267,0.701,0.412,0.138,0.254,12.159,18.375,83.291,0.873,2.584,2.236,1.325,4.495,10.98,3.811,2.245,1.904,3.479,0.034,0.0,0.013,0.0
8817,9762,19881130,6,0.051527,0.035864,0.0,0.682,0.383,16.664,4.29,6.502999999999999,13.859000000000002,13.449000000000002,13.449000000000002,0.964,2.2430000000000003,0.39,0.273,0.165,0.165,0.043,0.231,0.065,0.109,0.181,0.185,0.281,0.103,0.213,0.235,0.154,0.154,0.846,0.154,0.194,0.022,0.601,-0.02,0.316,0.171,0.302,0.156,0.185,0.973,0.5870000000000001,0.409,0.172,0.098,0.084,0.271,2.226,0.698,0.411,0.134,0.252,12.159,18.375,85.866,0.654,2.375,2.009,1.304,4.589,11.28,3.782,2.263,1.877,3.772,0.017,0.0,0.013,0.0
