,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
5,34,19700131,25,-0.06829400000000001,-0.063238,0.011,0.331,0.8340000000000001,9.967,5.24,7.042999999999998,6.647,9.488,9.035,0.4970000000000001,0.785,0.363,0.16699999999999998,0.096,0.096,0.085,0.2,0.055,0.094,0.138,0.103,0.121,0.08800000000000001,0.134,0.105,0.095,0.28300000000000003,0.715,0.282,0.313,0.518,0.32,-0.136,0.428,0.194,0.117,0.101,0.058,0.86,0.365,2.052,0.374,0.055,0.052000000000000005,0.503,0.789,0.6920000000000001,0.409,0.228,0.358,5.214,7.57,86.96700000000001,0.382,2.407,1.181,0.884,3.769,9.364,8.878,1.442,0.993,4.0139999999999985,0.014,0.0,0.0,0.0
34,74,19700228,25,0.110566,0.120057,0.458,0.63,1.119,10.376,3.35,7.001,6.565,9.925,9.502,0.518,0.805,0.362,0.171,0.09,0.09,0.08199999999999999,0.196,0.053,0.091,0.134,0.095,0.116,0.091,0.125,0.097,0.08900000000000001,0.292,0.716,0.295,0.334,0.4970000000000001,0.35700000000000004,-0.067,0.402,0.181,0.073,0.099,0.092,0.742,0.319,2.426,0.515,0.06,0.053,0.516,0.895,0.831,0.454,0.233,0.363,4.766,7.445,91.162,0.282,2.482,1.138,0.885,4.119,9.364,8.431000000000001,1.511,1.028,4.581,0.028,0.0,0.0,0.0
66,114,19700331,25,0.010333,0.008217,0.458,0.6579999999999999,1.119,9.482,6.74,7.001,6.742000000000001,10.262,9.823,0.496,0.85,0.362,0.171,0.09,0.09,0.08199999999999999,0.196,0.053,0.091,0.134,0.095,0.116,0.091,0.125,0.097,0.08900000000000001,0.292,0.716,0.295,0.334,0.4970000000000001,0.35700000000000004,-0.067,0.402,0.181,0.073,0.099,0.092,0.742,0.319,2.426,0.515,0.06,0.053,0.516,0.895,0.831,0.454,0.233,0.363,4.766,7.445,91.162,0.282,2.482,1.138,0.885,4.119,9.364,8.431000000000001,1.511,1.028,4.581,0.028,0.0,0.0,0.0
87,154,19700430,25,-0.11924,-0.084338,0.458,0.596,1.119,8.408,5.47,7.001,6.067,8.743,8.743,0.421,0.7490000000000001,0.362,0.171,0.09,0.09,0.08199999999999999,0.196,0.053,0.091,0.134,0.095,0.116,0.091,0.125,0.097,0.08900000000000001,0.292,0.716,0.295,0.334,0.4970000000000001,0.35700000000000004,-0.067,0.402,0.181,0.073,0.099,0.092,0.742,0.319,2.426,0.515,0.06,0.053,0.516,0.895,0.831,0.454,0.233,0.363,4.766,7.445,91.162,0.282,2.482,1.138,0.885,4.119,9.364,8.431000000000001,1.511,1.028,4.581,0.028,0.0,0.0,0.0
116,194,19700531,25,-0.111056,-0.097124,0.0,0.993,1.181,7.807,4.34,6.6389999999999985,4.457,7.575,7.508999999999999,0.375,0.677,0.362,0.171,0.094,0.09,0.08199999999999999,0.182,0.055,0.08800000000000001,0.13,0.095,0.116,0.087,0.125,0.095,0.047,0.257,0.726,0.292,0.3720000000000001,0.4970000000000001,0.35700000000000004,-0.067,0.402,0.181,0.073,0.097,0.094,0.742,0.319,2.329,0.412,0.062,0.054000000000000006,0.516,0.895,0.831,0.454,0.233,0.363,4.684,6.807,91.162,0.282,2.482,1.138,0.885,4.119,9.364,8.431000000000001,1.568,1.104,4.581,0.028,0.0,0.0,0.0
143,234,19700630,24,-0.074327,-0.060948,0.0,0.9,1.181,7.1960000000000015,4.29,6.925,3.912,7.1179999999999986,7.38,0.354,0.619,0.345,0.17800000000000002,0.095,0.092,0.08,0.189,0.054000000000000006,0.08800000000000001,0.13,0.096,0.118,0.084,0.126,0.094,0.049,0.249,0.741,0.274,0.361,0.488,0.355,-0.073,0.382,0.181,0.073,0.093,0.092,0.7070000000000001,0.319,2.315,0.383,0.064,0.056,0.516,0.895,0.831,0.454,0.233,0.363,4.722,7.04,91.162,0.272,2.444,1.134,0.892,4.301,9.364,8.46,1.569,1.107,4.814,0.029,0.0,0.0,0.0
172,274,19700731,24,0.041086,0.036259,0.0,0.9,1.181,7.6789999999999985,4.82,6.925,4.025,7.7360000000000015,7.734,0.358,0.64,0.345,0.17800000000000002,0.095,0.092,0.08,0.189,0.054000000000000006,0.08800000000000001,0.13,0.096,0.118,0.084,0.126,0.094,0.049,0.249,0.741,0.274,0.361,0.488,0.355,-0.073,0.382,0.181,0.073,0.093,0.092,0.7070000000000001,0.319,2.315,0.383,0.064,0.056,0.516,0.895,0.831,0.454,0.233,0.363,4.722,7.04,91.162,0.272,2.444,1.134,0.892,4.301,9.364,8.46,1.569,1.107,4.814,0.029,0.0,0.0,0.0
205,314,19700831,24,0.013108000000000002,-0.008197,0.0,0.276,1.276,7.603,4.0,7.1160000000000005,3.908,7.983,8.038,0.378,0.6509999999999999,0.345,0.17800000000000002,0.096,0.093,0.08,0.189,0.05,0.081,0.123,0.096,0.118,0.081,0.126,0.094,0.07200000000000001,0.249,0.741,0.274,0.361,0.501,0.355,-0.067,0.382,0.181,0.073,0.094,0.092,0.7070000000000001,0.426,2.441,0.337,0.068,0.058,0.503,0.895,0.831,0.454,0.233,0.363,4.31,6.113,91.162,0.272,2.444,1.102,0.892,4.172,10.281,8.46,1.56,1.093,4.923,0.029,0.0,0.0,0.0
230,354,19700930,24,0.042899,0.036589,0.0,0.256,1.276,8.025,3.69,7.1160000000000005,3.946,8.14,8.317,0.392,0.6629999999999999,0.345,0.17800000000000002,0.096,0.093,0.08,0.189,0.05,0.081,0.123,0.096,0.118,0.081,0.126,0.094,0.07200000000000001,0.249,0.741,0.274,0.361,0.501,0.355,-0.067,0.382,0.181,0.073,0.094,0.092,0.7070000000000001,0.426,2.441,0.337,0.068,0.058,0.503,0.895,0.831,0.454,0.233,0.363,4.31,6.113,91.162,0.272,2.444,1.102,0.892,4.172,10.281,8.46,1.56,1.093,4.923,0.029,0.0,0.0,0.0
265,394,19701031,24,-0.029666,-0.04483,0.0,0.235,1.276,7.53,1.9,7.1160000000000005,4.032,7.7429999999999986,7.775,0.375,0.647,0.345,0.17800000000000002,0.096,0.093,0.08,0.189,0.05,0.081,0.123,0.096,0.118,0.081,0.126,0.094,0.07200000000000001,0.249,0.741,0.274,0.361,0.501,0.355,-0.067,0.382,0.181,0.073,0.094,0.092,0.7070000000000001,0.426,2.441,0.337,0.068,0.058,0.503,0.895,0.831,0.454,0.233,0.363,4.31,6.113,91.162,0.272,2.444,1.102,0.892,4.172,10.281,8.46,1.56,1.093,4.923,0.029,0.0,0.0,0.0
