,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
4,35,19700131,8,-0.067678,-0.023545,0.0,1.785,0.292,14.958,3.33,10.421,9.855,16.918,16.918,1.709,2.039,0.52,0.331,0.16,0.16,0.093,0.542,0.129,0.307,0.35600000000000004,0.193,0.254,0.255,0.2,0.188,0.157,0.381,0.598,0.368,0.457,0.252,0.473,0.3670000000000001,0.476,0.172,0.141,0.166,0.116,1.025,0.381,2.032,0.7509999999999999,0.058,0.049,0.595,1.938,0.994,0.491,0.35100000000000003,0.4270000000000001,4.562,7.69,78.184,0.301,1.7080000000000002,1.26,0.7759999999999999,5.192,6.393,7.7639999999999985,1.416,0.901,4.0280000000000005,0.026,0.0,0.0,0.0
33,75,19700228,8,0.096752,0.083705,0.461,2.322,0.498,17.84,4.86,8.892000000000003,14.053,16.706,16.101,1.829,2.07,0.519,0.344,0.127,0.126,0.101,0.532,0.125,0.272,0.329,0.162,0.228,0.253,0.174,0.163,0.134,0.379,0.608,0.37,0.445,0.274,0.464,-0.16399999999999998,0.564,0.17,0.121,0.163,0.105,1.209,0.34700000000000003,2.186,0.735,0.057,0.048,0.5760000000000001,2.091,0.926,0.4920000000000001,0.363,0.445,4.362,7.235,89.075,0.269,1.692,1.297,0.742,6.308,7.687,7.831,1.382,0.8859999999999999,4.1160000000000005,0.012,0.0,0.0,0.0
61,115,19700331,8,-0.016344,0.027603,0.461,2.454,0.498,18.689,3.54,8.892000000000003,12.929,16.98,16.19,1.709,1.941,0.519,0.344,0.127,0.126,0.101,0.532,0.125,0.272,0.329,0.162,0.228,0.253,0.174,0.163,0.134,0.379,0.608,0.37,0.445,0.274,0.464,-0.16399999999999998,0.564,0.17,0.121,0.163,0.105,1.209,0.34700000000000003,2.186,0.735,0.057,0.048,0.5760000000000001,2.091,0.926,0.4920000000000001,0.363,0.445,4.362,7.235,89.075,0.269,1.692,1.297,0.742,6.308,7.687,7.831,1.382,0.8859999999999999,4.1160000000000005,0.012,0.0,0.0,0.0
88,155,19700430,8,-0.189753,-0.090731,0.325,2.162,0.498,13.802,2.26,8.892000000000003,10.591,12.613,12.094,1.435,1.74,0.519,0.344,0.127,0.126,0.101,0.532,0.125,0.272,0.329,0.162,0.228,0.253,0.174,0.163,0.134,0.379,0.608,0.37,0.445,0.274,0.464,-0.16399999999999998,0.564,0.17,0.121,0.163,0.105,1.209,0.34700000000000003,2.186,0.735,0.057,0.048,0.5760000000000001,2.091,0.926,0.4920000000000001,0.363,0.445,4.362,7.235,89.075,0.269,1.692,1.297,0.742,6.308,7.687,7.831,1.382,0.8859999999999999,4.1160000000000005,0.012,0.0,0.0,0.0
117,195,19700531,8,-0.110224,-0.039143,0.011,2.434,0.608,11.524,4.11,7.818,8.82,11.133,12.29,1.229,1.365,0.511,0.336,0.126,0.126,0.083,0.523,0.123,0.272,0.325,0.162,0.228,0.251,0.174,0.163,0.119,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.162,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.362,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.402,0.909,4.1160000000000005,0.011,0.0,0.0,0.0
145,235,19700630,8,-0.07091900000000001,-0.092286,0.011,2.597,0.608,10.4,6.42,7.818,8.253,10.376,10.651,1.098,1.222,0.511,0.336,0.126,0.126,0.083,0.523,0.123,0.272,0.325,0.162,0.228,0.251,0.174,0.163,0.119,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.162,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.362,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.402,0.909,4.1160000000000005,0.011,0.0,0.0,0.0
173,275,19700731,8,0.148105,0.115239,0.011,2.687,0.608,11.929,3.87,7.818,8.791,11.439,11.849,1.349,1.491,0.511,0.336,0.126,0.126,0.083,0.523,0.123,0.272,0.325,0.162,0.228,0.247,0.174,0.163,0.119,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.162,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.362,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.402,0.909,4.1160000000000005,0.011,0.0,0.0,0.0
200,315,19700831,8,0.06763200000000001,0.017668,0.0,3.785,0.608,12.448,4.17,7.676,10.235,12.496,13.147,1.4240000000000002,1.579,0.511,0.336,0.124,0.122,0.086,0.523,0.12,0.272,0.317,0.162,0.228,0.245,0.174,0.163,0.125,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.16,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.362,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.415,0.917,4.1160000000000005,0.011,0.0,0.0,0.0
231,355,19700930,8,0.084276,-0.013477,0.0,3.987,0.608,13.343,5.58,7.676,11.115,13.194,14.232,1.539,1.722,0.511,0.336,0.124,0.122,0.086,0.523,0.12,0.272,0.317,0.162,0.228,0.245,0.174,0.163,0.125,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.16,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.362,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.415,0.917,4.1160000000000005,0.011,0.0,0.0,0.0
260,395,19701031,8,-0.080038,-0.044678,0.0,3.455,0.608,11.908,2.81,7.676,10.508,12.521,12.92,1.413,1.6,0.511,0.336,0.124,0.122,0.086,0.523,0.12,0.272,0.317,0.162,0.228,0.239,0.174,0.163,0.125,0.379,0.615,0.375,0.45,0.274,0.464,-0.228,0.556,0.16,0.117,0.16,0.105,1.171,0.34700000000000003,2.186,0.602,0.057,0.049,0.589,1.964,0.883,0.489,0.363,0.434,4.022,7.235,89.075,0.268,1.753,1.297,0.746,6.308,7.687,7.831,1.415,0.917,4.1160000000000005,0.011,0.0,0.0,0.0
