,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
3,36,19700131,4,-0.044872,-0.035847000000000004,0.0,0.9,0.198,17.178,5.48,9.831,14.289,13.218,13.218,0.939,3.4210000000000003,0.516,0.479,0.24,0.24,0.23,0.261,0.051,0.113,0.133,0.239,0.3670000000000001,0.108,0.275,0.34600000000000003,0.24,0.22,0.847,0.22,0.199,0.382,0.394,0.393,0.342,0.31,0.308,0.07200000000000001,0.275,0.735,0.7140000000000001,0.7809999999999999,0.18,0.126,0.063,0.28600000000000003,1.978,0.63,0.386,0.134,0.29100000000000004,4.593,8.294,88.884,0.368,2.175,1.414,2.07,5.022,14.15,6.496,3.381,3.155,4.597,0.026,0.0,0.0,0.0
35,76,19700228,4,0.038527,0.033695,0.345,1.071,0.36,19.134,2.14,6.9510000000000005,17.602,20.318,23.449,0.992,2.822,0.53,0.463,0.183,0.151,0.208,0.264,0.049,0.111,0.136,0.21,0.314,0.104,0.251,0.301,0.151,0.179,0.8590000000000001,0.179,0.118,0.443,0.384,0.329,0.207,0.184,0.141,0.07400000000000001,0.079,0.7829999999999999,0.6920000000000001,0.44,0.138,0.155,0.097,0.268,1.664,0.643,0.413,0.085,0.215,4.013,7.4060000000000015,93.238,0.207,2.422,1.395,1.864,4.115,14.128,6.473,2.843,2.843,4.303,-0.024,0.0,0.0,0.0
62,116,19700331,4,-0.011237,-0.002898,0.345,1.014,0.36,18.985,6.86,6.9510000000000005,17.697,19.807,22.787,0.967,2.754,0.53,0.463,0.183,0.151,0.208,0.264,0.049,0.111,0.136,0.21,0.314,0.104,0.251,0.301,0.151,0.179,0.8590000000000001,0.179,0.118,0.443,0.384,0.329,0.207,0.184,0.141,0.07400000000000001,0.079,0.7829999999999999,0.6920000000000001,0.44,0.138,0.155,0.097,0.268,1.664,0.643,0.413,0.085,0.215,4.013,7.4060000000000015,93.238,0.207,2.422,1.395,1.864,4.115,14.128,6.473,2.843,2.843,4.303,-0.024,0.0,0.0,0.0
89,156,19700430,4,-0.2151,-0.212117,0.345,0.7659999999999999,0.36,15.063,5.45,6.9510000000000005,14.628,15.214,16.605999999999998,0.7509999999999999,2.144,0.53,0.463,0.183,0.151,0.208,0.264,0.049,0.111,0.136,0.21,0.314,0.104,0.251,0.301,0.151,0.179,0.8590000000000001,0.179,0.118,0.443,0.384,0.329,0.207,0.184,0.141,0.07400000000000001,0.079,0.7829999999999999,0.6920000000000001,0.44,0.138,0.155,0.097,0.268,1.664,0.643,0.413,0.085,0.215,4.013,7.4060000000000015,93.238,0.207,2.422,1.395,1.864,4.115,14.128,6.473,2.843,2.843,4.303,-0.024,0.0,0.0,0.0
118,196,19700531,4,-0.031537,-0.051692,0.0,1.712,0.36,14.572,1.33,6.9510000000000005,13.303,15.991,15.991,0.746,2.041,0.53,0.463,0.126,0.126,0.162,0.264,0.046,0.111,0.136,0.21,0.314,0.097,0.251,0.301,0.013,0.179,0.821,0.179,0.191,0.443,0.384,0.329,0.207,0.184,0.141,0.07400000000000001,0.079,0.7829999999999999,0.6920000000000001,0.44,0.142,0.155,0.097,0.268,1.664,0.643,0.413,0.085,0.215,4.013,7.4060000000000015,93.238,0.207,2.422,1.395,1.864,4.115,14.128,6.473,2.88,2.669,4.303,-0.024,0.0,0.0,0.0
146,236,19700630,5,-0.118331,-0.120682,0.0,0.6859999999999999,0.362,11.805,3.67,6.948,9.154,12.547,12.547,0.606,1.988,0.53,0.451,0.15,0.15,0.134,0.303,0.054000000000000006,0.113,0.14400000000000002,0.159,0.229,0.112,0.207,0.209,0.02,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.099,0.695,0.639,0.8809999999999999,0.16399999999999998,0.13699999999999998,0.077,0.282,1.679,0.705,0.434,0.17,0.329,4.254,7.2570000000000014,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.003,2.5810000000000004,4.194,-0.023,0.0,0.0,0.0
174,276,19700731,5,0.156646,0.18918,0.0,0.772,0.362,14.552,4.48,6.948,11.345,14.944,14.944,0.682,2.237,0.53,0.451,0.15,0.15,0.134,0.303,0.054000000000000006,0.113,0.14400000000000002,0.159,0.229,0.112,0.207,0.209,0.02,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.099,0.695,0.639,0.8809999999999999,0.16399999999999998,0.13699999999999998,0.077,0.282,1.679,0.705,0.434,0.17,0.329,4.254,7.2570000000000014,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.003,2.5810000000000004,4.194,-0.023,0.0,0.0,0.0
201,316,19700831,5,0.159356,0.152876,0.0,1.871,0.362,17.545,1.29,6.948,13.488,18.32,18.32,0.728,2.438,0.53,0.451,0.124,0.124,0.134,0.3,0.049,0.111,0.14400000000000002,0.159,0.229,0.105,0.207,0.209,0.044,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.108,0.695,0.639,0.8809999999999999,0.18,0.13699999999999998,0.077,0.282,1.679,0.705,0.434,0.17,0.329,4.275,7.232,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.036,2.596,4.194,-0.023,0.0,0.0,0.0
232,356,19700930,5,0.008545,-0.008898,0.0,1.876,0.362,18.311,2.6,6.948,12.708,17.262,17.262,0.76,2.544,0.53,0.451,0.124,0.124,0.134,0.3,0.049,0.111,0.14400000000000002,0.159,0.229,0.105,0.207,0.209,0.044,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.108,0.695,0.639,0.8809999999999999,0.18,0.13699999999999998,0.077,0.282,1.679,0.705,0.434,0.17,0.329,4.275,7.232,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.036,2.596,4.194,-0.023,0.0,0.0,0.0
261,396,19701031,5,-0.052474,-0.029524,0.0,1.886,0.362,17.63,2.74,6.948,12.222,16.601,16.601,0.732,2.45,0.53,0.451,0.124,0.124,0.134,0.3,0.049,0.111,0.14400000000000002,0.159,0.229,0.105,0.207,0.209,0.044,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.108,0.695,0.639,0.8809999999999999,0.18,0.13699999999999998,0.077,0.282,1.679,0.705,0.434,0.17,0.329,4.275,7.232,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.036,2.596,4.194,-0.023,0.0,0.0,0.0
291,436,19701130,5,0.08911799999999999,0.118353,0.0,1.654,0.362,17.792,1.82,6.948,14.364,21.82,21.82,0.84,2.402,0.53,0.451,0.115,0.115,0.134,0.303,0.046,0.113,0.14400000000000002,0.159,0.229,0.096,0.207,0.209,0.066,0.217,0.7829999999999999,0.217,0.235,0.408,0.412,0.42,0.287,0.214,0.126,0.076,0.108,0.695,0.639,0.8809999999999999,0.277,0.13699999999999998,0.097,0.282,1.679,0.705,0.434,0.17,0.329,4.294,7.294,93.238,0.253,2.373,1.408,1.766,4.084,14.128,5.808,3.068,2.636,4.194,-0.023,0.0,0.0,0.0
