,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2,37,19700131,14,-0.068535,-0.073527,0.08199999999999999,0.773,1.301,9.41,5.91,9.841,4.091,9.803,9.922,0.463,0.479,0.292,0.081,0.049,0.048,0.051,0.236,0.054000000000000006,0.094,0.171,0.05,0.058,0.076,0.08199999999999999,0.059,0.054000000000000006,0.479,0.516,0.479,0.505,0.155,0.422,-0.21600000000000005,0.527,0.112,0.081,0.124,0.054000000000000006,0.743,0.204,4.766,0.919,0.052000000000000005,0.049,0.687,0.672,1.275,0.55,0.421,0.527,2.093,2.376,20.864,0.414,1.15,1.0,0.539,16.314,8.271,9.358,1.348,0.82,27.673,0.043,0.0,0.0,0.19
36,77,19700228,14,0.147112,0.149145,0.527,1.596,1.665,10.817,3.02,8.547,5.104,10.66,10.66,0.546,0.527,0.345,0.096,0.051,0.052000000000000005,0.051,0.232,0.042,0.08800000000000001,0.17,0.043,0.05,0.057,0.08199999999999999,0.052000000000000005,0.05,0.472,0.519,0.467,0.501,0.134,0.4920000000000001,-0.35200000000000004,0.47,0.103,0.07200000000000001,0.123,0.054000000000000006,0.679,0.21,5.4289999999999985,0.949,0.055,0.051,0.644,0.6709999999999999,1.291,0.551,0.415,0.529,1.969,1.973,18.762,0.333,1.102,0.949,0.541,17.477999999999998,7.353,9.285,1.142,0.639,34.65,0.035,0.0,0.0,0.0
63,117,19700331,16,-0.047406,-0.042771,0.53,1.513,2.093,9.831,4.12,8.693999999999999,5.118,10.675999999999998,10.675999999999998,0.491,0.499,0.34700000000000003,0.08800000000000001,0.05,0.051,0.049,0.211,0.035,0.079,0.157,0.041,0.046,0.056,0.08,0.046,0.049,0.456,0.521,0.448,0.489,0.156,0.488,-0.355,0.462,0.098,0.07200000000000001,0.118,0.054000000000000006,0.625,0.21,5.999,0.8390000000000001,0.054000000000000006,0.051,0.66,0.645,1.206,0.536,0.392,0.506,1.891,1.912,19.814,0.333,1.102,0.949,0.425,17.419,7.576,9.404,0.871,0.461,32.341,0.034,0.0,0.0,0.0
90,157,19700430,16,-0.122383,-0.100126,0.53,1.385,2.093,9.605,3.72,8.693999999999999,4.484,9.509,9.509,0.47,0.439,0.34700000000000003,0.08800000000000001,0.05,0.051,0.049,0.211,0.035,0.079,0.157,0.041,0.046,0.056,0.08,0.046,0.049,0.456,0.521,0.448,0.489,0.156,0.488,-0.355,0.462,0.098,0.07200000000000001,0.118,0.054000000000000006,0.625,0.21,5.999,0.8390000000000001,0.054000000000000006,0.051,0.66,0.645,1.206,0.536,0.392,0.506,1.891,1.912,19.814,0.333,1.102,0.949,0.425,17.419,7.576,9.404,0.871,0.461,32.341,0.034,0.0,0.0,0.0
114,197,19700531,17,-0.07624500000000001,-0.051203,0.066,1.274,2.128,8.843,3.49,8.8,4.132,9.311,9.311,0.441,0.421,0.345,0.08199999999999999,0.041,0.042,0.05,0.21,0.041,0.076,0.153,0.039,0.044,0.056,0.078,0.043,0.05,0.454,0.537,0.454,0.478,0.166,0.487,-0.35200000000000004,0.458,0.095,0.075,0.119,0.057,0.597,0.209,6.426,0.777,0.055,0.05,0.672,0.628,1.141,0.523,0.385,0.485,1.904,1.844,20.847,0.337,1.117,0.959,0.415,17.359,7.522,9.171,0.853,0.471,24.63,0.033,0.0,0.0,0.0
147,237,19700630,16,-0.15907000000000002,-0.182895,0.073,1.101,2.093,7.269,2.96,8.693999999999999,3.384,7.785,7.785,0.366,0.354,0.34700000000000003,0.08,0.043,0.044,0.053,0.211,0.042,0.079,0.157,0.041,0.046,0.057,0.08,0.046,0.05,0.455,0.527,0.455,0.491,0.16699999999999998,0.468,-0.35,0.462,0.092,0.07200000000000001,0.121,0.058,0.625,0.206,5.999,0.805,0.057,0.051,0.684,0.645,1.206,0.536,0.392,0.506,1.969,1.912,20.847,0.34,1.112,0.921,0.405,17.359,7.522,9.404,0.8440000000000001,0.467,16.918,0.032,0.0,0.0,0.0
175,277,19700731,16,0.096222,0.092061,0.073,1.221,2.093,7.907,2.05,8.693999999999999,3.839,8.255,8.255,0.354,0.388,0.34700000000000003,0.08,0.043,0.044,0.053,0.211,0.042,0.079,0.157,0.041,0.046,0.057,0.08,0.046,0.05,0.455,0.527,0.455,0.491,0.16699999999999998,0.468,-0.35,0.462,0.092,0.07200000000000001,0.121,0.058,0.625,0.206,5.999,0.805,0.057,0.051,0.684,0.645,1.206,0.536,0.392,0.506,1.969,1.912,20.847,0.34,1.112,0.921,0.405,17.359,7.522,9.404,0.8440000000000001,0.467,16.918,0.032,0.0,0.0,0.0
202,317,19700831,16,0.08697200000000001,0.087943,0.172,1.15,2.093,8.707,3.13,8.693999999999999,3.694,8.264,8.719,0.3720000000000001,0.4320000000000001,0.34700000000000003,0.08,0.05,0.05,0.053,0.211,0.035,0.079,0.157,0.041,0.046,0.057,0.08,0.046,0.05,0.447,0.541,0.447,0.484,0.16699999999999998,0.468,-0.256,0.462,0.092,0.07200000000000001,0.12,0.062,0.625,0.206,5.999,0.7979999999999999,0.057,0.051,0.684,0.645,1.206,0.536,0.392,0.495,1.891,1.912,20.847,0.34,1.112,0.921,0.405,17.359,7.797999999999999,9.404,0.86,0.474,16.918,0.032,0.0,0.0,0.0
233,357,19700930,17,0.118078,0.081046,0.212,1.214,2.109,9.588,2.62,8.587,4.447,9.778,9.778,0.447,0.451,0.345,0.08199999999999999,0.045,0.045,0.051,0.211,0.034,0.076,0.161,0.039,0.044,0.056,0.08199999999999999,0.043,0.045,0.453,0.544,0.453,0.489,0.166,0.457,-0.303,0.458,0.092,0.075,0.121,0.065,0.597,0.209,5.573,0.777,0.058,0.052000000000000005,0.672,0.662,1.271,0.5479999999999999,0.385,0.505,1.877,1.844,19.814,0.344,1.086,0.884,0.415,17.419,7.66,9.171,0.867,0.477,16.918,0.033,0.0,0.0,0.0
262,397,19701031,17,-0.071796,-0.058636,0.212,1.168,2.109,9.233,2.99,8.587,4.263,9.381,9.381,0.417,0.435,0.345,0.08199999999999999,0.045,0.045,0.051,0.211,0.034,0.076,0.161,0.039,0.044,0.056,0.08199999999999999,0.043,0.045,0.453,0.544,0.453,0.489,0.166,0.457,-0.303,0.458,0.092,0.075,0.121,0.065,0.597,0.209,5.573,0.777,0.058,0.052000000000000005,0.672,0.662,1.271,0.5479999999999999,0.385,0.505,1.877,1.844,19.814,0.344,1.086,0.884,0.415,17.419,7.66,9.171,0.867,0.477,16.918,0.033,0.0,0.0,0.0
