,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
203,318,19700831,10,0.07937999999999999,0.039722,0.02,1.9,1.824,9.387,4.56,5.686,4.342,13.403,13.039,0.261,0.583,0.505,0.256,0.056,0.056,0.076,0.18600000000000005,0.024,0.063,0.091,0.096,0.13,0.047,0.131,0.115,0.052000000000000005,0.266,0.731,0.269,0.385,0.5589999999999999,0.393,0.029,0.247,0.138,0.07,0.055,0.315,0.7879999999999999,0.451,2.446,0.343,0.095,0.073,0.445,1.339,0.862,0.461,0.307,0.418,3.037,4.74,137.941,0.134,2.887,1.471,1.464,3.4610000000000003,15.259,6.227,2.488,1.804,3.168,0.001,0.0,0.0,0.0
234,358,19700930,10,0.099068,0.033129,0.02,1.996,1.824,10.127,2.09,5.686,4.871,16.084,15.476,0.292,0.615,0.505,0.256,0.056,0.056,0.076,0.18600000000000005,0.024,0.063,0.091,0.096,0.13,0.047,0.131,0.115,0.052000000000000005,0.266,0.7340000000000001,0.266,0.385,0.5589999999999999,0.393,0.029,0.247,0.138,0.07,0.055,0.315,0.7879999999999999,0.451,2.446,0.384,0.095,0.073,0.445,1.339,0.862,0.461,0.307,0.418,3.037,4.74,137.941,0.134,2.887,1.471,1.464,3.4610000000000003,15.259,6.227,2.411,1.7280000000000002,3.168,0.001,0.0,0.0,0.0
263,398,19701031,10,-0.0339,-0.030953,0.02,1.843,1.824,10.531,3.8,5.686,4.473,15.524,15.125,0.31,0.633,0.505,0.256,0.056,0.056,0.076,0.18600000000000005,0.024,0.063,0.091,0.096,0.13,0.047,0.131,0.115,0.052000000000000005,0.266,0.7340000000000001,0.266,0.385,0.5589999999999999,0.393,0.029,0.247,0.138,0.07,0.055,0.315,0.7879999999999999,0.451,2.446,0.384,0.095,0.073,0.445,1.339,0.862,0.461,0.307,0.418,3.037,4.74,137.941,0.134,2.887,1.471,1.464,3.4610000000000003,15.259,6.227,2.411,1.7280000000000002,3.168,0.001,0.0,0.0,0.0
293,438,19701130,10,0.015188,0.044761,0.008,3.585,1.824,10.616,3.63,6.145,4.689,15.093,14.878,0.294,0.627,0.505,0.256,0.056,0.056,0.07400000000000001,0.18600000000000005,0.024,0.063,0.091,0.096,0.13,0.048,0.131,0.115,0.052000000000000005,0.266,0.7340000000000001,0.266,0.387,0.5589999999999999,0.393,0.029,0.247,0.139,0.07,0.055,0.315,0.7879999999999999,0.451,2.446,0.384,0.117,0.073,0.445,1.339,0.877,0.468,0.31,0.421,2.685,4.74,134.35399999999998,0.134,2.882,1.497,1.43,3.4610000000000003,25.63,6.0,2.462,1.733,3.168,0.009000000000000001,0.0,0.0,0.0
323,478,19701231,10,0.184374,0.125698,0.018000000000000002,4.3,1.962,12.319,4.3,6.272,5.122000000000001,19.109,17.886,0.35700000000000004,0.752,0.484,0.251,0.056,0.056,0.07,0.18600000000000005,0.024,0.062,0.085,0.091,0.13,0.048,0.128,0.098,0.052000000000000005,0.264,0.736,0.264,0.387,0.5589999999999999,0.393,0.056,0.247,0.139,0.078,0.052000000000000005,0.315,0.6559999999999999,0.435,2.556,0.373,0.117,0.081,0.445,1.288,0.877,0.468,0.31,0.421,2.364,4.393,137.941,0.16,2.882,1.497,1.368,3.378,36.001,6.0,2.462,1.716,3.168,0.017,0.0,0.0,0.0
354,518,19710131,10,0.056005999999999986,0.018223,0.018000000000000002,4.549,1.962,13.329,4.34,6.272,5.27,19.69,18.768,0.371,0.8059999999999999,0.484,0.251,0.056,0.056,0.07,0.18600000000000005,0.024,0.062,0.085,0.091,0.13,0.048,0.128,0.098,0.052000000000000005,0.264,0.736,0.264,0.387,0.5589999999999999,0.393,0.056,0.247,0.139,0.078,0.052000000000000005,0.315,0.6559999999999999,0.435,2.556,0.373,0.117,0.081,0.445,1.288,0.877,0.468,0.31,0.421,2.364,4.393,137.941,0.16,2.882,1.497,1.368,3.378,36.001,6.0,2.462,1.716,3.168,0.017,0.0,0.0,0.0
385,558,19710228,9,0.082873,0.055615,0.519,1.3230000000000002,1.751,12.573,6.18,6.047999999999999,8.789,15.894,15.894,0.349,0.7879999999999999,0.496,0.236,0.064,0.064,0.062,0.182,0.022,0.057,0.085,0.08199999999999999,0.099,0.047,0.112,0.093,0.06,0.272,0.728,0.272,0.388,0.539,0.395,-0.018000000000000002,0.258,0.14300000000000002,0.084,0.049,0.421,0.539,0.474,2.403,0.373,0.11,0.073,0.458,1.264,0.87,0.465,0.315,0.42,2.307,3.434,147.21,0.133,3.042,1.513,1.35,3.22,32.86,5.5939999999999985,2.344,1.707,3.164,0.032,0.0,0.0,0.0
419,598,19710331,9,-0.043109,-0.030977,0.363,1.366,1.751,12.949000000000002,3.77,6.047999999999999,8.193,15.397,15.397,0.361,0.779,0.496,0.236,0.064,0.064,0.062,0.182,0.022,0.057,0.085,0.08199999999999999,0.099,0.047,0.112,0.093,0.06,0.272,0.741,0.276,0.388,0.539,0.395,-0.018000000000000002,0.258,0.14300000000000002,0.084,0.049,0.421,0.539,0.474,2.403,0.38,0.11,0.073,0.458,1.264,0.87,0.465,0.315,0.42,2.307,3.434,147.21,0.133,3.042,1.513,1.35,3.22,32.86,5.5939999999999985,2.289,1.673,3.164,0.032,0.0,0.0,0.0
454,638,19710430,9,-0.010601,-0.024845,0.363,1.273,1.751,13.227,2.83,6.047999999999999,7.876,13.931,14.959,0.325,0.802,0.496,0.236,0.064,0.064,0.062,0.182,0.022,0.057,0.085,0.08199999999999999,0.099,0.047,0.112,0.093,0.06,0.272,0.741,0.276,0.388,0.539,0.395,-0.018000000000000002,0.258,0.14300000000000002,0.084,0.049,0.421,0.539,0.474,2.403,0.38,0.11,0.073,0.458,1.264,0.87,0.465,0.315,0.42,2.307,3.434,147.21,0.133,3.042,1.513,1.35,3.22,32.86,5.5939999999999985,2.289,1.673,3.164,0.032,0.0,0.0,0.0
491,678,19710531,9,-0.032046,-0.026711,0.0,2.09,1.751,12.411,3.11,6.047999999999999,7.961,13.798,13.798,0.306,0.8,0.496,0.236,0.063,0.063,0.067,0.182,0.021,0.057,0.085,0.08199999999999999,0.099,0.045,0.112,0.093,0.063,0.272,0.741,0.276,0.388,0.539,0.395,-0.018000000000000002,0.258,0.14300000000000002,0.084,0.049,0.421,0.539,0.474,2.403,0.38,0.125,0.079,0.458,1.264,0.87,0.465,0.315,0.42,2.199,3.434,147.21,0.133,3.042,1.513,1.35,3.22,32.86,5.5939999999999985,2.311,1.679,3.164,0.032,0.0,0.0,0.0
