,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
1,39,19700131,47,-0.032949,-0.043141000000000006,0.106,1.344,0.622,11.11,1.36,10.005,5.938,6.884,11.226,1.351,1.262,0.386,0.114,0.122,0.11,0.075,0.387,0.136,0.277,0.387,0.08900000000000001,0.099,0.225,0.122,0.109,0.127,0.546,0.354,0.545,0.5820000000000001,0.226,0.508,-0.588,0.8420000000000001,0.121,0.033,0.237,0.066,1.257,0.154,4.34,1.389,0.048,0.045,0.765,0.6609999999999999,1.533,0.603,0.503,0.72,2.794,3.871,45.07,0.173,0.8759999999999999,0.701,0.308,13.052,8.312000000000001,8.225,0.76,0.364,25.478,0.033,0.0,0.0,0.209
37,79,19700228,47,0.092996,0.097321,0.6709999999999999,2.787,0.812,11.922,2.69,8.972000000000003,6.037000000000001,11.784,11.782,1.42,1.31,0.353,0.112,0.125,0.113,0.079,0.365,0.14,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.124,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.729,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.345,39.414,0.033,0.0,0.0,0.21
59,119,19700331,47,0.02585,0.024267,0.6709999999999999,2.931,0.812,11.966,3.77,8.972000000000003,6.141,11.74,11.25,1.473,1.318,0.353,0.112,0.125,0.113,0.079,0.365,0.14,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.124,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.729,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.345,39.414,0.033,0.0,0.0,0.21
91,159,19700430,47,-0.067207,-0.081335,0.6709999999999999,2.655,0.812,11.17,3.04,8.972000000000003,5.777,11.132,10.629,1.381,1.209,0.353,0.112,0.125,0.113,0.079,0.365,0.14,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.124,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.729,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.345,39.414,0.033,0.0,0.0,0.21
122,199,19700531,47,-0.044885,-0.04868,0.11,1.118,0.812,10.822,6.36,8.937999999999997,5.506,6.31,10.474,1.3030000000000002,1.162,0.353,0.112,0.125,0.113,0.076,0.365,0.139,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.735,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.363,39.414,0.033,0.0,0.0,0.21
150,239,19700630,47,-0.044007,-0.052651,0.11,1.046,0.812,10.347,1.81,8.937999999999997,5.186,5.988,9.868,1.24,1.077,0.353,0.112,0.125,0.113,0.076,0.365,0.139,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.735,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.363,39.414,0.033,0.0,0.0,0.21
171,279,19700731,47,0.076024,0.090739,0.11,1.096,0.812,10.796,5.36,8.937999999999997,5.66,6.424,10.503,1.29,1.175,0.353,0.112,0.125,0.113,0.076,0.365,0.139,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.236,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.735,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.363,39.414,0.033,0.0,0.0,0.21
199,319,19700831,47,0.053622,0.054747,0.111,1.219,0.812,11.279000000000002,2.86,8.937999999999997,5.8610000000000015,6.705,10.705,1.283,1.265,0.353,0.112,0.125,0.113,0.078,0.365,0.135,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.235,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.649,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.361,39.414,0.033,0.0,0.0,0.21
235,359,19700930,47,-9e-05,-0.009801,0.111,1.232,0.812,10.954,1.74,8.937999999999997,5.812,6.477,10.628,1.365,1.22,0.353,0.112,0.125,0.113,0.078,0.365,0.135,0.262,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.235,0.078,1.125,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.649,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.361,39.414,0.033,0.0,0.0,0.21
264,399,19701031,47,-0.009313,-0.008076,0.111,1.3130000000000002,0.82,11.11,3.23,8.937999999999997,5.674,6.768,10.604,1.342,1.246,0.353,0.112,0.125,0.113,0.078,0.365,0.135,0.26,0.365,0.08800000000000001,0.099,0.203,0.117,0.103,0.123,0.5489999999999999,0.361,0.5489999999999999,0.591,0.239,0.488,-0.612,0.726,0.118,0.031,0.235,0.078,1.11,0.166,4.489,1.318,0.053,0.048,0.75,0.6629999999999999,1.587,0.613,0.502,0.6709999999999999,2.649,3.585,34.652,0.189,0.773,0.69,0.31,12.482,8.113,8.362,0.769,0.361,39.414,0.033,0.0,0.0,0.21
