,Unnamed: 0,public_date,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
1632,1929,19731231,2,-0.046925,-0.027402,0.0,3.388,0.562,20.992,5.34,10.289,30.774,15.556,15.556,0.67,2.651,0.506,0.677,0.166,0.166,0.08199999999999999,0.28,0.047,0.097,0.105,0.234,0.337,0.118,0.249,0.311,0.166,0.002,0.995,0.002,0.119,0.5539999999999999,0.38,0.482,0.27,0.226,0.162,0.054000000000000006,0.925,0.8370000000000001,0.992,0.306,0.002,0.314,0.13,0.006,5.127000000000002,0.448,0.305,0.077,0.278,45.277,97.654,118.478,0.16399999999999998,2.964,1.31,2.527,3.72,9.318,8.245,3.567,3.544,4.427,-0.045,0.0,0.0,0.075
1674,1970,19740131,2,0.056373,-0.024535,0.0,3.756,0.562,20.744,5.85,10.289,32.65,15.485,15.485,0.672,2.6260000000000003,0.506,0.677,0.166,0.166,0.08199999999999999,0.28,0.047,0.097,0.105,0.234,0.337,0.118,0.249,0.311,0.166,0.002,0.995,0.002,0.119,0.5539999999999999,0.38,0.482,0.27,0.226,0.162,0.054000000000000006,0.925,0.8370000000000001,0.992,0.306,0.002,0.314,0.13,0.006,5.127000000000002,0.448,0.305,0.077,0.278,45.277,97.654,118.478,0.16399999999999998,2.964,1.31,2.527,3.72,9.318,8.245,3.567,3.544,4.427,-0.045,0.0,0.0,0.075
1715,2011,19740228,2,-0.017698,-0.130248,0.182,4.137,0.599,17.113,4.05,7.741,40.057,13.968,13.968,0.603,2.247,0.507,0.655,0.161,0.161,0.17600000000000002,0.284,0.046,0.099,0.107,0.234,0.343,0.095,0.249,0.315,0.161,0.002,0.985,0.001,0.115,0.5670000000000001,0.361,0.499,0.128,0.179,0.16399999999999998,0.055,0.921,0.736,0.996,0.321,0.002,0.561,0.117,0.004,5.311,0.498,0.328,0.07400000000000001,0.295,43.908,94.87,119.594,0.165,2.7110000000000003,1.169,2.41,3.514,8.498,8.157,3.422,3.359,4.174,-0.066,0.0,0.0,0.077
1745,2052,19740331,2,0.057087,0.114989,0.182,3.814,0.76,18.646,5.94,7.741,27.695,15.163,15.163,0.643,2.435,0.507,0.655,0.159,0.159,0.177,0.284,0.045,0.099,0.107,0.234,0.343,0.092,0.249,0.315,0.159,0.002,0.985,0.001,0.122,0.5670000000000001,0.361,0.499,0.174,0.179,0.16399999999999998,0.055,0.921,0.736,0.996,0.321,0.002,0.561,0.124,0.004,5.311,0.494,0.328,0.08,0.295,42.633,94.87,119.594,0.165,2.7110000000000003,1.169,2.45,3.514,8.498,8.257,3.466,3.404,4.242,-0.049,0.0,0.0,0.077
1791,2093,19740430,2,-0.016411000000000002,-0.01594,0.182,3.75,0.76,18.347,5.62,7.741,27.249,14.919,14.919,0.632,2.396,0.507,0.655,0.159,0.159,0.177,0.284,0.045,0.099,0.107,0.234,0.343,0.092,0.249,0.315,0.159,0.002,0.985,0.001,0.122,0.5670000000000001,0.361,0.499,0.174,0.179,0.16399999999999998,0.055,0.921,0.736,0.996,0.321,0.002,0.561,0.124,0.004,5.311,0.494,0.328,0.08,0.295,42.633,94.87,119.594,0.165,2.7110000000000003,1.169,2.45,3.514,8.498,8.257,3.466,3.404,4.242,-0.049,0.0,0.0,0.077
1833,2134,19740531,2,-0.021482,0.050257,0.0,3.517,0.7709999999999999,19.285,1.09,7.741,25.57,15.139,15.139,0.637,2.436,0.507,0.655,0.161,0.161,0.112,0.284,0.045,0.099,0.107,0.234,0.343,0.092,0.249,0.315,0.161,0.001,0.991,0.001,0.135,0.5670000000000001,0.361,0.499,0.187,0.179,0.16399999999999998,0.055,0.969,0.736,0.996,0.321,0.001,0.561,0.124,0.003,5.311,0.5,0.328,0.08800000000000001,0.295,42.633,94.87,119.594,0.165,2.7110000000000003,1.169,2.3480000000000003,3.514,8.498,8.152999999999999,3.565,3.528,4.291,-0.044,0.0,0.0,0.077
1865,2176,19740630,2,-0.199696,-0.092205,0.6859999999999999,1.606,0.6970000000000001,17.137999999999998,4.53,9.214,20.919,15.661,15.661,0.5489999999999999,2.153,0.501,0.6409999999999999,0.12,0.12,0.071,0.268,0.031,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.12,0.001,0.991,0.001,0.14300000000000002,0.561,0.37,0.526,0.222,0.209,0.162,0.039,0.969,0.588,0.996,0.752,0.001,0.561,0.133,0.003,4.926,0.508,0.33,0.092,0.304,40.086,83.03200000000002,117.394,0.162,2.695,1.179,2.352,3.643,8.889,8.12,3.614,3.577,4.332,-0.005,0.0,0.0,0.077
1911,2218,19740731,2,-0.091652,-0.121948,0.6859999999999999,1.406,0.6970000000000001,15.13,6.24,9.214,18.461,13.991,13.991,0.486,1.902,0.501,0.6409999999999999,0.12,0.12,0.071,0.268,0.031,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.12,0.001,0.991,0.001,0.14300000000000002,0.561,0.37,0.526,0.222,0.209,0.162,0.039,0.969,0.588,0.996,0.752,0.001,0.561,0.133,0.003,4.926,0.508,0.33,0.092,0.304,40.086,83.03200000000002,117.394,0.162,2.695,1.179,2.352,3.643,8.889,8.12,3.614,3.577,4.332,-0.005,0.0,0.0,0.077
1950,2260,19740831,2,-0.045024,-0.086323,0.6859999999999999,1.238,0.706,13.48,4.78,9.214,13.726,12.759,12.759,0.43,1.716,0.501,0.6409999999999999,0.121,0.121,0.071,0.268,0.03,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.121,0.001,0.988,0.001,0.14800000000000002,0.561,0.37,0.526,0.256,0.209,0.162,0.039,0.979,0.588,0.996,0.752,0.001,0.561,0.133,0.003,4.926,0.501,0.33,0.096,0.304,40.086,83.03200000000002,117.394,0.162,2.695,1.179,2.4330000000000003,3.643,8.889,8.45,3.665,3.613,4.4860000000000015,0.002,0.0,0.0,0.077
1993,2302,19740930,2,-0.187708,-0.153793,0.0,1.045,1.166,11.139,9.21,9.214,11.213,10.390999999999998,10.390999999999998,0.354,1.426,0.501,0.6409999999999999,0.118,0.118,0.068,0.268,0.029,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.118,0.001,0.988,0.001,0.13699999999999998,0.561,0.37,0.526,0.269,0.209,0.162,0.039,0.979,0.588,0.996,0.752,0.001,0.561,0.134,0.003,4.926,0.494,0.33,0.091,0.304,39.877,83.03200000000002,117.394,0.162,2.695,1.179,2.459,3.643,8.889,8.468,3.649,3.597,4.512,0.008,0.0,0.0,0.077
2032,2344,19741031,2,0.23071,0.404463,0.0,1.484,1.166,15.328,2.53,9.214,15.392,13.618,13.618,0.48,1.955,0.501,0.6409999999999999,0.118,0.118,0.068,0.268,0.029,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.118,0.001,0.988,0.001,0.13699999999999998,0.561,0.37,0.526,0.269,0.209,0.162,0.039,0.979,0.588,0.996,0.752,0.001,0.561,0.134,0.003,4.926,0.494,0.33,0.091,0.304,39.877,83.03200000000002,117.394,0.162,2.695,1.179,2.459,3.643,8.889,8.468,3.649,3.597,4.512,0.008,0.0,0.0,0.077
2070,2386,19741130,2,-0.022609,-0.156662,0.0,1.215,1.237,12.715,3.33,9.214,10.277,11.833,11.833,0.4,1.641,0.501,0.6409999999999999,0.12,0.12,0.068,0.268,0.029,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.12,0.001,0.985,0.001,0.13699999999999998,0.561,0.37,0.526,0.322,0.209,0.162,0.039,0.984,0.588,0.996,0.752,0.001,0.561,0.134,0.002,4.926,0.487,0.33,0.091,0.304,39.877,83.03200000000002,117.394,0.162,2.695,1.179,2.541,3.643,8.889,8.804,3.696,3.628,4.668,0.02,0.0,0.0,0.077
2095,2428,19741231,2,-0.041577,-0.007508,0.0,1.203,1.5519999999999998,12.469,3.24,9.214,9.464,11.372,11.372,0.389,1.599,0.501,0.6409999999999999,0.126,0.126,0.073,0.268,0.031,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.126,0.001,0.985,0.001,0.12,0.561,0.37,0.526,0.392,0.209,0.162,0.039,0.984,0.588,0.996,0.752,0.001,0.561,0.13699999999999998,0.002,4.926,0.489,0.33,0.08,0.304,40.317,83.03200000000002,117.394,0.162,2.695,1.179,2.543,3.643,8.889,8.809,3.708,3.64,4.672,0.042,0.0,0.0,0.077
2146,2470,19750131,2,0.335789,0.23904,0.0,1.481,1.5519999999999998,15.640999999999998,4.63,9.214,11.842,14.656,14.656,0.493,2.009,0.501,0.6409999999999999,0.126,0.126,0.073,0.268,0.031,0.067,0.07400000000000001,0.177,0.252,0.062,0.194,0.241,0.126,0.001,0.985,0.001,0.12,0.561,0.37,0.526,0.392,0.209,0.162,0.039,0.984,0.588,0.996,0.752,0.001,0.561,0.13699999999999998,0.002,4.926,0.489,0.33,0.08,0.304,40.317,83.03200000000002,117.394,0.162,2.695,1.179,2.543,3.643,8.889,8.809,3.708,3.64,4.672,0.042,0.0,0.0,0.077
